method,seed,success,formula,num_atoms,relaxation_steps,final_energy_ev,force_mean,force_max,e_hull,stable,nus,novel,unique,rmsd
C0,67033,True,AuCoFe,3,12,-18.276586532592773,0.03874825270410066,0.05810261760410627,0.23716054913574247,0.0,0.0,1.0,1.0,0.0020979887960307845
V2_Frozen_Atomic75_Late30,67033,True,Co2Ir,3,6,-22.91830825805664,0.025042693303316547,0.03623704153011666,0.05041429523111951,1.0,1.0,1.0,1.0,0.0023210692387896337
C0,67034,True,Fe6Hf2,8,21,-71.06713104248047,0.043729844455278555,0.0598492410188943,0.21839870718994092,0.0,0.0,1.0,1.0,0.008097228729026957
V2_Frozen_Atomic75_Late30,67034,True,Fe7Hf,8,1,-68.29016876220703,0.013855251870423572,0.02903529944126115,0.24963455347412022,0.0,0.0,1.0,1.0,0.0014399920440764356
C0,67035,True,Ca4Eu4Sn4,12,24,-72.95111083984375,0.031160155925849645,0.08675588238424758,0.014863928346357191,1.0,0.0,0.0,1.0,0.017410503479245876
V2_Frozen_Atomic75_Late30,67035,True,Eu4Ni4Sn4,12,62,-86.24794006347656,0.09971388621119093,0.13474246631413794,-0.006817465289710611,1.0,0.0,0.0,1.0,0.07556847168920684
C0,67036,True,C2Al2Fe10Mn2,16,497,-129.0531005859375,0.2595854228089469,0.44953285615791133,0.10975771756368857,0.0,0.0,1.0,1.0,0.5333628525844161
V2_Frozen_Atomic75_Late30,67036,True,Fe7GaGeMn4Ni3,16,23,-120.85905456542969,0.09569066940856144,0.2520364573645753,0.12274534145662219,0.0,0.0,1.0,1.0,0.03522851010794853
C0,67037,True,EuFeZn2,4,3,-20.461349487304688,0.0065283514548050165,0.012386479455038868,0.4417003169238285,0.0,0.0,1.0,1.0,0.0015118245821280167
V2_Frozen_Atomic75_Late30,67037,True,Eu2MgZn,4,6,-24.129619598388672,0.00808742509702117,0.014072023589668971,0.009977178527831754,1.0,0.0,0.0,1.0,0.0016097299939167714
C0,67038,True,Eu2Gd4O8,14,432,-161.33169555664062,0.19223451961941465,0.37673438895657896,0.08601194095423814,1.0,1.0,1.0,1.0,0.3088624249200189
V2_Frozen_Atomic75_Late30,67038,True,Eu2Gd3NiO8,14,63,-144.0966339111328,0.3764144037117786,0.5332297190363868,0.18359054860956192,0.0,0.0,1.0,1.0,0.04735540769611227
C0,67039,True,Eu2GaIn,4,3,-28.154664993286133,0.0037307324198167595,0.005084051086790927,0.03437167480346659,1.0,0.0,0.0,1.0,0.0011933634813602206
V2_Frozen_Atomic75_Late30,67039,True,Eu2NaP,4,19,-29.859477996826172,0.03617590603293372,0.06644881925092198,-0.02734697420654264,1.0,1.0,1.0,1.0,0.04112057403327712
C0,67040,True,Eu2F6Gd,9,13,-78.69444274902344,0.034296056615723526,0.062327368019085325,0.08571616936777104,1.0,1.0,1.0,1.0,0.0026420249701790393
V2_Frozen_Atomic75_Late30,67040,True,Eu2F6Gd,9,13,-78.69393920898438,0.028331167252738845,0.042981623980851404,0.08577211826099962,1.0,1.0,1.0,1.0,0.002093410196990132
C0,67041,True,Co4Fe4,8,14,-62.28080749511719,0.0299735109277909,0.04486315019881685,0.07199215311035179,1.0,0.0,0.0,1.0,0.0016644812845010221
V2_Frozen_Atomic75_Late30,67041,True,Fe6Ir2,8,10,-68.37384796142578,0.006924906523524026,0.020349382152778005,0.06604453315511094,1.0,0.0,0.0,1.0,0.0017891877299543348
C0,67042,True,Eu4Ni4Si4,12,7,-92.97395324707031,0.017530784842836857,0.024435855079266204,0.07167786107747443,1.0,0.0,0.0,1.0,0.0028255452864340684
V2_Frozen_Atomic75_Late30,67042,True,Eu7Pt4Tl,12,32,-107.64398193359375,0.050924217966384556,0.13046293192152358,0.045803433033860586,1.0,1.0,1.0,1.0,0.029593061773711876
C0,67043,True,CdEu2Li,4,3,-24.038236618041992,0.0016383322281831995,0.0028860663447155886,0.027956848489502306,1.0,0.0,0.0,1.0,0.0007570430197208954
V2_Frozen_Atomic75_Late30,67043,True,Fe2Ni2,4,14,-28.417402267456055,0.05603825069642818,0.09551021672151468,0.08809011313598614,1.0,0.0,0.0,1.0,0.011336535408507958
C0,67044,True,AuEu2Pd,4,6,-31.930696487426758,0.007003738360184677,0.01255512279787418,0.05056122064330992,1.0,0.0,0.0,1.0,0.0017094686572677919
V2_Frozen_Atomic75_Late30,67044,True,CuEu2P,4,12,-32.404239654541016,0.00444699118264612,0.008052938177566,0.10133916261474596,0.0,0.0,0.0,1.0,0.0011506290056497379
C0,67045,True,CEu2LiO3,7,57,-58.65462112426758,0.7252734366772755,1.6678522946732537,0.5245427304915378,0.0,0.0,1.0,1.0,0.3695313954853328
V2_Frozen_Atomic75_Late30,67045,True,CEu3F2O,7,10,-62.84855270385742,0.009443788299006635,0.018642321451122983,0.4336247490917966,0.0,0.0,1.0,1.0,0.0009687119338797768
C0,67046,True,GeMn3O6,10,88,-72.82186126708984,0.17333931759357324,0.3351683951270367,0.0609271976243555,1.0,1.0,1.0,1.0,0.11795508393892108
V2_Frozen_Atomic75_Late30,67046,True,Eu4K2O4,10,55,-82.80635070800781,0.19370377826483523,0.3929966982182123,0.28385047569921973,0.0,0.0,1.0,1.0,0.09130445562645886
C0,67047,True,Eu2Fe3O5S,11,38,-84.5336685180664,0.1827046414571895,0.3606055199544419,0.29806664941820316,0.0,0.0,1.0,1.0,0.019346530975961614
V2_Frozen_Atomic75_Late30,67047,True,Eu2Fe3O3S2Tl,11,112,-77.07432556152344,0.4642398340993284,1.1158473908728141,0.3364307979928167,0.0,0.0,1.0,1.0,0.13703083846894334
C0,67048,True,F4Fe6O6,16,83,-97.20922088623047,0.43251442930048645,0.7786414193823272,0.2539027189855956,0.0,0.0,1.0,1.0,0.059857407204585475
V2_Frozen_Atomic75_Late30,67048,True,H3FFe5O7,16,137,-97.01010131835938,0.46412225899835546,1.0184570158961126,0.07070458135253954,1.0,1.0,1.0,1.0,0.1430925637478825
C0,67049,True,AuEu2Hg,4,13,-26.823692321777344,0.0140921558456879,0.028152111503341983,0.029184600805663763,1.0,0.0,0.0,1.0,0.0023920278133042114
V2_Frozen_Atomic75_Late30,67049,True,AuEu2Tl,4,5,-28.619508743286133,0.008739800830977727,0.01731182073651989,0.03865401042846628,1.0,0.0,0.0,1.0,0.0014071838453553716
C0,67050,True,Eu9O3P2Pd4,18,92,-163.50355529785156,0.1492293430417461,0.41176585715826536,0.13575145734157879,0.0,0.0,1.0,1.0,0.06255853851208579
V2_Frozen_Atomic75_Late30,67050,True,F2Mn7O9,18,137,-130.99716186523438,0.35175607472221765,0.6317138181440688,0.10124123918835792,0.0,0.0,1.0,1.0,0.13951350220065514
C0,67051,True,Eu2TlZn,4,5,-25.53736114501953,0.003943027495108468,0.006779602216044832,0.03278460624511759,1.0,0.0,0.0,1.0,0.001902175551237769
V2_Frozen_Atomic75_Late30,67051,True,Fe3Ir,4,6,-34.305484771728516,0.00986553197834346,0.011638189845461364,0.03640433540120469,1.0,0.0,0.0,0.0,0.0007694867255181899
C0,67052,True,Eu4Mg4Tl4,12,38,-60.75617599487305,0.05533592817786271,0.06912711392032073,-0.004844953402777463,1.0,0.0,0.0,1.0,0.0634032263706684
V2_Frozen_Atomic75_Late30,67052,True,Eu8Ni4,12,54,-106.29264068603516,0.040039099756734225,0.06112281414716685,0.0650505378304036,1.0,1.0,1.0,1.0,0.07123336237363458
C0,67053,True,Co4CrFe,6,2,-45.31391143798828,0.03233772797361221,0.05246168123776629,0.229712599501954,0.0,0.0,1.0,1.0,0.0011073959303047067
V2_Frozen_Atomic75_Late30,67053,True,Co4Fe2,6,7,-45.31570053100586,0.01641851413322199,0.02342548848804225,0.0548845698323559,1.0,0.0,0.0,1.0,0.0012209284479413045
C0,67054,True,InMn6Pt3,10,49,-76.71414947509766,0.10776749638218226,0.26952477652802553,0.1654240467143726,0.0,0.0,1.0,1.0,0.026750968330115837
V2_Frozen_Atomic75_Late30,67054,True,Br2Eu4P4,10,38,-79.04285430908203,0.26243728898004653,0.5177989630744468,0.06580882509179631,1.0,1.0,1.0,1.0,0.056648179137968414
C0,67055,True,CrEuMn2O7P,12,53,-97.83377838134766,0.35860042068730086,0.8799076137313704,0.1928011493969528,0.0,0.0,1.0,1.0,0.03949334323884649
V2_Frozen_Atomic75_Late30,67055,True,Eu4Mn2O6,12,28,-113.92723083496094,0.07183005452003827,0.1251120251869008,0.0768755179199232,1.0,1.0,1.0,1.0,0.0079619459800791
C0,67056,True,CaEu2Pb,4,3,-27.653593063354492,0.0039325605953770435,0.006382650753292083,0.06384754228637757,1.0,1.0,1.0,1.0,0.002311949651993503
V2_Frozen_Atomic75_Late30,67056,True,Eu2NaPb,4,19,-26.662349700927734,0.006407113857844339,0.0104008072224948,0.06859028226806618,1.0,0.0,0.0,1.0,0.010658857888172502
C0,67057,True,Eu3Gd2La3O12,20,182,-195.54869079589844,0.21584779242746782,0.4261566414387014,0.10466469292382818,0.0,0.0,1.0,1.0,0.06635944960783019
V2_Frozen_Atomic75_Late30,67057,True,Eu2Fe5O12Pr,20,162,-151.26055908203125,0.3258518163247369,0.7392725228134019,0.1749935182317799,0.0,0.0,1.0,1.0,0.06797391008083499
C0,67058,True,CuFe2Ni,4,11,-26.561805725097656,0.09877270225609133,0.13549595340052634,0.09807587872558621,1.0,0.0,0.0,1.0,0.012916155552889353
V2_Frozen_Atomic75_Late30,67058,True,CuFe2Zn,4,11,-21.882543563842773,0.0406288188715956,0.06559275772985307,0.15226288838141233,0.0,0.0,1.0,1.0,0.0052660530465700175
C0,67059,True,Br4Eu2K,7,10,-40.2505989074707,0.006826099864159478,0.012177330873475518,0.11331051536132364,0.0,0.0,1.0,1.0,0.00220996671865713
V2_Frozen_Atomic75_Late30,67059,True,Eu2FK2O2,7,27,-49.584251403808594,0.1349253143670502,0.32568799952375493,0.23855537838448626,0.0,0.0,1.0,1.0,0.024457882055438473
C0,67060,True,AlEuGe,3,2,-20.23914909362793,0.005294985006652274,0.007359162132858604,0.0027158704573571057,1.0,0.0,0.0,1.0,0.0008699834310040727
V2_Frozen_Atomic75_Late30,67060,True,Eu2Ge,3,26,-26.467971801757812,0.1820530032036917,0.269876354590852,0.15428167524739678,0.0,0.0,1.0,1.0,0.02701475071943907
C0,67061,True,Fe5Ir,6,12,-51.350276947021484,0.04625643559312092,0.09187226458616986,0.013230232163085276,1.0,0.0,0.0,1.0,0.002887070988016184
V2_Frozen_Atomic75_Late30,67061,True,Fe4NiRh,6,12,-46.96040725708008,0.08429825689213499,0.23106291885854316,0.059730443819986156,1.0,1.0,1.0,1.0,0.017827194057677527
C0,67062,True,Fe2PdRu,4,28,-30.798782348632812,0.07124345411203678,0.10378523119633833,0.18796966409179738,0.0,0.0,1.0,1.0,0.007770955595133283
V2_Frozen_Atomic75_Late30,67062,True,Eu2PbPd,4,16,-31.496646881103516,0.006015135406738735,0.011758301268929114,0.12436690097412129,0.0,0.0,0.0,1.0,0.0007810072676032887
C0,67063,True,Fe10HoV,12,44,-97.6922378540039,0.11436664136409098,0.2562976775200263,0.13448865044412273,0.0,0.0,1.0,1.0,0.014656694412205858
V2_Frozen_Atomic75_Late30,67063,True,Fe9Hf2Ho,12,42,-103.30338287353516,0.08500243265829087,0.2541558777989299,-0.01329055501681431,1.0,1.0,1.0,1.0,0.011104907855476395
C0,67064,True,AuEuRh,3,19,-22.141036987304688,0.01271602914856725,0.016441282126555705,0.18472335173177168,0.0,0.0,1.0,1.0,0.0009928919577433927
V2_Frozen_Atomic75_Late30,67064,True,EuNRh,3,10,-27.9830322265625,0.025177519473130672,0.03252832547465823,-0.03175373385417046,1.0,1.0,1.0,1.0,0.0013690332041034665
C0,67065,True,Eu2Ge3Li4,9,44,-44.56488800048828,0.15506023830652527,0.24947073238549286,0.212084246205003,0.0,0.0,1.0,1.0,0.11769597239246615
V2_Frozen_Atomic75_Late30,67065,True,H3Eu3N3,9,56,-72.11355590820312,0.3189280032448954,0.6508069454530728,0.04150209686632067,1.0,1.0,1.0,1.0,0.06723472926661682
C0,67066,True,Be2Co6,8,39,-50.47853469848633,0.15876077118612703,0.27032336263839224,0.10921236518920896,0.0,0.0,0.0,1.0,0.02450355276566997
V2_Frozen_Atomic75_Late30,67066,True,H2Eu4Pt2,8,37,-65.06948852539062,0.07469892371338616,0.16098182206473005,0.17545351151367328,0.0,0.0,1.0,1.0,0.07654580033799643
C0,67067,True,Eu6GdO4,11,44,-116.41677856445312,0.09121624500637852,0.23044932833397974,0.17970975527698663,0.0,0.0,1.0,1.0,0.030486827247065636
V2_Frozen_Atomic75_Late30,67067,True,Eu3Pd5Si3,11,36,-81.59183502197266,0.07924988944940799,0.309687578354361,0.006933869820668015,1.0,1.0,1.0,1.0,0.022092630235621708
C0,67068,True,CEuN2,4,7,-39.436866760253906,0.10112171172317111,0.17713989084513007,0.005320624936523188,1.0,0.0,0.0,1.0,0.003399708103991387
V2_Frozen_Atomic75_Late30,67068,True,Eu2NPd,4,21,-36.77082824707031,0.05658652391609108,0.11250911819874912,0.17557645573242198,0.0,0.0,1.0,1.0,0.009614640304194145
C0,67069,True,GaGd2In,4,21,-36.095855712890625,0.027792676229027948,0.05534112418144576,0.02102006927734479,1.0,0.0,0.0,1.0,0.00688192120520624
V2_Frozen_Atomic75_Late30,67069,True,DyEu3,4,7,-35.00993347167969,0.006947373284948562,0.009129792632918889,0.12381270708007719,0.0,0.0,0.0,1.0,0.0015581956478257716
C0,67070,True,Eu4Ge4Mg4,12,33,-72.60353088378906,0.05304710813368326,0.07383075744452444,0.025643999684245244,1.0,0.0,0.0,1.0,0.019892540478031004
V2_Frozen_Atomic75_Late30,67070,True,B4Eu2Rh6,12,494,-95.66629028320312,0.35764237888591593,0.6279177173444767,0.25646343306640595,0.0,0.0,1.0,1.0,0.4286257851133157
C0,67071,True,Eu4O6Sr2,12,25,-107.45823669433594,0.06458430184663717,0.10507014928311846,0.01450127047200489,1.0,1.0,1.0,1.0,0.003879819614468429
V2_Frozen_Atomic75_Late30,67071,True,Eu8Ge4,12,23,-107.76502227783203,0.046499542236722806,0.06502565103831795,-0.0034795806526695117,1.0,0.0,0.0,1.0,0.015351725039017883
C0,67072,True,EuYZn2,4,6,-20.44471549987793,0.009096760741556752,0.010916653865054072,0.03346802503051727,1.0,0.0,0.0,1.0,0.0014196029302563932
V2_Frozen_Atomic75_Late30,67072,True,Eu2TlZn,4,7,-25.537372589111328,0.0060035027148322715,0.007348278790832585,0.03278174522216837,1.0,0.0,0.0,1.0,0.0018368807682605695
C0,67073,True,Eu4KO5,10,26,-93.40628051757812,0.05123143910138121,0.0871489780441406,-0.03329096475781412,1.0,1.0,1.0,1.0,0.004328106351677637
V2_Frozen_Atomic75_Late30,67073,True,HEu2Mn2O5,10,24,-84.54460906982422,0.17861359048839193,0.4496471074545169,0.012164500767571695,1.0,1.0,1.0,1.0,0.020063110453071277
C0,67074,True,EuNiSi,3,5,-23.11715316772461,0.0063477731583825095,0.008222578919791527,0.11378957575846371,0.0,0.0,0.0,1.0,0.0006382471274662187
V2_Frozen_Atomic75_Late30,67074,True,CuEu2,3,1,-24.86028480529785,0.009063047131094655,0.012768926536749282,0.049751772400716376,1.0,0.0,0.0,1.0,0.0010199398635927983
C0,67075,True,Eu2O6Pb,9,108,-69.26021575927734,0.29965919696849613,0.5306913182358127,0.45448074619140577,0.0,0.0,1.0,1.0,0.21044192536944645
V2_Frozen_Atomic75_Late30,67075,True,Eu6PbSb2,9,18,-80.30511474609375,0.03641979464109917,0.0728096873491694,0.08414806182291734,1.0,1.0,1.0,1.0,0.001705993264644476
C0,67076,True,CaGd5O8,14,40,-157.16502380371094,0.19750735068277817,0.5126471170382415,0.09767035771112198,1.0,1.0,1.0,1.0,0.015194690733130211
V2_Frozen_Atomic75_Late30,67076,True,Eu4O8Ti2,14,50,-138.47976684570312,0.15997822158004146,0.34282786804242693,0.08085851959263302,1.0,1.0,1.0,1.0,0.03362402610979234
C0,67077,True,EuF6Ga,8,13,-49.14950942993164,0.1114353965620008,0.16053570534070574,0.02013376375854481,1.0,0.0,0.0,1.0,0.004765977536707572
V2_Frozen_Atomic75_Late30,67077,True,Fe2LiMnO4,8,20,-53.13068771362305,0.10195099546557299,0.20894407956774413,0.05588649381795463,1.0,1.0,1.0,1.0,0.013720363598457958
C0,67078,True,F3Li2MnO,7,23,-38.4267578125,0.008987267307627127,0.012955530652512849,0.2001299055357162,0.0,0.0,1.0,1.0,0.001837958454410059
