seed,c0_e_hull,v2_e_hull,delta_e_hull,c0_stable,v2_stable,delta_stable,c0_nus,v2_nus,delta_nus,c0_novel,v2_novel,delta_novel,c0_unique,v2_unique,delta_unique,c0_rmsd,v2_rmsd,delta_rmsd,c0_force_mean,v2_force_mean,delta_force_mean,c0_force_max,v2_force_max,delta_force_max
67019,0.05797406594184018,0.043552166456162666,-0.014421899485677514,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0025086571633745453,0.008116918151488331,0.005608260988113786,0.025075151926542236,0.050410969166164374,0.025335817239622138,0.05101166328319926,0.09167223148991357,0.04066056820671431
67020,0.04606610578776138,0.05337823287543397,0.007312127087672593,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.011774206488404432,0.0027051106560910627,-0.00906909583231337,0.038427625369902435,0.021934395371993643,-0.016493229997908792,0.08941788688124373,0.04877631035606014,-0.04064157652518359
67021,0.14169111966536363,0.03881259164062634,-0.10287852802473729,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.001330772031616852,0.0016583758662602173,0.00032760383464336537,0.003357586629764326,0.007764226726738703,0.004406640096974377,0.007577981214518811,0.013675064692676958,0.006097083478158147
67022,0.09190258341797009,0.10743811810872295,0.015535534690752861,1.0,0.0,-1.0,1.0,0.0,-1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.00505313290292023,0.07958995257668727,0.07453681967376705,0.038944293441079116,0.458668835099927,0.41972454165884787,0.08738885452046731,1.3552449737075498,1.2678561191870825
67023,0.06539374511513962,0.05482972163504485,-0.010564023480094775,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.4368647031705382,0.0349974170563047,-1.4018672861142334,0.2248001374693848,0.3389515711170931,0.11415143364770833,0.40285299621843507,0.7031086121327679,0.3002556159143328
67024,0.20699098491373746,0.06038551425781247,-0.146605470655925,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,-1.0,1.0,1.0,0.0,0.06242252857590542,0.007472539327334627,-0.054949989248570794,0.4857402472847934,0.061334840690062446,-0.42440540659473097,0.8999798701775485,0.10861969817498711,-0.7913601720025615
67025,0.056926578653506255,0.10052273498567477,0.04359615633216851,1.0,0.0,-1.0,1.0,0.0,-1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.8030550010287497,0.017331934446221657,-0.7857230665825281,0.2656973075963325,0.0747423868355365,-0.19095492076079598,0.7453421742769322,0.15005371205011925,-0.5952884622268129
67026,0.19657971542763253,0.04310027523273963,-0.1534794401948929,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.08382875779074936,0.00901003220656469,-0.07481872558418468,0.15795454172611334,0.07694904112156968,-0.08100550060454366,0.388448720540006,0.17703438939733884,-0.21141433114266717
67027,0.06882284197428401,0.12561014857468855,0.05678730660040454,1.0,0.0,-1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.008102984749175474,0.0027536594343167396,-0.005349325314858735,0.05199394486709317,0.048868434362594804,-0.0031255105044983647,0.08243075936932098,0.08197756021510094,-0.00045319915422004087
67028,0.1188501655029297,0.016256574953613878,-0.10259359054931583,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0012228225323569542,0.0011284796381466047,-9.434289421034951e-05,0.002921124265512767,0.03599047526409141,0.03306935099857864,0.005332174267426,0.04546059105487301,0.04012841678744701
67029,0.02212839422688795,0.11583989628851832,0.09371150206163037,1.0,0.0,-1.0,1.0,0.0,-1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.006180867891523512,0.00831359044911357,0.0021327225575900584,0.08829385735421134,0.04610794957441728,-0.042185907779794064,0.15051432138042745,0.08271047714956795,-0.0678038442308595
67030,0.06424068791015713,0.05601511602734455,-0.008225571882812588,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.01354390295600614,0.001785127255828823,-0.011758775700177318,0.06427733293593443,0.0218095521459989,-0.04246778078993553,0.09858721243374569,0.03939596756002954,-0.059191244873716145
67031,0.014299669882812616,0.11002408158420796,0.09572441170139534,1.0,0.0,-1.0,1.0,0.0,-1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.38650629347793947,0.031170894193301966,-0.3553353992846375,0.17031287586538713,0.2081637034843605,0.037850827618973376,0.35674854188193134,0.5367392999689639,0.17999075808703252
67032,0.051985297838541555,0.10981386157389217,0.05782856373535061,1.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0015366664384497892,0.003191533098428988,0.0016548666599791987,0.027621838332300863,0.003511835315328457,-0.024110003016972407,0.03589532788682951,0.004737200814362845,-0.031158127072466665
67033,0.23716054913574247,0.05041429523111951,-0.18674625390462296,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0020979887960307845,0.0023210692387896337,0.00022308044275884918,0.03874825270410066,0.025042693303316547,-0.01370555940078411,0.05810261760410627,0.03623704153011666,-0.021865576073989604
67034,0.21839870718994092,0.24963455347412022,0.031235846284179303,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.008097228729026957,0.0014399920440764356,-0.006657236684950521,0.043729844455278555,0.013855251870423572,-0.029874592584854982,0.0598492410188943,0.02903529944126115,-0.03081394157763315
67035,0.014863928346357191,-0.006817465289710611,-0.021681393636067803,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.017410503479245876,0.07556847168920684,0.05815796820996097,0.031160155925849645,0.09971388621119093,0.06855373028534129,0.08675588238424758,0.13474246631413794,0.04798658392989036
67036,0.10975771756368857,0.12274534145662219,0.01298762389293362,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.5333628525844161,0.03522851010794853,-0.49813434247646754,0.2595854228089469,0.09569066940856144,-0.16389475340038548,0.44953285615791133,0.2520364573645753,-0.19749639879333603
67037,0.4417003169238285,0.009977178527831754,-0.43172313839599674,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,-1.0,1.0,1.0,0.0,0.0015118245821280167,0.0016097299939167714,9.79054117887547e-05,0.0065283514548050165,0.00808742509702117,0.0015590736422161529,0.012386479455038868,0.014072023589668971,0.0016855441346301028
67038,0.08601194095423814,0.18359054860956192,0.09757860765532378,1.0,0.0,-1.0,1.0,0.0,-1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.3088624249200189,0.04735540769611227,-0.2615070172239067,0.19223451961941465,0.3764144037117786,0.18417988409236394,0.37673438895657896,0.5332297190363868,0.15649533007980787
67039,0.03437167480346659,-0.02734697420654264,-0.06171864901000923,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0011933634813602206,0.04112057403327712,0.0399272105519169,0.0037307324198167595,0.03617590603293372,0.03244517361311696,0.005084051086790927,0.06644881925092198,0.061364768164131056
67040,0.08571616936777104,0.08577211826099962,5.594889322857455e-05,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0026420249701790393,0.002093410196990132,-0.0005486147731889072,0.034296056615723526,0.028331167252738845,-0.0059648893629846815,0.062327368019085325,0.042981623980851404,-0.01934574403823392
67041,0.07199215311035179,0.06604453315511094,-0.005947619955240846,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0016644812845010221,0.0017891877299543348,0.00012470644545331273,0.0299735109277909,0.006924906523524026,-0.023048604404266877,0.04486315019881685,0.020349382152778005,-0.024513768046038845
67042,0.07167786107747443,0.045803433033860586,-0.02587442804361384,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0028255452864340684,0.029593061773711876,0.026767516487277807,0.017530784842836857,0.050924217966384556,0.0333934331235477,0.024435855079266204,0.13046293192152358,0.10602707684225737
67043,0.027956848489502306,0.08809011313598614,0.06013326464648383,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0007570430197208954,0.011336535408507958,0.010579492388787063,0.0016383322281831995,0.05603825069642818,0.054399918468244976,0.0028860663447155886,0.09551021672151468,0.0926241503767991
67044,0.05056122064330992,0.10133916261474596,0.050777941971436036,1.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0017094686572677919,0.0011506290056497379,-0.000558839651618054,0.007003738360184677,0.00444699118264612,-0.0025567471775385566,0.01255512279787418,0.008052938177566,-0.004502184620308181
67045,0.5245427304915378,0.4336247490917966,-0.09091798139974117,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.3695313954853328,0.0009687119338797768,-0.36856268355145305,0.7252734366772755,0.009443788299006635,-0.7158296483782689,1.6678522946732537,0.018642321451122983,-1.6492099732221308
67046,0.0609271976243555,0.28385047569921973,0.22292327807486423,1.0,0.0,-1.0,1.0,0.0,-1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.11795508393892108,0.09130445562645886,-0.02665062831246222,0.17333931759357324,0.19370377826483523,0.02036446067126199,0.3351683951270367,0.3929966982182123,0.05782830309117559
67047,0.29806664941820316,0.3364307979928167,0.038364148574613566,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.019346530975961614,0.13703083846894334,0.11768430749298173,0.1827046414571895,0.4642398340993284,0.2815351926421389,0.3606055199544419,1.1158473908728141,0.7552418709183722
67048,0.2539027189855956,0.07070458135253954,-0.18319813763305604,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.059857407204585475,0.1430925637478825,0.08323515654329704,0.43251442930048645,0.46412225899835546,0.031607829697869017,0.7786414193823272,1.0184570158961126,0.23981559651378537
67049,0.029184600805663763,0.03865401042846628,0.009469409622802516,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0023920278133042114,0.0014071838453553716,-0.0009848439679488398,0.0140921558456879,0.008739800830977727,-0.005352355014710174,0.028152111503341983,0.01731182073651989,-0.010840290766822094
67050,0.13575145734157879,0.10124123918835792,-0.03451021815322086,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.06255853851208579,0.13951350220065514,0.07695496368856936,0.1492293430417461,0.35175607472221765,0.20252673168047156,0.41176585715826536,0.6317138181440688,0.21994796098580344
67051,0.03278460624511759,0.03640433540120469,0.0036197291560871037,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-1.0,0.001902175551237769,0.0007694867255181899,-0.0011326888257195793,0.003943027495108468,0.00986553197834346,0.005922504483234992,0.006779602216044832,0.011638189845461364,0.004858587629416532
67052,-0.004844953402777463,0.0650505378304036,0.06989549123318106,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0634032263706684,0.07123336237363458,0.00783013600296617,0.05533592817786271,0.040039099756734225,-0.015296828421128485,0.06912711392032073,0.06112281414716685,-0.008004299773153874
67053,0.229712599501954,0.0548845698323559,-0.1748280296695981,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,-1.0,1.0,1.0,0.0,0.0011073959303047067,0.0012209284479413045,0.00011353251763659782,0.03233772797361221,0.01641851413322199,-0.015919213840390217,0.05246168123776629,0.02342548848804225,-0.02903619274972404
67054,0.1654240467143726,0.06580882509179631,-0.0996152216225763,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.026750968330115837,0.056648179137968414,0.029897210807852577,0.10776749638218226,0.26243728898004653,0.1546697925978643,0.26952477652802553,0.5177989630744468,0.2482741865464213
67055,0.1928011493969528,0.0768755179199232,-0.11592563147702961,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.03949334323884649,0.0079619459800791,-0.03153139725876739,0.35860042068730086,0.07183005452003827,-0.2867703661672626,0.8799076137313704,0.1251120251869008,-0.7547955885444696
67056,0.06384754228637757,0.06859028226806618,0.004742739981688615,1.0,1.0,0.0,1.0,0.0,-1.0,1.0,0.0,-1.0,1.0,1.0,0.0,0.002311949651993503,0.010658857888172502,0.008346908236178998,0.0039325605953770435,0.006407113857844339,0.0024745532624672953,0.006382650753292083,0.0104008072224948,0.004018156469202717
67057,0.10466469292382818,0.1749935182317799,0.0703288253079517,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.06635944960783019,0.06797391008083499,0.0016144604730048001,0.21584779242746782,0.3258518163247369,0.1100040238972691,0.4261566414387014,0.7392725228134019,0.31311588137470053
67058,0.09807587872558621,0.15226288838141233,0.054187009655826124,1.0,0.0,-1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.012916155552889353,0.0052660530465700175,-0.007650102506319335,0.09877270225609133,0.0406288188715956,-0.058143883384495734,0.13549595340052634,0.06559275772985307,-0.06990319567067327
67059,0.11331051536132364,0.23855537838448626,0.12524486302316262,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.00220996671865713,0.024457882055438473,0.022247915336781342,0.006826099864159478,0.1349253143670502,0.12809921450289072,0.012177330873475518,0.32568799952375493,0.31351066865027943
67060,0.0027158704573571057,0.15428167524739678,0.15156580479003967,1.0,0.0,-1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0008699834310040727,0.02701475071943907,0.026144767288434997,0.005294985006652274,0.1820530032036917,0.17675801819703943,0.007359162132858604,0.269876354590852,0.26251719245799343
67061,0.013230232163085276,0.059730443819986156,0.04650021165690088,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.002887070988016184,0.017827194057677527,0.014940123069661342,0.04625643559312092,0.08429825689213499,0.038041821299014074,0.09187226458616986,0.23106291885854316,0.13919065427237332
67062,0.18796966409179738,0.12436690097412129,-0.0636027631176761,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-1.0,1.0,1.0,0.0,0.007770955595133283,0.0007810072676032887,-0.006989948327529995,0.07124345411203678,0.006015135406738735,-0.06522831870529805,0.10378523119633833,0.011758301268929114,-0.09202692992740921
67063,0.13448865044412273,-0.01329055501681431,-0.14777920546093704,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.014656694412205858,0.011104907855476395,-0.0035517865567294624,0.11436664136409098,0.08500243265829087,-0.029364208705800116,0.2562976775200263,0.2541558777989299,-0.0021417997210964046
67064,0.18472335173177168,-0.03175373385417046,-0.21647708558594214,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0009928919577433927,0.0013690332041034665,0.0003761412463600738,0.01271602914856725,0.025177519473130672,0.012461490324563422,0.016441282126555705,0.03252832547465823,0.016087043348102528
67065,0.212084246205003,0.04150209686632067,-0.17058214933868232,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.11769597239246615,0.06723472926661682,-0.050461243125849334,0.15506023830652527,0.3189280032448954,0.16386776493837013,0.24947073238549286,0.6508069454530728,0.40133621306757994
67066,0.10921236518920896,0.17545351151367328,0.06624114632446432,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.02450355276566997,0.07654580033799643,0.052042247572326464,0.15876077118612703,0.07469892371338616,-0.08406184747274087,0.27032336263839224,0.16098182206473005,-0.10934154057366219
67067,0.17970975527698663,0.006933869820668015,-0.1727758854563186,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.030486827247065636,0.022092630235621708,-0.008394197011443928,0.09121624500637852,0.07924988944940799,-0.011966355556970537,0.23044932833397974,0.309687578354361,0.07923825002038126
67068,0.005320624936523188,0.17557645573242198,0.1702558307958988,1.0,0.0,-1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.003399708103991387,0.009614640304194145,0.006214932200202757,0.10112171172317111,0.05658652391609108,-0.04453518780708003,0.17713989084513007,0.11250911819874912,-0.06463077264638095
67069,0.02102006927734479,0.12381270708007719,0.1027926378027324,1.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.00688192120520624,0.0015581956478257716,-0.005323725557380469,0.027792676229027948,0.006947373284948562,-0.020845302944079387,0.05534112418144576,0.009129792632918889,-0.04621133154852687
67070,0.025643999684245244,0.25646343306640595,0.2308194333821607,1.0,0.0,-1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.019892540478031004,0.4286257851133157,0.4087332446352847,0.05304710813368326,0.35764237888591593,0.3045952707522327,0.07383075744452444,0.6279177173444767,0.5540869598999523
67071,0.01450127047200489,-0.0034795806526695117,-0.017980851124674402,1.0,1.0,0.0,1.0,0.0,-1.0,1.0,0.0,-1.0,1.0,1.0,0.0,0.003879819614468429,0.015351725039017883,0.011471905424549454,0.06458430184663717,0.046499542236722806,-0.018084759609914368,0.10507014928311846,0.06502565103831795,-0.04004449824480051
67072,0.03346802503051727,0.03278174522216837,-0.0006862798083488997,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0014196029302563932,0.0018368807682605695,0.0004172778380041762,0.009096760741556752,0.0060035027148322715,-0.003093258026724481,0.010916653865054072,0.007348278790832585,-0.003568375074221487
67073,-0.03329096475781412,0.012164500767571695,0.04545546552538582,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.004328106351677637,0.020063110453071277,0.01573500410139364,0.05123143910138121,0.17861359048839193,0.1273821513870107,0.0871489780441406,0.4496471074545169,0.3624981294103763
67074,0.11378957575846371,0.049751772400716376,-0.06403780335774734,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0006382471274662187,0.0010199398635927983,0.0003816927361265796,0.0063477731583825095,0.009063047131094655,0.002715273972712146,0.008222578919791527,0.012768926536749282,0.004546347616957755
67075,0.45448074619140577,0.08414806182291734,-0.37033268436848843,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.21044192536944645,0.001705993264644476,-0.20873593210480196,0.29965919696849613,0.03641979464109917,-0.26323940232739695,0.5306913182358127,0.0728096873491694,-0.45788163088664335
67076,0.09767035771112198,0.08085851959263302,-0.016811838118488964,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.015194690733130211,0.03362402610979234,0.01842933537666213,0.19750735068277817,0.15997822158004146,-0.0375291291027367,0.5126471170382415,0.34282786804242693,-0.16981924899581458
67077,0.02013376375854481,0.05588649381795463,0.03575273005940982,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.004765977536707572,0.013720363598457958,0.008954386061750386,0.1114353965620008,0.10195099546557299,-0.009484401096427814,0.16053570534070574,0.20894407956774413,0.04840837422703839
67078,0.2001299055357162,0.16287003663783395,-0.03725986889788224,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.001837958454410059,0.0014461207691478458,-0.0003918376852622132,0.008987267307627127,0.01621420021233707,0.0072269329047099425,0.012955530652512849,0.023489996656193887,0.010534466003681037
67079,0.0850328524088555,0.05224090992708508,-0.03279194248177042,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0150485640997132,0.013490503979347455,-0.0015580601203657451,0.04473692752002381,0.06308160525598801,0.018344677735964196,0.10563768649997643,0.14392287887978095,0.03828519237980452
67080,0.12169520484374985,-0.0148776142898992,-0.13657281913364905,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0009549470275888148,0.03285670652550992,0.0319017594979211,0.004293155047635998,0.2397231889639528,0.2354300339163168,0.0063084017294874305,0.43927752790373914,0.4329691261742517
67081,0.03460226814697265,0.0543737135400395,0.019771445393066855,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.06901176252613059,0.011462254107547589,-0.057549508418583,0.05785353596040548,0.028897617965767508,-0.028955917994637974,0.13452489916378974,0.05678646435621872,-0.077738434807571
67082,0.14114934651250532,0.5799980711523443,0.4388487246398389,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.050124127925429314,0.1596215803647545,0.10949745243932518,2.5428238988259233,0.30086800499226435,-2.241955893833659,6.18952817533498,0.38062307100841125,-5.808905104326568
67083,0.059709644593640476,0.17334820457085431,0.11363855997721384,1.0,0.0,-1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.1755582741389865,0.0012283032236783547,-1.174329970915308,0.10261561492172235,0.007165357011452632,-0.09545025791026972,0.2779483426291477,0.01534372285509941,-0.2626046197740483
