adapter_accept_calls,adapter_calls,adapter_checkpoint_sha256,atomic_risk_fallback_calls,checkpoint_sha256,coverage,failure_summary_path,fallback_calls,formula,forward_reduction,generation_time_seconds,invalid_risk_fallback_calls,late_exact_calls,logical_score_calls,method,nan_adapter_fallback_calls,nan_risk_fallback_calls,num_atoms,output_path,output_sha256,peak_gpu_memory_bytes,run_summary_path,run_summary_sha256,samples_per_hour,second_forward_avoidance,second_forward_calls,seed,success
0,0,,0,01dd3e86805165412e0810e2a77a4756f8e1020f3ff2707c74af0a3f88a1bb8e,0.0,,0,FeNi,0.0,120.0813370810356,0,0,2000,C0,0,0,2,/mnt/lis-wam-data/dxl/mattergen_v1/experiments/corrector_residual_distillation_formal256/generation/C0/67010/generated_crystals.extxyz,ca753f3aae74b67b8ada0af931abf1b94f189ded950d8ab9979e50837a214e83,242691584,/mnt/lis-wam-data/dxl/mattergen_v1/experiments/corrector_residual_distillation_formal256/generation/C0/67010/run_summary.json,b702f096797a948ca0cf9038e6ad9aeb647545e1547add033e71ed48c99663c8,29.97967950315692,0.0,1000,67010,True
653,700,a2fd0f17c27b760958b60c1d1386577883635a34fb2101eb08e38fd8472702c7,47,01dd3e86805165412e0810e2a77a4756f8e1020f3ff2707c74af0a3f88a1bb8e,0.653,,347,FeNi,0.3265,82.44250249606557,0,300,1347,V2_Frozen_Atomic75_Late30,0,0,2,/mnt/lis-wam-data/dxl/mattergen_v1/experiments/corrector_residual_distillation_formal256/generation/V2_Frozen_Atomic75_Late30/67010/generated_crystals.extxyz,2e826d752346616c4ad0a31256d6e847ab44d1debb6292f10d57b1f46a8ad96a,242714624,/mnt/lis-wam-data/dxl/mattergen_v1/experiments/corrector_residual_distillation_formal256/generation/V2_Frozen_Atomic75_Late30/67010/run_summary.json,637bd1f5302b4a3272c523f44b8db00298672cb3d872ba1fcf065426c4048dc6,43.66679674930784,0.653,347,67010,True
0,0,,0,01dd3e86805165412e0810e2a77a4756f8e1020f3ff2707c74af0a3f88a1bb8e,0.0,,0,Mn2Co3Ge,0.0,111.70304620405659,0,0,2000,C0,0,0,12,/mnt/lis-wam-data/dxl/mattergen_v1/experiments/corrector_residual_distillation_formal256/generation/C0/67011/generated_crystals.extxyz,93b8cb7b5c9ec772de3ee72f47c2e7045544295a84674f8ccf0e9aabe9ccea54,316143104,/mnt/lis-wam-data/dxl/mattergen_v1/experiments/corrector_residual_distillation_formal256/generation/C0/67011/run_summary.json,aa261fbb47534c40d42bd92838bc05ee9eafe2f887f449f5e3721576880acde5,32.22830641004724,0.0,1000,67011,True
506,700,a2fd0f17c27b760958b60c1d1386577883635a34fb2101eb08e38fd8472702c7,194,01dd3e86805165412e0810e2a77a4756f8e1020f3ff2707c74af0a3f88a1bb8e,0.506,,494,GdCoGe,0.253,90.07198649900965,0,300,1494,V2_Frozen_Atomic75_Late30,0,0,12,/mnt/lis-wam-data/dxl/mattergen_v1/experiments/corrector_residual_distillation_formal256/generation/V2_Frozen_Atomic75_Late30/67011/generated_crystals.extxyz,22e4e56d4d73306437385532349a049b7c23fc4c999be7557ce6c2509b4717b4,315144192,/mnt/lis-wam-data/dxl/mattergen_v1/experiments/corrector_residual_distillation_formal256/generation/V2_Frozen_Atomic75_Late30/67011/run_summary.json,dac3f023f2a20f6c15899e5e28981d7ab9f76090029e300400ea56e0c8cccaa7,39.96803157038823,0.506,494,67011,True
0,0,,0,01dd3e86805165412e0810e2a77a4756f8e1020f3ff2707c74af0a3f88a1bb8e,0.0,,0,Li2Mn2OF3,0.0,115.05827034194954,0,0,2000,C0,0,0,8,/mnt/lis-wam-data/dxl/mattergen_v1/experiments/corrector_residual_distillation_formal256/generation/C0/67012/generated_crystals.extxyz,40127eb0ff2f3fdee81c2c2bed904788e808bc614ef845292bec166809292ba2,286331904,/mnt/lis-wam-data/dxl/mattergen_v1/experiments/corrector_residual_distillation_formal256/generation/C0/67012/run_summary.json,528ab9a947f5badc3336282418ef7f2460d8b8c87f7671f6a5846b1a70f0e4ec,31.288493989184037,0.0,1000,67012,True
695,700,a2fd0f17c27b760958b60c1d1386577883635a34fb2101eb08e38fd8472702c7,5,01dd3e86805165412e0810e2a77a4756f8e1020f3ff2707c74af0a3f88a1bb8e,0.695,,305,MnF,0.3475,81.68000921187922,0,300,1305,V2_Frozen_Atomic75_Late30,0,0,8,/mnt/lis-wam-data/dxl/mattergen_v1/experiments/corrector_residual_distillation_formal256/generation/V2_Frozen_Atomic75_Late30/67012/generated_crystals.extxyz,5da64ef3a6609f874823be0feb76b1afa193432c1d9d6b28bad4cd6cf1113ab8,287112704,/mnt/lis-wam-data/dxl/mattergen_v1/experiments/corrector_residual_distillation_formal256/generation/V2_Frozen_Atomic75_Late30/67012/run_summary.json,3b1f6b607bd89697d5bb68310903f03338aa9290ec4320b26783a9ff708ab309,44.07443185592136,0.695,305,67012,True
0,0,,0,01dd3e86805165412e0810e2a77a4756f8e1020f3ff2707c74af0a3f88a1bb8e,0.0,,0,NaEu4P2O3,0.0,121.87584665603936,0,0,2000,C0,0,0,10,/mnt/lis-wam-data/dxl/mattergen_v1/experiments/corrector_residual_distillation_formal256/generation/C0/67013/generated_crystals.extxyz,d309fe10d61feeb93c92771ed52d7050c916babd87a2460217b60875bde14fc9,301749760,/mnt/lis-wam-data/dxl/mattergen_v1/experiments/corrector_residual_distillation_formal256/generation/C0/67013/run_summary.json,923fb24ab3c52713e441a05f3530b92f55fcdffdaca894d843ac875247e46c6b,29.538256338517982,0.0,1000,67013,True
659,700,a2fd0f17c27b760958b60c1d1386577883635a34fb2101eb08e38fd8472702c7,41,01dd3e86805165412e0810e2a77a4756f8e1020f3ff2707c74af0a3f88a1bb8e,0.659,,341,EuMnO3,0.3295,83.8078268521931,0,300,1341,V2_Frozen_Atomic75_Late30,0,0,10,/mnt/lis-wam-data/dxl/mattergen_v1/experiments/corrector_residual_distillation_formal256/generation/V2_Frozen_Atomic75_Late30/67013/generated_crystals.extxyz,64abd3edca6e1eeda9a0089142f6050fca93cf9a7857bf054d83e19ae88921c2,300325888,/mnt/lis-wam-data/dxl/mattergen_v1/experiments/corrector_residual_distillation_formal256/generation/V2_Frozen_Atomic75_Late30/67013/run_summary.json,b576dac697a3cb3a72d7f12366233e2debddcb18ad13b827415d468e7745b316,42.955415206614376,0.659,341,67013,True
0,0,,0,01dd3e86805165412e0810e2a77a4756f8e1020f3ff2707c74af0a3f88a1bb8e,0.0,,0,Gd2Pd,0.0,114.28678989596665,0,0,2000,C0,0,0,9,/mnt/lis-wam-data/dxl/mattergen_v1/experiments/corrector_residual_distillation_formal256/generation/C0/67014/generated_crystals.extxyz,17548d2014796281f7e2ced8ed1e77d653ef81dc69f637076884b5be2d8dc4e8,293748224,/mnt/lis-wam-data/dxl/mattergen_v1/experiments/corrector_residual_distillation_formal256/generation/C0/67014/run_summary.json,0e3add8be715045f7c8c52d07bcb12c64250c75f1a41270f5721a434aebd427b,31.499703537714375,0.0,1000,67014,True
454,700,a2fd0f17c27b760958b60c1d1386577883635a34fb2101eb08e38fd8472702c7,246,01dd3e86805165412e0810e2a77a4756f8e1020f3ff2707c74af0a3f88a1bb8e,0.454,,546,GdMgPd,0.227,93.59296960709617,0,300,1546,V2_Frozen_Atomic75_Late30,0,0,9,/mnt/lis-wam-data/dxl/mattergen_v1/experiments/corrector_residual_distillation_formal256/generation/V2_Frozen_Atomic75_Late30/67014/generated_crystals.extxyz,fd6dd1c3ab8a32230b776714557b85151a20f1834704b7ec2091dab9dea945ad,293667328,/mnt/lis-wam-data/dxl/mattergen_v1/experiments/corrector_residual_distillation_formal256/generation/V2_Frozen_Atomic75_Late30/67014/run_summary.json,98f612c1365bb0b399be18fa1e0d13cbf6cecd4ad8b2bbf49c8ea0c6b4039982,38.464427564514956,0.454,546,67014,True
