method,seed,task_id,energy_ev,energy_per_atom_ev,maximum_force_ev_ang,converged,relax_elapsed_seconds,steps,formula,chemical_system,input_hash,output_hash,energy_above_hull_per_atom,rmsd_from_relaxation,novel_unique_stable,stable,comp_validity,structure_comp_validity,structure_validity,novel,novel_unique,unique,is_unique,is_novel,is_explored,energy_above_hull,self_consistent_energy_above_hull,pre_relax_minimum_distance_angstrom,pre_relax_short_bond,pre_relax_abnormal_cell,pre_relax_max_force_ev_ang,formal_seed
A0,20020,A0_seed_20020,-102.29351806640624,-6.393344879150391,0.043702382594347,True,0.8008947980124503,28,CaMn2FeS4,Ca-Fe-Mn-S,45eae4201138426da7728e8de69b58fd1df1f3e3d1c832646670db9214ef1a35,15e478146e4ebcda3953c35f7b7b4f8e3bbf60aa3c1361e1a2e44740539a8e23,0.2643647606838675,0.0058505921490491,False,False,True,True,True,True,True,True,True,True,False,0.2643647606838675,0.2643647606838675,2.507883289263376,False,False,0.1156836366790601,20020
A0,20021,A0_seed_20021,-83.72383117675781,-8.372383117675781,0.0401988849043846,True,1.2938303239643574,43,Mn7HN2,H-Mn-N,e45842ef138fdde5d657ba4d89973f5ef8f4f0f15e2e50addc58e332b4e78c72,5149ca151b66f7204e29ee4997f6293037dde4cc1cb757ea1b68243f897cf4e4,0.2841967059591219,0.035926511439283,False,False,True,True,True,True,True,True,True,True,True,0.2841967059591219,0.2841967059591219,1.8844891911639317,False,False,0.6759954933436004,20021
A0,20022,A0_seed_20022,-70.67817687988281,-8.834772109985352,0.0149118974804878,True,0.1663590350071899,6,PrEu3,Eu-Pr,c6d2b56c659d51e44fcc2bb6bc42ec92acc6aee77bffc826c89501f4fc58559f,5feb6d7b0eb451a7dd4078ec0c5e0784b6f135832b153f940f1e16113f95decc,0.0943341089662297,0.0021738929603437,False,True,True,True,True,False,False,True,True,False,True,0.0943341089662297,0.0943341089662297,3.846437166072661,False,False,0.022102638018815575,20022
A0,20023,A0_seed_20023,-105.69371795654295,-7.046247863769532,0.0494047254323959,True,2.692585106997285,95,V2Fe4O9,Fe-O-V,a4786ea2999feec83f222fc77a7704f266450822494a12b3972158e30f0374eb,39559051e56f82558201ec559dd44711e534c53c3b3cb9577ca653f872236dc7,0.2833642607797006,0.0516638743264379,False,False,True,True,True,True,True,True,True,True,True,0.2833642607797006,0.2833642607797042,1.6646663418965204,False,False,0.8804964534672792,20023
A0,20024,A0_seed_20024,-29.15857315063477,-7.289643287658691,0.036014225333929,True,0.5074916969751939,18,Fe2NiPt,Fe-Ni-Pt,8787695e45827a5132a8bcd123fce5d1f96c927b8f8f4736d26d818c7fde41fb,d27f82f5d9cb336b1ff1abf95023ed93a46a42072c117c1dad49d8cbd89eb637,0.0860560080941699,0.0461417724296184,False,True,True,True,True,False,False,True,True,False,True,0.0860560080941699,0.0642493299041699,2.5698559646772066,False,False,0.1644265218690846,20024
A0,20025,A0_seed_20025,-158.4542694091797,-7.922713470458984,0.1587364673614502,False,14.1576031849836,500,Fe7SiB2,B-Fe-Si,fe2d34563c5563b2d0c7aa22ece262a6a9d42cb9e6718a0d5764530d4f948314,375c2335f73be44868e7e1344df1cff43ceef761232e261e9e625fb44ad0fd1a,0.2185452559434448,0.2485430276201355,False,False,True,True,True,True,True,True,True,True,True,0.2185452559434448,0.2185452559434448,1.9916584465758862,False,False,0.6083328510366787,20025
A0,20026,A0_seed_20026,-90.4853973388672,-6.463242667061942,0.0491497702896595,True,6.814815984980669,243,Li3Fe2Si2O7,Fe-Li-O-Si,11fc1db3cec4d54eee622c5fda3099344dedf45af2b0ae9d32735d7862ee7c3e,3c2396c677229fba0ddcb2e002bcc9acc5d4b3400984efcec0bf557865d0ebbf,0.3653252699582285,0.2388735255149214,False,False,True,True,True,True,True,True,True,True,True,0.3653252699582285,0.3517835349482245,1.6294023253370504,False,False,1.4686593666661152,20026
A0,20027,A0_seed_20027,-57.14186096191406,-6.349095662434896,0.0495713651180267,True,0.7310897830175236,27,CaEuSi,Ca-Eu-Si,04656c6a58de722eaa3faae986b352f3b119d251599d534e3654628adc027334,3ec55408ec0ac8fd6cf5dec93d7d03de5fda07246640449b1215b7be187060e9,0.0026293965215833,0.003198864421694,True,True,True,True,True,True,True,True,True,True,True,0.0026293965215833,0.0026293965215833,2.9906535887667633,False,False,0.0695570153513996,20027
A0,20028,A0_seed_20028,-177.68740844726562,-8.884370422363281,0.0456776320934295,True,1.3914141689892858,48,Gd2FeCuO6,Cu-Fe-Gd-O,3ff8fd5df9ef8f7c925db8bce2c9c6b152fed3763cc5479da663e0872a55a2e7,e31c269485a7b33128e906855e910c29f3148228b5e5f8dd9fbf265b4ff2426a,0.2191532244699843,0.0286892802370222,False,False,True,True,True,True,True,True,True,True,True,0.2191532244699843,0.2191532244699843,1.8314170542869952,False,False,0.6456712794195947,20028
A0,20029,A0_seed_20029,-45.16557693481445,-9.03311538696289,0.0432899817824363,True,0.0565679839928634,2,Eu3PtRh,Eu-Pt-Rh,d2f1aa68c23ed2cd3a0995780bdae71be0ae96ebf83b13b377a37c3059d35cc2,6682b68b758a5b7ba6b3be3ef7c095be314c40b3eef5a59693ef84cbe89158b5,0.4983076298651152,0.0013679541920872,False,False,True,True,True,True,True,True,True,True,False,0.4983076298651152,0.4983076298651152,2.7163746622102725,False,False,0.047685044119401505,20029
