seed,gate_applied,a0_force,e3g_force,a0_force_source
20043,True,0.1597397495627371,0.122676866572183,new_mattersim_single_point_probe
20044,True,0.06167428465717464,0.0424701388198569,new_mattersim_single_point_probe
20045,True,0.17690716531551118,0.1314019737016792,new_mattersim_single_point_probe
20046,False,0.0579492079935191,0.0579492079935191,exact_gate_off_e3g_reuse
20047,False,0.0250994430734815,0.0250994430734815,exact_gate_off_e3g_reuse
20048,True,0.4097524241572983,0.1533569371888065,new_mattersim_single_point_probe
20049,True,0.067872070040384,0.057964090059445,new_mattersim_single_point_probe
20050,True,0.2397940361580723,0.227943746653314,new_mattersim_single_point_probe
20051,True,0.2546285633149319,0.1924378223586911,new_mattersim_single_point_probe
20052,True,0.41188001559865134,0.3481568127215548,new_mattersim_single_point_probe
20053,True,0.005891891251436414,0.005544875071505,new_mattersim_single_point_probe
20054,True,0.06092567304758489,0.049800102543603,new_mattersim_single_point_probe
20055,False,0.218920371143953,0.218920371143953,exact_gate_off_e3g_reuse
20056,False,0.2248769101865198,0.2248769101865198,exact_gate_off_e3g_reuse
20057,False,0.1818330243772092,0.1818330243772092,exact_gate_off_e3g_reuse
20058,True,0.008139690869460927,0.0066222491240854,new_mattersim_single_point_probe
20059,True,0.21989972872247956,0.1899180689520704,new_mattersim_single_point_probe
20060,True,0.18694716668455713,0.1746251541975873,new_mattersim_single_point_probe
20061,True,0.7844599236363577,0.6615970667923068,new_mattersim_single_point_probe
20062,True,0.0870996032241779,0.0711373468334631,new_mattersim_single_point_probe
20063,True,0.05081548674539935,0.0467352439947841,new_mattersim_single_point_probe
20064,True,0.06124430334663672,0.0561239422997639,new_mattersim_single_point_probe
20065,False,0.0096294376276073,0.0096294376276073,exact_gate_off_e3g_reuse
20066,False,1.5318041428149671,1.5318041428149671,exact_gate_off_e3g_reuse
20067,False,0.1770346287937097,0.1770346287937097,exact_gate_off_e3g_reuse
20068,False,0.8844240108110125,0.8844240108110125,exact_gate_off_e3g_reuse
20069,False,0.1570413477226029,0.1570413477226029,exact_gate_off_e3g_reuse
20070,True,0.05236871751120005,0.0256952267233231,new_mattersim_single_point_probe
20071,True,0.12457072288142139,0.217534378439839,new_mattersim_single_point_probe
20072,True,0.5726603984119827,0.4739279130761952,new_mattersim_single_point_probe
20073,True,0.7794585683480405,0.3019372029467689,new_mattersim_single_point_probe
20074,True,0.04671222365204151,0.0239724980429597,new_mattersim_single_point_probe
20075,False,0.1997868542018812,0.1997868542018812,exact_gate_off_e3g_reuse
20076,False,0.5086659819820192,0.5086659819820192,exact_gate_off_e3g_reuse
20077,True,0.03725816437066956,0.0523079989651725,new_mattersim_single_point_probe
20078,False,0.8216216709838106,0.8216216709838106,exact_gate_off_e3g_reuse
20079,False,0.0793371613989615,0.0793371613989615,exact_gate_off_e3g_reuse
20080,False,0.0123835282237065,0.0123835282237065,exact_gate_off_e3g_reuse
20081,False,0.0162402236462062,0.0162402236462062,exact_gate_off_e3g_reuse
20082,True,0.11525646591124283,0.1233260232605494,new_mattersim_single_point_probe
20083,True,0.17195725368000303,0.173225789473803,new_mattersim_single_point_probe
