method,seed,formula,num_atoms,maxF_ev_per_a,atomic_force_mean_ev_per_a,rmsd_a,relaxation_steps,minimum_periodic_distance_a,surrogate_property_eval,dft_verified
C0,730020,Co2Fe18,20,0.29159328310535443,0.1693064037638918,0.3856733946715567,425,2.2601288467480893,True,False
C0,730021,Co7Fe11,18,0.15329621667303403,0.07797565584255965,0.005424238679278664,50,2.4272009290044383,True,False
C0,730022,Co2Fe4,6,0.11261114788877431,0.046897910447026375,0.004417987878668265,7,2.452725639615243,True,False
C0,730023,Gd9,9,0.010157553758607434,0.00633845108264688,0.0,4,3.61557786289944,True,False
C0,730024,Co3Fe7,10,0.11584800853223504,0.059169225194943595,0.0036497476798108726,24,2.465663157238582,True,False
C0,730025,Co4Fe8,12,0.10278242430992081,0.05474967798272017,0.0023816066588925404,21,2.4530342025197305,True,False
C0,730026,CoFe3,4,0.009245894192802553,0.00789882257425819,0.0011327155880349962,10,2.427672188329476,True,False
C0,730027,EuGd2,3,0.1600764889280081,0.10676602317812767,0.00379600517445834,14,3.6652735531543583,True,False
C0,730028,Gd4,4,0.005766608182588791,0.004138407644586463,0.0,6,3.588040497844306,True,False
C0,730029,Co2Fe6,8,0.1550448223851393,0.06437510113698731,0.006523637920669198,19,2.455026566796484,True,False
C0,730030,Co2Fe6,8,0.09620312697673708,0.04287938443828963,0.004024303767296061,22,2.437283206406958,True,False
C0,730031,Co3Fe11,14,0.12598283243209726,0.062193654428079885,0.003442328950735636,36,2.446346280862557,True,False
F0,730000,Co3Fe13,16,0.029541043147407645,0.01434381823876616,0.001338667898523351,6,2.460744036048762,True,False
F0,730001,Co3Fe6,9,0.038239572259324506,0.022270986468432712,0.0011037279336852622,7,2.452377680597957,True,False
F0,730002,CoFe3,4,0.007745282505745029,0.005718172495022851,0.0002680061680537516,4,2.469925421160888,True,False
F0,730003,Gd3,3,0.007001175721934138,0.00476130794599408,0.0,7,3.5726165382744868,True,False
F0,730004,CoFe7,8,0.020278185172352085,0.012004209308007354,0.001081525458702144,7,2.4555662407403673,True,False
F0,730005,Fe4Gd4O10,18,2.6984628927255967,0.684568099155311,1.1444383195304224,942,1.9408049177498299,True,False
F0,730006,Fe20,20,0.028878982134159438,0.010999576750684931,0.0,19,2.4442732811976278,True,False
F0,730007,Co4Fe4,8,0.04720758925745415,0.02882721377330388,0.0017064384382815703,15,2.4303925437044933,True,False
F0,730008,Fe10Pd2,12,0.10599178959717258,0.06167738396442746,0.005318519027503117,17,2.410864168421262,True,False
F0,730009,Co3Fe2,5,0.06223588176515297,0.03162654920911004,0.001460340712048004,21,2.430031786575469,True,False
F0,730010,Co6Fe6,12,0.08951516072446332,0.04293605792204428,0.00310849543753181,36,2.435307400147719,True,False
F0,730011,Co2Fe4,6,0.058030312262048876,0.03465503318830453,0.001046190849228816,8,2.4513186226800174,True,False
F0,730012,Co2Fe8,10,0.026942823170401052,0.01750805017877907,0.0003899208147665956,12,2.451151512039469,True,False
F0,730013,Co2Fe6,8,0.02020860845278071,0.011312508605812215,0.0005081580342452354,3,2.4504986957581134,True,False
F0,730014,CoFe11,12,0.05659339235502057,0.030147323521490594,0.002157760048621454,11,2.461601616903342,True,False
