branch_id,seed,schedule_id,schedule_kind,active_cfg,delta_g,start,duration,formula,num_atoms,geometric_valid,minimum_periodic_distance_angstrom,validity_reason,chgnet_success,chgnet_mag_density,target_mag_density,property_absolute_error,structure_valid,surrogate_property_eval,dft_verified,e_hull,stable,nus,novel,unique,quality_success,evaluation_valid,c0_property_absolute_error,property_delta_vs_c0,property_gain_vs_c0,property_harm_vs_c0,positive_property_degradation,e_hull_delta_vs_c0,e_hull_harm_vs_c0,stable_loss_vs_c0,validity_loss_vs_c0,nus_loss_vs_c0
1709066281:P_T400_DM10,1709066281,P_T400_DM10,permanent,1.9,-0.1,400,600,HEu,2,True,2.639889841799212,,True,0.1866724087254875,0.1,0.0866724087254874,True,True,False,0.11275954947021471,False,False,False,True,True,True,0.0332741322003692,0.0533982765251182,-0.0533982765251182,True,0.0533982765251182,0.09986371535888683,True,True,False,False
1709066281:S_T400_DM10_K100,1709066281,S_T400_DM10_K100,bounded,1.9,-0.1,400,100,EuI,2,True,3.3552468033584955,,True,0.096368924584823,0.1,0.003631075415177,True,True,False,0.10764857482910184,False,False,True,True,True,True,0.0332741322003692,-0.029643056785192197,0.029643056785192197,False,0.0,0.09475274071777395,True,True,False,False
1709066281:C0,1709066281,C0,c0,2.0,0.0,-1,1000,EuP,2,True,2.9489071519029406,,True,0.1332741322003692,0.1,0.0332741322003692,True,True,False,0.012895834111327886,True,False,False,True,True,True,0.0332741322003692,0.0,-0.0,False,0.0,0.0,False,False,False,False
1169205901:C_G190,1169205901,C_G190,constant,1.9,-0.1,-1,1000,Cu2Fe2,4,True,2.4904880643940355,,True,0.1138110069775702,0.1,0.0138110069775702,True,True,False,0.17224869418090805,False,False,True,True,True,True,0.0083617450120431,0.005449261965527101,-0.005449261965527101,True,0.005449261965527101,0.04800236792358259,True,False,False,False
1169205901:P_T400_DM10,1169205901,P_T400_DM10,permanent,1.9,-0.1,400,600,AsBrEu2,4,True,2.9988751168412797,,True,0.1122691758051853,0.1,0.0122691758051853,True,True,False,0.022400592368164496,True,False,False,True,True,True,0.0083617450120431,0.003907430793142201,-0.003907430793142201,True,0.003907430793142201,-0.10184573388916096,False,False,False,False
1169205901:S_T400_DM10_K100,1169205901,S_T400_DM10_K100,bounded,1.9,-0.1,400,100,BrEu2Zn,4,True,3.1095836829348174,,True,0.1083745584827703,0.1,0.0083745584827703,True,True,False,0.12424918728027468,False,False,False,True,True,True,0.0083617450120431,1.2813470727200682e-05,-1.2813470727200682e-05,False,1.2813470727200682e-05,2.86102294921875e-06,False,False,False,False
1169205901:C0,1169205901,C0,c0,2.0,0.0,-1,1000,BrEu2Zn,4,True,3.109594592643645,,True,0.1083617450120431,0.1,0.0083617450120431,True,True,False,0.12424632625732546,False,False,False,True,True,True,0.0083617450120431,0.0,-0.0,False,0.0,0.0,False,False,False,False
1949334709:C_G190,1949334709,C_G190,constant,1.9,-0.1,-1,1000,CaCuGd3Mn4O11,20,True,1.7897849790122864,,True,0.1441627398527845,0.1,0.0441627398527845,True,True,False,0.16259370082618219,False,False,True,True,True,True,0.1000327821963361,-0.0558700423435516,0.0558700423435516,False,0.0,0.039200893770551914,True,False,False,False
1949334709:P_T400_DM10,1949334709,P_T400_DM10,permanent,1.9,-0.1,400,600,Li2Mn6O11V,20,True,1.7787730099369656,,True,0.120626520641022,0.1,0.020626520641022,True,True,False,0.13717435301301784,False,False,True,True,True,True,0.1000327821963361,-0.0794062615553141,0.0794062615553141,False,0.0,0.013781545957387564,False,False,False,False
1949334709:S_T400_DM10_K100,1949334709,S_T400_DM10_K100,bounded,1.9,-0.1,400,100,Fe2LiMn6O10V,20,True,2.053526722415471,,True,0.1749553351904045,0.1,0.0749553351904045,True,True,False,0.06348068027626041,True,True,True,True,True,True,0.1000327821963361,-0.025077447005931605,0.025077447005931605,False,0.0,-0.059912126779369856,False,False,False,False
1949334709:C0,1949334709,C0,c0,2.0,0.0,-1,1000,CrMn9O10,20,True,2.11125705743082,,True,0.2000327821963361,0.1,0.1000327821963361,True,True,False,0.12339280705563027,False,False,True,True,True,True,0.1000327821963361,0.0,-0.0,False,0.0,0.0,False,False,False,False
1421819196:C_G190,1421819196,C_G190,constant,1.9,-0.1,-1,1000,Cu4Eu4Mg2,10,True,2.5174520138793004,,True,0.1120680056742486,0.1,0.0120680056742486,True,True,False,0.01040589573632733,True,False,False,True,True,True,0.0120950302115078,-2.7024537259201162e-05,2.7024537259201162e-05,False,0.0,-3.814697265625e-06,False,False,False,False
