trial,selector,energy_above_hull_per_atom,rmsd_from_relaxation,stable,novel_unique_stable,comp_validity,structure_validity,novel,unique,converged,ehull_change,rmsd_relative_change,stable_change,nus_change,composition_change,structure_change,novel_change,unique_change
19,baseline_first,0.11708283655017176,0.02655480096746466,0.5,0.25,0.75,1.0,0.625,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,Q1_UQ_PQR,0.08910276686865856,0.015184859910167676,0.875,0.375,0.875,1.0,0.5,1.0,1.0,-0.027980069681513203,-0.42816894282987117,0.375,0.125,0.125,0.0,-0.125,0.0
19,Q2_RFR,0.06818996278573627,0.00726372485307715,0.75,0.125,1.0,1.0,0.125,0.625,1.0,-0.04889287376443549,-0.7264628395454075,0.25,-0.125,0.25,0.0,-0.5,-0.375
19,Q4_CPRC,0.08910276686865856,0.015184859910167676,0.875,0.375,0.875,1.0,0.5,1.0,1.0,-0.027980069681513203,-0.42816894282987117,0.375,0.125,0.125,0.0,-0.125,0.0
19,Q6_NS_SETRANK_PROXY,0.08503076877851651,0.015899208983672197,0.875,0.5,0.875,1.0,0.625,1.0,1.0,-0.03205206777165526,-0.4012680041114921,0.375,0.25,0.125,0.0,0.0,0.0
20,baseline_first,0.10297183141932029,0.02182214376855265,0.625,0.125,0.875,1.0,0.375,0.875,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,Q1_UQ_PQR,0.07317266668981644,0.013490090341508585,0.875,0.375,0.75,1.0,0.375,0.875,1.0,-0.02979916472950385,-0.3818164482561599,0.25,0.25,-0.125,0.0,0.0,0.0
20,Q2_RFR,0.05418885708606476,0.012060178234984037,1.0,0.375,0.875,1.0,0.375,0.875,1.0,-0.04878297433325553,-0.44734218769268397,0.375,0.25,0.0,0.0,0.0,0.0
20,Q4_CPRC,0.0627134153923274,0.013498106607423573,1.0,0.375,0.75,1.0,0.375,0.875,1.0,-0.040258416026992885,-0.38144910277443234,0.375,0.25,-0.125,0.0,0.0,0.0
20,Q6_NS_SETRANK_PROXY,0.07650574770800364,0.011870492815739174,0.875,0.625,0.875,1.0,0.625,0.875,1.0,-0.026466083711316646,-0.45603452430528635,0.25,0.5,0.0,0.0,0.25,0.0
21,baseline_first,0.13014584857114558,0.08766557354242538,0.5,0.375,0.75,1.0,0.75,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,Q1_UQ_PQR,0.06787870814775161,0.006993639651937038,0.875,0.375,0.875,1.0,0.375,0.875,1.0,-0.06226714042339397,-0.9202236480144341,0.375,0.0,0.125,0.0,-0.375,-0.125
21,Q2_RFR,0.05840731334067558,0.004457360564846625,0.875,0.25,0.875,1.0,0.25,0.75,1.0,-0.07173853523047,-0.9491549489185798,0.375,-0.125,0.125,0.0,-0.5,-0.25
21,Q4_CPRC,0.0739440207035031,0.006858673251940988,0.75,0.25,0.875,1.0,0.25,0.875,1.0,-0.05620182786764248,-0.9217632078957224,0.25,-0.125,0.125,0.0,-0.5,-0.125
21,Q6_NS_SETRANK_PROXY,0.07306785198131946,0.010499283300744861,0.875,0.5,0.875,1.0,0.5,0.875,1.0,-0.057077996589826124,-0.8802348187950453,0.375,0.125,0.125,0.0,-0.25,-0.125
22,baseline_first,0.13835881640653067,0.0239829003420672,0.75,0.25,0.75,1.0,0.5,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,Q1_UQ_PQR,0.07372359311134877,0.012989809688214638,0.875,0.375,1.0,1.0,0.375,1.0,1.0,-0.0646352232951819,-0.45837202744699457,0.125,0.125,0.25,0.0,-0.125,0.0
22,Q2_RFR,0.06693476050933941,0.011178806456991361,0.75,0.25,1.0,1.0,0.25,0.75,1.0,-0.07142405589719125,-0.5338842968303055,0.0,0.0,0.25,0.0,-0.25,-0.25
22,Q4_CPRC,0.0653274922197434,0.012927507303832861,0.875,0.375,1.0,1.0,0.375,0.875,1.0,-0.07303132418678726,-0.4609698110133339,0.125,0.125,0.25,0.0,-0.125,-0.125
22,Q6_NS_SETRANK_PROXY,0.0769592994874507,0.011617241604081724,0.875,0.625,1.0,1.0,0.625,1.0,1.0,-0.061399516919079966,-0.5156031406383111,0.125,0.375,0.25,0.0,0.125,0.0
23,baseline_first,0.19429735454704095,0.060549539169211894,0.125,0.0,0.875,1.0,0.625,0.875,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
