method,seed,success,formula,num_atoms,elapsed_seconds,sampling_steps,corrector_steps_per_time,guidance_scale,target_dft_mag_density,checkpoint_sha256,adapter_checkpoint_sha256,dft_verified
C0,79027,True,YTmFe4,6,114.7452290779911,1000,1,2.0,0.1,01dd3e86805165412e0810e2a77a4756f8e1020f3ff2707c74af0a3f88a1bb8e,,False
MLP,79027,True,CaEu5,6,115.23307061893865,1000,1,2.0,0.1,01dd3e86805165412e0810e2a77a4756f8e1020f3ff2707c74af0a3f88a1bb8e,f21bcd702a81fff04e48a6f79507dbdce97bebaedb19e7f72868c3743861ee78,False
CFI,79027,True,EuGdCo3Ni,6,126.37108136503957,1000,1,2.0,0.1,01dd3e86805165412e0810e2a77a4756f8e1020f3ff2707c74af0a3f88a1bb8e,5573b71a6bd6a8b57beb36ff27ce309f81bc3f82fb7b4759c3a7aa1b248b5d1b,False
C0,79028,True,NdMn2AsO4,8,115.15303038712591,1000,1,2.0,0.1,01dd3e86805165412e0810e2a77a4756f8e1020f3ff2707c74af0a3f88a1bb8e,,False
MLP,79028,True,Mn5NO2,8,123.79415553016588,1000,1,2.0,0.1,01dd3e86805165412e0810e2a77a4756f8e1020f3ff2707c74af0a3f88a1bb8e,f21bcd702a81fff04e48a6f79507dbdce97bebaedb19e7f72868c3743861ee78,False
CFI,79028,True,NdMnAsO,8,124.00373241584748,1000,1,2.0,0.1,01dd3e86805165412e0810e2a77a4756f8e1020f3ff2707c74af0a3f88a1bb8e,5573b71a6bd6a8b57beb36ff27ce309f81bc3f82fb7b4759c3a7aa1b248b5d1b,False
C0,79029,True,Eu3ZnH,5,115.09399537183344,1000,1,2.0,0.1,01dd3e86805165412e0810e2a77a4756f8e1020f3ff2707c74af0a3f88a1bb8e,,False
MLP,79029,True,LiEu3Zn,5,114.7894549279008,1000,1,2.0,0.1,01dd3e86805165412e0810e2a77a4756f8e1020f3ff2707c74af0a3f88a1bb8e,f21bcd702a81fff04e48a6f79507dbdce97bebaedb19e7f72868c3743861ee78,False
CFI,79029,True,Eu3ZnH,5,129.3176226960495,1000,1,2.0,0.1,01dd3e86805165412e0810e2a77a4756f8e1020f3ff2707c74af0a3f88a1bb8e,5573b71a6bd6a8b57beb36ff27ce309f81bc3f82fb7b4759c3a7aa1b248b5d1b,False
C0,79030,True,Fe2Co,6,124.00863738986664,1000,1,2.0,0.1,01dd3e86805165412e0810e2a77a4756f8e1020f3ff2707c74af0a3f88a1bb8e,,False
MLP,79030,True,Fe5Ge,6,112.96352596604265,1000,1,2.0,0.1,01dd3e86805165412e0810e2a77a4756f8e1020f3ff2707c74af0a3f88a1bb8e,f21bcd702a81fff04e48a6f79507dbdce97bebaedb19e7f72868c3743861ee78,False
CFI,79030,True,SmFe5,6,123.94257944799028,1000,1,2.0,0.1,01dd3e86805165412e0810e2a77a4756f8e1020f3ff2707c74af0a3f88a1bb8e,5573b71a6bd6a8b57beb36ff27ce309f81bc3f82fb7b4759c3a7aa1b248b5d1b,False
C0,79031,True,Fe5CuO8,14,115.80581363220699,1000,1,2.0,0.1,01dd3e86805165412e0810e2a77a4756f8e1020f3ff2707c74af0a3f88a1bb8e,,False
MLP,79031,True,EuGd2H3O8,14,114.90797584992833,1000,1,2.0,0.1,01dd3e86805165412e0810e2a77a4756f8e1020f3ff2707c74af0a3f88a1bb8e,f21bcd702a81fff04e48a6f79507dbdce97bebaedb19e7f72868c3743861ee78,False
CFI,79031,True,EuMn4Fe2S7,14,131.622909063939,1000,1,2.0,0.1,01dd3e86805165412e0810e2a77a4756f8e1020f3ff2707c74af0a3f88a1bb8e,5573b71a6bd6a8b57beb36ff27ce309f81bc3f82fb7b4759c3a7aa1b248b5d1b,False
