seed,method,c0_max_force,e3a_max_force,e3g_max_force,e3a_force_change,e3g_force_change,c0_rmsd,e3a_rmsd,e3g_rmsd,c0_ehull,e3a_ehull,e3g_ehull,c0_stable,e3a_stable,e3g_stable,c0_nus,e3a_nus,e3g_nus,c0_novel,e3a_novel,e3g_novel,c0_unique,e3a_unique,e3g_unique,gate_confidence,gate_on,exact_fallback,displacement_mean,displacement_max,refinement_harm,relaxation_converged
40062,C0/E3-A/E3-G paired,0.4767113155433012,0.4678476377878957,0.4678472320028562,-0.0088636777554055,-0.0088640835404449,0.0724402332585928,0.0683763421767559,0.0683744486756365,0.2938475565035103,0.2939438309853885,0.2939433613537714,False,False,False,False,False,False,True,True,True,True,True,True,0.9360814132194216,True,False,,0.0091198658470723,False,True
40063,C0/E3-A/E3-G paired,0.2077874575914105,0.2239751757747646,0.2239735655076935,0.0161877181833541,0.016186107916283,0.032991046492753,0.0256245984395754,0.0256245226424362,0.0990063390841786,0.0990136653374342,0.0990142288953759,True,True,True,True,True,True,True,True,True,True,True,True,0.927254078476787,True,False,,0.0160973421510696,True,True
40064,C0/E3-A/E3-G paired,0.655239609682242,0.3402813889377029,0.3402812116855543,-0.3149582207445391,-0.3149583979966877,0.0543311935674478,0.0523835841262395,0.0523828375115931,0.2583620835200797,0.2582729004756467,0.2582729004756467,False,False,False,False,False,False,True,True,True,True,True,True,0.9378929788137922,True,False,,0.0185335088703626,False,True
40065,C0/E3-A/E3-G paired,0.0363915143214577,0.0269378298769481,0.0269370322786527,-0.0094536844445096,-0.009454482042805,0.0020111883747668,0.0018263882241531,0.0018263904090288,0.0195882407432872,0.0195910585330008,0.0195917629804291,True,True,True,False,False,False,False,False,False,True,True,True,0.9801372736651244,True,False,,0.0011258474291835,False,True
40066,C0/E3-A/E3-G paired,0.035435721167292,0.0322417114869905,0.0322415522878617,-0.0031940096803015,-0.0031941688794303,0.0034484448699943,0.0030989951723281,0.0030990292066824,0.0828102202937444,0.0828376937434516,0.0828366370723081,True,True,True,False,False,False,False,False,False,True,True,True,0.5720756881405114,True,False,,0.0024845876336525,False,True
40067,C0/E3-A/E3-G paired,0.1317752255654396,0.1206670542786233,0.1206665370969013,-0.0111081712868163,-0.0111086884685383,0.0482380709209331,0.0407583660994876,0.0407584025387671,0.090285905205345,0.090285905205345,0.090285905205345,True,True,True,False,False,False,False,False,False,True,True,True,0.7167291417887519,True,False,,0.0111041031625118,False,True
40068,C0/E3-A/E3-G paired,0.9269635698668036,0.703822357338104,0.9269639346439188,-0.2231412125286995,3.647771151804591e-07,0.0479599715160025,0.0388499559869601,0.047960019728075,0.0996693323899062,0.0997080769984677,0.0996693323899062,True,True,True,True,True,True,True,True,True,True,True,True,0.0955210095595597,False,True,,0.0,False,True
40069,C0/E3-A/E3-G paired,0.1399382103296226,0.1463575230770322,0.1463573177095655,0.0064193127474096,0.0064191073799429,0.0145555346548455,0.014868897360786,0.0148689064714611,0.003931277852498,0.0039684726767159,0.0039684726767159,True,True,True,False,False,False,False,False,False,True,True,True,0.9565095433719806,True,False,,0.0047882009059467,True,True
40070,C0/E3-A/E3-G paired,0.4444544201182658,0.3635107038776244,0.4444543675306127,-0.0809437162406414,-5.2587653120994566e-08,0.2508232947713824,0.2481120800249661,0.2508221723367108,0.2037313828193658,0.2037535729133601,0.2037308544837941,False,False,False,False,False,False,True,True,True,True,True,True,0.2727300296249887,False,True,,0.0,False,True
40071,C0/E3-A/E3-G paired,0.1582440298469623,0.1856265843227985,0.1856279268423266,0.0273825544758362,0.0273838969953643,0.0072134022788768,0.0062700955330629,0.0062701080958005,0.011485128627676,0.0114904119833898,0.0114904119833898,True,True,True,False,False,False,False,False,False,True,True,True,0.937590502186504,True,False,,0.007749147579353,True,True
40072,C0/E3-A/E3-G paired,0.735139037326495,0.2004019526961358,0.2004061070346163,-0.5347370846303592,-0.5347329302918786,0.0520426338481738,0.0486881798294699,0.0486890978402739,0.1468746920864649,0.1468906595615084,0.1468897202982706,False,False,False,False,False,False,True,True,True,True,True,True,0.9933877099248964,True,False,,0.0186920371549332,False,True
40073,C0/E3-A/E3-G paired,0.1563936862806616,0.1273159106774633,0.1273090088659419,-0.0290777756031982,-0.0290846774147197,0.015343857573593,0.0062119433671866,0.0062110461841942,0.0903968179124614,0.0904972016710061,0.0904961449998644,True,True,True,True,True,True,True,True,True,True,True,True,0.7367401324030598,True,False,,0.0155559029241795,False,True
40074,C0/E3-A/E3-G paired,0.1139016123559185,0.1553883476203303,0.1139016934647066,0.0414867352644117,8.11087881025241e-08,0.0090226612520844,0.0111006160377173,0.0090226629216805,0.1387839809392126,0.1388156810734901,0.1387839809392126,False,False,False,False,False,False,True,True,True,True,True,True,0.1367719054890494,False,True,,0.0,False,True
40075,C0/E3-A/E3-G paired,0.4793617068803067,0.4691173661061829,0.4691187823303392,-0.0102443407741238,-0.0102429245499675,0.0271451162762437,0.0271907593020278,0.0271906561494685,0.0535900164924161,0.0536090365729826,0.0536090365729826,True,True,True,True,True,True,True,True,True,True,True,True,0.511744655716974,True,False,,0.0103369583962572,False,True
40076,C0/E3-A/E3-G paired,0.0278845813260843,0.0283932772704437,0.0283933022698278,0.0005086959443593,0.0005087209437435,0.0009650992472375,0.001895823096372,0.0018958194000019,0.067402557604483,0.0674060798416249,0.0674060798416249,True,True,True,True,True,True,True,True,True,True,True,True,0.9469933592628164,True,False,,0.0024804169017525,True,True
