method,seed,pool_id,candidate_seed,energy_ev,energy_per_atom_ev,maximum_force_ev_ang,pre_relax_max_force_ev_ang,converged,relax_elapsed_seconds,steps,formula,chemical_system,energy_above_hull_per_atom,rmsd_from_relaxation,novel_unique_stable,stable,comp_validity,structure_comp_validity,structure_validity,novel,novel_unique,unique,is_unique,is_novel,is_explored,energy_above_hull,self_consistent_energy_above_hull
Q3_E3_PCR,13,13,32013,-107.12288665771484,-7.1415257771809895,0.04308587312698364,0.18884565071961715,True,1.2843916619895026,43,Mn6Pt7Au2,Au-Mn-Pt,0.10783225744013425,0.01915911632613245,False,False,True,True,True,True,True,True,True,True,True,0.10783225744013425,0.10783225744013425
Q3_E3_PCR,14,14,32014,-197.25222778320312,-9.862611389160156,0.04528171569108963,0.5682818255233877,True,7.9385014560539275,281,Eu4Gd3NiHO11,Eu-Gd-H-Ni-O,0.18489413896021034,0.21067322501447897,False,False,True,True,True,True,True,True,True,True,False,0.18489413896021034,0.18489413896021034
Q3_E3_PCR,15,15,32015,-67.33718872070312,-9.619598388671875,0.018654750660061836,0.014646402907152644,True,0.5050664379959926,18,Eu3O4,Eu-O,0.5337419326458477,0.0011691948513935973,False,False,False,False,True,True,True,True,True,True,True,0.5337419326458477,0.0
Q3_E3_PCR,16,16,32016,-56.7400016784668,-7.09250020980835,0.010638641193509102,0.04567454999752399,True,0.4167610250879079,13,NaEu(FeO2)2,Eu-Fe-Na-O,0.23816290768734838,0.0018933610982891586,False,False,True,True,True,True,True,True,True,True,True,0.23816290768734838,0.23816290768734838
Q3_E3_PCR,17,17,32017,-77.94889831542969,-9.743612289428711,0.011200880631804466,0.013325896423531613,True,0.17024862999096513,6,Eu7Y,Eu-Y,0.08501594499965393,0.002026117262614044,True,True,True,True,True,True,True,True,True,True,True,0.08501594499965393,0.08501594499965393
Q3_E3_PCR,18,18,32018,-110.74836730957031,-6.9217729568481445,0.03682674095034599,0.3576956703476514,True,1.699444625992328,53,Li3Mn5O8,Li-Mn-O,0.11911315464850603,0.041382762711042624,False,False,True,True,True,True,True,True,True,True,True,0.11911315464850603,0.05501946723287432
Q3_E3_PCR,19,19,32019,-102.35309600830078,-8.529424667358398,0.04654635861515999,0.07275421523954541,True,1.3866233999142423,50,Eu2Au,Au-Eu,0.02583761066244783,0.085367746203693,True,True,True,True,True,True,True,True,True,True,True,0.02583761066244783,0.0
Q3_E3_PCR,20,20,32020,-151.29098510742188,-7.564549255371094,0.050031356513500214,0.44013357384798635,True,7.019448415027,240,Ti3Co13BC3,B-C-Co-Ti,0.2721444414741594,0.11240945468429606,False,False,False,False,True,True,True,True,True,True,False,0.2721444414741594,0.2721444414741594
Q3_E3_PCR,21,21,32021,-82.12261962890625,-7.465692693536932,0.04833274334669113,0.3050292127389382,True,1.2746716199908406,45,Fe8Ge3,Fe-Ge,0.06829004989501897,0.025988344785921193,True,True,True,True,True,True,True,True,True,True,True,0.06829004989501897,0.0
Q3_E3_PCR,22,22,32022,-35.70859146118164,-8.92714786529541,0.03720838949084282,0.047009532787347284,True,1.4835038499440998,53,Eu3Au,Au-Eu,0.0690023039643517,0.32538724938527513,True,True,True,True,True,True,True,True,True,True,True,0.0690023039643517,0.04962409596751627
Q3_E3_PCR,23,23,32023,-83.21504211425781,-6.934586842854817,0.03872452676296234,0.09697140758612036,True,0.3132331430679187,10,Fe5Ni7,Fe-Ni,0.045749775733528786,0.004726920262671125,False,True,True,True,True,False,False,True,True,False,True,0.045749775733528786,0.0
Q3_E3_PCR,24,24,32024,-102.46421813964844,-7.318872724260602,0.05473639816045761,0.5469658222602971,True,11.19302269804757,376,MgMn5O8,Mg-Mn-O,0.22037475614211033,1.1517197329335809,False,False,False,False,True,True,True,True,True,True,True,0.22037475614211033,0.20353437627764848
Q3_E3_PCR,25,25,32025,-97.46871948242188,-8.122393290201822,0.020206861197948456,0.13224890298388853,True,0.5570831740042195,20,Eu2GePt3,Eu-Ge-Pt,0.06298189327304549,0.0075040264582580535,True,True,True,True,True,True,True,True,True,True,True,0.06298189327304549,0.0
Q3_E3_PCR,26,26,32026,-109.82222747802734,-6.863889217376709,0.051111284643411636,0.4098837190139921,True,3.7073064480209723,130,Li3Mn4BO8,B-Li-Mn-O,0.28796784121035657,0.08739398576910798,False,False,True,True,True,True,True,True,True,True,True,0.28796784121035657,0.27929178294035495
Q3_E3_PCR,27,27,32027,-118.30171203613281,-7.886780802408854,0.04873766750097275,0.3765100043192977,True,2.189005418913439,76,Fe9B2(PRh)2,B-Fe-P-Rh,0.17281539276898883,0.056311559747858994,False,False,False,False,True,True,True,True,True,True,False,0.17281539276898883,0.17281539276898883
Q3_E3_PCR,28,28,32028,-29.747947692871094,-7.436986923217773,0.002093753544613719,0.00772629615568052,True,0.5556780860060826,19,Fe2CoNi,Co-Fe-Ni,0.10546028682470876,0.0009102994886638015,False,False,True,True,True,False,False,True,True,False,True,0.10546028682470876,0.10546028682470876
