task_id,config_id,seed,repeat_index,gpu,elapsed_seconds,basic_structure_valid,composition_valid,rng_state_hash,initial_atomic_numbers_hash,initial_pos_hash,initial_cell_hash,initial_state_hash,final_structure_hash,extxyz_sha256,physical_model_forward_count,predictor_forward_count,corrector_forward_count,corrector_skipped_count,corrector_skip_rate,physical_forward_reduction,corrector_calibration_count,corrector_fallback_count,corrector_rescue_count,corrector_atomic_veto_count,corrector_skip_budget,corrector_budget_used,budget_exhausted,calibration_interval_mean,cell_stable_rate,pos_stable_rate,atomic_stable_rate,all_fields_stable_rate
eight_seed_smoke_G1_seed14002_rep1,G1,14002,1,2,64.09565689304145,True,True,014357f4d5dfc5bf2e4f09d0bdb882dcd08a1fbe410637d1e32383adec209208,258ce0a9e50bb69ade6f393f9f5b530b0f228df8339ff7d0d75670aad9d614b0,fb8968fa67ed9b4a5248f5f263ec0915d8d28d1c9e688ab71d1425b8e4f2b060,a4929aee26e81576dd812e5cba0a7f01ae80bbb03e10ba86f3e67f0370031100,fe506af84c7ef875b0b6da503995166e535f927c89b9de35bb11112cf8ce0d00,7ee1c40e2cbc2a8f5da8fe129a0d509fdefc47d4944e19ab4afc559c9f397e1d,76b5575ec19a1d3c2f718de1770d5dd566b5a1b55abc599245fc296f3bcea5c3,1785,1000,785,215,0.215,0.10750000000000004,41,9,0,165,270,215,False,5.7073170731707314,0.87,0.931,0.999,0.836
eight_seed_smoke_G1_seed14003_rep1,G1,14003,1,3,63.85879777104128,True,True,62f7acbf025c95ea0b46b2c4c8ce6b2756123fc144cb45619eeb5c8c6e71c523,7981046bc6b3af77d05fc4d8201cf2204670bf96d1007bc31ce6d6db5b0ff9c1,499746405671768129f4970a9ebf6a488b02b4f6fad9395d1e4a7baf7a5a3aa4,de98249f5d0c046d248bce11d141ff6a89dce514ed03200aa1a844474e361a7f,87aac982e7419e326fcc806ae59b9dadb031dd94d6358e1f8e824ccf7f59c8e1,5dc1b4808e8d8b9b782122d07df2b7a9822b4b3f225b24f3e7f234a9d00ac327,eb911ed09c1446a418aefd1e8af0f21d1bae9241ba3d976e9ed9946a787ed78e,1730,1000,730,270,0.27,0.135,54,4,0,88,270,270,True,6.888888888888889,0.93,0.958,0.999,0.901
eight_seed_smoke_G1_seed14004_rep1,G1,14004,1,4,65.79341753199697,True,True,c6ab3e58a7988609fbb902a8e4a1352eddf9206bc63b347b38eebf343818c4ad,8ba2d47dfbceefc5fca1108e069ae02e1d2b0c48e961933c36c82de166d7efc6,b3776ea93aff9ae024192b00cfbde4be52109a083051485298880289a15cac24,1b1193ac0d64974afdf4408b08baf642e5d35757dbeb17a85bca0d6eda561201,d4655b6ad684dc27e571fe672fe1ec72cee5f2f9f1140cdbca66bd4fcf7b63c3,afcf0a919f331d252fc04fb301611ddeb2b90be2a312f12ae32df190e222be73,16023118e89bd0aeb674d66c16dbcfbb32b1e9db913a993a51743e70e21ad67b,1748,1000,748,252,0.252,0.126,49,17,0,202,270,252,False,6.0,0.939,0.931,0.999,0.895
eight_seed_smoke_G1_seed14005_rep1,G1,14005,1,5,67.97712814598344,True,False,53c990771bbee9c54e89a6a2db344d4598e8fd93e6e1410fe9420c67d22237b5,7c0f3c0de6f9593cb69375415525ac4e9f79587073810bc408d46c083409a9eb,c436294a03d66cdb4ac0ca6e8b78eada3b508748a02243f2d46078ceb99943ff,731abfb87b701632f3917a8ce876d1e4df7f265bf8cca0fe9537fd9e4a672e90,546cd564abd587ef7d39ec42d495214b30006ef9203f13377121f2565757cfe4,55bb5a2d681d50d2db1c9fde3ec8e80fceb3b0b7f7349b73c00b5e6f18887586,84e2a13246316875aca64449f957d3b9e32c720f35b827651d4ad16bcb2305f3,1788,1000,788,212,0.212,0.10599999999999998,41,31,0,76,270,212,False,6.487804878048781,0.866,0.831,0.998,0.75
eight_seed_smoke_G1_seed14006_rep1,G1,14006,1,6,63.983142105978914,True,True,35169bf3bc226398d71054ce18b943468ecdb32fc883c38c51f57617cdd2dd2c,be5a7f6dd478753b2a6278d5088493dbf753bcec38573252b4deaf4701c8fc39,301dbcac4ffaadb45c9996be054b0215c30bcdafcd5896f8acfa4f47d32f464e,fe898660b8d891e78bcbc35bb4030a7658aec6a69c5f84dfdc1ed585f62e64fe,fdaf0dffb85c90744f3e943bb487022cadecfa4c61c8a00245fcf5a80e5d5998,821c309f3b70f1c7ec2c139f7419f1cae4f9f28ff69b0607b478b4dbeda2977e,9f90162725587e4fd5a05005d68fcba3c995ce3981918c9489c8a205f4664c1a,1730,1000,730,270,0.27,0.135,54,7,0,131,270,270,True,5.851851851851852,0.915,0.939,0.999,0.875
eight_seed_smoke_G1_seed14007_rep1,G1,14007,1,7,63.88015627703862,True,True,9071a25b798e27c8cbcb4c5ba886dc2dc3e932ff6da779d423cf68e6ac42ee3f,9b7553cb6795635870fd4f2ed15dc2bea66777572b8c01d0796f038a562df413,e471be3ccf401b262c277d25f287fd81ccad2054b9f0e11a59c37810f1bbff3b,3b908d77f82072948907a1bf4b0209cee8455152afc21a9b9d873f795a9b00a3,2ff77d205f0e44c66cfdbdc4317dc695ef930b20d0fb71a6c3b7d17b6ef3b381,a877c3b869de4f3afdbb90343adeee6e5832ebaf9166f86345bebc8dc2de9909,21d71869a5b2bba459605aa1ff01a88180014c59de62d8eaea03a6b6a2e03345,1730,1000,730,270,0.27,0.135,54,6,0,78,270,270,True,6.888888888888889,0.897,0.946,0.998,0.866
eight_seed_smoke_G2_seed14000_rep1,G2,14000,1,0,65.81315836100839,True,True,cea11bf8abdde40fdb61d5b8a53d6579350f2f1aa73301fb246e833fbf6560a2,00fd9cb7d9a57eff57e9aa81525286d4585e3b355310c90678a446d552829406,110e02b754567a4b1c59e752a3998a27be43c2c39a61dc201752afc7cf58e1f7,74b8fbf4ea050bf94f23c5fb5c18fcbf719017fc5748534ed9817ca1e26e4c57,bb3d31a430cd324ba6b89648ea82a660004398ce810248650c4c11bee6580e0c,30858e0bb4d19afd0624c34a38d5050ee0ebba8ec6af9ee6cb407404f36dc601,e74db2e4594a42eb01683250728afee7f235bad9f31c7f57b521f1dc02cd6f6c,1580,1000,580,420,0.42,0.20999999999999996,50,2,0,37,420,420,True,9.24,0.966,0.98,0.999,0.956
eight_seed_smoke_G2_seed14001_rep1,G2,14001,1,1,57.349044821050484,True,False,b69d8f688ca28651a11d5aa02a0f4f185cbaacd690b9fc4fe9c97c6f56daba1f,258ce0a9e50bb69ade6f393f9f5b530b0f228df8339ff7d0d75670aad9d614b0,2a95ae971137db2dd1efab0b33c5679b121296081ee4b0c0c4e4a2a3fdccbf05,203306fd116613d14a692ab90833ee2b479db8a09ad30c74b41e6b1016139bcd,9f005f0990d9c42d915e53aab7bee53f49dd4ec99a71d0f5539dec40bc4d2058,135d7eeeaa8041adef1b9ce10518b3dadd51fa6faf0bb82e5904835531177bc9,bb5a27fef766fd763125178fbe1eed4def2ad8d777185a30e894cfd56c611582,1580,1000,580,420,0.42,0.20999999999999996,50,4,0,68,420,420,True,9.66,0.942,0.977,0.999,0.931
eight_seed_smoke_G2_seed14002_rep1,G2,14002,1,2,61.4347902360023,True,True,014357f4d5dfc5bf2e4f09d0bdb882dcd08a1fbe410637d1e32383adec209208,258ce0a9e50bb69ade6f393f9f5b530b0f228df8339ff7d0d75670aad9d614b0,fb8968fa67ed9b4a5248f5f263ec0915d8d28d1c9e688ab71d1425b8e4f2b060,a4929aee26e81576dd812e5cba0a7f01ae80bbb03e10ba86f3e67f0370031100,fe506af84c7ef875b0b6da503995166e535f927c89b9de35bb11112cf8ce0d00,15a7612f2588efc2ddee0c86c2a989ce1049c26bc6e5c0b86b5b28cf4214c938,ed4f694d65486392c81ea69f104d09bbdd9da56c17ae538ec26b3bd620161e13,1580,1000,580,420,0.42,0.20999999999999996,47,7,0,66,420,420,True,9.76595744680851,0.943,0.956,0.999,0.919
eight_seed_smoke_G2_seed14003_rep1,G2,14003,1,3,55.947939410980325,True,True,62f7acbf025c95ea0b46b2c4c8ce6b2756123fc144cb45619eeb5c8c6e71c523,7981046bc6b3af77d05fc4d8201cf2204670bf96d1007bc31ce6d6db5b0ff9c1,499746405671768129f4970a9ebf6a488b02b4f6fad9395d1e4a7baf7a5a3aa4,de98249f5d0c046d248bce11d141ff6a89dce514ed03200aa1a844474e361a7f,87aac982e7419e326fcc806ae59b9dadb031dd94d6358e1f8e824ccf7f59c8e1,6c70eb22ccd652d878a939b668b26bade49dee3ee163dc97f62ccac9ad8c072c,4b0a14c0db2cf38ed2ebda04b39b1606392833d5951615c23c504f9f4e35bf9c,1580,1000,580,420,0.42,0.20999999999999996,48,11,0,69,420,420,True,9.0,0.941,0.972,0.999,0.919
