config,seed,task_id,energy_ev,energy_per_atom_ev,maximum_force_ev_ang,converged,relax_elapsed_seconds,steps,formula,chemical_system,energy_above_hull_per_atom,rmsd_from_relaxation,novel_unique_stable,stable,comp_validity,structure_comp_validity,structure_validity,novel,novel_unique,unique,is_unique,is_novel,is_explored,energy_above_hull,self_consistent_energy_above_hull
U0,17038,U0_seed_17038,-101.2812271118164,-6.330076694488525,0.13590337336063385,False,14.741666579968296,500,Li2MnGaCu2(SiO4)2,Cu-Ga-Li-Mn-O-Si,0.3586362717800471,0.3509211257026401,False,False,True,True,True,True,True,True,True,True,False,0.3586362717800471,0.3586362717800471
U0,17039,U0_seed_17039,-67.2776107788086,-6.727761077880859,0.04031788930296898,True,1.2207618630491197,42,SrNd(GeO3)2,Ge-Nd-O-Sr,0.3150388744742276,0.011139705018067896,False,False,True,True,True,True,True,True,True,True,False,0.3150388744742276,0.3150388744742276
U0,17040,U0_seed_17040,-41.873252868652344,-8.374650573730468,0.02464085817337036,True,0.9449191400199197,33,La2O3,La-O,0.07828054001164197,0.022554128609460548,False,True,True,True,True,False,False,True,True,False,True,0.07828054001164197,0.0
U0,17041,U0_seed_17041,-91.8271255493164,-6.559080396379743,0.05001853406429291,True,5.9767547129886225,214,Na2CaTi2CdO8,Ca-Cd-Na-O-Ti,0.16148682704267525,0.32979693105401825,False,False,False,False,True,True,True,True,True,True,False,0.16148682704267525,0.16148682704267525
U0,17042,U0_seed_17042,-15.34761905670166,-3.836904764175415,0.04841366410255432,True,0.42357777297729626,14,LiNiH2,H-Li-Ni,0.051655004363640344,0.009183095724453035,False,True,True,True,True,False,False,True,True,False,True,0.051655004363640344,0.016150302223640445
U0,17043,U0_seed_17043,-89.3760986328125,-6.384007045200893,0.04975033551454544,True,4.3355292589985766,157,Cs2NbN2O9,Cs-N-Nb-O,0.2639572083950652,0.09833824825144637,False,False,True,True,True,True,True,True,True,True,False,0.2639572083950652,0.2639572083950652
U0,17044,U0_seed_17044,-30.437164306640625,-7.609291076660156,0.048200421035289764,True,0.5360445579863153,19,LiZrO2,Li-O-Zr,0.20750939934242218,0.005225372418447105,False,False,True,True,True,True,True,True,True,True,True,0.20750939934242218,0.1212216556424206
U0,17045,U0_seed_17045,-153.82568359375,-9.614105224609375,0.042552266269922256,True,2.3110901649924926,81,Zr7N5O4,N-O-Zr,0.3364208752203126,0.0734605991303771,False,False,True,True,True,True,True,True,True,True,True,0.3364208752203126,0.3364208752203126
U0,17046,U0_seed_17046,-22.264305114746094,-5.566076278686523,0.023561464622616768,True,0.22669004404451698,8,LiTm2Ir,Ir-Li-Tm,0.001760275515331422,0.0012898177629609966,False,True,True,True,True,False,False,True,True,False,True,0.001760275515331422,0.0
U0,17047,U0_seed_17047,-74.31907653808594,-6.75627968528054,0.04750800132751465,True,2.445994634006638,84,Mo3WSe5S2,Mo-S-Se-W,0.486693918233704,0.1070593491326262,False,False,True,True,True,True,True,True,True,True,True,0.486693918233704,0.486693918233704
U0,17048,U0_seed_17048,-75.6590576171875,-7.56590576171875,0.03447538986802101,True,1.0441761150141247,36,Ba2SmReO6,Ba-O-Re-Sm,0.12684678966470742,0.004641283051935805,False,False,True,True,True,True,True,True,True,True,True,0.12684678966470742,0.12684678966470742
U0,17049,U0_seed_17049,-87.06329345703125,-6.218806675502232,0.0454656183719635,True,3.2441402570111677,115,Mg2Ti4CrS7,Cr-Mg-S-Ti,0.42406742683971554,0.11962631440534105,False,False,True,True,True,True,True,True,True,True,True,0.42406742683971554,0.42406742683971554
U0,17050,U0_seed_17050,-12.820243835449219,-3.2050609588623047,0.01857161708176136,True,0.4307385770371184,16,TlNiAg2,Ag-Ni-Tl,0.27357849541389934,0.011544695529394824,False,False,True,True,True,True,True,True,True,True,False,0.27357849541389934,0.27357849541389934
U0,17051,U0_seed_17051,-12.213125228881836,-3.053281307220459,0.04504646733403206,True,0.6893203309737146,24,ZnBiPb2,Bi-Pb-Zn,0.09926903520830344,0.04921696385893956,True,True,True,True,True,True,True,True,True,True,True,0.09926903520830344,0.09926903520830344
U0,17052,U0_seed_17052,-44.97586441040039,-4.997318267822266,0.04445695877075195,True,1.6859402830014005,62,Tm2Fe(CuSb2)2,Cu-Fe-Sb-Tm,0.20511514095959615,0.061863010515537005,False,False,True,True,True,True,True,True,True,True,False,0.20511514095959615,0.20511514095959615
U0,17053,U0_seed_17053,-53.4821891784668,-10.69643783569336,0.046084750443696976,True,1.986047571990639,71,Gd3CoBr,Br-Co-Gd,0.1164393240117576,0.9362397849076055,False,False,False,False,True,True,True,True,True,True,True,0.1164393240117576,0.08728595905753522
U0,17054,U0_seed_17054,-59.56847381591797,-5.956847381591797,0.04793820157647133,True,4.21057562000351,150,Dy(GePt)2,Dy-Ge-Pt,0.12015436191828943,0.1604520470917473,False,False,True,True,True,True,True,True,True,True,True,0.12015436191828943,0.0
U0,17055,U0_seed_17055,-80.42845153808594,-5.026778221130371,0.04312851279973984,True,1.8146373099880293,63,BaLa6MnSn7Pb,Ba-La-Mn-Pb-Sn,0.23871960595895025,0.08350589340276737,False,False,True,True,True,True,True,True,True,True,False,0.23871960595895025,0.23871960595895025
U0,17056,U0_seed_17056,-46.94902038574219,-5.868627548217773,0.04833502322435379,True,1.5923941070213914,56,PrCu3O4,Cu-O-Pr,0.21511258496888086,0.07117180976711848,False,False,True,True,True,True,True,True,True,True,True,0.21511258496888086,0.20991944728314405
U0,17057,U0_seed_17057,-49.334869384765625,-6.166858673095703,0.04753880575299263,True,1.4130957400193438,49,P3Rh,P-Rh,0.34552196023996107,0.05036916124083873,False,False,False,False,True,True,True,True,True,True,True,0.34552196023996107,0.0
U0,17058,U0_seed_17058,-31.398521423339844,-7.849630355834961,0.004456945229321718,True,1.0470980899990536,36,HfNiPt2,Hf-Ni-Pt,0.05808486312486316,0.0031444125694143517,False,True,True,True,True,False,False,True,True,False,True,0.05808486312486316,0.028335451294193348
U0,17059,U0_seed_17059,-26.933271408081055,-4.488878568013509,0.02084052935242653,True,0.5717559490003623,21,Ga4FeNi,Fe-Ga-Ni,0.23294052531769882,0.013926717425434249,False,False,True,True,True,True,True,True,True,True,True,0.23294052531769882,0.23294052531769882
U0,17060,U0_seed_17060,-37.92970275878906,-4.741212844848633,0.051416270434856415,True,4.652259238995612,162,BiOF2,Bi-F-O,0.40885780689322093,0.184398034429276,False,False,True,True,True,True,True,True,True,True,True,0.40885780689322093,0.37553608337354927
U0,17061,U0_seed_17061,-34.27527618408203,-8.568819046020508,0.011255765333771706,True,0.9685042470227927,34,Hf3Al,Al-Hf,0.07259022552927696,0.020650460311818705,True,True,True,True,True,True,True,True,True,True,True,0.07259022552927696,0.0
U0,17062,U0_seed_17062,-22.520200729370117,-5.630050182342529,0.03963572531938553,True,0.491058181039989,17,LiFeOF,F-Fe-Li-O,0.27165415829947825,0.02479077696249566,False,False,True,True,True,True,True,True,True,True,True,0.27165415829947825,0.27165415829947825
U0,17063,U0_seed_17063,-26.996410369873047,-5.399282073974609,0.02499430812895298,True,0.6662837279727682,24,Nd2CuTeAs,As-Cu-Nd-Te,0.13431275279613786,0.022753374214561747,False,False,True,True,True,True,True,True,True,True,False,0.13431275279613786,0.13431275279613786
