method,seed,pool_id,candidate_seed,energy_ev,energy_per_atom_ev,maximum_force_ev_ang,pre_relax_max_force_ev_ang,converged,relax_elapsed_seconds,steps,formula,chemical_system,energy_above_hull_per_atom,rmsd_from_relaxation,novel_unique_stable,stable,comp_validity,structure_comp_validity,structure_validity,novel,novel_unique,unique,is_unique,is_novel,is_explored,energy_above_hull,self_consistent_energy_above_hull
C0,34,34,32034,-101.45668029785156,-7.804360022911658,0.04945788532495499,0.3103622819509912,True,1.442896623048,49,TbDyFe11,Dy-Fe-Tb,0.12373241083542297,0.05115251138468244,False,False,True,True,True,True,True,True,True,True,True,0.12373241083542297,0.12373241083542297
C0,35,35,32035,-72.7319564819336,-7.27319564819336,0.045291051268577576,0.27435976830809417,True,1.4468653770163655,50,MnFe2WO6,Fe-Mn-O-W,0.21475730008975447,0.02623155979833118,False,False,True,True,True,False,False,True,True,False,True,0.21475730008975447,0.21475730008975447
C0,36,36,32036,-102.28885650634766,-8.52407137552897,0.04821642488241196,0.46766264794024887,True,0.8589141089469194,30,Eu5P5Pt2,Eu-P-Pt,0.19399810358057046,0.03568080818204098,False,False,False,False,True,True,True,True,True,True,True,0.19399810358057046,0.08350270940056603
C0,37,37,32037,-111.08511352539062,-9.257092793782553,0.04477740079164505,0.10266786761708638,True,0.4318372559500858,16,NdEu5,Eu-Nd,0.13360480564226584,0.013793345892228732,False,False,True,True,True,True,True,True,True,True,True,0.13360480564226584,0.13360480564226584
C0,38,38,32038,-120.62808227539062,-6.70156012641059,0.04977666214108467,0.4879098412293825,True,2.668451186036691,89,MnOF,F-Mn-O,0.19781392485206517,0.04626968701581911,False,False,True,True,True,True,True,True,True,True,True,0.19781392485206517,0.19781392485206517
C0,39,39,32039,-20.435504913330078,-6.811834971110026,0.007526421453803778,0.009725448444606447,True,0.09296848904341459,3,LiEuP,Eu-Li-P,0.08948505005675855,0.0012321740823876518,False,True,True,True,True,False,False,True,True,False,True,0.08948505005675855,0.0
C0,40,40,32040,-32.56642532348633,-8.141606330871582,0.0015385986771434546,0.0015139209481274652,True,0.2084817950380966,9,BaEu3,Ba-Eu,0.06951234019428654,0.0012434836748283552,False,True,True,True,True,False,False,True,True,False,True,0.06951234019428654,0.06951234019428654
C0,41,41,32041,-57.0081787109375,-7.1260223388671875,0.0191628560423851,0.39585352064955937,True,0.7436784600140527,27,Eu2MnAs5,As-Eu-Mn,0.2187081614201576,0.035583618404245815,False,False,True,True,True,True,True,True,True,True,True,0.2187081614201576,0.2187081614201576
C0,42,42,32042,-81.93721008300781,-6.828100840250651,0.03765735402703285,0.16322044515885445,True,1.0080541780916974,34,Zn2Fe7B3,B-Fe-Zn,0.258803190918389,0.022079894268710928,False,False,False,False,True,True,True,True,True,True,True,0.258803190918389,0.258803190918389
C0,43,43,32043,-94.67007446289062,-7.889172871907552,0.04920823499560356,0.5976478234593918,True,2.5026556480443105,84,Mn5Fe3(NiP)2,Fe-Mn-Ni-P,0.2387899010560659,0.0930490032151505,False,False,False,False,True,True,True,True,True,True,False,0.2387899010560659,0.2387899010560659
C0,44,44,32044,-111.33661651611328,-6.95853853225708,0.04328672215342522,0.6663446863993737,True,4.532423427910544,139,MgMn3(FeO3)3,Fe-Mg-Mn-O,0.2803945101891543,0.1287250545996921,False,False,False,False,True,True,True,True,True,True,True,0.2803945101891543,0.2803945101891543
C0,45,45,32045,-78.2559585571289,-6.521329879760742,0.04138152301311493,0.3635505770163333,True,0.9726373789599165,34,CrFe(OF)2,Cr-F-Fe-O,0.21701088298880045,0.02900551160385195,False,False,True,True,True,True,True,True,True,True,False,0.21701088298880045,0.21701088298880045
