seed,C0_formula,C0_num_atoms,C0_maxF_ev_per_a,C0_atomic_force_mean_ev_per_a,C0_rmsd_a,C0_e_hull_ev_per_atom,C0_stable,C0_nus,C0_novel,C0_unique,C0_mag_density_a3,C0_mag_absolute_error_a3,C0_mag_hit,C0_valid,C0_minimum_periodic_distance_a,C0_generation_seconds,C0_end_to_end_generation_seconds,C0_mattergen_score_calls,C0_guidance_calls,C0_guidance_accepted,C0_guidance_fallbacks,C0_guidance_seconds,C0_relaxation_steps,C0_surrogate_property_eval,C0_dft_verified,C0_actual_mattersim_calls,C0_failed_mattersim_calls,C0_peak_allocated_bytes,C0_initial_mattersim_calls,C0_candidate_mattersim_calls,C0_retry_mattersim_calls,C0_failed_candidate_calls,F0_formula,F0_num_atoms,F0_maxF_ev_per_a,F0_atomic_force_mean_ev_per_a,F0_rmsd_a,F0_e_hull_ev_per_atom,F0_stable,F0_nus,F0_novel,F0_unique,F0_mag_density_a3,F0_mag_absolute_error_a3,F0_mag_hit,F0_valid,F0_minimum_periodic_distance_a,F0_generation_seconds,F0_end_to_end_generation_seconds,F0_mattergen_score_calls,F0_guidance_calls,F0_guidance_accepted,F0_guidance_fallbacks,F0_guidance_seconds,F0_relaxation_steps,F0_surrogate_property_eval,F0_dft_verified,F0_actual_mattersim_calls,F0_failed_mattersim_calls,F0_peak_allocated_bytes,F0_initial_mattersim_calls,F0_candidate_mattersim_calls,F0_retry_mattersim_calls,F0_failed_candidate_calls
740130,Co2Fe4,6,0.10538603115670406,0.05871340723113305,0.0025305127302370977,0.05522266166503975,True,False,False,False,0.19943684135883574,0.0005631586411642686,True,True,2.44398940456889,86.38615443499293,86.38615443499293,2000,0,0,0,0.0,21,True,False,0,0,274208256,0,0,0,0,Co2Fe4,6,0.04775592888018199,0.026720872472507914,0.0009670868949416018,0.05519659456705739,True,False,False,False,0.1992693268563027,0.0007306731436973191,True,True,2.4428399990014555,123.41433487599716,123.67314072197769,2000,20,20,0,2.090539216005709,16,True,False,20,0,356651008,20,0,0,0
740131,Gd8,8,0.01494089056252672,0.008828751937757876,0.00016531639748804973,0.07715125458740246,True,True,True,True,0.20657303151110787,0.0065730315111078574,True,True,3.2226075656915514,84.24762160598766,84.24762160598766,2000,0,0,0,0.0,4,True,False,0,0,288914432,0,0,0,0,Gd8,8,0.01221675268287363,0.007411735305539986,0.00013688940366817263,0.07714648621582043,True,True,True,True,0.20657458839031753,0.006574588390317521,True,True,3.2227945642864886,93.06461061100708,93.31743891700171,2000,20,20,0,1.8832324419054203,4,True,False,20,0,338766848,20,0,0,0
740132,Co3Fe3,6,0.08168095079291438,0.03841680846715188,0.0040478790252319735,0.06734140136067701,True,False,False,False,0.19193754780365296,0.008062452196347047,True,True,2.4368972103854607,116.05695356900105,116.05695356900105,2000,0,0,0,0.0,11,True,False,0,0,274420224,0,0,0,0,Co3Fe3,6,0.022990397269579747,0.012394393867444125,0.0016868518881635536,0.06733440774902366,True,False,False,False,0.19180298350567987,0.008197016494320142,True,True,2.4395946211618904,83.57109307695646,83.80133474292234,2000,20,20,0,1.3187376800342463,11,True,False,20,0,357265920,20,0,0,0
740133,Co4Fe3,7,0.14865270669646652,0.08965421860260266,0.007720844036403107,0.0437271804603796,True,False,False,False,0.18766026575483583,0.012339734245164186,False,True,2.432288729160124,121.17665046296315,121.17665046296315,2000,0,0,0,0.0,17,True,False,0,0,281972224,0,0,0,0,Co4Fe3,7,0.09743230950769564,0.05772087483077769,0.005894059822598364,0.04369611792550199,True,False,False,False,0.18731900761766168,0.01268099238233833,False,True,2.426772222768571,83.23084019700764,83.65947021305328,2000,20,20,0,1.0345017809304409,18,True,False,20,0,366257152,20,0,0,0
740134,CoFe7,8,0.14156919488498515,0.05669314683488175,0.00466826325575995,0.003248581636231762,True,False,False,False,0.20598860242392644,0.005988602423926431,True,True,2.4345549338947907,83.78876681899419,83.78876681899419,2000,0,0,0,0.0,27,True,False,0,0,289478144,0,0,0,0,CoFe7,8,0.09420776239755246,0.03984688151304689,0.0018713573670192923,0.0032695624711926996,True,False,False,False,0.20594627946686117,0.00594627946686116,True,True,2.439732845846647,84.19926938199205,84.46234259498306,2000,20,20,0,1.3275846530450508,34,True,False,20,0,375151616,20,0,0,0
740135,H3Fe13,16,0.47389548000327364,0.16510292822161415,0.13657791204040695,0.11567442242187465,False,False,True,True,0.20536603402120474,0.005366034021204724,True,True,1.6453568345485081,89.5078797529568,89.5078797529568,2000,0,0,0,0.0,209,True,False,0,0,344417792,0,0,0,0,H3Fe13,16,0.40586349186451914,0.14937158430299513,0.13392980722026548,0.11568491283935511,False,False,True,True,0.20525357660244067,0.005253576602440663,True,True,1.6523791664321115,87.8301901910454,88.07031153899152,2000,20,20,0,1.3747710679890588,199,True,False,20,0,460962304,20,0,0,0
740136,Gd15,15,0.0137694855241908,0.008883344945594476,0.0,0.016069749765625474,True,False,False,False,0.21283198096762876,0.012831980967628748,False,True,3.581648142223979,85.01980096299667,85.01980096299667,2000,0,0,0,0.0,14,True,False,0,0,338266112,0,0,0,0,Gd15,15,0.01250929645264273,0.008132488778213827,0.0,0.01606262899739619,True,False,False,False,0.21284056780208319,0.012840567802083175,False,True,3.582733671638556,85.2041841520113,85.47143252601381,2000,20,20,0,0.9142407170147635,14,True,False,20,0,379932672,20,0,0,0
740137,Co6Fe8Gd4,18,0.8514157179385855,0.30852948786717127,0.037838311270835145,0.22260341559027808,False,False,True,True,0.19924352141912294,0.0007564785808770735,True,True,2.3050087720278434,85.10049007303314,85.10049007303314,2000,0,0,0,0.0,54,True,False,0,0,365082624,0,0,0,0,Co6Fe8Gd4,18,0.7701785429911711,0.2803386581570601,0.03478972170862548,0.22258815680121558,False,False,True,True,0.19926090738456667,0.0007390926154333399,True,True,2.3079624243327146,85.2144365599961,85.45054967101896,2000,20,20,0,0.944690264062956,59,True,False,20,0,419615744,20,0,0,0
740138,CH2Fe7,10,0.4112990292323003,0.14846479944813368,0.01460778584106267,0.2077855207988284,False,False,True,True,0.1586591269728029,0.041340873027197106,False,True,1.86807478525738,85.44186331302626,85.44186331302626,2000,0,0,0,0.0,35,True,False,0,0,301981184,0,0,0,0,CH2Fe7,10,0.30922807707543426,0.12068786401586806,0.010463936688472035,0.20779467607226554,False,False,True,True,0.1588361303210095,0.04116386967899052,False,True,1.871196252701895,85.39647215401055,85.64156703202752,2000,20,20,0,0.9590001489850692,34,True,False,20,0,396216320,20,0,0,0
740139,Gd8N3,11,0.16547443899962858,0.10716832996907227,0.03525699083435711,0.10004523383522823,False,False,True,True,0.2145744127374079,0.014574412737407894,False,True,2.422985640723414,84.42815893603256,84.42815893603256,2000,0,0,0,0.0,22,True,False,0,0,311102464,0,0,0,0,Gd8N3,11,0.1334127390884746,0.08521979885158937,0.03000452102863349,0.10001887774502904,False,False,True,True,0.2140955741089713,0.014095574108971276,False,True,2.4246916998652708,84.77340916096,85.00802558194846,2000,20,20,0,0.9068637790041976,22,True,False,20,0,374185984,20,0,0,0
740140,HCo2Fe7,10,0.2836748132623582,0.16544783462632423,0.02777018071611886,0.10398188501367134,False,False,True,True,0.19846801266349132,0.0015319873365086945,True,True,1.6183468117374709,85.74065546900965,85.74065546900965,2000,0,0,0,0.0,28,True,False,0,0,300751872,0,0,0,0,HCo2Fe7,10,0.23410491963145094,0.13435504067327025,0.02246936566982241,0.10400401025781214,False,False,True,True,0.19850525601764143,0.0014947439823585762,True,True,1.6186980680413532,86.47657592099858,86.70941723900614,2000,20,20,0,1.3588485699146986,27,True,False,20,0,394297344,20,0,0,0
740141,Co5Fe11,16,0.09420702091561224,0.049900959348070456,0.0031816370506193934,0.04215591606445379,True,False,True,False,0.19890339084451913,0.0010966091554808766,True,True,2.4493028678317113,85.30466731899651,85.30466731899651,2000,0,0,0,0.0,35,True,False,0,0,345687552,0,0,0,0,Co5Fe11,16,0.03847484697160991,0.018378533181733964,0.0009803642194962715,0.0421416109497077,True,False,True,False,0.19905709347640937,0.0009429065235906364,True,True,2.4498601472251496,84.98386389005464,85.23755983507726,2000,20,20,0,1.3293376149376854,11,True,False,20,0,448143360,20,0,0,0
740142,Fe6,6,0.021775736901085575,0.012836966937202125,0.0,-0.00785672477376309,True,False,False,False,0.2123891806638051,0.012389180663805094,False,True,2.469755399961143,84.00160783500178,84.00160783500178,2000,0,0,0,0.0,12,True,False,0,0,275237888,0,0,0,0,Fe6,6,0.007635922136782171,0.004908164872007757,0.0,-0.00786181103678274,True,False,False,False,0.21238865794661352,0.012388657946613507,False,True,2.4718107793819453,84.1667575520114,84.40154712297954,2000,20,20,0,1.3063044929876924,12,True,False,20,0,357912064,20,0,0,0
740143,Co5Fe7,12,0.158268727613938,0.07242667208965121,0.007918757747115717,0.045775083997395605,True,False,True,False,0.19383717604354372,0.006162823956456287,True,True,2.4358820182538246,83.67557029402815,83.67557029402815,2000,0,0,0,0.0,21,True,False,0,0,316901376,0,0,0,0,Co5Fe7,12,0.1033747221478046,0.04404379213674866,0.004895898915160151,0.04576618303710944,True,False,True,False,0.19369221323530494,0.006307786764695067,True,True,2.4378290628551125,84.20497730496572,84.47022740793182,2000,20,20,0,1.3411487559205852,21,True,False,20,0,412393984,20,0,0,0
740144,CoFe15,16,0.02749467381928544,0.015200360846652852,0.0016761596164343447,-0.0012925079394534578,True,False,False,True,0.20837669842977918,0.008376698429779172,True,True,2.4523027123822705,86.42366177396616,86.42366177396616,2000,0,0,0,0.0,11,True,False,0,0,343661568,0,0,0,0,CoFe15,16,0.00694593904831449,0.004092181930481546,0.0005469968604937273,-0.001301091008301114,True,False,False,True,0.20838015496142667,0.008380154961426661,True,True,2.4529973841531363,87.14376359299058,87.39974433998577,2000,20,20,0,1.3798113861121237,11,True,False,20,0,447345664,20,0,0,0
740145,Fe12,12,0.03622234672472505,0.024355042412736935,0.0,-0.007849731162108853,True,False,False,False,0.21205698194976658,0.012056981949766565,False,True,2.4669153558337125,84.19667921302607,84.19667921302607,2000,0,0,0,0.0,20,True,False,0,0,316668416,0,0,0,0,Fe12,12,0.007828198001104724,0.0045468942234216415,0.0,-0.00786308260253854,True,False,False,False,0.21205741366366893,0.012057413663668914,False,True,2.46888436866469,84.18708028300898,84.42237159603974,2000,20,20,0,0.8940206060069613,20,True,False,20,0,410801152,20,0,0,0
740146,Co2Fe10,12,0.16669163480968352,0.05261282891945296,0.006416861010905727,0.01893298588248804,True,False,False,False,0.2047956935131483,0.004795693513148291,True,True,2.455114986505942,83.59434412501287,83.59434412501287,2000,0,0,0,0.0,11,True,False,0,0,317957120,0,0,0,0,Co2Fe10,12,0.10906525897570409,0.03521674837500169,0.00507167575905033,0.018923449139323978,True,False,False,False,0.20475993274077864,0.004759932740778627,True,True,2.4543079664314393,83.71194641198963,83.97370557900285,2000,20,20,0,0.92219305888284,14,True,False,20,0,410801152,20,0,0,0
740147,Co4Fe6,10,0.10148967202649194,0.04688877842763822,0.003260791652894588,0.04702753308203178,True,False,False,False,0.19462845591368438,0.005371544086315627,True,True,2.445439657986265,84.11470998299774,84.11470998299774,2000,0,0,0,0.0,9,True,False,0,0,302268928,0,0,0,0,Co4Fe6,10,0.03639559299059709,0.021821755804514273,0.0011849856900848139,0.04702753308203178,True,False,False,False,0.19455941776841051,0.005440582231589497,True,True,2.4456306312694087,84.55550246400526,84.82705096103018,2000,20,20,0,0.9058480339008383,7,True,False,20,0,392835072,20,0,0,0
740148,Fe17N3,20,0.4470096998026855,0.18354706631071363,0.0861976632058657,0.05741990098047012,True,True,True,True,0.17130718197079692,0.028692818029203093,False,True,1.8305951604703894,94.99303279398009,94.99303279398009,2000,0,0,0,0.0,135,True,False,0,0,374773760,0,0,0,0,Fe17N3,20,0.3759753933425967,0.15246001820440866,0.07836907653462606,0.05744812974023539,True,True,True,True,0.17141302855688792,0.02858697144311209,False,True,1.83534995336899,95.63107150199357,95.86141430301359,2000,20,20,0,1.4324864941299893,131,True,False,20,0,460926464,20,0,0,0
