trial,baseline_energy_above_hull_per_atom,baseline_rmsd_from_relaxation,baseline_stable,baseline_novel_unique_stable,baseline_comp_validity,baseline_structure_validity,baseline_novel,baseline_unique,baseline_converged,selected_energy_above_hull_per_atom,selected_rmsd_from_relaxation,selected_stable,selected_novel_unique_stable,selected_comp_validity,selected_structure_validity,selected_novel,selected_unique,selected_converged,ehull_change,rmsd_relative_change,stable_change,nus_change,composition_change,structure_change,novel_change,unique_change
31,0.12523612397291037,0.024233999017868612,0.5,0.5,0.875,1.0,0.75,0.875,1.0,0.07813426895855265,0.014964035313313626,0.75,0.5,0.625,1.0,0.625,1.0,1.0,-0.04710185501435772,-0.3825189436427683,0.25,0.0,-0.25,0.0,-0.125,0.125
32,0.1625983065474626,0.029735824210576387,0.5,0.125,0.875,1.0,0.625,0.875,1.0,0.08156665863697218,0.04679531578194656,0.875,0.5,0.875,1.0,0.625,1.0,1.0,-0.08103164791049042,0.5737016553017718,0.375,0.375,0.0,0.0,0.0,0.125
33,0.14577516549690983,0.04286865898016653,0.375,0.25,0.875,1.0,0.5,0.75,1.0,0.071535581721859,0.0067079466827449,0.875,0.5,0.875,1.0,0.5,0.875,1.0,-0.07423958377505083,-0.8435232908533861,0.5,0.25,0.0,0.0,0.0,0.125
34,0.11321800253965314,0.09935812736708632,0.375,0.25,0.625,1.0,0.75,1.0,1.0,0.12021068540123864,0.05291920438300636,0.625,0.5,1.0,1.0,0.75,1.0,1.0,0.0069926828615854975,-0.4673892736777109,0.25,0.25,0.375,0.0,0.0,0.0
35,0.16846513134784208,0.07443614559129963,0.25,0.25,0.875,1.0,0.625,0.75,1.0,0.1030094737562621,0.018087007529143027,0.75,0.375,0.75,1.0,0.5,1.0,1.0,-0.06545565759157998,-0.7570131098881469,0.5,0.125,-0.125,0.0,-0.125,0.25
36,0.16512536465404853,0.041369377917752456,0.375,0.125,0.875,1.0,0.5,1.0,1.0,0.10626142892233612,0.0512991066169409,0.625,0.375,0.875,1.0,0.5,0.875,1.0,-0.05886393573171242,0.24002605789552822,0.25,0.25,0.0,0.0,0.0,-0.125
37,0.1319169572120343,0.10315272278398402,0.375,0.25,0.625,1.0,0.75,0.875,1.0,0.09902715018099348,0.04791809246392735,0.75,0.5,1.0,1.0,0.625,1.0,1.0,-0.03288980703104083,-0.5354645890998493,0.375,0.25,0.375,0.0,-0.125,0.125
38,0.14664880525416743,0.05279484436217595,0.375,0.125,0.75,1.0,0.625,0.875,1.0,0.10224165460959785,0.01196641323202835,0.75,0.5,0.875,1.0,0.625,1.0,1.0,-0.044407150644569585,-0.7733412537417858,0.375,0.375,0.125,0.0,0.0,0.125
39,0.1538323429847903,0.026219527337018038,0.5,0.25,1.0,1.0,0.5,0.75,1.0,0.13293705292102093,0.0539248016057165,0.625,0.5,0.875,1.0,0.875,0.875,1.0,-0.02089529006376936,1.0566656642045094,0.125,0.25,-0.125,0.0,0.375,0.125
40,0.12859204903590765,0.06903610410130184,0.5,0.125,0.75,1.0,0.625,0.875,1.0,0.0893838784085947,0.0402033578898361,0.75,0.25,0.75,1.0,0.375,0.875,1.0,-0.03920817062731295,-0.4176473540447372,0.25,0.125,0.0,0.0,-0.25,0.0
