method,seed,pool_id,candidate_seed,energy_ev,energy_per_atom_ev,maximum_force_ev_ang,pre_relax_max_force_ev_ang,converged,relax_elapsed_seconds,steps,formula,chemical_system,pre_relax_minimum_distance_angstrom,pre_relax_short_bond,pre_relax_abnormal_cell,energy_above_hull_per_atom,rmsd_from_relaxation,novel_unique_stable,stable,comp_validity,structure_comp_validity,structure_validity,novel,novel_unique,unique,is_unique,is_novel,is_explored,energy_above_hull,self_consistent_energy_above_hull,formal_seed
A0_E3G,53,53,20053,-27.67681312561035,-6.919203281402588,0.003352927044034,0.005544875071505,True,0.4188583130016923,15,Eu2CdSn,Cd-Eu-Sn,3.437256702197862,False,False,0.0454871739559328,0.0015175134010206,False,True,True,True,True,False,False,True,True,False,True,0.0454871739559328,0.0043579206821826,20053
A0_E3G,54,54,20054,-44.81954193115234,-7.469923655192058,0.0522326119244098,0.049800102543603,True,0.6348776560043916,26,EuNi2,Eu-Ni,2.6800597126016648,False,False,0.0212077882805203,0.0016642496107989,False,True,True,True,True,False,False,True,True,False,True,0.0212077882805203,0.0,20054
A0_E3G,55,55,20055,-103.58939361572266,-8.632449467976889,0.0478012040257453,0.218920371143953,True,0.5896985589060932,23,CrFe5,Cr-Fe,2.432413609418228,False,False,0.0384950061749425,0.0160565802775271,False,True,True,True,True,False,False,True,True,False,True,0.0384950061749425,0.0384950061749425,20055
A0_E3G,56,56,20056,-41.406982421875,-10.35174560546875,0.0272379554808139,0.2248769101865198,True,0.4144958370598033,16,GdScO2,Gd-O-Sc,2.191053226349217,False,False,0.2286543108483343,0.0060585700621183,False,False,True,True,True,False,False,True,True,False,True,0.2286543108483343,0.2286543108483343,20056
A0_E3G,57,57,20057,-62.62005615234375,-7.827507019042969,0.0427675656974315,0.1818330243772092,True,0.7228276359383017,27,FeCo,Co-Fe,2.4439782789963704,False,False,0.0327813666203908,0.0055756135517152,False,True,True,True,True,False,False,True,True,False,True,0.0327813666203908,0.0,20057
A0_E3G,58,58,20058,-29.077938079833984,-9.692646026611328,0.0075503839179873,0.0066222491240854,True,0.0468232129933312,2,GdHO,Gd-H-O,2.330431656503253,False,False,0.0412102425413163,0.0009254993331898,False,True,True,True,True,False,False,True,True,False,True,0.0412102425413163,0.0018282132390954,20058
A0_E3G,59,59,20059,-99.78217315673828,-9.978217315673827,0.047253705561161,0.1899180689520704,True,0.9005682970164344,35,Eu3ZrO6,Eu-O-Zr,2.102894655958324,False,False,-0.0072213023649361,0.029457949271384,True,True,True,True,True,True,True,True,True,True,True,-0.0072213023649361,0.0,20059
A0_E3G,60,60,20060,-61.4350814819336,-7.679385185241699,0.0519305393099784,0.1746251541975873,True,2.521268715034239,96,LiEu3F4,Eu-F-Li,1.9138984267910204,False,False,0.2851691450796974,0.711433801561854,False,False,False,False,True,True,True,True,True,True,True,0.2851691450796974,0.2851691450796974,20060
A0_E3G,61,61,20061,-66.54087829589844,-6.654087829589844,0.0450000427663326,0.6615970667923068,True,1.808627492049709,69,MnVFeO7,Fe-Mn-O-V,1.6205657419651645,False,False,0.4368803970159529,0.0587362309118919,False,False,True,True,True,True,True,True,True,True,True,0.4368803970159529,0.4368803970159529,20061
A0_E3G,62,62,20062,-69.31641387939453,-6.931641387939453,0.0383917093276977,0.0711373468334631,True,0.3037122780224308,11,MnSnO3,Mn-O-Sn,2.0725761276102705,False,False,0.0911233204230868,0.0009338505022285,False,True,True,True,True,False,False,True,True,False,True,0.0911233204230868,0.0604055405990884,20062
A0_E3G,63,63,20063,-36.246952056884766,-4.530869007110596,0.0430058240890502,0.0467352439947841,True,0.4477592749753967,17,EuMg2Cu,Cu-Eu-Mg,2.75520602907625,False,False,-0.0136408029360399,0.0057936527124564,False,True,True,True,True,False,False,True,True,False,True,-0.0136408029360399,0.0,20063
A0_E3G,64,64,20064,-50.0837516784668,-6.26046895980835,0.0494662895798683,0.0561239422997639,True,0.163629708928056,6,Eu4Zn3Ga,Eu-Ga-Zn,2.6476922549231143,False,False,0.0831149083523481,0.0032182279000466,True,True,True,True,True,True,True,True,True,True,True,0.0831149083523481,0.0780100479985979,20064
