comparison,seed,elapsed_A0,elapsed_G1,speed_multiplier_left_over_right,physical_forward_A0,physical_forward_G1,energy_above_hull_A0,energy_above_hull_G1,stable_A0,stable_G1,NUS_A0,NUS_G1,elapsed_G2,physical_forward_G2,energy_above_hull_G2,stable_G2,NUS_G2
A0_vs_G2,14002,205.27855840098346,,1.2214731377909815,2000.0,,0.1333308825436239,,False,,False,,168.05818486702628,1580.0,0.04480129186599591,True,False
A0_vs_G2,14003,206.92527245898964,,1.2366958123961258,2000.0,,0.061821222113211505,,True,,True,,167.32107474195072,1580.0,0.1476115992187843,False,False
A0_vs_G2,14004,187.61676223797258,,1.2988271554907629,2000.0,,0.0735080317746668,,True,,True,,144.4509082250297,1580.0,0.20822143783012592,False,False
A0_vs_G2,14005,202.90546951402212,,1.227504850664708,2000.0,,0.07964672395341843,,True,,False,,165.2991182919941,1596.0,0.09883011221563365,True,False
A0_vs_G2,14006,191.99294499401003,,1.2120431252256267,2000.0,,0.12209305905846435,,False,,False,,158.40438429801725,1630.0,0.35224802788393994,False,False
A0_vs_G2,14007,203.51172443496762,,1.211588314378185,2000.0,,0.02430272923198551,,True,,True,,167.97101954504615,1580.0,0.25970458162626997,False,False
A0_vs_G2,14008,258.11362124199513,,1.242807175200008,2000.0,,0.15813610882939777,,False,,False,,207.6859760649968,1580.0,0.2572716565131117,False,False
A0_vs_G2,14009,187.82388372102287,,1.2756116438742144,2000.0,,0.5427430027731592,,False,,False,,147.24221484101145,1580.0,0.43982505220532175,False,False
A0_vs_G2,14010,205.49323941703187,,1.2382662344986075,2000.0,,0.16767154801006967,,False,,False,,165.95238866400905,1580.0,0.14582410921445543,False,False
A0_vs_G2,14011,205.9490268480149,,1.2233425869275636,2000.0,,0.0284976667483825,,True,,False,,168.34942970902193,1580.0,0.10462991281332723,False,False
A0_vs_G2,14012,189.50910791096976,,1.2765571067728856,2000.0,,0.15466841986093183,,False,,False,,148.45329433795996,1605.0,0.1873385387584312,False,False
A0_vs_G2,14013,196.0199486229685,,1.2053169061160893,2000.0,,0.33837910183188846,,False,,False,,162.62938620400382,1580.0,0.18780557735679082,False,False
A0_vs_G2,14014,190.87221524800407,,1.2271420682060235,2000.0,,-0.24959795321595735,,True,,True,,155.54206818697276,1597.0,0.41815689823383906,False,False
A0_vs_G2,14015,206.2865232040058,,1.227918978166183,2000.0,,0.10989497386175362,,False,,False,,167.99685229401803,1580.0,0.13670692469465262,False,False
A0_vs_G2,14016,255.49500952399103,,1.227287853389738,2000.0,,0.1295303895613369,,False,,False,,208.17855307401624,1580.0,0.06455749366924657,True,True
