study,method,n,historical_verdict,comparator,source,retrospective_category,e_hull,delta_e_hull,e_hull_source_column,nus,delta_nus,nus_source_column,stable,delta_stable,stable_source_column,novel,delta_novel,novel_source_column,unique,delta_unique,unique_source_column,rmsd,delta_rmsd,rmsd_source_column,atomic_force,delta_atomic_force,atomic_force_source_column,max_force,delta_max_force,max_force_source_column,steps,delta_steps,steps_source_column,tail_status,speed_cost_note,relaxation_steps_gt400_count,structure_max_force_gt1_count,structure_max_force_gt2_count,attempts,speedup,post_relax_max_force,delta_post_relax_max_force
corrector_residual_distillation_v1,A0,32,CONTINUE development / no Formal,C0,experiments/corrector_residual_distillation_v1/quality_metrics.csv,D/E: arm-specific; see final report,0.0983861787015325,0.009770512020636099,avg_energy_above_hull_per_atom,0.21875,-18.75,frac_novel_unique_stable_structures,0.59375,0.0,frac_stable_structures,0.5625,-18.75,frac_novel_structures,0.96875,-3.125,frac_unique_structures,0.113913249042594,0.0912049486505293,avg_rmsd_from_relaxation,,,,0.2278057099101715,-0.017978008596401224,pre_relaxation_max_force_mean,58.34375,22.1875,relaxation_steps_mean,MaxF P95 0.7019 -> 0.7647; MaxF maximum 1.491 -> 1.32,No controlled end-to-end speed claim,,,,32.0,,,
corrector_residual_distillation_v1,A0+Adapter+Fallback@75,32,CONTINUE development / no Formal,C0,experiments/corrector_residual_distillation_v1/quality_metrics.csv,D/E: arm-specific; see final report,0.1217938926807389,0.03317822599984249,avg_energy_above_hull_per_atom,0.21875,-18.75,frac_novel_unique_stable_structures,0.5625,-3.125,frac_stable_structures,0.59375,-15.625,frac_novel_structures,1.0,0.0,frac_unique_structures,0.0722484429300053,0.049540142537940604,avg_rmsd_from_relaxation,,,,0.5460763243463589,0.3002926058397862,pre_relaxation_max_force_mean,50.0625,13.90625,relaxation_steps_mean,MaxF P95 0.7019 -> 1.177; MaxF maximum 1.491 -> 9.24,No controlled end-to-end speed claim,,,,32.0,,,
corrector_residual_distillation_v1,Adapter,32,CONTINUE development / no Formal,C0,experiments/corrector_residual_distillation_v1/quality_metrics.csv,D/E: arm-specific; see final report,0.185206595179835,0.0965909284989386,avg_energy_above_hull_per_atom,0.25,-15.625,frac_novel_unique_stable_structures,0.4375,-15.625,frac_stable_structures,0.75,0.0,frac_novel_structures,1.0,0.0,frac_unique_structures,0.0853911864193071,0.0626828860272424,avg_rmsd_from_relaxation,,,,0.6496163853444159,0.4038326668378432,pre_relaxation_max_force_mean,71.125,34.96875,relaxation_steps_mean,MaxF P95 0.7019 -> 2.104; MaxF maximum 1.491 -> 2.215,No controlled end-to-end speed claim,,,,32.0,,,
corrector_residual_distillation_v1,Adapter+Fallback@25,32,CONTINUE development / no Formal,C0,experiments/corrector_residual_distillation_v1/quality_metrics.csv,D/E: arm-specific; see final report,0.0902489197757374,0.0016332530948409973,avg_energy_above_hull_per_atom,0.375,-3.125,frac_novel_unique_stable_structures,0.65625,6.25,frac_stable_structures,0.71875,-3.125,frac_novel_structures,1.0,0.0,frac_unique_structures,0.0369758294842736,0.014267529092208901,avg_rmsd_from_relaxation,,,,0.240391545696184,-0.005392172810388701,pre_relaxation_max_force_mean,47.09375,10.9375,relaxation_steps_mean,MaxF P95 0.7019 -> 0.7863; MaxF maximum 1.491 -> 0.9996,No controlled end-to-end speed claim,,,,32.0,,,
corrector_residual_distillation_v1,Adapter+Fallback@50,32,CONTINUE development / no Formal,C0,experiments/corrector_residual_distillation_v1/quality_metrics.csv,D/E: arm-specific; see final report,0.0814515546545799,-0.007164112026316505,avg_energy_above_hull_per_atom,0.53125,12.5,frac_novel_unique_stable_structures,0.75,15.625,frac_stable_structures,0.78125,3.125,frac_novel_structures,1.0,0.0,frac_unique_structures,0.0493246258875396,0.0266163254954749,avg_rmsd_from_relaxation,,,,0.2945701488788472,0.04878643037227448,pre_relaxation_max_force_mean,44.0625,7.90625,relaxation_steps_mean,MaxF P95 0.7019 -> 1.143; MaxF maximum 1.491 -> 1.918,No controlled end-to-end speed claim,,,,32.0,,,
corrector_residual_distillation_v1,Adapter+Fallback@75,32,CONTINUE development / no Formal,C0,experiments/corrector_residual_distillation_v1/quality_metrics.csv,D/E: arm-specific; see final report,0.2319535873887625,0.1433379207078661,avg_energy_above_hull_per_atom,0.28125,-12.5,frac_novel_unique_stable_structures,0.53125,-6.25,frac_stable_structures,0.71875,-3.125,frac_novel_structures,1.0,0.0,frac_unique_structures,0.0577942640322145,0.0350859636401498,avg_rmsd_from_relaxation,,,,0.3203788835962768,0.0745951650897041,pre_relaxation_max_force_mean,55.09375,18.9375,relaxation_steps_mean,MaxF P95 0.7019 -> 1.03; MaxF maximum 1.491 -> 1.685,No controlled end-to-end speed claim,,,,32.0,,,
corrector_residual_distillation_v1,Adapter+Fallback@90,32,CONTINUE development / no Formal,C0,experiments/corrector_residual_distillation_v1/quality_metrics.csv,D/E: arm-specific; see final report,0.1756729425144635,0.0870572758335671,avg_energy_above_hull_per_atom,0.25,-15.625,frac_novel_unique_stable_structures,0.4375,-15.625,frac_stable_structures,0.75,0.0,frac_novel_structures,1.0,0.0,frac_unique_structures,0.0339897283725071,0.011281427980442398,avg_rmsd_from_relaxation,,,,0.3317600723239593,0.08597635381738661,pre_relaxation_max_force_mean,34.71875,-1.4375,relaxation_steps_mean,MaxF P95 0.7019 -> 0.9938; MaxF maximum 1.491 -> 1.191,No controlled end-to-end speed claim,,,,32.0,,,
corrector_residual_distillation_v1,Reuse,32,CONTINUE development / no Formal,C0,experiments/corrector_residual_distillation_v1/quality_metrics.csv,D/E: arm-specific; see final report,0.1499841355724454,0.06136846889154898,avg_energy_above_hull_per_atom,0.3125,-9.375,frac_novel_unique_stable_structures,0.59375,0.0,frac_stable_structures,0.65625,-9.375,frac_novel_structures,1.0,0.0,frac_unique_structures,0.0805708369050629,0.057862536512998206,avg_rmsd_from_relaxation,,,,0.5790937625570223,0.33331004405044956,pre_relaxation_max_force_mean,56.84375,20.6875,relaxation_steps_mean,MaxF P95 0.7019 -> 1.354; MaxF maximum 1.491 -> 4.291,No controlled end-to-end speed claim,,,,32.0,,,
corrector_residual_distillation_v1,Skip,24,CONTINUE development / no Formal,C0,experiments/corrector_residual_distillation_v1/quality_metrics.csv,D/E: arm-specific; see final report,0.0995232942675889,0.01090762758669249,avg_energy_above_hull_per_atom,0.25,-15.625,frac_novel_unique_stable_structures,0.6666666666666666,7.2916666666666625,frac_stable_structures,0.5416666666666666,-20.833333333333336,frac_novel_structures,1.0,0.0,frac_unique_structures,2.59484210464434,2.5721338042522754,avg_rmsd_from_relaxation,,,,3.3207737466242784,3.0749900281177056,pre_relaxation_max_force_mean,172.66666666666666,136.51041666666666,relaxation_steps_mean,MaxF P95 0.7019 -> 4.171; MaxF maximum 1.491 -> 68.83,No controlled end-to-end speed claim,,,,24.0,,,
corrector_residual_distillation_v2,V1_Fallback50,64,GO to Formal,C0,experiments/corrector_residual_distillation_v2/quality_metrics.csv,"D: speed gain, adverse primary point estimates",0.1092223543396243,-0.0032864172788927004,avg_energy_above_hull_per_atom,0.28125,-3.125,frac_novel_unique_stable_structures,0.515625,-4.6875,frac_stable_structures,0.71875,-1.5625,frac_novel_structures,1.0,1.5625,frac_unique_structures,0.0647411527223099,-0.003285727683643991,avg_rmsd_from_relaxation,,,,0.2697597948608745,-0.040743184585153414,pre_relaxation_max_force_mean,49.140625,-1.609375,relaxation_steps_mean,MaxF P95 1.004 -> 0.8329; MaxF maximum 2.195 -> 1.261,"Historical Stage-C sampling benchmark, not end-to-end discovery cost",,,,64.0,1.2536501597325236,,
corrector_residual_distillation_v2,V2_Frozen_Atomic75_Late30,64,GO to Formal,C0,experiments/corrector_residual_distillation_v2/quality_metrics.csv,"D: speed gain, adverse primary point estimates",0.132510673507555,0.020001901889038,avg_energy_above_hull_per_atom,0.265625,-4.6875,frac_novel_unique_stable_structures,0.5,-6.25,frac_stable_structures,0.75,1.5625,frac_novel_structures,0.984375,0.0,frac_unique_structures,0.080927765674265,0.01290088526831111,avg_rmsd_from_relaxation,,,,0.3451827703029266,0.03467979085689871,pre_relaxation_max_force_mean,57.25,6.5,relaxation_steps_mean,MaxF P95 1.004 -> 1.222; MaxF maximum 2.195 -> 2.616,"Historical Stage-C sampling benchmark, not end-to-end discovery cost",,,,64.0,1.3395999109742354,,
corrector_residual_distillation_v3_anchor,V2_Frozen_Atomic75_Late30,64,CONTROL; study verdict: FAIL,C0,experiments/corrector_residual_distillation_v3_anchor/stage_c_results.csv,"D: speed replicates, RMSD benefit does not",0.0970838296357671,-0.0095018814551215,e_hull,0.3125,-3.125,nus,0.609375,-3.125,stable,0.6875,1.5625,novel,1.0,0.0,unique,0.0867365329141459,0.044100201783943006,rmsd,0.1298377573181329,-0.004495621036334302,force_mean,0.261336121558074,-0.011675755165058976,force_max,,,,Not recovered from summary; not assumed safe,No controlled end-to-end speed claim,,,,,1.3451470980831672,,
corrector_residual_distillation_v3_anchor,V3_AnchorK16,64,FAIL,C0,experiments/corrector_residual_distillation_v3_anchor/stage_c_results.csv,D/E: failed independent repair,0.1053814437129215,-0.001204267377967097,e_hull,0.265625,-7.8125,nus,0.546875,-9.375,stable,0.703125,3.125,novel,1.0,0.0,unique,0.0761308867325388,0.033494555602335906,rmsd,0.1566937147427123,0.022360336388245083,force_mean,0.3390026035652021,0.06599072684206914,force_max,,,,Not recovered from summary; not assumed safe,No controlled end-to-end speed claim,,,,,1.2992455590530276,,
Adaptive Formal256,Adaptive CFG,256,FORMAL_INNOVATION1_CONFIRMED=True,C0,major_absolute_metrics.csv; original sources in sources.md,U: primary positive directions; uncertain superiority/missing pre-force,0.14023160920514416,-0.0034349449371532392,,0.2578125,3.515625,,0.46875,5.859375,,0.765625,2.734375,,0.98046875,2.34375,,0.0738217266760687,0.009247129225768452,,,,,,,,60.375,5.94921875,,Pre-force unavailable; archived force is post-relax,Online CFG; no acceleration claim here,,,,,,0.03924302862560576,0.002627444347126584
E3-PCR Formal256,E3-A,256,E3-A primary/quality pass (ablation),C0,major_absolute_metrics.csv; original sources in sources.md,C: primary preserved + physical robustness improvement,0.15617885541764848,4.315878590527289e-05,,0.22265625,0.0,,0.4453125,0.0,,0.71875,0.0,,0.984375,0.0,,0.04505749632343868,-0.004332012336038291,,,,,0.24395595983940943,-0.09900830302618674,,40.2421875,0.16015625,,MaxF P95 0.9362->0.6468; P99 3.046->1.37; >1 11->7; >2 5->2,Extra CHGNet refiner/gate cost; no end-to-end speedup claim,,,,,,,
E3-PCR Formal256,E3-G,256,E3_G_FORMAL_CONFIRMED,C0,major_absolute_metrics.csv; original sources in sources.md,C: primary preserved + physical robustness improvement,0.1561766907002915,4.099406854829457e-05,,0.22265625,0.0,,0.4453125,0.0,,0.71875,0.0,,0.984375,0.0,,0.04593743918984518,-0.003452069469631794,,,,,0.26310701792559776,-0.0798572449399984,,40.0,-0.08203125,,MaxF P95 0.9362->0.7414; P99 3.046->1.531; >1 11->9; >2 5->2,Extra CHGNet refiner/gate cost; no end-to-end speedup claim,,,,,,,
Corrector V2 Formal256,V2_Frozen_Atomic75_Late30,256,BORDERLINE,C0,major_absolute_metrics.csv; original sources in sources.md,C-like acceleration; quality NI/tails uncertain,0.10587888220866257,0.003738208046105168,,0.33203125,1.5625,,0.58984375,0.390625,,0.71484375,2.34375,,0.9765625,-1.171875,,0.053015100170754274,-0.027359291357128397,,0.12955892662121157,-0.004640875322129284,,0.29031214301527064,0.006071160878435733,,42.69921875,-10.99609375,,MaxF P95 0.9332->0.983; P99 1.654->2.046; >1 13->12; >2 2->3,"Single H20 batch=1 n=16 sampling-only; CI [1.267466,1.376734]",,,,,1.324642,,
