split,model,stage,timestep_bin,field,count,residual_mse,residual_rmse,residual_cosine,score_after_mse
stage_a_validation,linear_residual,decile,1,cell,7200,0.06738326238610574,0.2595828622735055,0.947756513628921,0.06738326238610574
stage_a_validation,linear_residual,decile,1,pos,25800,3.8518037085570107,1.9626012607142111,-0.008105826352464353,3.8518037085570107
stage_a_validation,linear_residual,decile,2,atomic_numbers,868600,6.054887946471624,2.460668191055353,0.12326790545022599,6.054887946471624
stage_a_validation,linear_residual,decile,2,cell,7200,0.05924760907584439,0.2434083175979087,0.9395178055323089,0.05924760907584439
stage_a_validation,linear_residual,decile,2,pos,25800,3.830311588760494,1.9571181846685943,0.0029956267613016566,3.830311588760494
stage_a_validation,linear_residual,decile,3,atomic_numbers,868600,6.0330666497301015,2.4562301703484755,0.14367833857620618,6.0330666497301015
stage_a_validation,linear_residual,decile,3,cell,7200,0.08516182317036307,0.29182498722755573,0.880189101524245,0.08516182317036307
stage_a_validation,linear_residual,decile,3,pos,25800,4.25804087890211,2.0635020908402564,0.045924533044788995,4.25804087890211
stage_a_validation,linear_residual,decile,4,atomic_numbers,868600,5.87079602158292,2.4229725589826474,0.15269526250068458,5.87079602158292
stage_a_validation,linear_residual,decile,4,cell,7200,0.061689308539627945,0.24837332493572642,0.9113662869913871,0.061689308539627945
stage_a_validation,linear_residual,decile,4,pos,25800,21.235618182559346,4.60821203749994,0.4486897586208568,21.235618182559346
stage_a_validation,linear_residual,decile,5,atomic_numbers,868600,4.186886851148015,2.0461883713744475,0.12795732309541194,4.186886851148015
stage_a_validation,linear_residual,decile,5,cell,7200,0.05938639494564591,0.24369323943360824,0.9076106301160449,0.05938639494564591
stage_a_validation,linear_residual,decile,5,pos,25800,114.61124773897866,10.7056642829382,0.5115189338129217,114.61124773897866
stage_a_validation,linear_residual,decile,6,atomic_numbers,868600,1.7460453773593398,1.3213801032857049,0.08167529905563242,1.7460453773593398
stage_a_validation,linear_residual,decile,6,cell,7200,0.023916171998975593,0.15464854347511842,0.9475667385544345,0.023916171998975593
stage_a_validation,linear_residual,decile,6,pos,25800,394.6013908368488,19.86457628133177,0.4079394637697945,394.6013908368488
stage_a_validation,linear_residual,decile,7,atomic_numbers,868600,0.9019048645615495,0.9496867191666679,0.0659027935535193,0.9019048645615495
stage_a_validation,linear_residual,decile,7,cell,7200,0.05212396599368529,0.2283067366366689,0.927665788285763,0.05212396599368529
stage_a_validation,linear_residual,decile,7,pos,25800,1313.8823720828507,36.24751539185618,0.3831775066965222,1313.8823720828507
stage_a_validation,linear_residual,decile,8,atomic_numbers,868600,0.36217162480640874,0.6018069663990346,0.039439457578393754,0.36217162480640874
stage_a_validation,linear_residual,decile,8,cell,7200,0.32009865952810895,0.5657726217555149,0.8070545128108806,0.32009865952810895
stage_a_validation,linear_residual,decile,8,pos,25800,4351.029350879285,65.96233281865707,0.35732365294184293,4351.029350879285
stage_a_validation,linear_residual,decile,9,atomic_numbers,868600,0.13323224863642624,0.36500992950387834,0.03466237596539705,0.13323224863642624
stage_a_validation,linear_residual,decile,9,cell,7200,75.66383852524889,8.698496337025665,0.23647880103294075,75.66383852524889
stage_a_validation,linear_residual,decile,9,pos,25800,15345.190707591448,123.87570668856524,0.3662295383926611,15345.190707591448
stage_a_validation,linear_residual,early,-1,atomic_numbers,2892438,5.81557776302138,2.4115509040908467,0.11623893591210524,5.81557776302138
stage_a_validation,linear_residual,early,-1,cell,23976,0.06501453229139784,0.2549794742550816,0.9373438867983227,0.06501453229139784
stage_a_validation,linear_residual,early,-1,pos,85914,3.842732170733348,1.9602887977880576,0.0005673512776700566,3.842732170733348
stage_a_validation,linear_residual,late,-1,atomic_numbers,2901124,0.5350311986801258,0.7314582685841523,0.05203898461551764,0.5350311986801258
stage_a_validation,linear_residual,late,-1,cell,24048,22.767598981520486,4.771540524979379,0.24118860013646262,22.767598981520486
stage_a_validation,linear_residual,late,-1,pos,86172,6348.399931339203,79.6768468963174,0.3656286927831058,6348.399931339203
stage_a_validation,linear_residual,middle,-1,atomic_numbers,2892438,4.596521811035137,2.143950048633395,0.13211594901243515,4.596521811035137
stage_a_validation,linear_residual,middle,-1,cell,23976,0.05932600583796771,0.2435693039731561,0.9054242842277671,0.05932600583796771
stage_a_validation,linear_residual,middle,-1,pos,85914,102.06403730983305,10.102674760172825,0.438467920063775,102.06403730983305
stage_a_validation,linear_residual,overall,-1,atomic_numbers,8686000,3.645929578519982,1.9094317423044957,0.11075394979546901,3.645929578519982
stage_a_validation,linear_residual,overall,-1,cell,72000,7.645783459024921,2.7651009853213173,0.2207603229888232,7.645783459024921
stage_a_validation,linear_residual,overall,-1,pos,258000,2155.6325313043226,46.428789897049036,0.365994618535371,2155.6325313043226
stage_a_validation,zero_residual_reuse,decile,0,atomic_numbers,868600,5.3821452080025916,2.319945087281721,0.0,5.3821452080025916
stage_a_validation,zero_residual_reuse,decile,0,cell,7200,0.15639366287026657,0.3954663865238948,0.0,0.15639366287026657
stage_a_validation,zero_residual_reuse,decile,0,pos,25800,9.45269459541384e-06,0.0030745234745263926,0.0,9.45269459541384e-06
stage_a_validation,zero_residual_reuse,decile,1,atomic_numbers,868600,5.91636221271052,2.432357336558615,0.0,5.91636221271052
stage_a_validation,zero_residual_reuse,decile,1,cell,7200,0.16424751267186366,0.40527461390008584,0.0,0.16424751267186366
stage_a_validation,zero_residual_reuse,decile,1,pos,25800,1.8488338496671383e-05,0.004299806797598164,0.0,1.8488338496671383e-05
stage_a_validation,zero_residual_reuse,decile,2,atomic_numbers,868600,6.146127939226439,2.479138547807774,0.0,6.146127939226439
stage_a_validation,zero_residual_reuse,decile,2,cell,7200,0.17257496008159554,0.41542142467811594,0.0,0.17257496008159554
stage_a_validation,zero_residual_reuse,decile,2,pos,25800,0.0007513562504271446,0.02741087832279631,0.0,0.0007513562504271446
stage_a_validation,zero_residual_reuse,decile,3,atomic_numbers,868600,6.146253741758637,2.479163919904982,0.0,6.146253741758637
stage_a_validation,zero_residual_reuse,decile,3,cell,7200,0.16550959655769273,0.40682870665390947,0.0,0.16550959655769273
stage_a_validation,zero_residual_reuse,decile,3,pos,25800,0.5014293082262743,0.7081167334742728,0.0,0.5014293082262743
stage_a_validation,zero_residual_reuse,decile,4,atomic_numbers,868600,5.98389829051953,2.4462007870409024,0.0,5.98389829051953
stage_a_validation,zero_residual_reuse,decile,4,cell,7200,0.1390957350226947,0.37295540621191525,0.0,0.1390957350226947
stage_a_validation,zero_residual_reuse,decile,4,pos,25800,26.4809997259554,5.145969269822294,0.0,26.4809997259554
stage_a_validation,zero_residual_reuse,decile,5,atomic_numbers,868600,4.252179429040865,2.0620813342448123,0.0,4.252179429040865
stage_a_validation,zero_residual_reuse,decile,5,cell,7200,0.18386783319551292,0.4287981263899283,0.0,0.18386783319551292
stage_a_validation,zero_residual_reuse,decile,5,pos,25800,145.95056500723194,12.081000165848518,0.0,145.95056500723194
stage_a_validation,zero_residual_reuse,decile,6,atomic_numbers,868600,1.7488738173964165,1.3224499300149009,0.0,1.7488738173964165
stage_a_validation,zero_residual_reuse,decile,6,cell,7200,0.20100940856798036,0.44834072820565873,0.0,0.20100940856798036
stage_a_validation,zero_residual_reuse,decile,6,pos,25800,469.9633628670744,21.678638399749058,0.0,469.9633628670744
stage_a_validation,zero_residual_reuse,decile,7,atomic_numbers,868600,0.888375789384372,0.9425368901981355,0.0,0.888375789384372
stage_a_validation,zero_residual_reuse,decile,7,cell,7200,0.3084024158779842,0.5553399102153421,0.0,0.3084024158779842
stage_a_validation,zero_residual_reuse,decile,7,pos,25800,1536.3248409135213,39.195979907555845,0.0,1536.3248409135213
stage_a_validation,zero_residual_reuse,decile,8,atomic_numbers,868600,0.33701906284915667,0.5805334295707325,0.0,0.33701906284915667
stage_a_validation,zero_residual_reuse,decile,8,cell,7200,0.5997231454524121,0.7744179397795561,0.0,0.5997231454524121
stage_a_validation,zero_residual_reuse,decile,8,pos,25800,4987.851683964693,70.62472431071637,0.0,4987.851683964693
stage_a_validation,zero_residual_reuse,decile,9,atomic_numbers,868600,0.10854931764893068,0.32946823465841235,0.0,0.10854931764893068
