comparison,kind,field_or_block,stage,n,mean_abs_diff_mean,mean_abs_diff_median,mean_abs_diff_p95,rms_diff_mean,rms_diff_median,rms_diff_p95,relative_l2_diff_mean,relative_l2_diff_median,relative_l2_diff_p95,cosine_to_c0_mean,cosine_to_c0_median,cosine_to_c0_p95,one_minus_cosine_mean,one_minus_cosine_median,one_minus_cosine_p95,candidate_to_c0_norm_ratio_mean,candidate_to_c0_norm_ratio_median,candidate_to_c0_norm_ratio_p95,c0_rms_mean,c0_rms_median,c0_rms_p95,candidate_rms_mean,candidate_rms_median,candidate_rms_p95
FT0_vs_C0,cfg2_score,atomic_numbers,late_70_100_mid_to_low_noise,768,1.3878562693624648,1.2561343187537726,2.408394453408066,1.7425633096044073,1.5997971970821885,2.9408496575230463,0.15685079905531954,0.1465590493055544,0.2566777109822678,0.9903846611883652,0.9915531208358135,0.9955221898515686,0.009615338811634658,0.008446879164186516,0.019401342656487592,1.031840108232157,1.021269076238497,1.1868112397189214,11.1689720443544,11.161639646253265,13.51594110453664,11.523193638429225,11.392347202101407,14.660894332098986
FT0_vs_C0,cfg2_score,pos,late_70_100_mid_to_low_noise,768,0.15433619182203215,0.1287150252196524,0.3569276065419712,0.2018548759784237,0.16642605786007353,0.4587204097686609,0.21509465516203544,0.183747069434408,0.47285573621414684,0.9691403504098025,0.9852058258422836,0.9992608230943412,0.030859649590197435,0.014794174157716444,0.11511458713350531,0.9366739401151524,0.9464832902340072,1.0191582732531184,0.9259391647044305,0.9346783849519713,1.1796519056635226,0.863839478979627,0.8721461088153046,1.0917749032403448
FT0_vs_C0,cfg2_score,cell,late_70_100_mid_to_low_noise,768,0.08771731925475656,0.06504066195338964,0.2210479370007912,0.11966872646507896,0.08813445174397827,0.30592274119424123,0.12756034908056532,0.09545217130241376,0.3205714229964604,0.987048344314626,0.9968041040408344,0.9997766363195116,0.012951655685374078,0.00319589595916564,0.045101100402035785,0.9560234026955401,0.9693935277702603,1.0434130209640318,0.973200687466683,0.938053408822314,1.480834771030685,0.9272191630766203,0.9030309671094502,1.3949025469984135
FT0_vs_C0,conditional_hidden,gemnet_h1,late_70_100_mid_to_low_noise,768,0.16488283156558373,0.164825824807718,0.17890136916551055,0.21759899845377625,0.21551981425621244,0.2475543741914934,0.24509433975746428,0.24431808777382913,0.28736784613512123,0.9715171902624441,0.9721312154361567,0.9803036593823796,0.02848280973755588,0.02786878456384334,0.038609219765843666,1.0323523418833094,1.028207937284182,1.0883166269934799,0.892240561981389,0.8780681996145074,1.0174079416228023,0.9217828251379224,0.9016905025110149,1.0779514986805374
FT0_vs_C0,conditional_hidden,gemnet_h2,late_70_100_mid_to_low_noise,768,0.1756411014439533,0.1744139439820188,0.19616709592033846,0.2332677213518751,0.2323330084897008,0.2644970049815451,0.42291864263595363,0.41772334306107073,0.5074036753095847,0.916440231361142,0.9182670718101726,0.9399426088516426,0.08355976863885779,0.08173292818982741,0.11292649746083026,1.0564535678599771,1.0539226731749265,1.1096306641422589,0.5546004193178082,0.5552613325491187,0.617062565256153,0.5852398393280839,0.5847112023257182,0.6397847013530886
FT0_vs_C0,conditional_hidden,gemnet_h3,late_70_100_mid_to_low_noise,768,0.21545443511619355,0.21280811306673425,0.2530210831507346,0.28922860661688565,0.2855824421501634,0.3438496697516442,0.5242969561074952,0.5117893679264068,0.6355470203973723,0.8722248714964721,0.8775199649442968,0.9087559812918622,0.12777512850352768,0.1224800350557032,0.1803295935031954,1.0655444981419675,1.0622228659755755,1.1367906454283838,0.5536869459477995,0.5497853333769176,0.6140582365065429,0.5895308210755992,0.5844452864212726,0.6500541603202008
FT0_vs_C0,conditional_hidden,gemnet_h4,late_70_100_mid_to_low_noise,768,0.3720601281808959,0.35529802673254096,0.5153533549309948,0.5646530571193561,0.5387408118287322,0.7999907469390499,0.36443832068142573,0.34640544918136223,0.5227254483845043,0.9316460620350804,0.9394322383484195,0.9633942564800241,0.0683539379649197,0.060567761651580565,0.12618766788511945,0.9925012036472118,0.9859798862458418,1.0794471788866653,1.5616359757943628,1.556952870387975,1.777258198751315,1.5486741710895442,1.5404890969241802,1.8042049918266638
TCL_vs_C0,cfg2_score,atomic_numbers,early_0_30_high_to_mid_noise,768,2.1516018694228864,2.090556045574222,3.6243985564597647,2.7652820941369343,2.8112022248683344,4.3547252127146,0.22197638501983005,0.22680448504706918,0.31243376911412135,0.9755075417018865,0.9766714634482057,0.9960945829951658,0.024492458298113407,0.023328536551794343,0.046538606496869576,0.9709322535112407,0.980501344086645,1.0846922012997628,12.24985169994165,11.76772781348988,16.404257061800287,11.80826452843776,11.246655176249167,15.299339222293453
TCL_vs_C0,cfg2_score,pos,early_0_30_high_to_mid_noise,768,0.004804563943343185,0.0041339186410858444,0.010722496700473129,0.0058310852304384935,0.005039844141522729,0.012674838924940054,1.8668023195876173,1.6847885214121432,4.195044415088799,0.45974136762622014,0.45912355939652794,0.9679331244554815,0.5402586323737799,0.5408764406034721,1.148638855971398,1.9762977160380835,1.665242225558154,4.3060630363733114,0.0069704527092317795,0.002918856338663527,0.02868882358716818,0.0073852169332067645,0.005462257681559895,0.01995454617469639
TCL_vs_C0,cfg2_score,cell,early_0_30_high_to_mid_noise,768,0.04884024533369787,0.04031975815693538,0.10629331875178546,0.0667015582476199,0.05386644254982885,0.14191568448532246,0.07400823432178956,0.05729673483324432,0.17091375659789754,0.9968348222372668,0.9986377572983124,0.9998069115459258,0.003165177762733281,0.0013622427016876104,0.012386484845742151,0.9839799850617957,0.9912976187495381,1.031215942667854,0.9616713163619207,0.9429045359625272,1.4793891665959082,0.945234877121664,0.930826164010244,1.4530695048160296
