objective,category,n,loss_mean,gradient_l2_norm_mean,gradient_l2_norm_median,gradient_sq_fraction_mean,cosine_with_base_mean
tcl_cell_weighted,condition_modules,4,0.4414174482226372,0.8018422913461551,0.5945686844028233,0.00016150431806881166,0.15597533100670513
tcl_cell_weighted,embedding_input,4,0.4414174482226372,48.965773774806706,31.18221280485165,0.5926195487982072,0.2593478102754555
tcl_cell_weighted,gemnet_block_1,4,0.4414174482226372,13.329925767141045,8.781753533248162,0.0480487429831516,0.19703220031326574
tcl_cell_weighted,gemnet_block_2,4,0.4414174482226372,6.620443991942128,4.063319501878545,0.012612324967541272,0.06217561465546482
tcl_cell_weighted,gemnet_block_3,4,0.4414174482226372,6.744464744084691,3.9339531202953797,0.012103447815882646,0.09293254935293481
tcl_cell_weighted,gemnet_block_4,4,0.4414174482226372,5.4789568563275015,3.375406286735677,0.007785348163176969,0.08469255057799627
tcl_cell_weighted,other_shared,4,0.4414174482226372,35.52359106115472,17.614194264529942,0.2626999420649795,0.1340442292101223
tcl_position_weighted,ALL_PARAMETERS,4,0.002169321902329102,0.004645263347505844,0.004039268646180972,1.0,-0.025779779322755315
tcl_position_weighted,condition_modules,4,0.002169321902329102,5.552902868125941e-05,3.5962555160918246e-05,0.0003201448980637564,0.031443125962222304
tcl_position_weighted,embedding_input,4,0.002169321902329102,0.0028390953639171415,0.002877557572524967,0.37843044708822826,-0.037360644638979326
tcl_position_weighted,gemnet_block_1,4,0.002169321902329102,0.0009865276643018963,0.000928247043035503,0.054631608224402065,-0.018232379198639487
tcl_position_weighted,gemnet_block_2,4,0.002169321902329102,0.0003261991989391194,0.0003160805017505803,0.0060610482277297035,0.09145994864843981
tcl_position_weighted,gemnet_block_3,4,0.002169321902329102,0.000372094208091243,0.0003870337864960499,0.00902490107180829,0.09622097129212198
tcl_position_weighted,gemnet_block_4,4,0.002169321902329102,0.00020923562756308242,0.0001876184350396109,0.0035581514882711872,0.08864004532377606
tcl_position_weighted,other_shared,4,0.002169321902329102,0.00226276184991311,0.0019175059489444143,0.254754049154837,0.010817684626104695
tcl_position_weighted,position_head,4,0.002169321902329102,0.00233150399037845,0.0012961705016391082,0.2932196498466596,0.07886670101427458
total,ALL_PARAMETERS,4,0.8888437002897263,66.56862140456444,37.069052111303755,1.0,0.18482553307805072
total,atomic_head,4,0.8888437002897263,0.22000016030029632,0.22163760232213828,3.9658428907786476e-05,0.9727755089557539
total,cell_head,4,0.8888437002897263,18.95482981100816,7.8123718258805495,0.06375207702563697,0.513856650954895
total,condition_modules,4,0.8888437002897263,0.8299178520116272,0.61566677583632,0.0001726864562278496,0.3945902025734219
total,embedding_input,4,0.8888437002897263,49.1128053594655,31.283170445336083,0.590108079638742,0.2798230360798356
total,gemnet_block_1,4,0.8888437002897263,13.433430751702147,8.869781310605777,0.048278410786305764,0.25795754985529407
total,gemnet_block_2,4,0.8888437002897263,6.6887486279834825,4.110646085289938,0.012697256629782924,0.16983330959441065
total,gemnet_block_3,4,0.8888437002897263,6.830273061909442,3.9976953846212373,0.01236210866910082,0.20148154078979658
total,gemnet_block_4,4,0.8888437002897263,5.526341152948839,3.423728844806984,0.007906430652286479,0.1899216020371425
total,other_shared,4,0.8888437002897263,35.81517209180723,17.92799468364316,0.26464080614272684,0.21971163428475246
total,position_head,4,0.8888437002897263,0.24996089901643692,0.23223198746312484,4.2485570282946175e-05,0.9999544664091118
