method,group,metric,n,mean,p01,p05,p50,p95,p99,max
TCL,all,cell_condition_number,256,2.4091856216687297,1.0053681219392396,1.1442451355667371,2.016042064508091,5.105292682095973,8.771502674871916,12.09620942759162
TCL,all,cell_length_aspect_ratio,256,1.9186661528936115,1.0006255821378212,1.00271793392321,1.6605521589134944,4.0654447850222875,6.939135821740342,8.549184905123953
TCL,all,initial_max_force,256,0.38790677446395255,0.006423659979231086,0.020941855684537217,0.18719777768021362,1.4065242827605766,2.4133641085393083,5.597731819176095
TCL,all,rmsd,256,0.08288153394088565,0.0006838898173313375,0.0012855851220932221,0.02511557109817241,0.39900217221880385,1.1379610235139728,1.3670401587399768
TCL,all,relaxation_steps,256,62.75,3.0,7.0,33.5,184.25,551.6999999999992,1321.0
TCL,all,e_hull,256,0.11444269896574509,-0.047846043528966306,0.006775548265701037,0.09644988271364152,0.275643941888037,0.4456461962207422,0.9276173284232971
TCL,bad,min_distance,30,1.8940367829094338,1.3080146459173507,1.6006695280258914,1.8455404016698442,2.2885383950701015,2.361591086591682,2.3853152378159943
TCL,bad,nearest_neighbor_p05,30,1.8940367829094338,1.3080146459173507,1.6006695280258914,1.8455404016698442,2.2885383950701015,2.361591086591682,2.3853152378159943
TCL,bad,nearest_neighbor_median,30,2.082119686160843,1.7661419257493152,1.8162339135591354,1.9989959145093628,2.4617650178866275,2.613949851433639,2.675016311821374
TCL,bad,cell_volume_per_atom,30,12.413066360626395,8.818433640560603,8.916825515725279,11.36341744070786,19.211370848290624,20.040522578894457,20.168406916296338
TCL,bad,cell_condition_number,30,3.4341535829686167,1.1942907699523075,1.5446568393210174,2.172057543460104,11.261681878445298,12.079280370246915,12.09620942759162
TCL,bad,cell_length_aspect_ratio,30,2.620882518035626,1.0455960897914969,1.1233286295871505,1.5732707715168235,8.000335675946792,8.54505899999863,8.549184905123953
TCL,bad,initial_max_force,30,1.5437876493976823,0.4810597132629595,0.5227636325355145,1.334932909603907,2.9241133704580595,4.933560107587786,5.597731819176095
TCL,bad,rmsd,30,0.4172472842543017,0.03843666433390547,0.056897508257162464,0.2663556278021053,1.1896289915672638,1.3173429245934487,1.3670401587399768
TCL,bad,relaxation_steps,30,261.6,38.93,52.35,126.5,624.8499999999998,1127.8600000000006,1321.0
TCL,bad,e_hull,30,0.23525185741671775,0.05047071640165805,0.09094723383710882,0.20152232754208832,0.4672064247119472,0.7949062700713255,0.9276173284232971
TCL,normal,min_distance,226,2.61940674031273,1.6794225568173742,1.8293291214853227,2.554755377505515,3.5363423261925586,3.8590664877868295,3.887396077333257
TCL,normal,nearest_neighbor_p05,226,2.61940674031273,1.6794225568173742,1.8293291214853227,2.554755377505515,3.5363423261925586,3.8590664877868295,3.887396077333257
TCL,normal,nearest_neighbor_median,226,2.685654697210105,1.7857997116659798,1.8789828371714346,2.650668325438719,3.6342608942872294,3.8721816127651394,3.902999296699287
