comparison,kind,field_or_block,stage,outcome,spearman_rho,two_sided_p,n
FT0_vs_C0,conditional_hidden,gemnet_h1,late_70_100_mid_to_low_noise,rmsd,-0.037123054474708164,0.554342240097403,256
FT0_vs_C0,conditional_hidden,gemnet_h1,late_70_100_mid_to_low_noise,relaxation_steps,0.028357770048350182,0.6515609788876493,256
FT0_vs_C0,conditional_hidden,gemnet_h1,late_70_100_mid_to_low_noise,e_hull,0.008905069810025175,0.8872485282252199,256
FT0_vs_C0,conditional_hidden,gemnet_h1,late_70_100_mid_to_low_noise,severe,-0.061999517783403624,0.3231092749085045,256
FT0_vs_C0,conditional_hidden,gemnet_h1,mid_30_70,initial_max_force,0.10164725909819179,0.10467443232076147,256
FT0_vs_C0,conditional_hidden,gemnet_h1,mid_30_70,atomic_force_mean,0.09497954337376972,0.12960431188304997,256
FT0_vs_C0,conditional_hidden,gemnet_h1,mid_30_70,rmsd,0.016944666971847103,0.7873085380826559,256
FT0_vs_C0,conditional_hidden,gemnet_h1,mid_30_70,relaxation_steps,0.04809919025985112,0.44351896054853424,256
FT0_vs_C0,conditional_hidden,gemnet_h1,mid_30_70,e_hull,0.07319323643854428,0.24324004965236598,256
FT0_vs_C0,conditional_hidden,gemnet_h1,mid_30_70,severe,0.04599964222639624,0.46369234645864055,256
FT0_vs_C0,conditional_hidden,gemnet_h2,early_0_30_high_to_mid_noise,initial_max_force,0.3419174868390935,1.976819351093799e-08,256
FT0_vs_C0,conditional_hidden,gemnet_h2,early_0_30_high_to_mid_noise,atomic_force_mean,0.35340037766079185,6.046417408513525e-09,256
FT0_vs_C0,conditional_hidden,gemnet_h2,early_0_30_high_to_mid_noise,rmsd,0.27792901693751426,6.350872869405201e-06,256
FT0_vs_C0,conditional_hidden,gemnet_h2,early_0_30_high_to_mid_noise,relaxation_steps,0.3688695490158631,1.1354208224983106e-09,256
FT0_vs_C0,conditional_hidden,gemnet_h2,early_0_30_high_to_mid_noise,e_hull,0.1704644941634241,0.0062546472945870365,256
FT0_vs_C0,conditional_hidden,gemnet_h2,early_0_30_high_to_mid_noise,severe,0.19933178298105036,0.0013462496792514948,256
FT0_vs_C0,conditional_hidden,gemnet_h2,late_70_100_mid_to_low_noise,initial_max_force,0.039321068894483856,0.5311178631137783,256
FT0_vs_C0,conditional_hidden,gemnet_h2,late_70_100_mid_to_low_noise,atomic_force_mean,0.034414339665827416,0.5836252010288373,256
FT0_vs_C0,conditional_hidden,gemnet_h2,late_70_100_mid_to_low_noise,rmsd,0.03470044632639047,0.580498621761887,256
FT0_vs_C0,conditional_hidden,gemnet_h2,late_70_100_mid_to_low_noise,relaxation_steps,0.03711861989906772,0.5543895907783357,256
FT0_vs_C0,conditional_hidden,gemnet_h2,late_70_100_mid_to_low_noise,e_hull,0.029413195239185157,0.6394918442581387,256
FT0_vs_C0,conditional_hidden,gemnet_h2,late_70_100_mid_to_low_noise,severe,0.011599909778830356,0.8534671032028827,256
FT0_vs_C0,conditional_hidden,gemnet_h2,mid_30_70,initial_max_force,0.3420912966353856,1.9423762566315647e-08,256
FT0_vs_C0,conditional_hidden,gemnet_h2,mid_30_70,atomic_force_mean,0.34001559281300064,2.394372684963753e-08,256
FT0_vs_C0,conditional_hidden,gemnet_h2,mid_30_70,rmsd,0.26201290341039135,2.1751883817570778e-05,256
FT0_vs_C0,conditional_hidden,gemnet_h2,mid_30_70,relaxation_steps,0.33548074630644514,3.7617128529211197e-08,256
FT0_vs_C0,conditional_hidden,gemnet_h2,mid_30_70,e_hull,0.16972204737926297,0.006488037284708071,256
FT0_vs_C0,conditional_hidden,gemnet_h2,mid_30_70,severe,0.14426554460568328,0.02094110922679462,256
FT0_vs_C0,conditional_hidden,gemnet_h3,early_0_30_high_to_mid_noise,initial_max_force,0.23025291828793773,0.0002023445574619251,256
FT0_vs_C0,conditional_hidden,gemnet_h3,early_0_30_high_to_mid_noise,atomic_force_mean,0.25684653238727395,3.190508408603962e-05,256
