method,predictor,outcome,spearman_rho,two_sided_p,n
FT0,cell_condition_number,atomic_force_mean,0.13326061455710686,0.033068562934193864,256
FT0,cell_condition_number,rmsd,0.23800926985580223,0.00012059663024700521,256
FT0,cell_condition_number,relaxation_steps,0.14239331812154649,0.022680896159344835,256
FT0,cell_condition_number,e_hull,0.20330596246280613,0.0010708958170794216,256
FT0,cell_length_aspect_ratio,initial_max_force,0.08546864271000228,0.17278740723898336,256
FT0,cell_length_aspect_ratio,atomic_force_mean,0.05574859807736323,0.3743775538094527,256
FT0,cell_length_aspect_ratio,rmsd,0.18679188601510638,0.0026953939401538093,256
FT0,cell_length_aspect_ratio,relaxation_steps,0.09930191175815557,0.11297200910525924,256
FT0,cell_length_aspect_ratio,e_hull,0.12271543831540395,0.04984904349978049,256
FT0,pairs_lt_1p5A,initial_max_force,0.16874931081838218,0.006805592960126817,256
FT0,pairs_lt_1p5A,atomic_force_mean,0.1691925094312826,0.006659225370518594,256
FT0,pairs_lt_1p5A,rmsd,0.10260335679952523,0.1014331001722501,256
FT0,pairs_lt_1p5A,relaxation_steps,0.04955456788820561,0.42983263449664566,256
FT0,pairs_lt_1p5A,e_hull,0.17758450394568343,0.004370063038584421,256
FT0,mean_neighbors_lt_3A,initial_max_force,0.6438438125535259,2.2939494517911988e-31,256
FT0,mean_neighbors_lt_3A,atomic_force_mean,0.649811626595505,4.212108868762786e-32,256
FT0,mean_neighbors_lt_3A,rmsd,0.4647940075639359,3.996380177762545e-15,256
FT0,mean_neighbors_lt_3A,relaxation_steps,0.7111528800073403,9.506282023112987e-41,256
FT0,mean_neighbors_lt_3A,e_hull,0.27457239458388494,8.287148480144304e-06,256
TCL,min_distance,initial_max_force,-0.724647373540856,5.811910818819111e-43,256
TCL,min_distance,atomic_force_mean,-0.7176821068894482,8.377078810211574e-42,256
TCL,min_distance,rmsd,-0.5111385813291491,1.9236330307316304e-18,256
TCL,min_distance,relaxation_steps,-0.5958653593527855,5.373457163088112e-26,256
TCL,min_distance,e_hull,-0.516712920576791,7.081008940715343e-19,256
TCL,nearest_neighbor_p05,initial_max_force,-0.724647373540856,5.811910818819111e-43,256
TCL,nearest_neighbor_p05,atomic_force_mean,-0.7176821068894482,8.377078810211574e-42,256
TCL,nearest_neighbor_p05,rmsd,-0.5111385813291491,1.9236330307316304e-18,256
TCL,nearest_neighbor_p05,relaxation_steps,-0.5958653593527855,5.373457163088112e-26,256
TCL,nearest_neighbor_p05,e_hull,-0.516712920576791,7.081008940715343e-19,256
TCL,nearest_neighbor_median,initial_max_force,-0.679913166628519,4.417031730129375e-36,256
TCL,nearest_neighbor_median,atomic_force_mean,-0.6798766880292972,4.4693169688762856e-36,256
TCL,nearest_neighbor_median,rmsd,-0.44589194572055696,6.561850524280665e-14,256
TCL,nearest_neighbor_median,relaxation_steps,-0.5301133175862212,5.936276971512294e-20,256
TCL,nearest_neighbor_median,e_hull,-0.4781357289997711,4.98339029996248e-16,256
TCL,cell_volume_per_atom,initial_max_force,-0.553190089265278,6.361741638014825e-22,256
TCL,cell_volume_per_atom,atomic_force_mean,-0.5465881780727854,2.4138817645381614e-21,256
TCL,cell_volume_per_atom,rmsd,-0.29305195215080293,1.8327357588344562e-06,256
TCL,cell_volume_per_atom,relaxation_steps,-0.44355229123760215,9.168590687674583e-14,256
TCL,cell_volume_per_atom,e_hull,-0.35945868619821464,3.1743123715798107e-09,256
TCL,cell_condition_number,initial_max_force,-0.0019448100251773857,0.9752976844992896,256
TCL,cell_condition_number,atomic_force_mean,-0.0074688143739986244,0.9053404224816547,256
TCL,cell_condition_number,rmsd,0.053590648172968096,0.39317816312402165,256
TCL,cell_condition_number,relaxation_steps,-0.07938576110666332,0.20552917306842033,256
TCL,cell_condition_number,e_hull,0.04060854886701761,0.5177458820191283,256
TCL,cell_length_aspect_ratio,initial_max_force,0.033811369878690774,0.5902398763337056,256
TCL,cell_length_aspect_ratio,atomic_force_mean,0.01887445639734493,0.7637651467147377,256
TCL,cell_length_aspect_ratio,rmsd,0.11623728903877092,0.06331192405582484,256
TCL,cell_length_aspect_ratio,relaxation_steps,-0.007735050391689619,0.9019827868437998,256
TCL,cell_length_aspect_ratio,e_hull,-0.06386115243762874,0.3087647694052547,256
TCL,pairs_lt_1p5A,initial_max_force,0.14926698974992464,0.01684889439078288,256
TCL,pairs_lt_1p5A,atomic_force_mean,0.14682269482779867,0.01875231762868367,256
TCL,pairs_lt_1p5A,rmsd,0.08898079291153274,0.15574086802285786,256
TCL,pairs_lt_1p5A,relaxation_steps,0.0981692050582941,0.1171597332059175,256
TCL,pairs_lt_1p5A,e_hull,0.007240792022059328,0.9082174667001438,256
TCL,mean_neighbors_lt_3A,initial_max_force,0.6129383416887274,8.403099568623215e-28,256
TCL,mean_neighbors_lt_3A,atomic_force_mean,0.6063294337148993,4.329088701990243e-27,256
TCL,mean_neighbors_lt_3A,rmsd,0.38786668317606643,1.2850389597967043e-10,256
TCL,mean_neighbors_lt_3A,relaxation_steps,0.5709975773940932,1.4986500555613632e-23,256
TCL,mean_neighbors_lt_3A,e_hull,0.419324620891307,2.528422750813519e-12,256
