method,seed,num_atoms,formula,elements,num_elements,min_distance,nearest_neighbor_p05,nearest_neighbor_median,nearest_neighbor_mean,pairs_lt_1A,pairs_lt_1p5A,pairs_lt_2A,mean_neighbors_lt_3A,relaxed_min_distance,cell_a,cell_b,cell_c,cell_alpha,cell_beta,cell_gamma,cell_length_min,cell_length_max,cell_length_aspect_ratio,cell_volume,cell_volume_per_atom,cell_determinant,cell_condition_number,relaxation_volume_change_fraction,initial_atomic_force_mean,initial_max_force,e_hull,stable,nus,novel,unique,rmsd,atomic_force_mean,relaxation_steps,severe,severity_score
TCL,83233,10,HAs2Fe7,As;Fe;H,3,1.4949571904790548,1.4949571904790548,2.230783104376701,2.070877237354063,0,1,2,4.0,1.7033982183652403,3.819488692875123,3.81662844119897,9.708989143371582,90.15678949006245,89.86770856919651,119.98193200573624,3.81662844119897,9.708989143371582,2.543865428074409,122.59335108247389,12.259335108247388,122.59335108247389,3.595245899565326,-0.028667300509858155,0.2555640130617694,0.5442853124361461,0.12365244985156121,False,False,True,True,1.1956703858209143,0.2555640130617694,232,True,4.551340771641828
TCL,83075,12,C2HFeMn8,C;Fe;H;Mn,4,1.7866234786240343,1.7866234786240343,1.8112901788046414,1.9135956628819046,0,0,12,9.5,1.8125533673675445,4.813760188292687,4.4284480767795085,6.702688694000244,109.4940458293487,119.93541986214186,89.84374750493183,4.4284480767795085,6.702688694000244,1.5135525081903245,114.35353956223894,9.529461630186578,114.35353956223894,2.2151676007405743,-0.012439484847514419,0.8022184213183557,1.474709875852694,0.20412061051494135,False,False,True,True,0.6259781056508915,0.8022184213183557,355,True,4.501666087154478
TCL,83068,19,Co11Dy2Gd3Sn3,Co;Dy;Gd;Sn,4,2.2046624010214435,2.2046624010214435,2.372496612029422,2.4771127660298147,0,0,0,6.105263157894737,2.2225120794084794,7.5006895902177755,8.326402484542164,7.368176460266113,115.50909879525166,110.09454626095723,102.2604705974017,7.368176460266113,8.326402484542164,1.130049277381373,353.0320884298466,18.58063623314982,353.0320884298466,2.129877718091033,-0.03505339198856344,0.37132143126536993,0.7903481638432842,0.20201368151946042,False,False,True,True,0.3214618416315301,0.37132143126536993,499,True,4.495
TCL,83094,19,C4Mn15,C;Mn,2,1.7835516078102023,1.7835516078102023,1.9885592544036286,1.9755010035707683,0,0,8,9.473684210526315,1.950595550203022,4.189545925188314,5.837140763174863,7.770626544952393,92.81156100672386,86.57430728185436,88.60705374944628,4.189545925188314,7.770626544952393,1.8547658108326175,189.39180798563666,9.967989893980876,189.39180798563666,1.865148685772362,-0.0038549571704151703,0.6050322845533946,2.2043546338821893,0.23370084542477088,False,False,True,True,0.14262931225446374,0.6050322845533946,181,True,4.20435463388219
TCL,83135,12,Mn6O6,Mn;O,2,2.0535148167826893,2.0535148167826893,2.0794729933993765,2.0791380935261583,0,0,0,2.6666666666666665,2.1196475352051234,3.1226313123985205,3.4867777413215943,15.732522010803223,90.16660447732156,90.0014368442217,90.15782085556353,3.1226313123985205,15.732522010803223,5.038225918102043,171.29308827318977,14.274424022765814,171.29308827318977,5.038323564756709,-0.0649739954833383,0.1767750269458719,0.4712179824129208,0.2084807343359376,False,False,True,True,1.1017286257240233,0.1767750269458719,88,True,4.203457251448047
TCL,83176,11,Gd3Pt3Si5,Gd;Pt;Si,3,2.3853152378159943,2.3853152378159943,2.458492771378291,2.5432426017208414,0,0,0,5.2727272727272725,2.4195369591201956,5.795260551962261,6.3127894586141515,7.383337497711182,105.81800875346805,112.0965020328708,106.49094726906134,5.795260551962261,7.383337497711182,1.2740302927728075,217.00169086746416,19.727426442496743,217.00169086746416,2.072303999346383,0.004949042772529841,1.1873195866876636,1.919013464982349,0.044867710406604644,True,True,True,True,0.48384099242171696,1.1873195866876636,131,True,3.919013464982349
TCL,83249,18,C6Mn12,C;Mn,2,1.8648018874224908,1.8648018874224908,1.9172676803480515,1.9196877855846448,0,0,15,6.888888888888889,1.894902822595128,2.570243120807534,6.667722406072155,9.307551383972168,89.62885001904297,90.00125242916165,90.15631138519936,2.570243120807534,9.307551383972168,3.6212727537805325,159.50578198384733,8.861432332435962,159.50578198384733,3.621368670160994,0.028322767586590976,0.7609435520979971,1.7145364770010005,0.1535657616625148,False,False,True,True,0.2440334851539078,0.7609435520979971,184,True,3.7145364770010003
TCL,83023,12,CAl2Mn9,Al;C;Mn,3,1.8657910468778676,1.8657910468778676,2.464442310484357,2.324524215987159,0,0,2,2.1666666666666665,1.921628185923872,2.617555678521857,2.6209371518761393,22.340726852416992,90.12017285230078,89.98770816462226,120.18430828532809,2.617555678521857,22.340726852416992,8.534957646071115,132.48592085313527,11.04049340442794,132.48592085313527,12.09620942759162,0.012484783486718744,0.47986718667357603,1.5469404663075357,0.20008786908081433,False,False,True,True,0.05767452703584521,0.47986718667357603,70,True,3.546940466307536
TCL,83090,4,HFe2N,Fe;H;N,3,1.743026845743629,1.743026845743629,1.7477010899943228,1.7537201247407546,0,0,4,3.0,1.7374736781285922,2.6474357908986867,2.9543916247683275,5.013417720794678,107.62034663488022,104.36924440984266,89.84756617678646,2.6474357908986867,5.013417720794678,1.8936881257062879,36.09218564462979,9.023046411157447,36.09218564462979,2.0990523091858213,0.03944815190878415,0.86597392850247,1.5458082536732243,0.2755199780814621,False,False,True,True,0.07335340217825427,0.86597392850247,34,True,3.5458082536732243
TCL,83118,11,C2Al2Mn7,Al;C;Mn,3,1.8429003517928408,1.8429003517928408,1.8911384497179478,2.1593272018781877,0,0,4,2.1818181818181817,1.9205030237977665,2.6653195321812717,2.690349905982138,19.581859588623047,90.83084030072916,90.26143483723465,119.80132939692383,2.6653195321812717,19.581859588623047,7.346908823572625,121.82122053706026,11.074656412460023,121.82122053706026,10.313052280366765,0.014041786809874153,0.3707687717017981,1.3596476874256405,0.20103097356471622,False,False,True,True,0.48821213476462266,0.3707687717017981,229,True,3.5046476874256407
