branch_id,outcome_kind,seed,decision_ordinal,sampling_step,decision_t_norm,candidate_action,candidate_cfg,formula,num_atoms,geometric_valid,minimum_periodic_distance_angstrom,validity_reason,chgnet_success,chgnet_mag_density,target_mag_density,property_absolute_error,normalized_property_error,oracle_objective,structure_valid,surrogate_property_eval,dft_verified,e_hull,stable,nus,novel,unique,rmsd,pre_relaxation_max_force,relaxation_steps,quality_success,evaluation_valid
816024:250:KEEP:SHORT,SHORT,816024,1.0,250.0,0.75,KEEP,2.0,B6Mn13Si,20,False,0.3374113567842839,minimum_distance_below_0.5A,False,,0.1,,,10.0,False,True,False,,False,False,False,False,,,,False,False
816024:250:UP:SHORT,SHORT,816024,1.0,250.0,0.75,UP,2.25,B4Mn15Si,20,True,0.7225383197337665,,True,0.1965000525625887,0.1,0.0965000525625887,0.9650005256258876,0.9650005256258876,True,True,False,0.22716061846066893,False,False,True,True,1.1322459333514687,2227.00634765625,866.0,True,True
816024:400:DOWN:SHORT,SHORT,816024,2.0,400.0,0.5999999642372131,DOWN,1.75,B3Cr2Mn14Si,20,False,0.4977258762520212,minimum_distance_below_0.5A,False,,0.1,,,10.0,False,True,False,,False,False,False,False,,,,False,False
816024:400:KEEP:SHORT,SHORT,816024,2.0,400.0,0.5999999642372131,KEEP,2.0,B4Cr4Mn11Si,20,True,0.8594716282078028,,True,0.1908847171790105,0.1,0.0908847171790105,0.9088471717901055,0.9088471717901055,True,True,False,0.24012565495683091,False,False,True,True,1.1004726139936511,750.7598876953125,902.0,True,True
816024:400:UP:SHORT,SHORT,816024,2.0,400.0,0.5999999642372131,UP,2.25,B5CrMn13Si,20,True,0.9472685040847808,,True,0.1811776434279563,0.1,0.0811776434279563,0.8117764342795636,0.8117764342795636,True,True,False,0.22486438820566335,False,False,True,True,1.1259330497203843,811.8294067382812,1973.0,True,True
816024:550:DOWN:SHORT,SHORT,816024,3.0,550.0,0.4500000178813934,DOWN,1.75,B6Cr3Mn9Si2,20,True,1.6307363017273064,,True,0.0736026829600309,0.1,0.026397317039969,0.2639731703996901,0.2639731703996901,True,True,False,0.30373562411250177,False,False,True,True,1.087996255978958,5.904737949371338,804.0,True,True
816024:550:KEEP:SHORT,SHORT,816024,3.0,550.0,0.4500000178813934,KEEP,2.0,B6Cr2Mn10Si2,20,True,1.5432413758999777,,True,0.0834438076726371,0.1,0.0165561923273628,0.1655619232736287,0.1655619232736287,True,True,False,0.2945286536171867,False,False,True,True,1.0819535872404198,12.017244338989258,501.0,True,True
816024:550:UP:SHORT,SHORT,816024,3.0,550.0,0.4500000178813934,UP,2.25,B5Cr5Mn8Si2,20,True,1.604313158855574,,True,0.0709290702088691,0.1,0.0290709297911308,0.2907092979113082,0.2907092979113082,True,True,False,0.2818922447453076,False,False,True,True,1.1039738797619185,9.922715187072754,1089.0,True,True
816024:700:DOWN:SHORT,SHORT,816024,4.0,700.0,0.3000000119209289,DOWN,1.75,B6Cr2Mn10Si2,20,True,1.9152838778496415,,True,0.0686910059559525,0.1,0.0313089940440475,0.313089940440475,0.313089940440475,True,True,False,0.18335540532617145,False,False,True,True,0.12903034628189475,1.3041236400604248,101.0,True,True
816024:700:KEEP:SHORT,SHORT,816024,4.0,700.0,0.3000000119209289,KEEP,2.0,B6Cr2Mn10Si2,20,True,1.910737069334024,,True,0.0692882419623865,0.1,0.0307117580376134,0.3071175803761342,0.3071175803761342,True,True,False,0.18333785771874922,False,False,True,True,0.1280269225128306,1.349564552307129,101.0,True,True
816024:700:UP:SHORT,SHORT,816024,4.0,700.0,0.3000000119209289,UP,2.25,B6Cr2Mn10Si2,20,True,1.9089984749982152,,True,0.0699227030755724,0.1,0.0300772969244275,0.3007729692442757,0.3007729692442757,True,True,False,0.18338210820703083,False,False,True,True,0.12567701539402226,1.41922926902771,90.0,True,True
816024:800:DOWN:SHORT,SHORT,816024,5.0,800.0,0.2000000029802322,DOWN,1.75,B5Cr2Mn10Si3,20,True,1.841054765607672,,True,0.0516348232189385,0.1,0.0483651767810614,0.4836517678106149,0.4836517678106149,True,True,False,0.15244444204023644,False,False,True,True,0.0871622138165206,1.3914912939071655,145.0,True,True
816024:800:KEEP:SHORT,SHORT,816024,5.0,800.0,0.2000000029802322,KEEP,2.0,B5Cr2Mn10Si3,20,True,1.8405315813346408,,True,0.0518595737548333,0.1,0.0481404262451666,0.4814042624516664,0.4814042624516664,True,True,False,0.15243070913007983,False,False,True,True,0.08779945218626921,1.439097881317139,123.0,True,True
816024:800:UP:SHORT,SHORT,816024,5.0,800.0,0.2000000029802322,UP,2.25,B5Cr2Mn10Si3,20,True,1.8398295393932291,,True,0.0520391313936139,0.1,0.047960868606386,0.4796086860638602,0.4796086860638602,True,True,False,0.1524284203117201,False,False,True,True,0.08804984481723054,1.4584712982177734,123.0,True,True
816024:900:DOWN:SHORT,SHORT,816024,6.0,900.0,0.1000000014901161,DOWN,1.75,B5Cr2Mn10Si3,20,True,1.84806815588588,,True,0.0538850994030283,0.1,0.0461149005969716,0.4611490059697161,0.4611490059697161,True,True,False,0.15240934682539198,False,False,True,False,0.052930256277756146,0.8492664694786072,117.0,True,True
816024:900:KEEP:SHORT,SHORT,816024,6.0,900.0,0.1000000014901161,KEEP,2.0,B5Cr2Mn10Si3,20,True,1.847766259411272,,True,0.0539110436758283,0.1,0.0460889563241717,0.4608895632417169,0.4608895632417169,True,True,False,0.15240934682539198,False,False,True,False,0.05260375032660884,0.8647083640098572,116.0,True,True
816024:900:UP:SHORT,SHORT,816024,6.0,900.0,0.1000000014901161,UP,2.25,B5Cr2Mn10Si3,20,True,1.8475425975226007,,True,0.0539384760070172,0.1,0.0460615239929827,0.460615239929827,0.460615239929827,True,True,False,0.1524062950675802,False,False,True,False,0.052572415777428376,0.8816722631454468,116.0,True,True
816024:950:DOWN:SHORT,SHORT,816024,7.0,950.0,0.050000000745058,DOWN,1.75,B5Cr2Mn10Si3,20,True,1.8204974103555909,,True,0.0563197706221034,0.1,0.0436802293778965,0.4368022937789658,0.4368022937789658,True,True,False,0.1518569786613302,False,False,True,False,0.03433641027587222,0.6771409511566162,51.0,True,True
816024:950:KEEP:SHORT,SHORT,816024,7.0,950.0,0.050000000745058,KEEP,2.0,B5Cr2Mn10Si3,20,True,1.819904441575657,,True,0.0565056066514012,0.1,0.0434943933485987,0.4349439334859878,0.4349439334859878,True,True,False,0.15183943105390796,False,False,True,False,0.034772494396809406,0.7131621241569519,51.0,True,True
816024:950:UP:SHORT,SHORT,816024,7.0,950.0,0.050000000745058,UP,2.25,B5Cr2Mn10Si3,20,True,1.8194363405644096,,True,0.0566261215793759,0.1,0.043373878420624,0.4337387842062408,0.4337387842062408,True,True,False,0.1518112022941427,False,False,True,False,0.03545998432639087,0.7431179285049438,53.0,True,True
816025:100:DOWN:SHORT,SHORT,816025,0.0,100.0,0.8999999761581421,DOWN,1.75,Gd3Mn5O12,20,True,0.7431754284417899,,True,0.1075361746701095,0.1,0.0075361746701095,0.0753617467010958,0.0753617467010958,True,True,False,0.5940712797871086,False,False,True,True,1.3813037053091108,325.7892150878906,1360.0,True,True
816025:100:KEEP:SHORT,SHORT,816025,0.0,100.0,0.8999999761581421,KEEP,2.0,EuFeGd3Mn5O10,20,False,0.283932117204992,minimum_distance_below_0.5A,False,,0.1,,,10.0,False,True,False,,False,False,False,False,,,,False,False
816025:100:UP:SHORT,SHORT,816025,0.0,100.0,0.8999999761581421,UP,2.25,Fe2Gd5Mn4O9,20,True,0.6413964146730019,,True,0.0914168148070053,0.1,0.0085831851929946,0.0858318519299462,0.0858318519299462,True,True,False,0.635042009348469,False,False,True,True,1.6773656654343851,2676.788330078125,1782.0,True,True
816025:250:DOWN:SHORT,SHORT,816025,1.0,250.0,0.75,DOWN,1.75,Fe2Gd3O15,20,True,0.6604815692949982,,True,0.1275688878215277,0.1,0.0275688878215277,0.2756888782152772,0.2756888782152772,True,True,False,0.4707572721914062,False,False,True,True,1.302027560974037,1227.108642578125,846.0,True,True
816025:250:KEEP:SHORT,SHORT,816025,1.0,250.0,0.75,KEEP,2.0,Fe2Gd3O15,20,True,0.5729864866097605,,True,0.1148740332624932,0.1,0.0148740332624932,0.1487403326249321,0.1487403326249321,True,True,False,0.6031504911855468,False,False,True,True,1.2590222871049104,2158.150634765625,1224.0,True,True
816025:250:UP:SHORT,SHORT,816025,1.0,250.0,0.75,UP,2.25,Fe2Gd3O15,20,True,0.5778567836177508,,True,0.1006404304679211,0.1,0.0006404304679211,0.0064043046792111,0.0064043046792111,True,True,False,0.617593697972656,False,False,True,True,1.3516222840778775,1886.3133544921875,764.0,True,True
