cohort,baseline,method,metric,units,n,baseline_mean,method_mean,baseline_median,method_median,delta_method_minus_baseline,paired_median_delta,delta_ci95_low,delta_ci95_high,relative_improvement,relative_ci95_low,relative_ci95_high,wins,ties,losses,tie_tolerance,bootstrap_resamples,bootstrap_seed,evidence
A4,T1,T2,E-hull,eV/atom,32,0.076869462975619113,0.076860212601153249,0.061634476450805664,0.061634317505085967,-9.2503744658634091e-06,-2.7247837586230617e-07,-2.8432060527693732e-05,6.4139962568411409e-06,0.00012033874191104177,-9.9400238420346038e-05,0.00031746208500664773,16,9,7,9.9999999999999998e-13,20000,20260915,supplementary finalization statistics; not a replacement for frozen original tests; unadjusted CI
A4,T1,T2,Stable,fraction,32,0.75,0.75,1,1,0,0,0,0,0,0,0,0,32,0,9.9999999999999998e-13,20000,20260915,supplementary finalization statistics; not a replacement for frozen original tests; unadjusted CI
A4,T1,T2,Novel,fraction,32,0.375,0.375,0,0,0,0,0,0,0,0,0,0,32,0,9.9999999999999998e-13,20000,20260915,supplementary finalization statistics; not a replacement for frozen original tests; unadjusted CI
A4,T1,T2,Unique,fraction,32,0.71875,0.71875,1,1,0,0,0,0,0,0,0,0,32,0,9.9999999999999998e-13,20000,20260915,supplementary finalization statistics; not a replacement for frozen original tests; unadjusted CI
A4,T1,T2,NUS,fraction,32,0.125,0.125,0,0,0,0,0,0,NA,NA,NA,0,32,0,9.9999999999999998e-13,20000,20260915,supplementary finalization statistics; not a replacement for frozen original tests; unadjusted CI
A4,T1,T2,Property MAE,mu_B/Angstrom^3,32,0.0092338856035860863,0.0094256331729123469,0.0071925540213026579,0.0073963627922184472,0.00019174756932625967,1.4377121895781109e-08,1.3158216629411768e-05,0.00048324504290859181,-0.020765642716192228,-0.059683107684719836,-0.0014733763519448051,15,1,16,9.9999999999999998e-13,20000,20260915,supplementary finalization statistics; not a replacement for frozen original tests; unadjusted CI
A4,T1,T2,Hit,fraction,32,0.625,0.625,1,1,0,0,0,0,0,0,0,0,32,0,9.9999999999999998e-13,20000,20260915,supplementary finalization statistics; not a replacement for frozen original tests; unadjusted CI
A4,T1,T2,Validity,fraction,32,1,1,1,1,0,0,0,0,0,0,0,0,32,0,9.9999999999999998e-13,20000,20260915,supplementary finalization statistics; not a replacement for frozen original tests; unadjusted CI
A4,T1,T2,Runtime,seconds,32,85.311040136255542,84.714288316125021,85.284895549004432,84.562310299952514,-0.59675182013052108,-0.60525971403694712,-0.8204738451624507,-0.37215636667533575,0.0069950128280866324,0.0043644530731438026,0.0096208750606017746,28,0,4,9.9999999999999998e-13,20000,20260915,supplementary finalization statistics; not a replacement for frozen original tests; unadjusted CI
A4,T1,T2,Independent MaxF,eV/Angstrom,32,0.14133435435776392,0.14896963113050141,0.08713343550987146,0.080824809518066629,0.0076352767727374754,2.3882113100696586e-05,-0.01380382194558274,0.032788430793858313,-0.054022794439701961,-0.20118539404140828,0.11253674964676591,11,0,21,9.9999999999999998e-13,20000,20260915,supplementary finalization statistics; not a replacement for frozen original tests; unadjusted CI
A4,T1,T2,Independent mean force,eV/Angstrom,32,0.071595916356890346,0.073926257687572952,0.048428945055704713,0.044128148004494612,0.0023303413306826073,1.5196631542265839e-06,-0.0079232449810763602,0.013623924554965375,-0.03254852300606579,-0.17693246201136614,0.11417673354407061,15,0,17,9.9999999999999998e-13,20000,20260915,supplementary finalization statistics; not a replacement for frozen original tests; unadjusted CI
