relative_path,size_bytes,sha256,category,experiment,required_for_laptop_analysis,source_path,generated_or_original,notes
data/innovation2/source/E3G_official_metrics_per_structure.csv,79835,90ecf6ee2361f7c9dfacd4e0a1e5ee61028d104ac89f1de04ac06bbca6055e02,data,innovation2,True,see data/*/source_manifest.json,original_copy,
data/innovation2/source/refinement_manifest.csv,205649,9662dd8f0828f3acc2fd9b9f878f3d40299514589a981a2fab70f67bbd182d3c,data,innovation2,True,see data/*/source_manifest.json,original_copy,
data/innovation2/source_manifest.json,2580,fa2b999d1f5c0cd467874a950ca904d71ea9968d3ea4df354487e4d50959cdf7,data,innovation2,True,see data/*/source_manifest.json,generated,
data/leakage_diagnostic/per_seed_metrics.csv,37645,a1b44a0232bf2d63047971dbf1e68712cd0f1cfb4a6fe169ae096c74479e4334,data,leakage_diagnostic,True,see data/*/source_manifest.json,generated,
data/leakage_diagnostic/per_seed_metrics.json,126765,5cd98ad43d11a7b625d708830180210fdf60007c56eaa66cf4a05d3cc40ed7e0,data,leakage_diagnostic,True,see data/*/source_manifest.json,generated,
data/leakage_diagnostic/source/A0_E3G_metrics_augmented.csv,78926,d0cd5a3088df303857917dbe34b200e8444c1167058fe2df2de35d2f70409f4d,data,leakage_diagnostic,True,see data/*/source_manifest.json,original_copy,
data/leakage_diagnostic/source/A0_reused_metrics_augmented.csv,113062,aa232103aed4e57188bf4631a2a651f661a0e9056621d8900c9a57b13b113699,data,leakage_diagnostic,True,see data/*/source_manifest.json,original_copy,
data/leakage_diagnostic/source/leakage_effect.json,951,f1cdebd7034d6bbc76fa4b0bf9bf284a0fa27a53457e7cdc10a126ef4c85c364,data,leakage_diagnostic,True,see data/*/source_manifest.json,original_copy,
data/leakage_diagnostic/source/refinement_manifest.csv,97870,f521cbf66448da29d925c2f2d1a64728d832db90440162640d91cb7fd5321952,data,leakage_diagnostic,True,see data/*/source_manifest.json,original_copy,
data/leakage_diagnostic/source_manifest.json,2190,bbbe439dd71ea1f6ff5d189e6b086e32f0e5f99d7ff89a035c7676eaed98a642,data,leakage_diagnostic,True,see data/*/source_manifest.json,generated,
experiments/compatibility_41000_41063/README.md,1872,f3d3be88572fb136e9f045f0a75118ee80db4d1a37096c960a0968d6aa81e718,experiment,archive_wide,False,,generated,
experiments/compatibility_41000_41063/data_schema.md,181,cb459cf539fa69571b246f78316aa22589edec603323fbc8bfde5dfc215643dc,experiment,archive_wide,False,,generated,
experiments/compatibility_41000_41063/experiment_manifest.json,785,e00520645e799da205b540ac9bc68604da2d255bfcb47e68bed21dc62b407d5c,experiment,archive_wide,False,,generated,
experiments/compatibility_41000_41063/final_summary.json,292,369ebc9323ca25e8e524a29311b7072aeb1110ca22f533f8b5777f0ca498286e,experiment,archive_wide,False,,generated,
experiments/compatibility_41000_41063/limitations.md,154,dfcc05253228c398154fafd8bcdbc59ca0e5fa5711fb57c5f69b554730d1d89e,experiment,archive_wide,False,,generated,
experiments/compatibility_41000_41063/per_seed_metrics.csv,15567,7f124496394c8b827e92c48b39102087cd380c2dad6415776601fe21311dc1d3,experiment,archive_wide,False,,generated,
experiments/compatibility_41000_41063/per_seed_metrics.json,43461,0235ad01702f172721b96459ee267d891f692dea0da1a1068c7e7958966b3776,experiment,archive_wide,False,,generated,
experiments/compatibility_41000_41063/reproduction.md,118,2ecfc558a1f3ffa27aae5623fa42d8e5714d53a2e7439ddeba6399c035385507,experiment,archive_wide,False,,generated,
experiments/compatibility_41000_41063/seeds.txt,14,c1a9dfb6eff6f4e855589475afd52388625c119b6fa8638f28758ce6ce613dee,experiment,archive_wide,False,,generated,
experiments/compatibility_41000_41063/source_files.md,76,b9543c65ce793f82c5018b27d2860d26bd58dc0147f9f028f3913af17723e8ee,experiment,archive_wide,False,,generated,
experiments/compatibility_41000_41063/statistics.json,248,e3d9bfff27f5f35aada072ac0352a76e58841b934507f38442af1f8447db3fe8,experiment,archive_wide,False,,generated,
experiments/innovation1_adaptive_cfg/README.md,1978,12e289899cf9736d9059c1ddc7f565d69a9ff4927e6985d9658be4381ede5574,experiment,innovation1,False,,generated,
experiments/innovation1_adaptive_cfg/data_schema.md,177,82561ba129071dc3b2c71504360e10607d30e17bb8da66a210f1f6a204aa819b,experiment,innovation1,False,,generated,
experiments/innovation1_adaptive_cfg/experiment_manifest.json,864,dcb6d601d1d081b533ed807858a0629ee8486158f29c8b56934586140fd078cb,experiment,innovation1,False,,generated,
experiments/innovation1_adaptive_cfg/final_summary.json,241,231ec53aa9f1b7f444ac0f8759051a6b551fb9ced00884524d5fe07af1620e4b,experiment,innovation1,False,,generated,
experiments/innovation1_adaptive_cfg/limitations.md,150,00a9bfa51b66d35519bc27e36a6fd3d2ce9bec948e131b6f2d579deeada7b57a,experiment,innovation1,False,,generated,
experiments/innovation1_adaptive_cfg/per_seed_metrics.csv,61703,96feb1f5fdfb8630452b3f0146212fbce390cf45e6f076bd6af5a1512e058f9a,experiment,innovation1,False,,generated,
experiments/innovation1_adaptive_cfg/per_seed_metrics.json,208539,9552ec6424357ee850a62967dbe56edaef3e5658d12b80cd2d91091c540e9e0f,experiment,innovation1,False,,generated,
