config,seed,chgnet_mag_density,target_error,hit_0.01,hit_0.02,hit_0.05
C0_B4,24109,0.00022701172702363793,0.09977298827297637,False,False,False
C0_B4,24110,0.001211361475885607,0.0987886385241144,False,False,False
C0_B4,24111,0.0002498323767975576,0.09975016762320245,False,False,False
C0_B4,24112,0.0011319845690506355,0.09886801543094936,False,False,False
C0_B4,24113,0.004123011373382265,0.09587698862661774,False,False,False
C0_B4,24114,0.00013508335237197237,0.09986491664762803,False,False,False
C0_B4,24115,0.00012715217371816798,0.09987284782628184,False,False,False
C0_B4,24116,0.00017149071869165664,0.09982850928130835,False,False,False
C0_B4,24117,0.00562218312433992,0.09437781687566009,False,False,False
C0_B4,24118,0.0004481241790835747,0.09955187582091643,False,False,False
C0_B4,24119,0.0009162845421684675,0.09908371545783154,False,False,False
C0_B4,24120,0.000214712231249803,0.0997852877687502,False,False,False
C0_B4,24121,0.003685327827031175,0.09631467217296882,False,False,False
C0_B4,24122,0.0007594407068192844,0.09924055929318072,False,False,False
C0_B4,24123,0.0002586336839173865,0.09974136631608262,False,False,False
C0_B4,24124,0.0002512928942626334,0.09974870710573737,False,False,False
C0_B4,24125,0.003707899532537947,0.09629210046746206,False,False,False
C0_B4,24126,0.00038054875367504005,0.09961945124632497,False,False,False
C0_B4,24127,0.0003973240366640437,0.09960267596333597,False,False,False
A0_B1,24064,0.07445153527427677,0.02554846472572324,False,False,True
A0_B1,24065,0.1105483182347539,0.010548318234753898,False,True,True
A0_B1,24066,0.10767437634826789,0.007674376348267883,True,True,True
A0_B1,24067,0.1396817071189608,0.039681707118960796,False,False,True
A0_B1,24068,0.11527717555884825,0.01527717555884825,False,True,True
A0_B1,24069,0.122519484866902,0.022519484866902,False,False,True
A0_B1,24070,0.10579859385359762,0.005798593853597614,True,True,True
A0_B1,24071,0.1231853628632705,0.023185362863270498,False,False,True
A0_B1,24072,0.13949834204658507,0.03949834204658506,False,False,True
A0_B1,24073,0.09172640648908277,0.008273593510917235,True,True,True
A0_B1,24074,0.15831679412660163,0.05831679412660162,False,False,False
A0_B1,24075,0.14694044832850614,0.046940448328506135,False,False,True
A0_B1,24076,0.14998837956199584,0.04998837956199584,False,False,True
A0_B1,24077,0.09478734058930309,0.005212659410696915,True,True,True
A0_B1,24078,0.06592871086145707,0.03407128913854293,False,False,True
A0_B1,24079,0.0340541582614773,0.0659458417385227,False,False,False
A0_B1,24080,0.14566691439205184,0.04566691439205184,False,False,True
A0_B1,24081,0.13318584645921153,0.03318584645921152,False,False,True
A0_B1,24082,0.04686998520575895,0.05313001479424106,False,False,False
A0_B1,24083,0.20515214636622955,0.10515214636622955,False,False,False
A0_B1,24084,0.11403509437981107,0.01403509437981107,False,True,True
A0_B1,24085,0.08699541303596874,0.01300458696403127,False,True,True
A0_B1,24086,0.07263330158580489,0.027366698414195118,False,False,True
A0_B1,24087,0.042631597859311574,0.05736840214068843,False,False,False
