method,seed,pool_id,candidate_seed,energy_ev,energy_per_atom_ev,maximum_force_ev_ang,pre_relax_max_force_ev_ang,converged,relax_elapsed_seconds,steps,formula,chemical_system,pre_relax_minimum_distance_angstrom,pre_relax_short_bond,pre_relax_abnormal_cell,energy_above_hull_per_atom,rmsd_from_relaxation,novel_unique_stable,stable,comp_validity,structure_comp_validity,structure_validity,novel,novel_unique,unique,is_unique,is_novel,is_explored,energy_above_hull,self_consistent_energy_above_hull
A0_E3G,40,40,20040,-23.746536254882812,-5.936634063720703,0.0019399127922952175,0.002176323415346751,True,0.20288120105396956,7,Eu2ZnHg,Eu-Hg-Zn,3.333191280682788,False,False,0.02445058366746089,0.0014023938154514525,False,True,True,True,True,False,False,True,True,False,True,0.02445058366746089,0.02445058366746089
A0_E3G,41,41,20041,-42.633792877197266,-7.105632146199544,0.022853335365653038,0.10125513654139885,True,0.4162263029720634,16,FeCoNi,Co-Fe-Ni,2.4533894118408988,False,False,0.0949392025792406,0.008424086191288456,False,True,True,True,True,False,False,True,True,False,True,0.0949392025792406,0.09425371040224029
A0_E3G,42,42,20042,-80.81260681152344,-8.979178534613716,0.04935186728835106,0.0527928883241536,True,0.24835567106492817,9,Eu6CuAs2,As-Cu-Eu,3.0786158559921537,False,False,0.08706541311281946,0.0036385853550168433,True,True,False,False,True,True,True,True,True,True,True,0.08706541311281946,0.08706541311281946
A0_E3G,43,43,20043,-49.71504592895508,-8.28584098815918,0.04922489449381828,0.12267686657218305,True,0.6123869010480121,22,GdCuPd,Cu-Gd-Pd,2.820613701077629,False,False,0.12131583475462904,0.011946526814398083,False,False,True,True,True,True,True,True,True,True,True,0.12131583475462904,0.10373984949229609
A0_E3G,44,44,20044,-24.20569610595703,-6.051424026489258,0.03522709757089615,0.04247013881985696,True,0.055274564074352384,2,FeCuNi2,Cu-Fe-Ni,2.468106280393079,False,False,0.0474922175849013,0.0008919344160696288,False,True,True,True,True,False,False,True,True,False,True,0.0474922175849013,0.0474922175849013
A0_E3G,45,45,20045,-86.42652893066406,-7.202210744222005,0.048504143953323364,0.13140197370167922,True,1.3309309200849384,48,TmFe3Co8,Co-Fe-Tm,2.3279046609687013,False,False,0.15568900672146668,0.023454644673459108,False,False,True,True,True,True,True,True,True,True,True,0.15568900672146668,0.15214243563522523
A0_E3G,46,46,20046,-90.11128234863281,-9.011128234863282,0.03815184906125069,0.05794920799351916,True,0.7884353729896247,30,Eu3FeO6,Eu-Fe-O,2.0505222963779053,False,False,0.2125601811014839,0.01004179645201241,False,False,True,True,True,True,True,True,True,True,True,0.2125601811014839,0.17450669836348354
A0_E3G,47,47,20047,-26.739280700683594,-6.684820175170898,0.022811895236372948,0.025099443073481574,True,0.07162828999571502,3,SmEu2Mg,Eu-Mg-Sm,3.5144044968952146,False,False,0.10463601299064429,0.0007575729097239903,False,False,True,True,True,True,True,True,True,True,True,0.10463601299064429,0.10463601299064429
A0_E3G,48,48,20048,-86.75778198242188,-8.675778198242188,0.04822036623954773,0.15335693718880655,True,0.6761381529504433,25,NaEu2ReO6,Eu-Na-O-Re,1.9152552369855684,False,False,0.10064080573565626,0.020795759003202203,False,False,True,True,True,False,False,True,True,False,True,0.10064080573565626,0.07411331392655107
A0_E3G,49,49,20049,-91.87850189208984,-7.65654182434082,0.0416504368185997,0.057964090059445056,True,1.0662033240078017,38,EuCo4B,B-Co-Eu,2.040369260158311,False,False,0.09034929940370517,0.007464438798710175,True,True,False,False,True,True,True,True,True,True,True,0.09034929940370517,0.054214791216523395
A0_E3G,50,50,20050,-75.68343353271484,-7.5683433532714846,0.0489259697496891,0.22794374665331404,True,1.1311337560182437,45,EuCu2ReO6,Cu-Eu-O-Re,1.9205617233472716,False,False,0.18785431331919789,0.017441040900085598,False,False,True,True,True,True,True,True,True,True,False,0.18785431331919789,0.18785431331919789
A0_E3G,51,51,20051,-60.92597961425781,-8.703711373465401,0.03782498836517334,0.1924378223586911,True,0.6270180640276521,25,Eu3(PPt)2,Eu-P-Pt,2.287802487660741,False,False,0.09971675367747679,0.014824261884339692,True,True,False,False,True,True,True,True,True,True,True,0.09971675367747679,0.02856940418890197
A0_E3G,52,52,20052,-73.7889175415039,-5.270636967250279,0.045500315725803375,0.3481568127215548,True,1.2110824410337955,43,MgFe(NiO2)4,Fe-Mg-Ni-O,1.9082585418606262,False,False,0.3167878577624066,0.025100722236584924,False,False,True,True,True,True,True,True,True,True,True,0.3167878577624066,0.3167878577624066
A0_E3G,53,53,20053,-27.67681312561035,-6.919203281402588,0.003352927044034004,0.0055448750715050505,True,0.4188583130016923,15,Eu2CdSn,Cd-Eu-Sn,3.437256702197862,False,False,0.045487173955932825,0.0015175134010206404,False,True,True,True,True,False,False,True,True,False,True,0.045487173955932825,0.004357920682182659
A0_E3G,54,54,20054,-44.819541931152344,-7.469923655192058,0.052232611924409866,0.04980010254360304,True,0.6348776560043916,26,EuNi2,Eu-Ni,2.6800597126016648,False,False,0.02120778828052039,0.0016642496107989477,False,True,True,True,True,False,False,True,True,False,True,0.02120778828052039,0.0
A0_E3G,55,55,20055,-103.58939361572266,-8.632449467976889,0.04780120402574539,0.21892037114395302,True,0.5896985589060932,23,CrFe5,Cr-Fe,2.432413609418228,False,False,0.0384950061749425,0.01605658027752712,False,True,True,True,True,False,False,True,True,False,True,0.0384950061749425,0.0384950061749425
A0_E3G,56,56,20056,-41.406982421875,-10.35174560546875,0.02723795548081398,0.22487691018651987,True,0.4144958370598033,16,GdScO2,Gd-O-Sc,2.191053226349217,False,False,0.22865431084833432,0.006058570062118303,False,False,True,True,True,False,False,True,True,False,True,0.22865431084833432,0.22865431084833432
A0_E3G,57,57,20057,-62.62005615234375,-7.827507019042969,0.042767565697431564,0.18183302437720922,True,0.7228276359383017,27,FeCo,Co-Fe,2.4439782789963704,False,False,0.032781366620390884,0.005575613551715246,False,True,True,True,True,False,False,True,True,False,True,0.032781366620390884,0.0
A0_E3G,58,58,20058,-29.077938079833984,-9.692646026611328,0.007550383917987347,0.006622249124085411,True,0.046823212993331254,2,GdHO,Gd-H-O,2.330431656503253,False,False,0.04121024254131633,0.000925499333189809,False,True,True,True,True,False,False,True,True,False,True,0.04121024254131633,0.001828213239095433
A0_E3G,59,59,20059,-99.78217315673828,-9.978217315673827,0.04725370556116104,0.18991806895207047,True,0.9005682970164344,35,Eu3ZrO6,Eu-O-Zr,2.1028946559583237,False,False,-0.007221302364936122,0.029457949271384093,True,True,True,True,True,True,True,True,True,True,True,-0.007221302364936122,0.0
A0_E3G,60,60,20060,-61.435081481933594,-7.679385185241699,0.051930539309978485,0.17462515419758734,True,2.521268715034239,96,LiEu3F4,Eu-F-Li,1.9138984267910204,False,False,0.2851691450796974,0.711433801561854,False,False,False,False,True,True,True,True,True,True,True,0.2851691450796974,0.2851691450796974
A0_E3G,61,61,20061,-66.54087829589844,-6.654087829589844,0.045000042766332626,0.6615970667923068,True,1.808627492049709,69,MnVFeO7,Fe-Mn-O-V,1.6205657419651645,False,False,0.43688039701595294,0.05873623091189191,False,False,True,True,True,True,True,True,True,True,True,0.43688039701595294,0.43688039701595294
A0_E3G,62,62,20062,-69.31641387939453,-6.931641387939453,0.038391709327697754,0.07113734683346316,True,0.30371227802243084,11,MnSnO3,Mn-O-Sn,2.0725761276102705,False,False,0.0911233204230868,0.0009338505022285284,False,True,True,True,True,False,False,True,True,False,True,0.0911233204230868,0.060405540599088425
A0_E3G,63,63,20063,-36.246952056884766,-4.530869007110596,0.04300582408905029,0.046735243994784126,True,0.4477592749753967,17,EuMg2Cu,Cu-Eu-Mg,2.75520602907625,False,False,-0.013640802936039975,0.005793652712456413,False,True,True,True,True,False,False,True,True,False,True,-0.013640802936039975,0.0
A0_E3G,64,64,20064,-50.0837516784668,-6.26046895980835,0.04946628957986832,0.05612394229976392,True,0.16362970892805606,6,Eu4Zn3Ga,Eu-Ga-Zn,2.6476922549231143,False,False,0.08311490835234814,0.0032182279000466953,True,True,True,True,True,True,True,True,True,True,True,0.08311490835234814,0.0780100479985979
A0_E3G,65,65,20065,-32.37553024291992,-8.09388256072998,0.008914841338992119,0.009629437627607323,True,0.05884064408019185,3,SrEu3,Eu-Sr,4.000948217287421,False,False,0.058823905704514345,0.0002350018672041491,False,True,True,True,True,False,False,True,True,False,True,0.058823905704514345,0.058823905704514345
A0_E3G,66,66,20066,-136.7550048828125,-6.837750244140625,0.08426124602556229,1.5318041428149671,False,13.659517930937,500,Li3Mn6BClO9,B-Cl-Li-Mn-O,1.3902005619160875,False,False,0.3151853792331831,0.33107327035964074,False,False,True,True,True,True,True,True,True,True,False,0.3151853792331831,0.3151853792331831
A0_E3G,67,67,20067,-68.64985656738281,-6.240896051580256,0.0453576035797596,0.17703462879370974,True,1.6061232070205733,67,Eu3MnGa2AgSn4,Ag-Eu-Ga-Mn-Sn,2.771595154063834,False,False,0.17473268845394596,0.16386029159818427,False,False,True,True,True,True,True,True,True,True,False,0.17473268845394596,0.17473268845394596
A0_E3G,68,68,20068,-70.6632080078125,-7.06632080078125,0.04965491220355034,0.8844240108110125,True,1.1396963419392705,42,Mn4ZnO5,Mn-O-Zn,1.8925117757660492,False,False,0.25239890946237686,0.040032472827383654,False,False,True,True,True,True,True,True,True,True,True,0.25239890946237686,0.25239890946237686
A0_E3G,69,69,20069,-31.160377502441406,-7.790094375610352,0.044477835297584534,0.15704134772260295,True,0.5749456139747053,24,Eu2PdI,Eu-I-Pd,2.9763252236930717,False,False,0.04759017081873118,0.01634650994930344,False,True,False,False,True,False,False,True,True,False,True,0.04759017081873118,0.04759017081873118
A0_E3G,70,70,20070,-86.85504150390625,-8.685504150390624,0.04898839816451073,0.025695226723323118,True,0.4463636699365452,18,Eu3PtO6,Eu-O-Pt,1.9957691823916337,False,False,0.3057203743984349,0.002861470272925517,False,False,True,True,True,True,True,True,True,True,True,0.3057203743984349,0.259550838542685
A0_E3G,71,71,20071,-33.25051498413086,-6.650102996826172,0.04403025284409523,0.21753437843983903,True,0.6503380319336429,25,Mn2FeH2,Fe-H-Mn,1.8216147432941387,False,False,0.11583978832726949,0.020809821967556656,False,False,False,False,True,True,True,True,True,True,True,0.11583978832726949,0.11583978832726949
A0_E3G,72,72,20072,-118.43450927734375,-6.57969495985243,0.04981444403529167,0.47392791307619525,True,1.3036226970143616,49,Mn3(OF2)2,F-Mn-O,1.8975662875337826,False,False,0.1986910164001756,0.033741161386123854,False,False,True,True,True,True,True,True,True,True,True,0.1986910164001756,0.1986910164001756
A0_E3G,73,73,20073,-192.36428833007812,-9.618214416503907,0.05000901222229004,0.3019372029467689,True,4.077859192970209,145,EuGd3P2CO13,C-Eu-Gd-O-P,1.2782119032722619,False,False,0.06644284828267288,0.04760235513863033,True,True,True,True,True,True,True,True,True,True,False,0.06644284828267288,0.06644284828267288
A0_E3G,74,74,20074,-77.03834533691406,-6.419862111409505,0.03927008435130119,0.023972498042959742,True,0.6092402508947998,22,EuNi9B2,B-Eu-Ni,2.014664451024498,False,False,0.1277241924516055,0.0015924282127768082,False,False,False,False,True,True,True,True,True,True,True,0.1277241924516055,0.1277241924516046
A0_E3G,75,75,20075,-31.935035705566406,-7.983758926391602,0.014507940970361233,0.1997868542018812,True,0.2700636610388756,10,Eu2SbBr,Br-Eu-Sb,3.188944532763347,False,False,0.03999134032621399,0.03318431353220746,True,True,True,True,True,True,True,True,True,True,True,0.03999134032621399,0.030603348265248798
A0_E3G,76,76,20076,-112.91899108886719,-10.265362826260654,0.050386667251586914,0.5086659819820192,True,1.2301897890865803,46,Eu2Gd2O7,Eu-Gd-O,2.1670189069769066,False,False,0.23377464822743832,0.01772466174342399,False,False,True,True,True,True,True,True,True,True,False,0.23377464822743832,0.23377464822743832
A0_E3G,77,77,20077,-29.28158950805664,-7.32039737701416,0.016222355887293816,0.05230799896517253,True,0.2798937610350549,11,Fe2NiPt,Fe-Ni-Pt,2.451802761134531,False,False,0.05198047708831055,0.0028169137723633953,False,True,True,True,True,False,False,False,False,False,True,0.05198047708831055,0.030173798898310622
A0_E3G,78,78,20078,-66.37133026123047,-8.296416282653809,0.03822901472449303,0.8216216709838106,True,1.0772737240185961,42,MnFeCoC,C-Co-Fe-Mn,1.8807802166492984,False,False,0.28747595740099463,0.03149636893850352,False,False,True,True,True,True,True,True,True,True,False,0.28747595740099463,0.28747595740099463
A0_E3G,79,79,20079,-45.378639221191406,-7.563106536865234,0.02679733745753765,0.07933716139896159,True,0.5743099210085347,21,Fe2Co3Rh,Co-Fe-Rh,2.412136390454494,False,False,0.09646225910332262,0.024120674353596487,True,True,True,True,True,True,True,True,True,True,True,0.09646225910332262,0.09646225910332262
A0_E3G,80,80,20080,-32.824913024902344,-8.206228256225586,0.03223191946744919,0.01238352822370659,True,1.292415972915478,53,Fe3Rh,Fe-Rh,2.6207266531041618,False,False,0.030191763222051193,0.030408911520074036,False,True,True,True,True,False,False,True,True,False,True,0.030191763222051193,0.0
A0_E3G,81,81,20081,-46.624610900878906,-7.770768483479817,0.007104033604264259,0.016240223646206288,True,0.3208050940884277,12,EuCo3B2,B-Co-Eu,2.0790630279508027,False,False,0.07226901637436178,0.0005558078253445406,False,True,True,True,True,False,False,True,True,False,True,0.07226901637436178,0.0
A0_E3G,82,82,20082,-92.6467514038086,-8.422431945800781,0.04767512157559395,0.12332602326054949,True,1.1272495279554278,43,Eu2GdF8,Eu-F-Gd,2.315056655407805,False,False,-0.08182098584180686,0.00791787426046059,True,True,True,True,True,True,True,True,True,True,False,-0.08182098584180686,0.0
A0_E3G,83,83,20083,-111.49665069580078,-10.136059154163707,0.050719670951366425,0.17322578947380307,True,1.1885604979470372,43,Eu5VN5,Eu-N-V,1.9494357124031785,False,False,0.16084012880479648,0.017138462949889806,False,False,True,True,True,True,True,True,True,True,True,0.16084012880479648,0.1411768657866137
A0_E3G,84,84,20084,-44.16421890258789,-5.520527362823486,0.04390120133757591,0.12104908619423602,True,0.42070811695884913,16,EuZnSb2,Eu-Sb-Zn,2.8040405825231876,False,False,0.040171086131576494,0.021442402868502256,False,True,True,True,True,False,False,True,True,False,True,0.040171086131576494,0.0
A0_E3G,85,85,20085,-74.55581665039062,-6.212984720865886,0.03671986237168312,0.08238427350787422,True,0.4343844479881227,16,EuH2,Eu-H,2.347659379938875,False,False,0.06983664233059983,0.017468765417101458,False,True,True,True,True,False,False,True,True,False,True,0.06983664233059983,0.0
A0_E3G,86,86,20086,-48.23807907104492,-6.029759883880615,0.044857412576675415,0.07581394903510291,True,0.6298824419500306,24,LiEu,Eu-Li,2.9507530745249038,False,False,0.08247338107361113,0.013126550909066082,True,True,True,True,True,True,True,True,True,True,True,0.08247338107361113,0.08247338107361113
