method,seed,success,technical_rerun,formula,num_atoms,elapsed_seconds,sampling_steps,corrector_steps_per_time,guidance_scale,target_dft_mag_density,base_checkpoint_sha256,finetuned_checkpoint_sha256,prospective_training_steps,dft_verified
C0,87006,True,False,Zn2Fe3O5,10,117.27955476404168,1000,1,2.0,0.1,01dd3e86805165412e0810e2a77a4756f8e1020f3ff2707c74af0a3f88a1bb8e,,0,False
GBSA-TCL,87006,True,False,Eu3PbO,10,115.96906918287277,1000,1,2.0,0.1,01dd3e86805165412e0810e2a77a4756f8e1020f3ff2707c74af0a3f88a1bb8e,1edc1c0c7848e9edaff9d73b135642fcfaa36e23591e4e2f336c39b3df3dcf0f,0,False
C0,87007,True,False,NdEu2MnO6,20,117.04059550096281,1000,1,2.0,0.1,01dd3e86805165412e0810e2a77a4756f8e1020f3ff2707c74af0a3f88a1bb8e,,0,False
GBSA-TCL,87007,True,False,EuGd2YO6,20,116.99874025816098,1000,1,2.0,0.1,01dd3e86805165412e0810e2a77a4756f8e1020f3ff2707c74af0a3f88a1bb8e,1edc1c0c7848e9edaff9d73b135642fcfaa36e23591e4e2f336c39b3df3dcf0f,0,False
C0,87008,True,False,Fe2Co,6,115.23964690696448,1000,1,2.0,0.1,01dd3e86805165412e0810e2a77a4756f8e1020f3ff2707c74af0a3f88a1bb8e,,0,False
GBSA-TCL,87008,True,False,EuGaI,6,112.87394317891449,1000,1,2.0,0.1,01dd3e86805165412e0810e2a77a4756f8e1020f3ff2707c74af0a3f88a1bb8e,1edc1c0c7848e9edaff9d73b135642fcfaa36e23591e4e2f336c39b3df3dcf0f,0,False
C0,87009,True,False,EuAu3,4,121.73964016488753,1000,1,2.0,0.1,01dd3e86805165412e0810e2a77a4756f8e1020f3ff2707c74af0a3f88a1bb8e,,0,False
GBSA-TCL,87009,True,False,EuAu,4,116.07061626785435,1000,1,2.0,0.1,01dd3e86805165412e0810e2a77a4756f8e1020f3ff2707c74af0a3f88a1bb8e,1edc1c0c7848e9edaff9d73b135642fcfaa36e23591e4e2f336c39b3df3dcf0f,0,False
C0,87010,True,False,MgMn4Ni3O8,16,121.25777403218672,1000,1,2.0,0.1,01dd3e86805165412e0810e2a77a4756f8e1020f3ff2707c74af0a3f88a1bb8e,,0,False
GBSA-TCL,87010,True,False,LiGd3Fe4SO7,16,116.1634883780498,1000,1,2.0,0.1,01dd3e86805165412e0810e2a77a4756f8e1020f3ff2707c74af0a3f88a1bb8e,1edc1c0c7848e9edaff9d73b135642fcfaa36e23591e4e2f336c39b3df3dcf0f,0,False
C0,87011,True,False,EuAlCu,9,116.99214616185054,1000,1,2.0,0.1,01dd3e86805165412e0810e2a77a4756f8e1020f3ff2707c74af0a3f88a1bb8e,,0,False
GBSA-TCL,87011,True,False,Eu6ScAl2,9,112.09343152213842,1000,1,2.0,0.1,01dd3e86805165412e0810e2a77a4756f8e1020f3ff2707c74af0a3f88a1bb8e,1edc1c0c7848e9edaff9d73b135642fcfaa36e23591e4e2f336c39b3df3dcf0f,0,False
C0,87012,True,False,Fe3Co5,8,112.40529264206998,1000,1,2.0,0.1,01dd3e86805165412e0810e2a77a4756f8e1020f3ff2707c74af0a3f88a1bb8e,,0,False
GBSA-TCL,87012,True,False,Eu3Au,8,117.1660851330962,1000,1,2.0,0.1,01dd3e86805165412e0810e2a77a4756f8e1020f3ff2707c74af0a3f88a1bb8e,1edc1c0c7848e9edaff9d73b135642fcfaa36e23591e4e2f336c39b3df3dcf0f,0,False
C0,87013,True,False,Fe3Si,8,114.43180267093703,1000,1,2.0,0.1,01dd3e86805165412e0810e2a77a4756f8e1020f3ff2707c74af0a3f88a1bb8e,,0,False
GBSA-TCL,87013,True,False,GdPt3,8,112.33289810502902,1000,1,2.0,0.1,01dd3e86805165412e0810e2a77a4756f8e1020f3ff2707c74af0a3f88a1bb8e,1edc1c0c7848e9edaff9d73b135642fcfaa36e23591e4e2f336c39b3df3dcf0f,0,False
C0,87014,True,False,MnCo,12,129.6287730380427,1000,1,2.0,0.1,01dd3e86805165412e0810e2a77a4756f8e1020f3ff2707c74af0a3f88a1bb8e,,0,False
GBSA-TCL,87014,True,False,Eu2Au,12,113.5184009380173,1000,1,2.0,0.1,01dd3e86805165412e0810e2a77a4756f8e1020f3ff2707c74af0a3f88a1bb8e,1edc1c0c7848e9edaff9d73b135642fcfaa36e23591e4e2f336c39b3df3dcf0f,0,False
C0,87015,True,False,Eu2YPb,4,124.38236896507442,1000,1,2.0,0.1,01dd3e86805165412e0810e2a77a4756f8e1020f3ff2707c74af0a3f88a1bb8e,,0,False
GBSA-TCL,87015,True,False,LiEu3,4,114.44945232686587,1000,1,2.0,0.1,01dd3e86805165412e0810e2a77a4756f8e1020f3ff2707c74af0a3f88a1bb8e,1edc1c0c7848e9edaff9d73b135642fcfaa36e23591e4e2f336c39b3df3dcf0f,0,False
C0,87016,True,False,Fe5Ni9,14,120.05310818692669,1000,1,2.0,0.1,01dd3e86805165412e0810e2a77a4756f8e1020f3ff2707c74af0a3f88a1bb8e,,0,False
GBSA-TCL,87016,True,False,Gd3Pt4,14,114.66345438407734,1000,1,2.0,0.1,01dd3e86805165412e0810e2a77a4756f8e1020f3ff2707c74af0a3f88a1bb8e,1edc1c0c7848e9edaff9d73b135642fcfaa36e23591e4e2f336c39b3df3dcf0f,0,False
C0,87017,True,False,Dy3Fe7Ni2,12,113.68802232597955,1000,1,2.0,0.1,01dd3e86805165412e0810e2a77a4756f8e1020f3ff2707c74af0a3f88a1bb8e,,0,False
GBSA-TCL,87017,True,False,EuPt2,12,115.48430776386522,1000,1,2.0,0.1,01dd3e86805165412e0810e2a77a4756f8e1020f3ff2707c74af0a3f88a1bb8e,1edc1c0c7848e9edaff9d73b135642fcfaa36e23591e4e2f336c39b3df3dcf0f,0,False
C0,87018,True,False,Eu5P3,16,116.25434482702985,1000,1,2.0,0.1,01dd3e86805165412e0810e2a77a4756f8e1020f3ff2707c74af0a3f88a1bb8e,,0,False
