omitted_seed,atomic_force_ratio,atomic_force_absolute_delta,atomic_force_ratio_ci95_low,atomic_force_ratio_ci95_high,atomic_force_status,max_force_gt1_delta_pp,max_force_gt1_ci95_low,max_force_gt1_ci95_high,max_force_gt1_status,max_force_gt2_delta_pp,max_force_gt2_ci95_low,max_force_gt2_ci95_high,max_force_gt2_status
87017,1.0912958438110278,0.010798484240494038,0.5885505584749844,1.933984162500389,BORDERLINE,3.225806451612903,-6.451612903225806,16.129032258064516,BORDERLINE,0.0,0.0,0.0,PASS
87018,1.0572670797605441,0.006806152185950334,0.5616979318574767,1.8798235296674526,BORDERLINE,3.225806451612903,-6.451612903225806,16.129032258064516,BORDERLINE,0.0,0.0,0.0,PASS
87019,1.0769552827552829,0.009330958860691074,0.586892016031549,1.88766752435264,BORDERLINE,3.225806451612903,-6.451612903225806,16.129032258064516,BORDERLINE,0.0,0.0,0.0,PASS
87020,1.0760749320141616,0.009200943941987727,0.5851922368286909,1.8885329640228001,BORDERLINE,3.225806451612903,-6.451612903225806,16.129032258064516,BORDERLINE,0.0,0.0,0.0,PASS
87021,1.0818384285813971,0.00988118603718914,0.5907397940250637,1.8960423498958896,BORDERLINE,3.225806451612903,-6.451612903225806,16.129032258064516,BORDERLINE,0.0,0.0,0.0,PASS
87022,0.980223638209812,-0.0023822739279969057,0.5299347419411249,1.7236563965502962,BORDERLINE,3.225806451612903,-6.451612903225806,16.129032258064516,BORDERLINE,0.0,0.0,0.0,PASS
87023,1.0981847429767426,0.011546907242564797,0.5963245147828059,1.9454480939543675,BORDERLINE,3.225806451612903,-6.451612903225806,16.129032258064516,BORDERLINE,0.0,0.0,0.0,PASS
87024,1.099420576091994,0.011808864856175369,0.6021776908055029,1.9368500433411888,BORDERLINE,3.225806451612903,-6.451612903225806,16.129032258064516,BORDERLINE,0.0,0.0,0.0,PASS
87025,1.086226107515954,0.010156468204822383,0.5846255891405122,1.9288441442925939,BORDERLINE,3.225806451612903,-6.451612903225806,16.129032258064516,BORDERLINE,0.0,0.0,0.0,PASS
87026,1.0805583740835596,0.00960690659102599,0.5846321627069636,1.9083410201746263,BORDERLINE,3.225806451612903,-6.451612903225806,16.129032258064516,BORDERLINE,0.0,0.0,0.0,PASS
87027,1.0686445479565818,0.00811408486194247,0.5707064673165564,1.9016769256234742,BORDERLINE,3.225806451612903,-6.451612903225806,16.129032258064516,BORDERLINE,0.0,0.0,0.0,PASS
87028,1.0910933182421485,0.010836584105492902,0.593111364908168,1.9235661191573699,BORDERLINE,3.225806451612903,-6.451612903225806,16.129032258064516,BORDERLINE,0.0,0.0,0.0,PASS
87029,1.1583974192425879,0.017705173398045546,0.634238980189524,2.034205306532097,BORDERLINE,3.225806451612903,-6.451612903225806,16.129032258064516,BORDERLINE,0.0,0.0,0.0,PASS
87030,1.0630208907416296,0.0076429867037765276,0.5765020102014801,1.8628938027604116,BORDERLINE,3.225806451612903,-6.451612903225806,16.129032258064516,BORDERLINE,0.0,0.0,0.0,PASS
87031,1.0272347681721536,0.0030603472458269054,0.53348862886461,1.9056543818129963,BORDERLINE,3.225806451612903,-6.451612903225806,16.129032258064516,BORDERLINE,0.0,0.0,0.0,PASS
