n,property_mae,property_median,e_hull_mean,stable_rate,novel_rate,unique_rate,nus_rate,validity_rate,maxf_mean,rmsd_mean,adaptive_acceptance_rate,fallback_rate,average_candidate_count,estimated_compute_multiplier,safe_oracle_gain,oracle_headroom,recovered_oracle_headroom,relative_property_improvement_vs_c0,selector,split,method,k,policies,validation_retained,subset_discovery
12,0.030511385894824244,0.02046273875756645,0.07817088000564552,0.8333333333333334,0.5,1.0,0.3333333333333333,1.0,0.1104938690162574,0.00967671467936969,0.5,0.5,4.0,4.6,0.013722649481688748,0.019245192777681833,0.7130429733913894,0.3102282973932576,SAFE-A,offline_validation,Fixed-K4,4,C19;G19;GPulse;P19,True,train_only_exhaustive
12,0.01874257545670097,0.013258460462533251,0.06664666534139572,0.75,0.6666666666666666,1.0,0.5,1.0,0.18364867273097238,0.11252587524285833,0.5833333333333334,0.4166666666666667,4.0,4.6,0.010056158455179723,0.01237499028833141,0.812619502793618,0.3491875193524092,SAFE-A,offline_test,Fixed-K4,4,C19;G19;GPulse;P19,True,train_only_exhaustive
24,0.02619968298128401,0.02293719618930445,0.07729447912697325,0.6666666666666666,0.7083333333333334,1.0,0.4166666666666667,1.0,0.21221046074060723,0.03847348360104073,0.375,0.625,1.0,2.0,0.007569040633885481,0.016792971281635354,0.45072670624780486,0.22414352168422907,SAFE-B,offline_train,Fixed-K1,1,C19,True,train_only_exhaustive
12,0.0438961881150364,0.0474849511466875,0.08317473650803248,0.75,0.5833333333333334,1.0,0.4166666666666667,1.0,0.11898592203700292,0.010394289191253984,0.25,0.75,1.0,2.0,0.0003378472614765926,0.009065628470888917,0.037266832913070556,0.007637721917091468,SAFE-B,offline_validation,Fixed-K1,1,C19,True,train_only_exhaustive
12,0.028492192168027796,0.032862068733590405,0.08061610235706407,0.75,0.75,1.0,0.5833333333333334,1.0,0.16015864346021164,0.08545282071442062,0.08333333333333333,0.9166666666666666,1.0,2.0,0.0003065417438528964,0.008689011894571039,0.03527924090475996,0.01064427848775793,SAFE-B,offline_test,Fixed-K1,1,C19,True,train_only_exhaustive
24,0.020873724866005278,0.01873424866863325,0.0712193554406347,0.6666666666666666,0.7083333333333334,1.0,0.4166666666666667,1.0,0.20109558219943816,0.03733754858046154,0.5,0.5,2.0,3.0,0.012894998749164215,0.016792971281635354,0.7678807122874123,0.3818621898806847,SAFE-B,offline_train,Fixed-K2,2,C19;G19,True,train_only_exhaustive
12,0.04191311642067755,0.0474849511466875,0.0827046280519506,0.75,0.5833333333333334,1.0,0.4166666666666667,1.0,0.11085361735119172,0.10342442642096762,0.3333333333333333,0.6666666666666666,2.0,3.0,0.0023209189558354437,0.009065628470888917,0.2560130236186338,0.05246907581639692,SAFE-B,offline_validation,Fixed-K2,2,C19;G19,True,train_only_exhaustive
12,0.026849451505037526,0.032862068733590405,0.08462358751055199,0.6666666666666666,0.75,1.0,0.5,1.0,0.14472779565646,0.018882498748626155,0.08333333333333333,0.9166666666666666,2.0,3.0,0.001949282406843167,0.008689011894571039,0.22433878909304905,0.06768639249237987,SAFE-B,offline_test,Fixed-K2,2,C19;G19,True,train_only_exhaustive
24,0.018589447613685122,0.01181929083618245,0.06746375064015771,0.75,0.7083333333333334,1.0,0.5,1.0,0.18985532587006068,0.02853991360314857,0.5833333333333334,0.4166666666666667,3.0,3.6,0.01517927600148437,0.016792971281635354,0.9039065062943502,0.4495069512981408,SAFE-B,offline_train,Fixed-K3,3,C19;G19;PPulse,True,train_only_exhaustive
12,0.03618944218845597,0.035331351758962654,0.0812709952843182,0.75,0.5833333333333334,1.0,0.4166666666666667,1.0,0.11828791198786347,0.15295638144127924,0.5,0.5,3.0,3.6,0.008044593188057024,0.009065628470888917,0.8873729178169402,0.1818643295729802,SAFE-B,offline_validation,Fixed-K3,3,C19;G19;PPulse,True,train_only_exhaustive
12,0.022854148677053408,0.02398747174274775,0.07480487825805344,0.75,0.75,1.0,0.5833333333333334,1.0,0.21539918744626144,0.021262146828104733,0.3333333333333333,0.6666666666666666,3.0,3.6,0.005944585234827285,0.008689011894571039,0.6841497407250078,0.2064182839779249,SAFE-B,offline_test,Fixed-K3,3,C19;G19;PPulse,True,train_only_exhaustive
24,0.017909290779862263,0.01181929083618245,0.06377451032080154,0.75,0.7083333333333334,1.0,0.5,1.0,0.19091340532759205,0.027892950179553788,0.6666666666666666,0.3333333333333333,4.0,4.2,0.01585943283530723,0.016792971281635354,0.9444089773827558,0.4696485723310815,SAFE-B,offline_train,Fixed-K4,4,C19;G19;GPulse;PPulse,True,train_only_exhaustive
12,0.0361796823577633,0.035331351758962654,0.08127417419870625,0.75,0.5833333333333334,1.0,0.4166666666666667,1.0,0.12125382917777944,0.1536052921103282,0.5833333333333334,0.4166666666666667,4.0,4.2,0.00805435301874969,0.009065628470888917,0.8884494930068463,0.1820849703218875,SAFE-B,offline_validation,Fixed-K4,4,C19;G19;GPulse;PPulse,True,train_only_exhaustive
12,0.022795015117495033,0.02398747174274775,0.07932507199381193,0.6666666666666666,0.75,1.0,0.5,1.0,0.2186874341374884,0.11348907479628384,0.3333333333333333,0.6666666666666666,4.0,4.2,0.00600371879438566,0.008689011894571039,0.6909552970156283,0.2084716228413386,SAFE-B,offline_test,Fixed-K4,4,C19;G19;GPulse;PPulse,True,train_only_exhaustive
