n,property_mae,property_median,e_hull_mean,stable_rate,novel_rate,unique_rate,nus_rate,validity_rate,maxf_mean,rmsd_mean,adaptive_acceptance_rate,fallback_rate,average_candidate_count,estimated_compute_multiplier,safe_oracle_gain,oracle_headroom,recovered_oracle_headroom,relative_property_improvement_vs_c0,selector,split,method,k,hindsight_policy_identity_required,interpretation
12,0.016423743623549283,0.0117971341772295,0.06587803582203132,0.75,0.5833333333333334,1.0,0.5,1.0,0.2141641698156794,0.022542561620983545,0.6666666666666666,0.3333333333333333,3.0,2.9333333333333336,0.01237499028833141,0.01237499028833141,1.0,0.4297060532659807,SAFE-A,offline_test,Oracle-K3,3,True,equals Oracle-All for K>=1 by the registered per-seed hindsight definition
12,0.016423743623549283,0.0117971341772295,0.06587803582203132,0.75,0.5833333333333334,1.0,0.5,1.0,0.2141641698156794,0.022542561620983545,0.6666666666666666,0.3333333333333333,4.0,3.5333333333333328,0.01237499028833141,0.01237499028833141,1.0,0.4297060532659807,SAFE-A,offline_test,Oracle-K4,4,True,equals Oracle-All for K>=1 by the registered per-seed hindsight definition
24,0.016975752333534138,0.01082215838216955,0.06421570205299305,0.75,0.7083333333333334,1.0,0.5,1.0,0.29740489833056927,0.046277955794838954,0.7083333333333334,0.2916666666666667,1.0,1.7666666666666666,0.016792971281635354,0.016792971281635354,1.0,0.497293633985374,SAFE-B,offline_train,Oracle-K1,1,True,equals Oracle-All for K>=1 by the registered per-seed hindsight definition
24,0.016975752333534138,0.01082215838216955,0.06421570205299305,0.75,0.7083333333333334,1.0,0.5,1.0,0.29740489833056927,0.046277955794838954,0.7083333333333334,0.2916666666666667,2.0,2.3666666666666667,0.016792971281635354,0.016792971281635354,1.0,0.497293633985374,SAFE-B,offline_train,Oracle-K2,2,True,equals Oracle-All for K>=1 by the registered per-seed hindsight definition
24,0.016975752333534138,0.01082215838216955,0.06421570205299305,0.75,0.7083333333333334,1.0,0.5,1.0,0.29740489833056927,0.046277955794838954,0.7083333333333334,0.2916666666666667,3.0,2.966666666666667,0.016792971281635354,0.016792971281635354,1.0,0.497293633985374,SAFE-B,offline_train,Oracle-K3,3,True,equals Oracle-All for K>=1 by the registered per-seed hindsight definition
24,0.016975752333534138,0.01082215838216955,0.06421570205299305,0.75,0.7083333333333334,1.0,0.5,1.0,0.29740489833056927,0.046277955794838954,0.7083333333333334,0.2916666666666667,4.0,3.5666666666666664,0.016792971281635354,0.016792971281635354,1.0,0.497293633985374,SAFE-B,offline_train,Oracle-K4,4,True,equals Oracle-All for K>=1 by the registered per-seed hindsight definition
12,0.035168406905624075,0.0352996187749568,0.08768858854054323,0.75,0.5833333333333334,1.0,0.4166666666666667,1.0,0.1260606077654908,0.06157769650311857,0.6666666666666666,0.3333333333333333,1.0,1.7000000000000002,0.009065628470888917,0.009065628470888917,1.0,0.20494690103952187,SAFE-B,offline_validation,Oracle-K1,1,True,equals Oracle-All for K>=1 by the registered per-seed hindsight definition
12,0.035168406905624075,0.0352996187749568,0.08768858854054323,0.75,0.5833333333333334,1.0,0.4166666666666667,1.0,0.1260606077654908,0.06157769650311857,0.6666666666666666,0.3333333333333333,2.0,2.3000000000000003,0.009065628470888917,0.009065628470888917,1.0,0.20494690103952187,SAFE-B,offline_validation,Oracle-K2,2,True,equals Oracle-All for K>=1 by the registered per-seed hindsight definition
12,0.035168406905624075,0.0352996187749568,0.08768858854054323,0.75,0.5833333333333334,1.0,0.4166666666666667,1.0,0.1260606077654908,0.06157769650311857,0.6666666666666666,0.3333333333333333,3.0,2.9,0.009065628470888917,0.009065628470888917,1.0,0.20494690103952187,SAFE-B,offline_validation,Oracle-K3,3,True,equals Oracle-All for K>=1 by the registered per-seed hindsight definition
12,0.035168406905624075,0.0352996187749568,0.08768858854054323,0.75,0.5833333333333334,1.0,0.4166666666666667,1.0,0.1260606077654908,0.06157769650311857,0.6666666666666666,0.3333333333333333,4.0,3.4999999999999996,0.009065628470888917,0.009065628470888917,1.0,0.20494690103952187,SAFE-B,offline_validation,Oracle-K4,4,True,equals Oracle-All for K>=1 by the registered per-seed hindsight definition
12,0.020109722017309654,0.0191835170670163,0.06107967015605597,0.75,0.8333333333333334,1.0,0.6666666666666666,1.0,0.22252023608113325,0.023944636384371772,0.5833333333333334,0.4166666666666667,1.0,1.7000000000000002,0.008689011894571039,0.008689011894571039,1.0,0.3017150657094149,SAFE-B,offline_test,Oracle-K1,1,True,equals Oracle-All for K>=1 by the registered per-seed hindsight definition
12,0.020109722017309654,0.0191835170670163,0.06107967015605597,0.75,0.8333333333333334,1.0,0.6666666666666666,1.0,0.22252023608113325,0.023944636384371772,0.5833333333333334,0.4166666666666667,2.0,2.3000000000000003,0.008689011894571039,0.008689011894571039,1.0,0.3017150657094149,SAFE-B,offline_test,Oracle-K2,2,True,equals Oracle-All for K>=1 by the registered per-seed hindsight definition
12,0.020109722017309654,0.0191835170670163,0.06107967015605597,0.75,0.8333333333333334,1.0,0.6666666666666666,1.0,0.22252023608113325,0.023944636384371772,0.5833333333333334,0.4166666666666667,3.0,2.9000000000000004,0.008689011894571039,0.008689011894571039,1.0,0.3017150657094149,SAFE-B,offline_test,Oracle-K3,3,True,equals Oracle-All for K>=1 by the registered per-seed hindsight definition
12,0.020109722017309654,0.0191835170670163,0.06107967015605597,0.75,0.8333333333333334,1.0,0.6666666666666666,1.0,0.22252023608113325,0.023944636384371772,0.5833333333333334,0.4166666666666667,4.0,3.4999999999999996,0.008689011894571039,0.008689011894571039,1.0,0.3017150657094149,SAFE-B,offline_test,Oracle-K4,4,True,equals Oracle-All for K>=1 by the registered per-seed hindsight definition
