seed,a0_max_force,a0_e3g_max_force,force_difference,force_relative_change,a0_rmsd,a0_e3g_rmsd,a0_ehull,a0_e3g_ehull,a0_stable,a0_e3g_stable,a0_nus,a0_e3g_nus,gate_confidence,gate_on,exact_fallback,displacement_mean,displacement_max,refinement_harm,relaxation_converged
41014,0.1000290624346485,0.0946511379455178,-0.0053779244891307,-0.0537636198744163,0.0132242360818171,0.0079748034968566,0.0853962696448782,0.0854321964637261,True,True,True,True,0.6372310340471841,True,False,,0.0107486134944978,False,True
41015,0.0377585892525578,0.0664234064767652,0.0286648172242073,0.7591601749862944,0.0009565087766531,0.000510697628297,0.0090473301272391,0.009070576892376,True,True,False,False,0.8826555532275159,True,False,,0.0043071842836242,True,True
41016,0.333906890481762,0.3339068299651885,-6.051657347461159e-08,-1.812378695968151e-07,0.0239255183696035,0.0239254951316743,0.081342896115089,0.081342896115089,True,True,True,True,0.4966105321036238,False,True,,0.0,False,True
41017,0.1004179249629804,0.038266460757771,-0.0621514642052093,-0.6189279874895032,0.0060464647192448,0.008140470491846,0.1266605460960423,0.126652938063815,False,False,False,False,0.9257768901366048,True,False,,0.0022716807910884,False,True
41018,0.0807562849665998,0.0640946792712704,-0.0166616056953294,-0.2063196158939272,1.5447676317148564,1.544815148963083,0.2254446327665746,0.225474219558567,False,False,False,False,0.8002390846079064,True,False,,0.0035575030638496,False,True
41019,0.0405491793437236,0.0405490661059841,-1.1323773950466799e-07,-2.7926024974459923e-06,0.0031084307868127,0.0031084325828278,0.0758322984568478,0.0758322984568478,True,True,True,True,0.2924995525227437,False,True,,0.0,False,True
41020,0.0395231144907445,0.0333247700104855,-0.006198344480259,-0.1568283410891245,0.0038255923697295,0.0034092628007409,0.1360304998643595,0.1360186651475619,False,False,False,False,0.8124714236656448,True,False,,0.0008802000344238,False,True
41021,0.0288142323359649,0.0143421952483285,-0.0144720370876364,-0.5022530851732224,0.0016786257249506,0.0021351526396545,0.377333141085364,0.3773222724678984,False,False,False,False,0.9706493427401304,True,False,,0.0013508201051578,False,True
41022,0.0971846216914691,0.0971848425550381,2.208635690031935e-07,2.272618498267828e-06,0.0166911366446623,0.0166911425045494,0.0268631071479967,0.0268631071479967,True,True,True,True,0.2158335498345496,False,True,,0.0,False,True
41023,0.0887174607887492,0.0851320838852558,-0.0035853769034934,-0.040413430136721,0.0380012142806135,0.037151555141514,0.1157882204377998,0.1157814577424876,False,False,False,False,0.9890157396065667,True,False,,0.0018908454062932,False,True
41024,0.3448258924908071,0.1842463752564504,-0.1605795172343566,-0.465682887309971,0.0313179159249816,0.0288013694769418,0.1569865488099768,0.1569732649441846,False,False,False,False,0.607228873506201,True,False,,0.0113061151677969,False,True
41025,0.0267029976152337,0.0267029236827147,-7.393251899925901e-08,-2.768697359920427e-06,0.0013625769367071,0.0013625728064989,0.1065603979887654,0.1065614546599089,False,False,False,False,0.1073964070099825,False,True,,0.0,False,True
41026,0.3503488621597497,0.247581977560421,-0.1027668845993287,-0.2933272965860804,0.0426013316281566,0.0322326698267418,0.1599167362253748,0.1599392785430833,False,False,False,False,0.5308795070965356,True,False,,0.0207762629408227,False,True
41027,0.1680490607586547,0.1839023295623718,0.015853268803717,0.0943371461414171,0.1377623840508536,0.1360750315907309,0.2424886238974162,0.2425102856558396,False,False,False,False,0.9858309556068524,True,False,,0.0139513713548917,True,True
41028,0.7304052532602031,0.5776600958487761,-0.152745157411427,-0.2091238483426027,0.1905662247876121,0.1860890709324075,0.2823350024380122,0.2824068560757062,False,False,False,False,0.6411216157981559,True,False,,0.0265275404704351,False,True
41029,0.3000675506592344,0.2477867648549085,-0.0522807858043259,-0.1742300548308787,0.0967618826014103,0.0942932816802382,0.1594387220583684,0.1594366087160832,False,False,False,False,0.825923326771434,True,False,,0.0132467133772609,False,True
41030,0.0763821011775263,0.079958488802233,0.0035763876247067,0.0468223257749156,0.0126958245274165,0.0131208543649698,0.0775252174133305,0.077525921860758,True,True,True,True,0.5063658933630957,True,False,,0.0043075447493673,True,True
41031,0.0248883831139111,0.0248883142528812,-6.886102989905886e-08,-2.766794033340386e-06,0.0009922746905456,0.0009922762419754,0.0646224595143891,0.0646224595143891,True,True,False,False,0.05636476745821,False,True,,0.0,False,True
41032,0.0060407015086517,0.0044388825753792,-0.0016018189332724,-0.2651710121710731,0.0007569867692402,0.0006416617199972,0.0561957036109568,0.0561946469398133,True,True,False,False,0.8122505357282335,True,False,,0.0002342877619503,False,True
41033,0.0041249926965096,0.0041249781342489,-1.4562260700241858e-08,-3.530251268702572e-06,0.0013794932331993,0.0013794921849305,0.094846615233207,0.0948460868976361,True,True,False,False,0.2078735865270635,False,True,,0.0,False,True
41034,0.1521052021476012,0.1521052171130858,1.4965484601558998e-08,9.838903857500323e-08,0.0256351963881499,0.0256351007067259,0.0648689218088085,0.0648682173613801,True,True,True,True,0.4753412938102305,False,True,,0.0,False,True
41035,0.0283559202337058,0.0283559408712194,2.063751359734911e-08,7.278026397047746e-07,0.0019120080575149,0.0019120105305025,0.0270358513593702,0.0270358513593702,True,True,False,False,0.0384415799226175,False,True,,0.0,False,True
41036,0.5177087695586087,0.6452858196038233,0.1275770500452145,0.2464262874163499,0.0395972583246018,0.0531977808869871,0.1752774615271999,0.1746772723182159,False,False,False,False,0.9330754566747684,True,False,,0.0192694222042227,True,True
41037,0.0730109800464176,0.0731551090468092,0.0001441290003916,0.0019740729449184,0.0089502157862274,0.0128911330251816,0.0045074487266782,0.0044334817466973,True,True,True,True,0.7684962518911596,True,False,,0.0049765006340806,True,True
41038,0.0414762669383745,0.0396405280798131,-0.0018357388585613,-0.0442599827339558,0.0046088425632921,0.0042905653999064,0.0759912206199988,0.0759764272240008,True,True,True,True,0.8890476494778707,True,False,,0.0019403385565928,False,True
41039,0.0123602288550815,0.0140675388406092,0.0017073099855277,0.138129318279232,0.0009558760345134,0.0009975437123274,0.078087790149091,0.0780888468202345,True,True,False,False,0.9096234843047112,True,False,,0.0010006733945202,True,True
41040,0.0191699340444908,0.0151610073065404,-0.0040089267379504,-0.2091257449632444,0.0039039917827466,0.0036741375313639,0.1262458981275429,0.1262406147718291,False,False,False,False,0.9349112700132572,True,False,,0.0018059241229906,False,True
41041,0.1925039574611821,0.2101917553979379,0.0176877979367558,0.0918827756583784,0.031103523673673,0.0347731153179875,0.1760068881988283,0.175956696319556,False,False,False,False,0.6954457631168536,True,False,,0.0166564912308745,True,True
41042,1.127613445433417,0.633858761089785,-0.493754684343632,-0.4378758397598293,0.1007863791354393,0.076400754963142,0.3685503883716823,0.3684844520923853,False,False,False,False,0.9855376049095884,True,False,,0.0407995094090718,False,True
41043,0.0878743397123775,0.0878743839966352,4.428425770530709e-08,5.039498202803503e-07,0.0232755795941482,0.0232756262082653,0.1085301751749368,0.1085301751749368,False,False,False,False,0.0151442451754532,False,True,,0.0,False,True
41044,0.0085904667272639,0.0085903847111088,-8.201615510003425e-08,-9.547345645346178e-06,0.0038621555840206,0.003862155714396,0.0583118470030825,0.0583118470030825,True,True,False,False,0.079608994106451,False,True,,0.0,False,True
41045,0.0746024840488509,0.0746025788057215,9.475687060001017e-08,1.270157043805161e-06,0.0197838742670889,0.0197838741934044,0.0826165600134309,0.0826165600134309,True,True,True,True,0.0848044360884017,False,True,,0.0,False,True
41046,0.4241725772281785,0.1748168294864388,-0.2493557477417397,-0.5878639052321428,0.0267474359065927,0.0165064112060594,0.0764118682226371,0.0765548070099235,True,True,True,True,0.9349415945176824,True,False,,0.0145325497879795,False,True
41047,0.5242862271644955,0.437830213951731,-0.0864560132127644,-0.1649023162030132,0.0320980320758368,0.0305805536637039,0.3038460333652288,0.303827315190702,False,False,False,False,0.7094413169953431,True,False,,0.0087197875520734,False,True
41048,0.272011070770451,0.211229307067217,-0.060781763703234,-0.2234532717035164,0.1669358489828422,0.17722840927839,0.2141517676787803,0.2137046783775655,False,False,False,False,0.9772324532280634,True,False,,0.0128722789461156,False,True
41049,0.1083735275766021,0.0994596246659619,-0.0089139029106402,-0.0822516633902089,0.0071899997497575,0.0075368208467809,0.0335588510643756,0.0335455036394165,True,True,True,True,0.8331329934382371,True,False,,0.0028206076654683,False,True
41050,0.5848849822697927,0.2459413939384768,-0.3389435883313159,-0.5795046865726666,0.0251474002981829,0.0216478636305581,0.3501301999014483,0.3500588158953714,False,False,False,False,0.9824766009984645,True,False,,0.0198655933683369,False,True
41051,0.318706268257644,0.3187062829543023,1.4696658334756309e-08,4.6113490064385695e-08,0.1003316071478734,0.1003316570844112,0.223086982791326,0.223086982791326,False,False,False,False,0.1295965246107461,False,True,,0.0,False,True
41052,0.0719723658361165,0.0655656316284221,-0.0064067342076944,-0.0890165848137151,0.390622765129416,0.3822194185617812,0.0452002650342979,0.0454665461622276,True,True,False,False,0.9618321661779204,True,False,,0.0112823786949781,False,True
41053,0.9739112988721004,0.4250863597433553,-0.5488249391287451,-0.5635266166070222,0.2547861213807228,0.25151293080691,0.0534769110034147,0.0535929527070724,True,True,True,True,0.8902908917152464,True,False,,0.0143047562800842,False,True
41054,0.1190319630285708,0.1190322990423463,3.360137754981896e-07,2.8228869536288954e-06,0.0080278354432143,0.0080278319755925,0.0544188970019989,0.0544188970019989,True,True,False,False,0.0522839632246334,False,True,,0.0,False,True
41055,0.7108531065480683,0.534970276036054,-0.1758828305120143,-0.2474250008783229,0.0651060941183769,0.062442225070211,0.1920499405527493,0.1920893896087392,False,False,False,False,0.7666487887140697,True,False,,0.0201378621676014,False,True
41056,0.0344329265585687,0.0344328806060861,-4.595248260380602e-08,-1.3345505943458836e-06,0.0036474648499134,0.0036474545141806,0.0353159514951597,0.0353159514951597,True,True,True,True,0.0477918622532555,False,True,,0.0,False,True
41057,0.0645492917453651,0.0645492718220461,-1.992331899458577e-08,-3.086527900752117e-07,0.0012480379187741,0.0012480348933122,0.069321054730743,0.069321054730743,True,True,False,False,0.0589985583972461,False,True,,0.0,False,True
41058,0.163630701016319,0.1636314191284374,7.181121184085537e-07,4.388614813408004e-06,0.0082013658046244,0.0082013658830387,0.0732472983031939,0.0732472983031939,True,True,False,False,0.0464985637799402,False,True,,0.0,False,True
41059,0.1052846503775482,0.1094769424410858,0.0041922920635376,0.0398186444890508,0.04588269217143,0.0443421686465084,0.1988174698174258,0.1988098617852003,False,False,False,False,0.7829877800267983,True,False,,0.0164965595469452,True,True
41060,0.5173139439440074,0.2408254257709722,-0.2764885181730352,-0.5344694868749982,0.0371892135082448,0.0299092188781308,0.1699097595939411,0.1700614975700158,False,False,False,False,0.9960288355111376,True,False,,0.0254328529071884,False,True
41061,0.1674267915935717,0.1420652714667762,-0.0253615201267955,-0.1514782663240693,0.014022208557508,0.0168489755205563,0.1331649371204548,0.1331093864089592,False,False,False,False,0.8558099527574816,True,False,,0.0165899690414426,False,True
41062,0.0235883928446008,0.0235883133317155,-7.951288530025359e-08,-3.3708479345787e-06,0.0013676337426278,0.0013676327944115,0.207011417570067,0.207011417570067,False,False,False,False,0.4886327605080418,False,True,,0.0,False,True
41063,0.0213737182693598,0.0198947887977749,-0.0014789294715849,-0.0691938320205622,0.0012377623481602,0.0011376937944957,0.0104762114345016,0.0104712803025019,True,True,False,False,0.9486191859817203,True,False,,0.0005754835207023,False,True
