method,seed,success,formula,num_atoms,elapsed_seconds,sampling_steps,corrector_steps_per_time,guidance_scale,target_dft_mag_density,base_checkpoint_sha256,finetuned_checkpoint_sha256,dft_verified
C0,83016,True,MnNi6BPd,9,117.91956417192705,1000,1,2.0,0.1,01dd3e86805165412e0810e2a77a4756f8e1020f3ff2707c74af0a3f88a1bb8e,,False
FT0,83016,True,Mn8Al,9,115.8045005898457,1000,1,2.0,0.1,01dd3e86805165412e0810e2a77a4756f8e1020f3ff2707c74af0a3f88a1bb8e,1cd254568463ae4d7774193fa0a0e97925cdad3b6c505c1e5f5dd4e7968f6960,False
TCL,83016,True,Eu3NiSn3Pd2,9,117.23060385207646,1000,1,2.0,0.1,01dd3e86805165412e0810e2a77a4756f8e1020f3ff2707c74af0a3f88a1bb8e,8dd9879f11edea7f25f587ae72f928a6f3ab2e5c81fc9400c13642364ad90443,False
C0,83017,True,SrEu2O3,12,112.35873918584548,1000,1,2.0,0.1,01dd3e86805165412e0810e2a77a4756f8e1020f3ff2707c74af0a3f88a1bb8e,,False
FT0,83017,True,MnC,12,113.36856439104304,1000,1,2.0,0.1,01dd3e86805165412e0810e2a77a4756f8e1020f3ff2707c74af0a3f88a1bb8e,1cd254568463ae4d7774193fa0a0e97925cdad3b6c505c1e5f5dd4e7968f6960,False
TCL,83017,True,Eu2Ge,12,122.00348043302074,1000,1,2.0,0.1,01dd3e86805165412e0810e2a77a4756f8e1020f3ff2707c74af0a3f88a1bb8e,8dd9879f11edea7f25f587ae72f928a6f3ab2e5c81fc9400c13642364ad90443,False
C0,83018,True,Eu2CO3F2,8,121.4517222570721,1000,1,2.0,0.1,01dd3e86805165412e0810e2a77a4756f8e1020f3ff2707c74af0a3f88a1bb8e,,False
FT0,83018,True,Mn3C,8,111.84551208699122,1000,1,2.0,0.1,01dd3e86805165412e0810e2a77a4756f8e1020f3ff2707c74af0a3f88a1bb8e,1cd254568463ae4d7774193fa0a0e97925cdad3b6c505c1e5f5dd4e7968f6960,False
TCL,83018,True,Eu2InPd,8,112.50992306298576,1000,1,2.0,0.1,01dd3e86805165412e0810e2a77a4756f8e1020f3ff2707c74af0a3f88a1bb8e,8dd9879f11edea7f25f587ae72f928a6f3ab2e5c81fc9400c13642364ad90443,False
C0,83019,True,EuMg,4,113.53802418103442,1000,1,2.0,0.1,01dd3e86805165412e0810e2a77a4756f8e1020f3ff2707c74af0a3f88a1bb8e,,False
FT0,83019,True,MnPt,4,122.39436680800281,1000,1,2.0,0.1,01dd3e86805165412e0810e2a77a4756f8e1020f3ff2707c74af0a3f88a1bb8e,1cd254568463ae4d7774193fa0a0e97925cdad3b6c505c1e5f5dd4e7968f6960,False
TCL,83019,True,Eu3Mg,4,114.5123671379406,1000,1,2.0,0.1,01dd3e86805165412e0810e2a77a4756f8e1020f3ff2707c74af0a3f88a1bb8e,8dd9879f11edea7f25f587ae72f928a6f3ab2e5c81fc9400c13642364ad90443,False
C0,83020,True,Mn3Fe2,5,112.79046031995676,1000,1,2.0,0.1,01dd3e86805165412e0810e2a77a4756f8e1020f3ff2707c74af0a3f88a1bb8e,,False
FT0,83020,True,EuFeCoGe2,5,115.41997487191111,1000,1,2.0,0.1,01dd3e86805165412e0810e2a77a4756f8e1020f3ff2707c74af0a3f88a1bb8e,1cd254568463ae4d7774193fa0a0e97925cdad3b6c505c1e5f5dd4e7968f6960,False
TCL,83020,True,Fe3GeN,5,114.00840766495094,1000,1,2.0,0.1,01dd3e86805165412e0810e2a77a4756f8e1020f3ff2707c74af0a3f88a1bb8e,8dd9879f11edea7f25f587ae72f928a6f3ab2e5c81fc9400c13642364ad90443,False
C0,83021,True,Fe3Co3Si2,16,115.75158911407925,1000,1,2.0,0.1,01dd3e86805165412e0810e2a77a4756f8e1020f3ff2707c74af0a3f88a1bb8e,,False
FT0,83021,True,Mn10(CN)3,16,117.31493561412208,1000,1,2.0,0.1,01dd3e86805165412e0810e2a77a4756f8e1020f3ff2707c74af0a3f88a1bb8e,1cd254568463ae4d7774193fa0a0e97925cdad3b6c505c1e5f5dd4e7968f6960,False
TCL,83021,True,Mg11Mn3Cu2,16,122.59037134493701,1000,1,2.0,0.1,01dd3e86805165412e0810e2a77a4756f8e1020f3ff2707c74af0a3f88a1bb8e,8dd9879f11edea7f25f587ae72f928a6f3ab2e5c81fc9400c13642364ad90443,False
C0,83022,True,Eu2Al,3,115.2839760100469,1000,1,2.0,0.1,01dd3e86805165412e0810e2a77a4756f8e1020f3ff2707c74af0a3f88a1bb8e,,False
FT0,83022,True,EuPPd,3,113.67345039406791,1000,1,2.0,0.1,01dd3e86805165412e0810e2a77a4756f8e1020f3ff2707c74af0a3f88a1bb8e,1cd254568463ae4d7774193fa0a0e97925cdad3b6c505c1e5f5dd4e7968f6960,False
TCL,83022,True,Eu2Al,3,114.22614578111097,1000,1,2.0,0.1,01dd3e86805165412e0810e2a77a4756f8e1020f3ff2707c74af0a3f88a1bb8e,8dd9879f11edea7f25f587ae72f928a6f3ab2e5c81fc9400c13642364ad90443,False
C0,83023,True,Mn3Pd5Pt4,12,115.85770491301082,1000,1,2.0,0.1,01dd3e86805165412e0810e2a77a4756f8e1020f3ff2707c74af0a3f88a1bb8e,,False
FT0,83023,True,Mn2C,12,113.74976856587455,1000,1,2.0,0.1,01dd3e86805165412e0810e2a77a4756f8e1020f3ff2707c74af0a3f88a1bb8e,1cd254568463ae4d7774193fa0a0e97925cdad3b6c505c1e5f5dd4e7968f6960,False
TCL,83023,True,Mn9Al2C,12,115.44312187796459,1000,1,2.0,0.1,01dd3e86805165412e0810e2a77a4756f8e1020f3ff2707c74af0a3f88a1bb8e,8dd9879f11edea7f25f587ae72f928a6f3ab2e5c81fc9400c13642364ad90443,False
C0,83024,True,Fe2Co4BH,8,115.26082161301747,1000,1,2.0,0.1,01dd3e86805165412e0810e2a77a4756f8e1020f3ff2707c74af0a3f88a1bb8e,,False
FT0,83024,True,Mn5C3,8,112.09665190102533,1000,1,2.0,0.1,01dd3e86805165412e0810e2a77a4756f8e1020f3ff2707c74af0a3f88a1bb8e,1cd254568463ae4d7774193fa0a0e97925cdad3b6c505c1e5f5dd4e7968f6960,False
TCL,83024,True,Eu3Sn,8,113.12341045611538,1000,1,2.0,0.1,01dd3e86805165412e0810e2a77a4756f8e1020f3ff2707c74af0a3f88a1bb8e,8dd9879f11edea7f25f587ae72f928a6f3ab2e5c81fc9400c13642364ad90443,False
C0,83025,True,Mn2Ni,6,115.3134959419258,1000,1,2.0,0.1,01dd3e86805165412e0810e2a77a4756f8e1020f3ff2707c74af0a3f88a1bb8e,,False
FT0,83025,True,Mn2C,6,111.90287793893367,1000,1,2.0,0.1,01dd3e86805165412e0810e2a77a4756f8e1020f3ff2707c74af0a3f88a1bb8e,1cd254568463ae4d7774193fa0a0e97925cdad3b6c505c1e5f5dd4e7968f6960,False
TCL,83025,True,Mn2C,6,120.24505479703657,1000,1,2.0,0.1,01dd3e86805165412e0810e2a77a4756f8e1020f3ff2707c74af0a3f88a1bb8e,8dd9879f11edea7f25f587ae72f928a6f3ab2e5c81fc9400c13642364ad90443,False
C0,83026,True,CaFe5,6,115.05698391515762,1000,1,2.0,0.1,01dd3e86805165412e0810e2a77a4756f8e1020f3ff2707c74af0a3f88a1bb8e,,False
FT0,83026,True,MnC,6,114.71370333991945,1000,1,2.0,0.1,01dd3e86805165412e0810e2a77a4756f8e1020f3ff2707c74af0a3f88a1bb8e,1cd254568463ae4d7774193fa0a0e97925cdad3b6c505c1e5f5dd4e7968f6960,False
