seed,num_atoms,volume_ang3,minimum_distance_angstrom,chgnet_energy_per_atom_ev,chgnet_max_force_ev_ang,chgnet_mag_density,gate_probability,gate_applied,initial_mattersim_max_force,q3_mattersim_max_force,force_improvement,magnetic_element_count
32031,11.0,208.8028916303397,2.1587774989492434,-8.54637336730957,0.5768891584279151,0.1467044188642232,0.8067344757787392,True,0.42043296733431335,0.40627062305716183,0.014162344277151517,9
32032,4.0,135.4406889696002,3.525497617938085,-6.763622760772705,0.0086088816309937,0.1024915616384496,0.9664996780185336,True,0.009136787462954437,0.008054204979069338,0.001082582483885099,2
32033,7.0,183.1811885294868,2.3932428306019533,-9.197059631347656,0.0652134316688016,0.1487985299458448,0.9764893969022372,True,0.09912732745113477,0.08267567732726169,0.016451650123873077,4
32034,13.0,181.84037919522268,2.377965448984521,-7.841552257537842,0.2099201372687396,0.138734240219259,0.6076932386201307,True,0.3103622819509912,0.27753044389411785,0.03283183805687334,13
32035,10.0,117.87893330490223,1.91023362410706,-8.760276794433594,0.1114124163258224,0.1071624310177214,0.9265532482160944,True,0.27435976830809417,0.21123369770173103,0.06312607060636313,4
32036,12.0,289.91488302706006,2.407721167412397,-8.59174633026123,0.4236257993260836,0.1178732841375834,0.8930649988065986,True,0.46766264794024887,0.26783398132119285,0.19982866661905602,7
32037,12.0,498.6178269099987,3.488723819920778,-9.28168487548828,0.0950970654970111,0.1410113650402825,0.9926200683304932,True,0.10266786761708638,0.09239096782578785,0.010276899791298533,12
32038,18.0,215.5794365027008,1.870910900957929,-7.640976905822754,0.2806175678606777,0.1145205520655862,0.957854958814754,True,0.4879098412293825,0.39859600671246154,0.08931383451692099,6
32039,3.0,63.039229324722925,2.4303257658531194,-6.770362854003906,0.0061166645767845,0.1089840769434447,0.4271719360459544,False,0.009725448444606447,0.009725368589286274,7.98553201723784e-08,1
32040,4.0,205.3622646468248,4.167256842521802,-8.134876251220703,0.0027276167228701,0.1030357222841419,0.9892910237115397,True,0.0015139209481274652,0.0013667556617971389,0.0001471652863303263,3
32041,8.0,173.37657875122977,2.659899228885711,-7.212352752685547,0.2327671131812896,0.0990899550800854,0.0626429207711148,False,0.39585352064955937,0.3958538463303755,-3.256808161489211e-07,3
