method,seed,formula,num_atoms,relaxation_steps,e_hull,stable,nus,novel,unique,rmsd,force_mean,force_max,streak_mean,streak_p95,streak_max,periodic_exact_calls
C0,69055,Eu2Fe2O6,10,12,0.08877025204752087,1.0,0.0,0.0,1.0,0.00029437527941903976,0.02720583451325583,0.05864118019508475,0.0,0.0,0,0
C0,69056,Eu6O2Pt2,10,22,0.07801149381640471,1.0,1.0,1.0,1.0,0.003795038114345136,0.04236694806687896,0.07199897937442586,0.0,0.0,0,0
C0,69057,H3Eu8F,12,22,0.1616530343212883,0.0,0.0,1.0,1.0,0.05018022190033212,0.03765154760441047,0.13212666006818533,0.0,0.0,0,0
C0,69058,GaMn3N,5,5,0.001671409847658012,1.0,0.0,0.0,1.0,0.0010555913763470445,0.016324266791761494,0.02780442207792674,0.0,0.0,0,0
C0,69059,Fe8TaY3,12,26,0.059411995991210276,1.0,1.0,1.0,1.0,0.005371775695371225,0.06792015385945323,0.09559869104015233,0.0,0.0,0,0
C0,69060,Eu3Ni7Zn2,12,42,0.13665006093261667,0.0,0.0,1.0,1.0,0.03281375653492006,0.16832930181547656,0.4363035448649806,0.0,0.0,0,0
C0,69061,BEu2Pt6,9,7,0.04101786422743103,1.0,1.0,1.0,1.0,0.009044838391227755,0.07772454812489468,0.12199278336762794,0.0,0.0,0,0
C0,69062,Fe7Nb,8,8,0.03213876197753862,1.0,1.0,1.0,1.0,0.00143042955526948,0.022866454799162488,0.04232978358025706,0.0,0.0,0,0
C0,69063,Eu,1,6,0.03602854888183593,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0
V2_Frozen_Atomic75_Late30,69000,CEu4F2NO11P,20,1014,0.10205753449218058,0.0,0.0,1.0,1.0,0.4604074467659599,0.42262427863834207,0.7513519434254207,8.784615384615385,39.0,199,0
V2_Frozen_Atomic75_Late30,69001,Co4CrPd,6,7,0.20964996845811612,0.0,0.0,1.0,1.0,0.0030723413606075127,0.035907483038572545,0.05553089799024143,115.83333333333333,287.0,287,0
V2_Frozen_Atomic75_Late30,69002,EuFePd2,4,14,0.35772691328369177,0.0,0.0,1.0,1.0,0.01744246271000298,0.0746757212995393,0.13470290064920798,700.0,700.0,700,0
V2_Frozen_Atomic75_Late30,69003,Ag4Eu6In2,12,42,0.051921779995119266,1.0,1.0,1.0,1.0,0.05245068688270655,0.05430480643768804,0.09184412882114838,6.075949367088608,7.0,163,0
V2_Frozen_Atomic75_Late30,69004,H2Fe2Ni2,6,15,0.057437878917644625,1.0,1.0,1.0,1.0,0.06474603904714094,0.09046851939164056,0.19052453428115051,7.743243243243243,9.0,216,0
V2_Frozen_Atomic75_Late30,69005,Co3Fe5P4,12,54,0.06894719215657563,1.0,1.0,1.0,1.0,0.02987404256275159,0.19213049974323113,0.4348076123597233,6.048192771084337,12.0,172,0
V2_Frozen_Atomic75_Late30,69006,Fe6Rh2,8,14,0.02406075053466772,1.0,0.0,0.0,1.0,0.003478463523252362,0.023916599351818016,0.0414420058713499,15.974358974358974,196.0,216,0
V2_Frozen_Atomic75_Late30,69007,CrFe4GeMn2O12,20,95,0.16669395648045615,0.0,0.0,1.0,1.0,0.0831147511526723,0.31913879200517914,0.6048680016481911,14.465116279069768,28.0,218,0
V2_Frozen_Atomic75_Late30,69008,Eu6O4,10,7,0.14537960456249976,0.0,0.0,1.0,1.0,0.0004828185871297167,0.01835970201139001,0.023859489910408812,21.866666666666667,102.0,282,0
V2_Frozen_Atomic75_Late30,69009,H2Fe8Sm2,12,146,0.24032461124511695,0.0,0.0,1.0,1.0,0.13776352536676106,0.19210455426141604,0.28646005959016174,11.574074074074074,75.0,154,0
V2_Frozen_Atomic75_Late30,69010,Eu2FFeGd2O6,12,65,0.10104925879340598,0.0,0.0,1.0,1.0,0.051966342281283426,0.443819858187752,0.9071559853438796,11.833333333333334,50.0,189,0
V2_Frozen_Atomic75_Late30,69011,As6Eu8,14,59,0.13936965983259064,0.0,0.0,1.0,1.0,0.05802855871852749,0.14176109679947344,0.21209401729000585,15.125,128.0,148,0
V2_Frozen_Atomic75_Late30,69012,H5Fe3MnO7,16,1333,0.09195878001464841,1.0,1.0,1.0,1.0,0.8008988077313494,0.579131364495215,1.6124488700108466,8.022222222222222,17.0,144,0
V2_Frozen_Atomic75_Late30,69013,Fe8Sc2Si2,12,24,0.1895409840104172,0.0,0.0,1.0,1.0,0.005054114739395906,0.11781359057834735,0.14830167919873363,9.583333333333334,24.0,155,0
V2_Frozen_Atomic75_Late30,69014,Eu3Tm,4,7,0.1392668771443688,0.0,0.0,1.0,1.0,0.0017140899865565056,0.0021104591498107817,0.0028142620490814283,232.66666666666666,575.0,575,0
V2_Frozen_Atomic75_Late30,69015,Fe8Sb4,12,36,0.27947797575358013,0.0,0.0,1.0,1.0,0.026613112259216504,0.12010826162168152,0.18537994811985278,18.305555555555557,87.0,153,0
V2_Frozen_Atomic75_Late30,69016,Fe6Rh6,12,164,0.05607216037923113,1.0,1.0,1.0,1.0,1.196162491772045,0.050969883163319935,0.09937622728198027,9.275862068965518,18.0,223,0
V2_Frozen_Atomic75_Late30,69017,H3Eu3O6,12,48,0.028651219612630285,1.0,1.0,1.0,1.0,0.04152739402836131,0.47388541535498807,1.1310536495927617,6.302631578947368,44.0,138,0
V2_Frozen_Atomic75_Late30,69018,Fe3Ir2Li3O8,16,61,0.19168037001953042,0.0,0.0,1.0,1.0,0.056768752799927436,0.26735109363084975,0.7063344242433224,5.4875,15.0,184,0
V2_Frozen_Atomic75_Late30,69019,CoFeNi2,4,7,0.0399284799890145,1.0,0.0,0.0,1.0,0.00034319441945898486,0.003237072033953013,0.004098563413270557,700.0,700.0,700,0
V2_Frozen_Atomic75_Late30,69020,Mn2,2,6,0.05513605775499997,1.0,0.0,0.0,1.0,0.001765012311802966,0.06511167055625963,0.06511167414277258,52.69230769230769,311.0,311,0
V2_Frozen_Atomic75_Late30,69021,Co2F8Fe2,12,32,0.05614430345703436,1.0,1.0,1.0,1.0,0.012254243651253015,0.06998660841597426,0.09674542750527179,8.014084507042254,10.0,195,0
V2_Frozen_Atomic75_Late30,69022,H3Fe3O7,13,73,0.2300794800631012,0.0,0.0,1.0,1.0,0.06698904206092059,0.4528866616256646,0.7482163415750714,8.984615384615385,30.0,169,0
V2_Frozen_Atomic75_Late30,69023,Eu4Ni2Sn4,10,16,0.029921948124997932,1.0,1.0,1.0,1.0,0.019625390240063895,0.06595072221680555,0.10685361147907169,11.590909090909092,35.0,268,0
V2_Frozen_Atomic75_Late30,69024,BaGdMn2O6,10,111,0.23449054891328913,0.0,0.0,1.0,1.0,0.09301962561304218,0.37926023367709394,0.6642595823095954,11.980392156862745,79.0,191,0
V2_Frozen_Atomic75_Late30,69025,Co2Fe6,8,14,0.03574204858642638,1.0,0.0,0.0,1.0,0.003051687770328562,0.04624704846751973,0.08685039596669092,6.626865671641791,46.0,82,0
V2_Frozen_Atomic75_Late30,69026,EuLi2,3,4,0.06669905323920311,1.0,0.0,0.0,1.0,0.0013432538091192226,0.00897629624421905,0.013233198110698714,174.25,385.0,385,0
V2_Frozen_Atomic75_Late30,69027,AsFe8GeSi,11,63,0.09839746844815345,1.0,1.0,1.0,1.0,0.03776141324140125,0.10720322754677128,0.18720765844216444,8.568181818181818,23.0,149,0
V2_Frozen_Atomic75_Late30,69028,Eu2InSm,4,7,0.06762436620442713,1.0,0.0,0.0,1.0,0.0007844241428626037,0.0015209974227042298,0.0026810522460220727,349.5,405.0,405,0
V2_Frozen_Atomic75_Late30,69029,CoFe2Ni2,5,12,0.09487816553125139,1.0,1.0,1.0,1.0,0.007275908154415793,0.04606460137419098,0.08653192179839184,13.866666666666667,23.0,276,0
V2_Frozen_Atomic75_Late30,69030,Co3Fe4,7,21,0.0642482404827005,1.0,0.0,0.0,1.0,0.002037412595553955,0.052105878561242804,0.07933853746976309,5.0,17.0,64,0
V2_Frozen_Atomic75_Late30,69031,Fe2Mn2O4,8,28,0.1132928864432774,0.0,0.0,1.0,1.0,0.0060201039057996095,0.09611536228014551,0.16661788002307404,45.46666666666667,226.0,226,0
V2_Frozen_Atomic75_Late30,69032,Eu3O5,8,21,0.11671394720540107,0.0,0.0,1.0,1.0,0.01737515367581628,0.1536299374246737,0.46356690993258487,139.0,473.0,473,0
V2_Frozen_Atomic75_Late30,69033,HFe2Gd3O8,14,62,0.1491907708203115,0.0,0.0,1.0,1.0,0.04249477172651908,0.44989718425907166,0.8719532762520561,7.0,20.0,144,0
V2_Frozen_Atomic75_Late30,69034,CdEu3Fe2O8Sr,15,30,0.10062729395963466,0.0,0.0,1.0,1.0,0.008488542007202496,0.0549120378053501,0.09468503508673426,9.933333333333334,21.0,192,0
V2_Frozen_Atomic75_Late30,69035,FeGdO3,5,18,0.1159293447480465,0.0,0.0,1.0,1.0,0.005673887008235202,0.11119297452201274,0.1464357195211882,700.0,700.0,700,0
V2_Frozen_Atomic75_Late30,69036,F7Fe6O5,18,47,0.08702108986918411,1.0,0.0,0.0,1.0,0.015683832659799245,0.14833535374290097,0.27007989206399263,6.672413793103448,6.0,188,0
V2_Frozen_Atomic75_Late30,69037,Fe2Rh2,4,30,0.048064316090087544,1.0,0.0,0.0,1.0,0.10552275794608434,0.12330501231240062,0.16094806205140902,700.0,700.0,700,0
V2_Frozen_Atomic75_Late30,69038,Co6Fe2,8,20,0.1025551243542484,0.0,0.0,0.0,1.0,0.010857845312351445,0.07791387853976016,0.10850264599344525,9.925925925925926,21.0,262,0
V2_Frozen_Atomic75_Late30,69039,H3Co2Fe,6,12,0.08359382823242356,1.0,1.0,1.0,1.0,0.023954234655625045,0.14521840855201648,0.4258890097671724,42.4375,434.0,434,0
V2_Frozen_Atomic75_Late30,69040,H2FeNi2,5,9,0.039129527870116476,1.0,1.0,1.0,1.0,0.011055318561833121,0.07332861765287046,0.14080571304353848,232.66666666666666,591.0,591,0
V2_Frozen_Atomic75_Late30,69041,EuGaNi2,4,25,0.02058260655273436,1.0,0.0,0.0,1.0,0.013721258545497897,0.04239945997445664,0.07964831511403175,174.25,561.0,561,0
V2_Frozen_Atomic75_Late30,69042,Eu3OPb,5,32,0.32419103683984396,0.0,0.0,1.0,1.0,0.013491930694406927,0.09645541434290347,0.22790705062039876,139.2,509.0,509,0
V2_Frozen_Atomic75_Late30,69043,Eu2FMn2O5,10,134,0.09134444287891696,1.0,1.0,1.0,1.0,0.087669876318192,0.2557148646016428,0.4191636355879603,39.94117647058823,301.0,301,0
V2_Frozen_Atomic75_Late30,69044,Fe8Pt4,12,27,0.04492241608398473,1.0,0.0,0.0,1.0,0.0074380973412422,0.06823274040705742,0.08802262022039675,12.387755102040817,59.0,151,0
V2_Frozen_Atomic75_Late30,69045,AlCu2Eu3Ni3,9,12,0.10967069758897807,0.0,0.0,1.0,1.0,0.005247966717986673,0.035008859127115516,0.05337184303308347,17.555555555555557,111.0,356,0
V2_Frozen_Atomic75_Late30,69046,EuNdPd2,4,9,0.057289916840820965,1.0,1.0,1.0,1.0,0.0013719368601180927,0.005077743387935297,0.007641715113546173,700.0,700.0,700,0
V2_Frozen_Atomic75_Late30,69047,Fe7LiO8,16,91,0.18153458046997084,0.0,0.0,1.0,1.0,0.05487521897162967,0.3263605020598672,0.7320817766831624,7.111111111111111,18.0,173,0
V2_Frozen_Atomic75_Late30,69048,Co2F12Fe3Li2,19,42,0.06453294090666084,1.0,1.0,1.0,1.0,0.016099841908060703,0.11115577736100682,0.32379494709260753,4.410958904109589,9.0,166,0
V2_Frozen_Atomic75_Late30,69049,Fe9OsTi2,12,28,0.10222781606607789,0.0,0.0,1.0,1.0,0.005885683910079155,0.06081823517919197,0.12980266673756438,13.391304347826088,67.0,129,0
V2_Frozen_Atomic75_Late30,69050,CrKO2,4,5,0.004022692265625238,1.0,0.0,0.0,1.0,0.0009237509473849702,0.0319675865019817,0.06310297834237936,700.0,700.0,700,0
V2_Frozen_Atomic75_Late30,69051,CoFe2Zn,4,25,0.0734340821722963,1.0,0.0,0.0,1.0,1.161255233959006,0.007187975868568991,0.011977570774614525,174.25,448.0,448,0
V2_Frozen_Atomic75_Late30,69052,Eu8P6,14,59,-0.150484408401228,1.0,1.0,1.0,1.0,0.05021047867532291,0.1235784137218425,0.17518432013956783,13.0,93.0,101,0
V2_Frozen_Atomic75_Late30,69053,HEu2GeLiO7,12,183,0.0624661635604129,1.0,1.0,1.0,1.0,0.23432427880565376,0.346509196903033,0.869936853251562,23.535714285714285,133.0,293,0
