adapter_accept_calls,adapter_calls,adapter_checkpoint_sha256,adapter_streak_max,adapter_streak_mean,adapter_streak_p95,anchor_k,atomic_risk_fallback_calls,checkpoint_sha256,coverage,fallback_calls,formula,forward_reduction,generation_time_seconds,invalid_risk_fallback_calls,late_exact_calls,logical_score_calls,method,nonfinite_adapter_fallback_calls,nonfinite_risk_fallback_calls,num_atoms,output_path,output_sha256,peak_gpu_memory_bytes,periodic_exact_calls,periodic_trace_calls,run_summary_path,samples_per_hour,second_forward_calls,seed,success
595,700,a2fd0f17c27b760958b60c1d1386577883635a34fb2101eb08e38fd8472702c7,16,9.596774193548388,16,16,73,01dd3e86805165412e0810e2a77a4756f8e1020f3ff2707c74af0a3f88a1bb8e,0.595,405,Fe7S,0.2975,84.84280334296636,0,300,1405,V3_AnchorK16,0,0,8,/mnt/lis-wam-data/dxl/mattergen_v1/experiments/corrector_residual_distillation_v3_anchor/stage_c/generation/V3_AnchorK16/69006/generated_crystals.extxyz,f5ec2543d3c10ba1be45a158aa5f459b8bc5d2a796ec32f989dbae61dbed4029,286344704,32,32,/mnt/lis-wam-data/dxl/mattergen_v1/experiments/corrector_residual_distillation_v3_anchor/stage_c/generation/V3_AnchorK16/69006/run_summary.json,42.43141266145406,405,69006,True
0,0,,0,0.0,0,0,0,01dd3e86805165412e0810e2a77a4756f8e1020f3ff2707c74af0a3f88a1bb8e,0.0,0,Eu2FeGeO6,0.0,116.99627274298109,0,0,2000,C0,0,0,20,/mnt/lis-wam-data/dxl/mattergen_v1/experiments/corrector_residual_distillation_v3_anchor/stage_c/generation/C0/69007/generated_crystals.extxyz,bfce66e45e3208ff2dc92a85a486c5e8236272e9a756811d579bf5fad1533122,377427968,0,0,/mnt/lis-wam-data/dxl/mattergen_v1/experiments/corrector_residual_distillation_v3_anchor/stage_c/generation/C0/69007/run_summary.json,30.770211012692055,1000,69007,True
622,700,a2fd0f17c27b760958b60c1d1386577883635a34fb2101eb08e38fd8472702c7,218,14.465116279069768,28,0,78,01dd3e86805165412e0810e2a77a4756f8e1020f3ff2707c74af0a3f88a1bb8e,0.622,378,Mn2CrFe4GeO12,0.311,84.19165224698372,0,300,1378,V2_Frozen_Atomic75_Late30,0,0,20,/mnt/lis-wam-data/dxl/mattergen_v1/experiments/corrector_residual_distillation_v3_anchor/stage_c/generation/V2_Frozen_Atomic75_Late30/69007/generated_crystals.extxyz,32e9b0c7cbc28cc0bceee5407c534d770c29e6a2ef42d29f66dd10160ee9e1ed,371698176,0,0,/mnt/lis-wam-data/dxl/mattergen_v1/experiments/corrector_residual_distillation_v3_anchor/stage_c/generation/V2_Frozen_Atomic75_Late30/69007/run_summary.json,42.75958368697978,378,69007,True
624,700,a2fd0f17c27b760958b60c1d1386577883635a34fb2101eb08e38fd8472702c7,16,8.914285714285715,16,16,48,01dd3e86805165412e0810e2a77a4756f8e1020f3ff2707c74af0a3f88a1bb8e,0.624,376,EuGd(FeO3)2,0.312,87.49593287613243,0,300,1376,V3_AnchorK16,0,0,20,/mnt/lis-wam-data/dxl/mattergen_v1/experiments/corrector_residual_distillation_v3_anchor/stage_c/generation/V3_AnchorK16/69007/generated_crystals.extxyz,077a6537c19d0f8da119544cea872e32475c0582017be258f4087d07dc616b85,371496960,28,28,/mnt/lis-wam-data/dxl/mattergen_v1/experiments/corrector_residual_distillation_v3_anchor/stage_c/generation/V3_AnchorK16/69007/run_summary.json,41.14476960999436,376,69007,True
0,0,,0,0.0,0,0,0,01dd3e86805165412e0810e2a77a4756f8e1020f3ff2707c74af0a3f88a1bb8e,0.0,0,Gd2S2O,0.0,113.09061586810276,0,0,2000,C0,0,0,10,/mnt/lis-wam-data/dxl/mattergen_v1/experiments/corrector_residual_distillation_v3_anchor/stage_c/generation/C0/69008/generated_crystals.extxyz,e27d9cb6ec13d6be0fc782a91606e144b4edd4ce2c9c551cd0f66843a49b537b,301942784,0,0,/mnt/lis-wam-data/dxl/mattergen_v1/experiments/corrector_residual_distillation_v3_anchor/stage_c/generation/C0/69008/run_summary.json,31.832879964140165,1000,69008,True
656,700,a2fd0f17c27b760958b60c1d1386577883635a34fb2101eb08e38fd8472702c7,282,21.866666666666667,102,0,44,01dd3e86805165412e0810e2a77a4756f8e1020f3ff2707c74af0a3f88a1bb8e,0.656,344,Eu3O2,0.328,87.5784539040178,0,300,1344,V2_Frozen_Atomic75_Late30,0,0,10,/mnt/lis-wam-data/dxl/mattergen_v1/experiments/corrector_residual_distillation_v3_anchor/stage_c/generation/V2_Frozen_Atomic75_Late30/69008/generated_crystals.extxyz,44f64bca2a1a169db218ecb918e7c1aec0ac7d8c781ad4b6ec7430fb8f9294bd,303144960,0,0,/mnt/lis-wam-data/dxl/mattergen_v1/experiments/corrector_residual_distillation_v3_anchor/stage_c/generation/V2_Frozen_Atomic75_Late30/69008/run_summary.json,41.10600084291787,344,69008,True
419,700,a2fd0f17c27b760958b60c1d1386577883635a34fb2101eb08e38fd8472702c7,16,6.161764705882353,16,16,262,01dd3e86805165412e0810e2a77a4756f8e1020f3ff2707c74af0a3f88a1bb8e,0.419,581,KRbEu4O4,0.2095,100.61758354702033,0,300,1581,V3_AnchorK16,0,0,10,/mnt/lis-wam-data/dxl/mattergen_v1/experiments/corrector_residual_distillation_v3_anchor/stage_c/generation/V3_AnchorK16/69008/generated_crystals.extxyz,6f6695b9c0b8b34a62fc54ce26c4d3bef1967f4d5787ac6002177596ed4eb65b,302031360,19,19,/mnt/lis-wam-data/dxl/mattergen_v1/experiments/corrector_residual_distillation_v3_anchor/stage_c/generation/V3_AnchorK16/69008/run_summary.json,35.77903456921779,581,69008,True
0,0,,0,0.0,0,0,0,01dd3e86805165412e0810e2a77a4756f8e1020f3ff2707c74af0a3f88a1bb8e,0.0,0,Sm2Fe5Co4B,0.0,113.51413421402685,0,0,2000,C0,0,0,12,/mnt/lis-wam-data/dxl/mattergen_v1/experiments/corrector_residual_distillation_v3_anchor/stage_c/generation/C0/69009/generated_crystals.extxyz,0c7b0450be8ecf68679fb1aa2657daab8d9734ef7b5a54a11daf943f850789c8,315795456,0,0,/mnt/lis-wam-data/dxl/mattergen_v1/experiments/corrector_residual_distillation_v3_anchor/stage_c/generation/C0/69009/run_summary.json,31.714112299110948,1000,69009,True
625,700,a2fd0f17c27b760958b60c1d1386577883635a34fb2101eb08e38fd8472702c7,154,11.574074074074074,75,0,75,01dd3e86805165412e0810e2a77a4756f8e1020f3ff2707c74af0a3f88a1bb8e,0.625,375,SmFe4H,0.3125,89.64247712586075,0,300,1375,V2_Frozen_Atomic75_Late30,0,0,12,/mnt/lis-wam-data/dxl/mattergen_v1/experiments/corrector_residual_distillation_v3_anchor/stage_c/generation/V2_Frozen_Atomic75_Late30/69009/generated_crystals.extxyz,43c5bf0e57b8bfad28749cd4469091aa0a57e6acbfff67867dbaae81443467cd,316831232,0,0,/mnt/lis-wam-data/dxl/mattergen_v1/experiments/corrector_residual_distillation_v3_anchor/stage_c/generation/V2_Frozen_Atomic75_Late30/69009/run_summary.json,40.15953279543459,375,69009,True
545,700,a2fd0f17c27b760958b60c1d1386577883635a34fb2101eb08e38fd8472702c7,16,5.989010989010989,16,16,133,01dd3e86805165412e0810e2a77a4756f8e1020f3ff2707c74af0a3f88a1bb8e,0.545,455,Sm2Fe7B3,0.2725,91.75313170789741,0,300,1455,V3_AnchorK16,0,0,12,/mnt/lis-wam-data/dxl/mattergen_v1/experiments/corrector_residual_distillation_v3_anchor/stage_c/generation/V3_AnchorK16/69009/generated_crystals.extxyz,0d60181b0a0f3653b110622eccff12d4e9cdf6b1a82d0a1e19a99967125b4563,315001856,22,22,/mnt/lis-wam-data/dxl/mattergen_v1/experiments/corrector_residual_distillation_v3_anchor/stage_c/generation/V3_AnchorK16/69009/run_summary.json,39.23571798574522,455,69009,True
