method,baseline,seed,metric,value,baseline_value,paired_delta
B2_V2_Global50,B0_C0,65005,rmsd,0.06842090353823926,0.017005051896144263,0.051415851642095
B2_V2_Global50,B0_C0,65005,pre_relaxation_max_force,0.09464168548583984,0.22913455963134766,-0.1344928741455078
B2_V2_Global50,B0_C0,65006,e_hull,0.9978117893398437,0.06880231986487839,0.9290094694749653
B2_V2_Global50,B0_C0,65006,stable,0.0,1.0,-1.0
B2_V2_Global50,B0_C0,65006,nus,0.0,0.0,0.0
B2_V2_Global50,B0_C0,65006,novel,1.0,0.0,1.0
B2_V2_Global50,B0_C0,65006,unique,1.0,1.0,0.0
B2_V2_Global50,B0_C0,65006,rmsd,0.04774080279699707,0.0009972894927156415,0.04674351330428143
B2_V2_Global50,B0_C0,65006,pre_relaxation_max_force,0.5681565403938293,0.010208654217422009,0.5579478861764073
B2_V2_Global50,B0_C0,65007,e_hull,0.10245109693164345,0.07408067232618976,0.028370424605453692
B2_V2_Global50,B0_C0,65007,stable,0.0,1.0,-1.0
B2_V2_Global50,B0_C0,65007,nus,0.0,1.0,-1.0
B2_V2_Global50,B0_C0,65007,novel,1.0,1.0,0.0
B2_V2_Global50,B0_C0,65007,unique,1.0,1.0,0.0
B2_V2_Global50,B0_C0,65007,rmsd,0.031680250307307194,0.07151171548690417,-0.03983146517959698
B2_V2_Global50,B0_C0,65007,pre_relaxation_max_force,0.4296207129955292,0.36783021688461304,0.06179049611091614
B2_V2_Global50,B0_C0,65008,e_hull,0.07904800193891326,0.28680647068536835,-0.2077584687464551
B2_V2_Global50,B0_C0,65008,stable,1.0,0.0,1.0
B2_V2_Global50,B0_C0,65008,nus,1.0,0.0,1.0
B2_V2_Global50,B0_C0,65008,novel,1.0,1.0,0.0
B2_V2_Global50,B0_C0,65008,unique,1.0,1.0,0.0
B2_V2_Global50,B0_C0,65008,rmsd,0.020261629039314583,0.3057979223689237,-0.28553629332960917
B2_V2_Global50,B0_C0,65008,pre_relaxation_max_force,0.3074418902397156,1.1992942094802856,-0.8918523192405701
B2_V2_Global50,B0_C0,65009,e_hull,0.052456232012941584,0.1017028086425853,-0.04924657662964371
B2_V2_Global50,B0_C0,65009,stable,1.0,0.0,1.0
B2_V2_Global50,B0_C0,65009,nus,1.0,0.0,1.0
B2_V2_Global50,B0_C0,65009,novel,1.0,1.0,0.0
B2_V2_Global50,B0_C0,65009,unique,1.0,1.0,0.0
B2_V2_Global50,B0_C0,65009,rmsd,0.007149558402434407,0.02975667699868804,-0.022607118596253632
B2_V2_Global50,B0_C0,65009,pre_relaxation_max_force,0.10922890156507492,0.332765132188797,-0.22353623062372208
B2_V2_Global50,B0_C0,65010,e_hull,0.048998048723222,0.05976134311686376,-0.010763294393641765
B2_V2_Global50,B0_C0,65010,stable,1.0,1.0,0.0
B2_V2_Global50,B0_C0,65010,nus,1.0,0.0,1.0
B2_V2_Global50,B0_C0,65010,novel,1.0,0.0,1.0
B2_V2_Global50,B0_C0,65010,unique,1.0,1.0,0.0
B2_V2_Global50,B0_C0,65010,rmsd,0.014769097583117664,0.00839745084263276,0.006371646740484904
B2_V2_Global50,B0_C0,65010,pre_relaxation_max_force,0.2084384560585022,0.10447023063898087,0.10396822541952133
B2_V2_Global50,B0_C0,65011,e_hull,0.14071042905468367,0.14476277359374912,-0.0040523445390654445
B2_V2_Global50,B0_C0,65011,stable,0.0,0.0,0.0
B2_V2_Global50,B0_C0,65011,nus,0.0,0.0,0.0
B2_V2_Global50,B0_C0,65011,novel,1.0,1.0,0.0
B2_V2_Global50,B0_C0,65011,unique,1.0,1.0,0.0
B2_V2_Global50,B0_C0,65011,rmsd,0.024956709343653374,0.024031852117856044,0.0009248572257973299
B2_V2_Global50,B0_C0,65011,pre_relaxation_max_force,0.2817874252796173,0.5451765060424805,-0.26338908076286316
B2_V2_Global50,B0_C0,65012,e_hull,0.23274057551920624,0.14852389949923328,0.08421667601997296
B2_V2_Global50,B0_C0,65012,stable,0.0,0.0,0.0
B2_V2_Global50,B0_C0,65012,nus,0.0,0.0,0.0
B2_V2_Global50,B0_C0,65012,novel,1.0,1.0,0.0
B2_V2_Global50,B0_C0,65012,unique,1.0,1.0,0.0
B2_V2_Global50,B0_C0,65012,rmsd,0.6970901331709483,0.041456576122912606,0.6556335570480356
B2_V2_Global50,B0_C0,65012,pre_relaxation_max_force,1.4175207614898682,0.28138744831085205,1.1361333131790161
B2_V2_Global50,B0_C0,65013,e_hull,0.07450550818929003,0.09789802752344734,-0.023392519334157313
B2_V2_Global50,B0_C0,65013,stable,1.0,1.0,0.0
B2_V2_Global50,B0_C0,65013,nus,1.0,1.0,0.0
