dataset,adapter,stage,timestep_bin,field,count,residual_mse,residual_rmse,residual_cosine
exact_validation,V2_DAgger,decile,8,pos,49200,4444.008162395198,66.66339447099284,0.4058233544399798
exact_validation,V2_DAgger,decile,9,atomic_numbers,1656400,0.13292728398897544,0.36459194174991777,0.014622073758738346
exact_validation,V2_DAgger,decile,9,cell,14400,56.46660208328756,7.514426264412178,0.3057986969484782
exact_validation,V2_DAgger,decile,9,pos,49200,15088.74917950886,122.83626980460153,0.40554943503507296
exact_validation,V2_DAgger,early,-1,atomic_numbers,5515812,5.808799468834012,2.4101451136464815,0.313514364470747
exact_validation,V2_DAgger,early,-1,cell,47952,0.015051297803028212,0.12268373080008699,0.9588095964124168
exact_validation,V2_DAgger,early,-1,pos,163836,0.9004341525720143,0.9489120889587266,0.00942745821807894
exact_validation,V2_DAgger,late,-1,atomic_numbers,5532376,0.791318523080582,0.8895608596833507,0.21292816228565334
exact_validation,V2_DAgger,late,-1,cell,48096,17.02534643371026,4.126178187343617,0.3216923758897618
exact_validation,V2_DAgger,late,-1,pos,164328,6269.679765693587,79.181309446697,0.40635052303866104
exact_validation,V2_DAgger,middle,-1,atomic_numbers,5515812,4.602221073388202,2.145278786868551,0.36106880644092676
exact_validation,V2_DAgger,middle,-1,cell,47952,0.04722241431972136,0.21730718883580763,0.8805122133937344
exact_validation,V2_DAgger,middle,-1,pos,163836,94.74036907829242,9.73346644717556,0.487344140020117
exact_validation,V2_DAgger,overall,-1,atomic_numbers,16564000,3.731170227268912,1.9316237281802353,0.3289756009424573
exact_validation,V2_DAgger,overall,-1,cell,144000,5.707202854996104,2.3889752729980493,0.3436755581169525
exact_validation,V2_DAgger,overall,-1,pos,492000,2125.9214292175366,46.10771550638284,0.4075892495274836
