method,baseline,seed,metric,value,baseline_value,paired_delta
C0,C0,66022,rmsd,0.01674020105035375,0.01674020105035375,0.0
C0,C0,66022,pre_relaxation_max_force,0.49430763721466064,0.49430763721466064,0.0
C0,C0,66023,e_hull,0.21476277866277016,0.21476277866277016,0.0
C0,C0,66023,stable,0.0,0.0,0.0
C0,C0,66023,nus,0.0,0.0,0.0
C0,C0,66023,novel,1.0,1.0,0.0
C0,C0,66023,unique,1.0,1.0,0.0
C0,C0,66023,rmsd,0.07078580000628742,0.07078580000628742,0.0
C0,C0,66023,pre_relaxation_max_force,0.9744464755058289,0.9744464755058289,0.0
C0,C0,66024,e_hull,0.33597802941545574,0.33597802941545574,0.0
C0,C0,66024,stable,0.0,0.0,0.0
C0,C0,66024,nus,0.0,0.0,0.0
C0,C0,66024,novel,1.0,1.0,0.0
C0,C0,66024,unique,1.0,1.0,0.0
C0,C0,66024,rmsd,0.041574723014532605,0.041574723014532605,0.0
C0,C0,66024,pre_relaxation_max_force,2.1948370933532715,2.1948370933532715,0.0
C0,C0,66025,e_hull,0.06922536733235685,0.06922536733235685,0.0
C0,C0,66025,stable,1.0,1.0,0.0
C0,C0,66025,nus,0.0,0.0,0.0
C0,C0,66025,novel,1.0,1.0,0.0
C0,C0,66025,unique,0.0,0.0,0.0
C0,C0,66025,rmsd,0.0075603252030827075,0.0075603252030827075,0.0
C0,C0,66025,pre_relaxation_max_force,0.08212977647781372,0.08212977647781372,0.0
C0,C0,66026,e_hull,0.18742570648315482,0.18742570648315482,0.0
C0,C0,66026,stable,0.0,0.0,0.0
C0,C0,66026,nus,0.0,0.0,0.0
C0,C0,66026,novel,1.0,1.0,0.0
C0,C0,66026,unique,1.0,1.0,0.0
C0,C0,66026,rmsd,0.09500283367851967,0.09500283367851967,0.0
C0,C0,66026,pre_relaxation_max_force,0.19217972457408905,0.19217972457408905,0.0
C0,C0,66027,e_hull,0.06572572238240593,0.06572572238240593,0.0
C0,C0,66027,stable,1.0,1.0,0.0
C0,C0,66027,nus,0.0,0.0,0.0
C0,C0,66027,novel,0.0,0.0,0.0
C0,C0,66027,unique,1.0,1.0,0.0
C0,C0,66027,rmsd,0.0018125374652153165,0.0018125374652153165,0.0
C0,C0,66027,pre_relaxation_max_force,0.007033356465399265,0.007033356465399265,0.0
C0,C0,66028,e_hull,0.16236471618431203,0.16236471618431203,0.0
C0,C0,66028,stable,0.0,0.0,0.0
C0,C0,66028,nus,0.0,0.0,0.0
C0,C0,66028,novel,1.0,1.0,0.0
C0,C0,66028,unique,1.0,1.0,0.0
C0,C0,66028,rmsd,0.0776549752130083,0.0776549752130083,0.0
C0,C0,66028,pre_relaxation_max_force,1.1421735286712646,1.1421735286712646,0.0
C0,C0,66029,e_hull,0.24195182992057163,0.24195182992057163,0.0
C0,C0,66029,stable,0.0,0.0,0.0
C0,C0,66029,nus,0.0,0.0,0.0
C0,C0,66029,novel,1.0,1.0,0.0
C0,C0,66029,unique,1.0,1.0,0.0
C0,C0,66029,rmsd,0.5344201059082652,0.5344201059082652,0.0
C0,C0,66029,pre_relaxation_max_force,1.4740676879882812,1.4740676879882812,0.0
C0,C0,66030,e_hull,0.15314545648437594,0.15314545648437594,0.0
C0,C0,66030,stable,0.0,0.0,0.0
C0,C0,66030,nus,0.0,0.0,0.0
C0,C0,66030,novel,1.0,1.0,0.0
C0,C0,66030,unique,1.0,1.0,0.0
C0,C0,66030,rmsd,0.048927149553967236,0.048927149553967236,0.0
C0,C0,66030,pre_relaxation_max_force,0.37344929575920105,0.37344929575920105,0.0
C0,C0,66031,e_hull,0.06598950258137659,0.06598950258137659,0.0
C0,C0,66031,stable,1.0,1.0,0.0
C0,C0,66031,nus,0.0,0.0,0.0
C0,C0,66031,novel,0.0,0.0,0.0
C0,C0,66031,unique,1.0,1.0,0.0
C0,C0,66031,rmsd,0.023889248290807748,0.023889248290807748,0.0
C0,C0,66031,pre_relaxation_max_force,0.21390792727470398,0.21390792727470398,0.0
C0,C0,66032,e_hull,0.07573546360026029,0.07573546360026029,0.0
C0,C0,66032,stable,1.0,1.0,0.0
C0,C0,66032,nus,1.0,1.0,0.0
C0,C0,66032,novel,1.0,1.0,0.0
C0,C0,66032,unique,1.0,1.0,0.0
C0,C0,66032,rmsd,0.0008035186485025328,0.0008035186485025328,0.0
C0,C0,66032,pre_relaxation_max_force,0.026226738467812538,0.026226738467812538,0.0
C0,C0,66033,e_hull,0.10595062552148349,0.10595062552148349,0.0
C0,C0,66033,stable,0.0,0.0,0.0
C0,C0,66033,nus,0.0,0.0,0.0
C0,C0,66033,novel,1.0,1.0,0.0
C0,C0,66033,unique,1.0,1.0,0.0
C0,C0,66033,rmsd,0.057692771065473894,0.057692771065473894,0.0
C0,C0,66033,pre_relaxation_max_force,0.12126755714416504,0.12126755714416504,0.0
C0,C0,66034,e_hull,0.033317012910160315,0.033317012910160315,0.0
C0,C0,66034,stable,1.0,1.0,0.0
C0,C0,66034,nus,1.0,1.0,0.0
C0,C0,66034,novel,1.0,1.0,0.0
C0,C0,66034,unique,1.0,1.0,0.0
C0,C0,66034,rmsd,0.07211340280901993,0.07211340280901993,0.0
C0,C0,66034,pre_relaxation_max_force,0.6077642440795898,0.6077642440795898,0.0
C0,C0,66035,e_hull,0.13311116281249546,0.13311116281249546,0.0
C0,C0,66035,stable,0.0,0.0,0.0
