method,seed,success,formula,num_atoms,guidance_schedule,coverage_target,checkpoint_sha256,adapter_checkpoint_sha256,timing_includes_teacher_recording,failure_return_code,failure_log_path,run_summary_path,structure_path,elapsed_seconds,time_per_sample,samples_per_hour,mattergen_score_calls,saved_score_calls,adapter_calls,adapter_accept_calls,adapter_acceptance_overall,adapter_acceptance_eligible,fallback_calls,adapter_coverage,second_forward_avoidance,forward_reduction,peak_allocated_bytes,adapter_seconds,exact_fallback_seconds,dagger_teacher_seconds,dagger_teacher_calls,late_exact_calls,early_reuse_calls,field_risk_fallback_calls
C0,66020,True,EuPPt,12,constant,0.0,01dd3e86805165412e0810e2a77a4756f8e1020f3ff2707c74af0a3f88a1bb8e,,False,0,,/mnt/lis-wam-data/dxl/mattergen_v1/experiments/corrector_residual_distillation_v2/generation/C0/66020/run_summary.json,/mnt/lis-wam-data/dxl/mattergen_v1/experiments/corrector_residual_distillation_v2/generation/C0/66020/generated_crystals.extxyz,113.58641769713722,113.58641769713722,31.693930251404808,2000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,316673536.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C0,66021,True,Eu5Y,6,constant,0.0,01dd3e86805165412e0810e2a77a4756f8e1020f3ff2707c74af0a3f88a1bb8e,,False,0,,/mnt/lis-wam-data/dxl/mattergen_v1/experiments/corrector_residual_distillation_v2/generation/C0/66021/run_summary.json,/mnt/lis-wam-data/dxl/mattergen_v1/experiments/corrector_residual_distillation_v2/generation/C0/66021/generated_crystals.extxyz,110.98498700815253,110.98498700815253,32.43681958295456,2000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,271905792.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C0,66022,True,ScTi(FeO3)2,10,constant,0.0,01dd3e86805165412e0810e2a77a4756f8e1020f3ff2707c74af0a3f88a1bb8e,,False,0,,/mnt/lis-wam-data/dxl/mattergen_v1/experiments/corrector_residual_distillation_v2/generation/C0/66022/run_summary.json,/mnt/lis-wam-data/dxl/mattergen_v1/experiments/corrector_residual_distillation_v2/generation/C0/66022/generated_crystals.extxyz,120.95538690686226,120.95538690686226,29.76303984519567,2000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,304610304.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C0,66023,True,YMn2Fe13B3,19,constant,0.0,01dd3e86805165412e0810e2a77a4756f8e1020f3ff2707c74af0a3f88a1bb8e,,False,0,,/mnt/lis-wam-data/dxl/mattergen_v1/experiments/corrector_residual_distillation_v2/generation/C0/66023/run_summary.json,/mnt/lis-wam-data/dxl/mattergen_v1/experiments/corrector_residual_distillation_v2/generation/C0/66023/generated_crystals.extxyz,114.04616314405575,114.04616314405575,31.566164969993004,2000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,366770688.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C0,66024,True,Gd2Co2B3,7,constant,0.0,01dd3e86805165412e0810e2a77a4756f8e1020f3ff2707c74af0a3f88a1bb8e,,False,0,,/mnt/lis-wam-data/dxl/mattergen_v1/experiments/corrector_residual_distillation_v2/generation/C0/66024/run_summary.json,/mnt/lis-wam-data/dxl/mattergen_v1/experiments/corrector_residual_distillation_v2/generation/C0/66024/generated_crystals.extxyz,113.06825431413017,113.06825431413017,31.839175565569043,2000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,282759168.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C0,66025,True,Fe7Ni5,12,constant,0.0,01dd3e86805165412e0810e2a77a4756f8e1020f3ff2707c74af0a3f88a1bb8e,,False,0,,/mnt/lis-wam-data/dxl/mattergen_v1/experiments/corrector_residual_distillation_v2/generation/C0/66025/run_summary.json,/mnt/lis-wam-data/dxl/mattergen_v1/experiments/corrector_residual_distillation_v2/generation/C0/66025/generated_crystals.extxyz,122.15741740702651,122.15741740702651,29.470171164513562,2000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,316256256.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C0,66026,True,MnFeSiPd,8,constant,0.0,01dd3e86805165412e0810e2a77a4756f8e1020f3ff2707c74af0a3f88a1bb8e,,False,0,,/mnt/lis-wam-data/dxl/mattergen_v1/experiments/corrector_residual_distillation_v2/generation/C0/66026/run_summary.json,/mnt/lis-wam-data/dxl/mattergen_v1/experiments/corrector_residual_distillation_v2/generation/C0/66026/generated_crystals.extxyz,120.56110861594789,120.56110861594789,29.860375715919638,2000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,286328832.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C0,66027,True,FeCoNiIr,4,constant,0.0,01dd3e86805165412e0810e2a77a4756f8e1020f3ff2707c74af0a3f88a1bb8e,,False,0,,/mnt/lis-wam-data/dxl/mattergen_v1/experiments/corrector_residual_distillation_v2/generation/C0/66027/run_summary.json,/mnt/lis-wam-data/dxl/mattergen_v1/experiments/corrector_residual_distillation_v2/generation/C0/66027/generated_crystals.extxyz,112.24451120593585,112.24451120593585,32.0728377835336,2000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,259490816.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C0,66028,True,Eu3FeH2O5,11,constant,0.0,01dd3e86805165412e0810e2a77a4756f8e1020f3ff2707c74af0a3f88a1bb8e,,False,0,,/mnt/lis-wam-data/dxl/mattergen_v1/experiments/corrector_residual_distillation_v2/generation/C0/66028/run_summary.json,/mnt/lis-wam-data/dxl/mattergen_v1/experiments/corrector_residual_distillation_v2/generation/C0/66028/generated_crystals.extxyz,116.91825921810232,116.91825921810232,30.79074238767503,2000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,307940864.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C0,66029,True,Mn4(SiO3)3,16,constant,0.0,01dd3e86805165412e0810e2a77a4756f8e1020f3ff2707c74af0a3f88a1bb8e,,False,0,,/mnt/lis-wam-data/dxl/mattergen_v1/experiments/corrector_residual_distillation_v2/generation/C0/66029/run_summary.json,/mnt/lis-wam-data/dxl/mattergen_v1/experiments/corrector_residual_distillation_v2/generation/C0/66029/generated_crystals.extxyz,120.56383990496397,120.56383990496397,29.859699250104736,2000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,347749376.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
