trial,selector,energy_above_hull_per_atom,rmsd_from_relaxation,stable,novel_unique_stable,comp_validity,structure_validity,novel,unique,converged,ehull_change_vs_first,rmsd_relative_change_vs_first,stable_change_vs_first,nus_change_vs_first
913,oracle_min_rmsd,0.1068323586257442,0.006481254977521559,0.59375,0.25,1.0,1.0,0.578125,0.90625,1.0,-0.05453920962703926,-0.9193361406382906,0.25,0.078125
913,oracle_stable_quality,0.06176701392491214,0.05147776888454727,0.84375,0.453125,1.0,1.0,0.546875,0.96875,1.0,-0.09960455432787131,-0.3593223034799373,0.5,0.28125
913,oracle_nus_quality,0.07041249452144564,0.04700294679274053,0.84375,0.59375,1.0,1.0,0.734375,0.96875,1.0,-0.09095907373133781,-0.4150146687909839,0.5,0.421875
914,baseline_first,0.16626044085142894,0.07433808623626253,0.375,0.203125,0.890625,1.0,0.78125,1.0,1.0,0.0,0.0,0.0,0.0
914,oracle_min_ehull,0.06138517097422626,0.019422913808639284,0.84375,0.453125,1.0,1.0,0.59375,0.921875,1.0,-0.10487526987720268,-0.7387219016251096,0.46875,0.25
914,oracle_min_rmsd,0.10938456445700995,0.006967882281352795,0.578125,0.203125,1.0,1.0,0.53125,0.9375,1.0,-0.05687587639441899,-0.906267666627745,0.203125,0.0
914,oracle_stable_quality,0.06138517097422626,0.019422913808639284,0.84375,0.453125,1.0,1.0,0.59375,0.921875,1.0,-0.10487526987720268,-0.7387219016251096,0.46875,0.25
914,oracle_nus_quality,0.06813225921151832,0.029314672433835343,0.84375,0.65625,1.0,1.0,0.796875,0.953125,1.0,-0.09812818163991062,-0.6056574238316148,0.46875,0.453125
915,baseline_first,0.15577644928014667,0.0589875627505183,0.359375,0.21875,0.828125,1.0,0.75,0.96875,1.0,0.0,0.0,0.0,0.0
915,oracle_min_ehull,0.06273045170373238,0.04661876639534518,0.875,0.4375,1.0,1.0,0.546875,0.90625,1.0,-0.09304599757641428,-0.2096848179248505,0.515625,0.21875
915,oracle_min_rmsd,0.0952907695643873,0.01226784535502605,0.609375,0.21875,1.0,1.0,0.515625,0.875,1.0,-0.06048567971575937,-0.7920265767393779,0.25,0.0
915,oracle_stable_quality,0.06273045170373238,0.04661876639534518,0.875,0.4375,1.0,1.0,0.546875,0.90625,1.0,-0.09304599757641428,-0.2096848179248505,0.515625,0.21875
915,oracle_nus_quality,0.06791845624813934,0.04834797157675838,0.875,0.578125,1.0,1.0,0.71875,0.953125,1.0,-0.08785799303200732,-0.180370075955824,0.515625,0.359375
916,baseline_first,0.1303100947904257,0.03381027070243778,0.484375,0.3125,0.828125,1.0,0.796875,0.96875,1.0,0.0,0.0,0.0,0.0
916,oracle_min_ehull,0.056501133263203045,0.04314717670070119,0.890625,0.4375,1.0,1.0,0.53125,0.921875,1.0,-0.07380896152722266,0.2761559077842639,0.40625,0.125
916,oracle_min_rmsd,0.104125336229481,0.007081174439594135,0.578125,0.25,1.0,1.0,0.59375,0.921875,1.0,-0.02618475856094471,-0.7905614390989313,0.09375,-0.0625
916,oracle_stable_quality,0.056501133263203045,0.04314717670070119,0.890625,0.4375,1.0,1.0,0.53125,0.921875,1.0,-0.07380896152722266,0.2761559077842639,0.40625,0.125
916,oracle_nus_quality,0.061874352944024845,0.046527401474926774,0.890625,0.59375,1.0,1.0,0.703125,0.96875,1.0,-0.06843574184640086,0.3761321784262457,0.40625,0.28125
917,baseline_first,0.11972620961281172,0.06658376144531457,0.484375,0.234375,0.8125,1.0,0.6875,0.96875,1.0,0.0,0.0,0.0,0.0
917,oracle_min_ehull,0.057853059585836,0.02637235364090012,0.890625,0.4375,1.0,1.0,0.546875,0.953125,1.0,-0.061873150026975715,-0.6039221415485845,0.40625,0.203125
917,oracle_min_rmsd,0.09137264582329926,0.005127481953213455,0.6875,0.25,1.0,1.0,0.5,0.90625,1.0,-0.028353563789512454,-0.9229920052290126,0.203125,0.015625
917,oracle_stable_quality,0.057853059585836,0.02637235364090012,0.890625,0.4375,1.0,1.0,0.546875,0.953125,1.0,-0.061873150026975715,-0.6039221415485845,0.40625,0.203125
917,oracle_nus_quality,0.06341599521930957,0.03973556419358803,0.890625,0.625,1.0,1.0,0.734375,0.96875,1.0,-0.056310214393502145,-0.40322439989781955,0.40625,0.390625
