seed,gate_confidence,gate_on,c0_max_force,e3g_max_force,force_gain,spearman_rho,spearman_p
40088,0.9796105824009252,True,0.1390264964229436,0.1255003728574191,0.01352612356552449,0.37542200732433045,5.440778131205153e-10
40089,0.5828952964073519,True,0.286098937849321,0.2791492020362412,0.006949735813079783,0.37542200732433045,5.440778131205153e-10
40090,0.3330570616089777,False,0.3424755728666446,0.3424760629175225,-4.90050877877124e-07,0.37542200732433045,5.440778131205153e-10
40091,0.8301092025798695,True,0.2176568647604798,0.1977220882782076,0.01993477648227221,0.37542200732433045,5.440778131205153e-10
40092,0.9666466883204086,True,0.0158575492247569,0.0108403376640675,0.0050172115606894,0.37542200732433045,5.440778131205153e-10
40093,0.7409852287777428,True,0.1797236122224803,0.1221823864621439,0.05754122576033639,0.37542200732433045,5.440778131205153e-10
40094,0.30404142072975,False,0.2661382410900025,0.2661383301995207,-8.910951820872981e-08,0.37542200732433045,5.440778131205153e-10
40095,0.7658258082558651,True,0.3553700735343968,0.290922806197878,0.06444726733651879,0.37542200732433045,5.440778131205153e-10
40096,0.997561737396616,True,0.2453319699619829,0.1707615856033769,0.074570384358606,0.37542200732433045,5.440778131205153e-10
40097,0.9578447873475144,True,0.5103962213651028,0.5051552637264117,0.005240957638691035,0.37542200732433045,5.440778131205153e-10
40098,0.2235900583849086,False,0.1136400360030167,0.1136399522050342,8.379798249746884e-08,0.37542200732433045,5.440778131205153e-10
40099,0.9619855571652722,True,0.6984226557438749,0.5884097708602273,0.11001288488364758,0.37542200732433045,5.440778131205153e-10
40100,0.7045057205598121,True,0.1967865775332126,0.1880599378515705,0.008726639681642112,0.37542200732433045,5.440778131205153e-10
40101,0.0286533248926802,False,0.1641334153015421,0.1641335426258252,-1.2732428308903643e-07,0.37542200732433045,5.440778131205153e-10
40102,0.3565730696403326,False,0.0099821050008798,0.0099823795222748,-2.7452139499985206e-07,0.37542200732433045,5.440778131205153e-10
40103,0.0259717837645369,False,0.0064019715511723,0.0064020655476707,-9.399649839991059e-08,0.37542200732433045,5.440778131205153e-10
40104,0.347859261890332,False,0.2369902162564534,0.2369901274009303,8.885552307824618e-08,0.37542200732433045,5.440778131205153e-10
40105,0.3719911814963322,False,0.1651081220203731,0.1651080482387382,7.378163488502842e-08,0.37542200732433045,5.440778131205153e-10
40106,0.9040767321933244,True,1.06555781103971,0.6496124433375646,0.4159453677021453,0.37542200732433045,5.440778131205153e-10
40107,0.069037592787378,False,0.1350784332206804,0.1350786103238471,-1.771031667152645e-07,0.37542200732433045,5.440778131205153e-10
40108,0.4124293787594006,False,0.165988501483338,0.1659889024804184,-4.009970804019769e-07,0.37542200732433045,5.440778131205153e-10
40109,0.8407655602040454,True,0.1300362818355062,0.1451439102255524,-0.015107628390046202,0.37542200732433045,5.440778131205153e-10
40110,0.1292938008218034,False,0.4319512709688755,0.4319513008356118,-2.986673630633874e-08,0.37542200732433045,5.440778131205153e-10
40111,0.0612751906209715,False,0.1436047301769404,0.1436044644865541,2.656903863029747e-07,0.37542200732433045,5.440778131205153e-10
40112,0.6396411039879165,True,0.1057840190495321,0.2057155310523825,-0.0999315120028504,0.37542200732433045,5.440778131205153e-10
40113,0.7848400040537505,True,0.1919935034102383,0.2403322846967344,-0.0483387812864961,0.37542200732433045,5.440778131205153e-10
40114,0.9962546618239012,True,0.6538642497219188,0.4500010856286572,0.2038631640932616,0.37542200732433045,5.440778131205153e-10
40115,0.926086808065524,True,0.019531396353611,0.0560831773486223,-0.0365517809950113,0.37542200732433045,5.440778131205153e-10
40116,0.0371766451677833,False,0.963941676891256,0.9639429854921696,-1.3086009136298316e-06,0.37542200732433045,5.440778131205153e-10
40117,0.3775799228499649,False,0.5124955248269221,0.5124955820027344,-5.7175812306908824e-08,0.37542200732433045,5.440778131205153e-10
40118,0.8236270538330851,True,0.1371917102044864,0.0082426648178279,0.1289490453866585,0.37542200732433045,5.440778131205153e-10
40119,0.277978150496986,False,0.0508255855382599,0.0508265827671921,-9.972289321952266e-07,0.37542200732433045,5.440778131205153e-10
40120,0.0057323982386908,False,0.1154167093358365,0.1154165453772738,1.6395856269890707e-07,0.37542200732433045,5.440778131205153e-10
40121,0.7653445718788334,True,0.2700924280438172,0.2165667574271828,0.053525670616634435,0.37542200732433045,5.440778131205153e-10
40122,0.9200645678658516,True,0.3792608988846481,0.3207910969757088,0.0584698019089393,0.37542200732433045,5.440778131205153e-10
40123,0.1946587339898676,False,0.065058283204311,0.0650580234770375,2.597272734938816e-07,0.37542200732433045,5.440778131205153e-10
40124,0.0223576224753538,False,0.1435697530479787,0.143569636609989,1.164379896945178e-07,0.37542200732433045,5.440778131205153e-10
40125,0.9148603324422406,True,0.3605245465521689,0.3018041220005332,0.05872042455163573,0.37542200732433045,5.440778131205153e-10
40126,0.8623510054673762,True,0.0056114229084443,0.0045789482629378,0.0010324746455065,0.37542200732433045,5.440778131205153e-10
40127,0.2591498934337882,False,0.0679000414493329,0.0679003054205107,-2.6397117780518897e-07,0.37542200732433045,5.440778131205153e-10
40128,0.6991333815947186,True,0.0325694270462125,0.0432776178904257,-0.010708190844213206,0.37542200732433045,5.440778131205153e-10
40129,0.8077207664624666,True,0.866977688861652,0.4754119437179331,0.39156574514371895,0.37542200732433045,5.440778131205153e-10
40130,0.4733799240052687,False,0.251891808643619,0.2518915887576873,2.1988593168487114e-07,0.37542200732433045,5.440778131205153e-10
40131,0.9189006170623516,True,0.0353939226567694,0.0268720653915622,0.008521857265207197,0.37542200732433045,5.440778131205153e-10
40132,0.9401344163381152,True,0.1839135279468257,0.1567425909518438,0.02717093699498188,0.37542200732433045,5.440778131205153e-10
40133,0.8962897514924723,True,0.2540019360260651,0.2346412943050426,0.019360641721022476,0.37542200732433045,5.440778131205153e-10
