seed,c0_max_force,e3a_max_force,e3g_max_force,gate_on,exact_fallback
40104,0.2369902162564534,0.2830551321160776,0.2369901274009303,False,True
40105,0.1651081220203731,0.1132021873364681,0.1651080482387382,False,True
40106,1.06555781103971,0.6496140840801296,0.6496124433375646,True,False
40107,0.1350784332206804,0.0728422455361336,0.1350786103238471,False,True
40108,0.165988501483338,0.1377178992808584,0.1659889024804184,False,True
40109,0.1300362818355062,0.1451468772312464,0.1451439102255524,True,False
40110,0.4319512709688755,0.2579009227941795,0.4319513008356118,False,True
40111,0.1436047301769404,0.1227989444224874,0.1436044644865541,False,True
40112,0.1057840190495321,0.2057218998832307,0.2057155310523825,True,False
40113,0.1919935034102383,0.2403318790163981,0.2403322846967344,True,False
40114,0.6538642497219188,0.4499983890325967,0.4500010856286572,True,False
40115,0.019531396353611,0.0560918904098566,0.0560831773486223,True,False
40116,0.963941676891256,0.4978907816918511,0.9639429854921696,False,True
40117,0.5124955248269221,0.4935351267386006,0.5124955820027344,False,True
40118,0.1371917102044864,0.0082432719850627,0.0082426648178279,True,False
40119,0.0508255855382599,0.091418483145087,0.0508265827671921,False,True
40120,0.1154167093358365,0.1338169185988774,0.1154165453772738,False,True
40121,0.2700924280438172,0.2165663261129869,0.2165667574271828,True,False
40122,0.3792608988846481,0.3207906143108676,0.3207910969757088,True,False
40123,0.065058283204311,0.106165820504824,0.0650580234770375,False,True
40124,0.1435697530479787,0.1412005545409203,0.143569636609989,False,True
40125,0.3605245465521689,0.3018063955483916,0.3018041220005332,True,False
40126,0.0056114229084443,0.0045787893618768,0.0045789482629378,True,False
40127,0.0679000414493329,0.0651934192126979,0.0679003054205107,False,True
40128,0.0325694270462125,0.0432770838148451,0.0432776178904257,True,False
40129,0.866977688861652,0.4754136282836605,0.4754119437179331,True,False
40130,0.251891808643619,0.4497790696441769,0.2518915887576873,False,True
40131,0.0353939226567694,0.0268719979944553,0.0268720653915622,True,False
40132,0.1839135279468257,0.156742546021778,0.1567425909518438,True,False
40133,0.2540019360260651,0.2346415033222156,0.2346412943050426,True,False
40134,0.297947907480187,0.0468825397951109,0.297948147813795,False,True
40135,0.0573972143009129,0.0558799149599757,0.0558799370128948,True,False
40136,0.1356818747966084,0.0920409138206183,0.135681997701841,False,True
40137,0.0070951678860611,0.006246886810573,0.0070949801346371,False,True
40138,0.2842042855316821,0.2989849123179346,0.2989829259896193,True,False
40139,0.6242443422556185,0.3980938338609003,0.3981012544126789,True,False
40140,0.0944316549284387,0.0664678094459285,0.0664678483442536,True,False
40141,0.2125005815302637,0.1896820328777396,0.1896818443159953,True,False
40142,0.0026343685212157,0.0023189097907141,0.0026342739444343,False,True
40143,0.1345647376332044,0.1045432718497385,0.1045438446302089,True,False
40144,0.7270432766025782,0.4865264194828417,0.72704230908571,False,True
40145,0.3374563567920655,0.2223164123577871,0.2223119625701237,True,False
40146,0.0176567647684554,0.0140842477259366,0.0140831777890038,True,False
40147,1.338167520278841,1.3767831642512605,1.3381671745605324,False,True
40148,0.3953702131717579,0.1851314567023252,0.1851336583728479,True,False
40149,0.0201506136693596,0.0250481186134351,0.0250482405050043,True,False
40150,0.0864254568506804,0.085600861442571,0.085600343002275,True,False
40151,0.0423239061063491,0.0295745476706158,0.0295737398406432,True,False
40152,0.0719185305470321,0.1183378795803228,0.0719183830801824,False,True
40153,0.0169100650027607,0.0245796210368804,0.0169101317824322,False,True
40154,0.2575569802644516,0.2455285434479724,0.2455301581184275,True,False
40155,0.0476337391048829,0.0715486974930686,0.0476341439026546,False,True
40156,0.7107583061360304,0.3610266038044459,0.3610366840636843,True,False
40157,0.5097196895177252,0.3535460868780323,0.3535434333231445,True,False
40158,8.082431505511433,2.659136170602334,2.659138663471812,True,False
40159,0.198314720269681,0.1351841370374528,0.1351863780184665,True,False
40160,0.7101405823414931,0.5312268914861987,0.7101410927675443,False,True
40161,2.333438798264488,1.341859906095993,1.3418615841207218,True,False
40162,0.4261433453639613,0.359720372128666,0.4261450262376973,False,True
40163,0.1002465893044847,0.0859672271119696,0.085971028547016,True,False
40164,0.4346590042003892,0.3294444371197158,0.3294504818560511,True,False
40165,2.341367775912774,0.667860740935696,0.6678606080982525,True,False
40166,0.3162632372509336,0.3048355841333859,0.3048370151360791,True,False
40167,0.1100939868200449,0.0996865322561609,0.1100938033370249,False,True
40168,0.0143487668054921,0.0457958087488884,0.0457957290727676,True,False
40169,0.3926350685512402,0.2192217719633331,0.2192215321779047,True,False
40170,0.2981858462464068,0.2960479691057132,0.2960472418257205,True,False
40171,0.8134521315734072,0.708622315422864,0.7086236081848969,True,False
40172,0.0763217529485174,0.0862642162341929,0.0862609888498383,True,False
40173,0.1391006506958106,0.1295273526497229,0.1391003584113533,False,True
40174,5.9959293692432345,1.3059194834964527,1.3058716736996223,True,False
40175,1.5024610943244716,1.3640507682187264,1.3640552639242889,True,False
40176,0.0081856627709808,0.0069765926739923,0.006976442369034,True,False
40177,3.90755776918392,3.5856220509347896,3.585622645830758,True,False
40178,0.2804646236606841,0.2766903955638668,0.2766903670712811,True,False
40179,0.6190045730687357,0.4067946194170097,0.4067929432092548,True,False
40180,0.1429362606943494,0.1154056553425249,0.1429364885065611,False,True
40181,0.1265801013574236,0.1605887555743251,0.1265802356014088,False,True
