seed,ehull_difference_ev_atom,stable_difference,nus_difference
20063,-0.0981945436198729,0,-1
20064,-0.006606226323852701,0,0
20065,-0.10370100848502961,1,0
20066,0.08974026742132679,0,0
20067,-0.03647995553982408,0,0
20068,-0.2309267374640403,0,0
20069,-0.0321299899676522,0,-1
20070,0.1957402984619136,0,0
20071,0.0541902973131929,-1,0
20072,-0.09936832543113819,0,0
20073,-0.22737373125807112,1,1
20074,0.08853225617202301,-1,-1
20075,-0.23500037202631138,1,1
20076,0.1728222135088871,-1,-1
20077,-0.010826645604561591,0,0
20078,0.19133346231239118,-1,0
20079,0.01069510557851841,0,1
20080,0.0181271290890059,0,0
20081,-0.0489621913185819,1,0
20082,-0.014312699350073302,0,0
20083,-0.06886119995509071,0,0
20084,-0.08749670002264409,1,0
20085,-0.0828039250330388,1,0
20086,0.0627546849747836,0,0
20087,0.07076215661268215,0,0
20088,0.0575481600801346,-1,0
20089,-0.07211512516371421,1,1
20090,-0.12342716506313248,0,0
20091,0.0970158955079655,-1,-1
20092,-0.3184571615000067,1,1
20093,-0.045767953304237004,0,0
20094,0.0524276222632425,0,0
20095,0.13380128734956648,-1,-1
20096,-0.0983703905998663,1,0
20097,0.059782396300141386,-1,-1
20098,0.20597371207925982,-1,-1
20099,-0.0710087894157408,1,1
20100,0.1820141035999008,0,0
20101,-0.12010124206542909,1,1
20102,-0.1200234742554862,1,1
20103,-0.021657826281161988,0,0
20104,0.08145194478757029,0,0
20105,0.0342618223791158,0,0
20106,-0.0744064966350671,1,1
20107,0.0976826540088158,-1,0
20108,0.08151299699913572,0,0
20109,0.08382045967454752,0,0
20110,-0.0688922274865629,1,1
20111,-0.10972942776150238,0,0
20112,0.0579827149566885,0,0
20113,0.0247587616603457,0,-1
20114,-0.0621354099260892,0,0
20115,0.146756179839956,0,0
20116,-0.02769341831363631,1,0
20117,-0.1751205315868703,1,1
20118,-0.08609027054066229,0,0
20119,0.1103910368081564,-1,0
20120,-0.0150323727928372,0,0
20121,-0.05772979459043359,1,0
20122,-0.0852026481655503,0,0
20123,0.3401528730101385,-1,-1
20124,0.010716808105318096,0,0
20125,-0.0010285000077913942,0,0
20126,0.163539523869149,0,0
20127,0.1045701660457814,-1,-1
20128,0.019435181055630607,-1,-1
20129,-0.002514114400334222,0,0
20130,-0.086527825064259,1,1
20131,-0.18025864255337878,1,0
20132,0.1382679273066056,-1,0
20133,-0.013526736544685392,0,0
20134,0.001868967800469995,0,0
20135,-0.018213263435392896,0,0
20136,-0.0880227409991237,0,0
20137,0.0010945946019508997,0,1
20138,-0.025278948105613736,0,0
20139,-0.1459197167319193,0,0
20140,0.13153996029394038,-1,0
20141,0.024646405191463217,0,0
20142,-0.0702922237574537,0,0
20143,0.037846474343462305,0,0
20144,0.059683126325954794,-1,0
20145,-0.097658026068764,0,0
20146,0.09819173709618671,-1,0
20147,0.0353368608305997,0,0
20148,0.015124729478465396,0,0
20149,-0.11108995552940029,1,0
20150,0.00816530224134479,0,0
20151,0.030105997767313097,0,0
20152,-0.0775138725019619,0,0
20153,-0.2652239769789427,1,1
20154,-0.13211820437440028,0,0
20155,-0.070107857383043,0,-1
20156,-0.20697361623420021,0,0
20157,-0.10410658476739419,0,0
20158,0.016259266795311006,0,0
20159,-0.0886411080975211,1,1
20160,-0.05107695688239569,1,1
20161,-0.007774712664667199,1,0
20162,0.0036503926220126104,0,0
20163,0.1282852433032265,0,0
20164,0.034708568205164,0,-1
20165,0.09547485567741101,0,0
20166,-0.028806976221554592,1,1
20167,-0.012828831368535604,0,1
20168,-0.05763685240238199,1,1
20169,0.02235328152767302,0,0
20170,0.02258950023390051,0,1
20171,-0.22284834884662003,0,0
20172,-0.011118340679349387,0,0
20173,0.037419399159993816,0,0
20174,-0.031149038511736095,0,-1
20175,0.1520914689831745,-1,-1
20176,-0.080848726444156,1,1
20177,0.17219347339937485,0,0
20178,-0.007689184190400794,0,0
20179,0.1452810584975665,0,0
20180,-0.1181267231482259,1,0
20181,0.2698406695512894,0,0
20182,-0.1942587094896542,0,0
20183,-0.17219362866948631,1,0
20184,0.0007080892877038003,0,0
20185,-0.1419977936806322,1,0
20186,-0.014654093256046705,0,0
20187,0.0426559283809996,0,1
20188,-0.0333379634439943,0,0
20189,-0.10547770557957309,1,1
20190,0.0813319980151963,-1,0
20191,0.1462754317736242,-1,0
20192,-1.690673828139838e-05,0,0
20193,-0.0026659940154605266,0,0
20194,0.15392064332333888,-1,0
20195,-0.005348530146348701,0,-1
20196,-0.2069349298111494,0,0
20197,-1.76111857079983e-05,0,0
20198,0.004858748667086105,0,0
20199,-0.0530712122421306,1,0
20200,-0.01079340838177778,0,0
20201,0.1690019506263098,-1,0
20202,0.0016742676755008984,0,0
20203,-0.10884078323480309,1,1
20204,0.0237700913164805,0,0
20205,-0.0335677067543755,0,0
20206,-0.13101864741940442,1,0
20207,-0.047220553312151,0,0
20208,0.3899802145966654,0,0
20209,-0.012685863964458505,0,0
20210,-0.0786476361159707,1,1
20211,0.061843335191376525,0,0
20212,-0.047135559232090785,0,0
20213,-0.0345772354196861,0,0
20214,4.86068725590004e-05,0,0
20215,0.09085732240586711,0,0
20216,0.09042922009653331,-1,-1
20217,0.03708937487694719,0,0
20218,-0.08756450751508642,0,0
20219,-0.09167600889799848,0,0
20220,-0.0050200618622461,0,0
20221,-0.12368475558412939,0,0
20222,-0.08495267678840429,1,0
20223,-0.009079338544511303,0,1
20224,-0.0221753197534387,0,0
20225,0.2489854360259489,0,0
20226,0.0867977067035568,0,0
20227,0.02911621248803971,-1,-1
20228,-0.005659887109336681,0,0
20229,-0.029276850688474604,1,1
20230,0.3558628902512533,-1,0
20231,-0.0799360434450689,0,0
20232,0.2620091717309236,-1,0
20233,-0.0278566989890053,0,0
20234,0.0066327030458728925,0,1
20235,-0.1683936489437894,0,0
20236,-0.0682988502205841,0,0
20237,0.17207370986104562,-1,0
20238,0.0017401132736925042,0,1
20239,0.0746754529301317,-1,-1
20240,-0.1889789253351512,1,1
20241,-0.061006328168925705,0,0
20242,0.15673436678052252,0,0
20243,-0.16129110602765628,1,1
20244,0.003702800315984689,0,1
20245,0.102384076696655,0,0
20246,0.018861253862772806,-1,0
20247,-0.0279354093506807,0,0
20248,-0.05137577493691131,0,0
20249,0.12255301072489638,0,0
20250,-0.08881193509881771,0,0
20251,0.2041756088869002,0,0
20252,-0.008988716899804891,0,0
20253,-0.05335553863470469,0,0
20254,-0.041943721507989196,1,0
20255,-0.1209817770723819,1,1
