atomic_numbers_unchanged,converged,elapsed_seconds,finished_at,frozen_a0_relax_reused,initial_energy_ev,initial_energy_per_atom_ev,initial_max_force_ev_ang,initial_stress_frobenius_ev_ang3,input_hash,input_path,method,output_dir,output_path,pid,rank,relax_steps,relaxed_energy_ev,relaxed_energy_per_atom_ev,relaxed_max_force_ev_ang,seed,started_at,status,task_id,energy_above_hull_per_atom,rmsd_from_relaxation,stable,comp_validity,structure_validity,novel,unique,minimum_distance_angstrom,chgnet_energy_per_atom_ev
True,True,0.03193415398709476,2026-07-26T23:39:54+08:00,True,-102.28063201904297,-6.3925395011901855,0.11568361253691363,0.006812350278579812,45eae4201138426da7728e8de69b58fd1df1f3e3d1c832646670db9214ef1a35,/data/dxl/results/rp_qtfg/phase0/offline_probe/structures/baseline/20020.extxyz,baseline,/data/dxl/results/rp_qtfg/phase0/offline_relax/baseline/20020,/data/dxl/results/formal_256/relaxed/A0/20020/relaxed_structure.extxyz,901759,4,28,-102.29351806640625,-6.393344879150391,0.043702382594347,20020,2026-07-26T23:39:54+08:00,success,baseline_20020,0.2643647606838675,0.0058505921490491,False,True,True,True,True,2.507883289263376,-6.629461288452148
True,True,0.034102287027053535,2026-07-26T23:39:54+08:00,True,-83.61436462402344,-8.361436462402343,0.6759962764792847,0.03709844056782865,e45842ef138fdde5d657ba4d89973f5ef8f4f0f15e2e50addc58e332b4e78c72,/data/dxl/results/rp_qtfg/phase0/offline_probe/structures/baseline/20021.extxyz,baseline,/data/dxl/results/rp_qtfg/phase0/offline_relax/baseline/20021,/data/dxl/results/formal_256/relaxed/A0/20021/relaxed_structure.extxyz,901760,5,43,-83.72383117675781,-8.372383117675781,0.04019888490438461,20021,2026-07-26T23:39:54+08:00,success,baseline_20021,0.2841967059591219,0.035926511439283,False,True,True,True,True,1.884489191163932,-8.518268585205078
True,True,0.03365566598949954,2026-07-26T23:39:54+08:00,True,-70.67491912841797,-8.834364891052246,0.022102555308817242,0.0019413594234622413,c6d2b56c659d51e44fcc2bb6bc42ec92acc6aee77bffc826c89501f4fc58559f,/data/dxl/results/rp_qtfg/phase0/offline_probe/structures/baseline/20022.extxyz,baseline,/data/dxl/results/rp_qtfg/phase0/offline_relax/baseline/20022,/data/dxl/results/formal_256/relaxed/A0/20022/relaxed_structure.extxyz,901761,6,6,-70.67817687988281,-8.834772109985352,0.014911897480487823,20022,2026-07-26T23:39:54+08:00,success,baseline_20022,0.0943341089662297,0.0021738929603437,True,True,True,False,True,3.846437166072661,-8.833799362182617
True,True,0.04010021698195487,2026-07-26T23:39:54+08:00,True,-105.54011535644531,-7.036007690429687,0.8804968372295616,0.03015301775520778,a4786ea2999feec83f222fc77a7704f266450822494a12b3972158e30f0374eb,/data/dxl/results/rp_qtfg/phase0/offline_probe/structures/baseline/20023.extxyz,baseline,/data/dxl/results/rp_qtfg/phase0/offline_relax/baseline/20023,/data/dxl/results/formal_256/relaxed/A0/20023/relaxed_structure.extxyz,901762,7,95,-105.69371795654297,-7.046247863769532,0.049404725432395935,20023,2026-07-26T23:39:54+08:00,success,baseline_20023,0.2833642607797006,0.0516638743264379,False,True,True,True,True,1.6646663418965204,-8.29165267944336
True,True,0.0343313500052318,2026-07-26T23:39:54+08:00,True,-29.144115447998047,-7.286028861999512,0.16442659078627148,0.011488915806069777,8787695e45827a5132a8bcd123fce5d1f96c927b8f8f4736d26d818c7fde41fb,/data/dxl/results/rp_qtfg/phase0/offline_probe/structures/baseline/20024.extxyz,baseline,/data/dxl/results/rp_qtfg/phase0/offline_relax/baseline/20024,/data/dxl/results/formal_256/relaxed/A0/20024/relaxed_structure.extxyz,901763,8,18,-29.158573150634766,-7.289643287658691,0.03601422533392906,20024,2026-07-26T23:39:54+08:00,success,baseline_20024,0.0860560080941699,0.0461417724296184,True,True,True,False,True,2.5698559646772066,-7.192534446716309
True,False,0.03884349099826068,2026-07-26T23:39:54+08:00,True,-158.0159454345703,-7.900797271728516,0.6083324433291794,0.04063495690804621,fe2d34563c5563b2d0c7aa22ece262a6a9d42cb9e6718a0d5764530d4f948314,/data/dxl/results/rp_qtfg/phase0/offline_probe/structures/baseline/20025.extxyz,baseline,/data/dxl/results/rp_qtfg/phase0/offline_relax/baseline/20025,/data/dxl/results/formal_256/relaxed/A0/20025/relaxed_structure.extxyz,901764,9,500,-158.4542694091797,-7.9227134704589846,0.1587364673614502,20025,2026-07-26T23:39:54+08:00,success,baseline_20025,0.2185452559434448,0.2485430276201355,False,True,True,True,True,1.9916584465758864,-7.929100513458252
True,True,0.04243701201630756,2026-07-26T23:39:54+08:00,True,-90.0720443725586,-6.433717455182757,1.4686593659353198,0.013322901851141763,11fc1db3cec4d54eee622c5fda3099344dedf45af2b0ae9d32735d7862ee7c3e,/data/dxl/results/rp_qtfg/phase0/offline_probe/structures/baseline/20026.extxyz,baseline,/data/dxl/results/rp_qtfg/phase0/offline_relax/baseline/20026,/data/dxl/results/formal_256/relaxed/A0/20026/relaxed_structure.extxyz,901765,10,243,-90.48539733886719,-6.463242667061942,0.0491497702896595,20026,2026-07-26T23:39:54+08:00,success,baseline_20026,0.3653252699582285,0.2388735255149214,False,True,True,True,True,1.6294023253370504,-7.2263102531433105
True,True,0.03295151999918744,2026-07-26T23:39:54+08:00,True,-57.117652893066406,-6.346405877007379,0.0695569382359054,0.010405131123808335,04656c6a58de722eaa3faae986b352f3b119d251599d534e3654628adc027334,/data/dxl/results/rp_qtfg/phase0/offline_probe/structures/baseline/20027.extxyz,baseline,/data/dxl/results/rp_qtfg/phase0/offline_relax/baseline/20027,/data/dxl/results/formal_256/relaxed/A0/20027/relaxed_structure.extxyz,901766,11,27,-57.14186096191406,-6.3490956624348955,0.04957136511802673,20027,2026-07-26T23:39:54+08:00,success,baseline_20027,0.0026293965215833,0.003198864421694,True,True,True,True,True,2.990653588766764,-6.314568996429443
True,True,0.0441534579731524,2026-07-26T23:39:54+08:00,True,-177.6265869140625,-8.881329345703126,0.6456718879371669,0.005183233354468857,3ff8fd5df9ef8f7c925db8bce2c9c6b152fed3763cc5479da663e0872a55a2e7,/data/dxl/results/rp_qtfg/phase0/offline_probe/structures/baseline/20028.extxyz,baseline,/data/dxl/results/rp_qtfg/phase0/offline_relax/baseline/20028,/data/dxl/results/formal_256/relaxed/A0/20028/relaxed_structure.extxyz,901767,12,48,-177.68740844726562,-8.884370422363281,0.045677632093429565,20028,2026-07-26T23:39:54+08:00,success,baseline_20028,0.2191532244699843,0.0286892802370222,False,True,True,True,True,1.8314170542869952,-9.576762199401855
True,True,0.03554128605173901,2026-07-26T23:39:54+08:00,True,-45.16453170776367,-9.032906341552735,0.04768505386098872,0.0025440895651795627,d2f1aa68c23ed2cd3a0995780bdae71be0ae96ebf83b13b377a37c3059d35cc2,/data/dxl/results/rp_qtfg/phase0/offline_probe/structures/baseline/20029.extxyz,baseline,/data/dxl/results/rp_qtfg/phase0/offline_relax/baseline/20029,/data/dxl/results/formal_256/relaxed/A0/20029/relaxed_structure.extxyz,901768,13,2,-45.16557693481445,-9.03311538696289,0.04328998178243637,20029,2026-07-26T23:39:54+08:00,success,baseline_20029,0.4983076298651152,0.0013679541920872,False,True,True,True,True,2.7163746622102725,-9.058762550354004
