seed,C0_e_hull,C0_stable,C0_nus,C0_novel,C0_unique,C0_validity,C0_mag_mae,C0_mag_hit,C0_maxf,C0_atomic_force,C0_rmsd,C0_runtime,A_OLD_e_hull,delta_A_OLD_minus_C0_e_hull,A_OLD_stable,delta_A_OLD_minus_C0_stable,A_OLD_nus,delta_A_OLD_minus_C0_nus,A_OLD_novel,delta_A_OLD_minus_C0_novel,A_OLD_unique,delta_A_OLD_minus_C0_unique,A_OLD_validity,delta_A_OLD_minus_C0_validity,A_OLD_mag_mae,delta_A_OLD_minus_C0_mag_mae,A_OLD_mag_hit,delta_A_OLD_minus_C0_mag_hit,A_OLD_maxf,delta_A_OLD_minus_C0_maxf,A_OLD_atomic_force,delta_A_OLD_minus_C0_atomic_force,A_OLD_rmsd,delta_A_OLD_minus_C0_rmsd,A_OLD_runtime,delta_A_OLD_minus_C0_runtime,A_NORM_e_hull,delta_A_NORM_minus_C0_e_hull,A_NORM_stable,delta_A_NORM_minus_C0_stable,A_NORM_nus,delta_A_NORM_minus_C0_nus,A_NORM_novel,delta_A_NORM_minus_C0_novel,A_NORM_unique,delta_A_NORM_minus_C0_unique,A_NORM_validity,delta_A_NORM_minus_C0_validity,A_NORM_mag_mae,delta_A_NORM_minus_C0_mag_mae,A_NORM_mag_hit,delta_A_NORM_minus_C0_mag_hit,A_NORM_maxf,delta_A_NORM_minus_C0_maxf,A_NORM_atomic_force,delta_A_NORM_minus_C0_atomic_force,A_NORM_rmsd,delta_A_NORM_minus_C0_rmsd,A_NORM_runtime,delta_A_NORM_minus_C0_runtime,A_ROBUST_e_hull,delta_A_ROBUST_minus_C0_e_hull,A_ROBUST_stable,delta_A_ROBUST_minus_C0_stable,A_ROBUST_nus,delta_A_ROBUST_minus_C0_nus,A_ROBUST_novel,delta_A_ROBUST_minus_C0_novel,A_ROBUST_unique,delta_A_ROBUST_minus_C0_unique,A_ROBUST_validity,delta_A_ROBUST_minus_C0_validity,A_ROBUST_mag_mae,delta_A_ROBUST_minus_C0_mag_mae,A_ROBUST_mag_hit,delta_A_ROBUST_minus_C0_mag_hit,A_ROBUST_maxf,delta_A_ROBUST_minus_C0_maxf,A_ROBUST_atomic_force,delta_A_ROBUST_minus_C0_atomic_force,A_ROBUST_rmsd,delta_A_ROBUST_minus_C0_rmsd,A_ROBUST_runtime,delta_A_ROBUST_minus_C0_runtime
813010,0.09951029518880183,True,False,False,True,True,0.032914516100419594,False,0.02359770521437413,0.022724847600050918,0.00263221694084041,83.28428422001889,0.0361434471875004,-0.06336684800130143,True,0.0,False,0.0,False,0.0,True,0.0,True,0.0,0.01740311809254856,-0.015511398007871033,False,0.0,0.004576479970555973,-0.019021225243818156,0.0027071927613318398,-0.02001765483871908,0.0015475327804643857,-0.0010846841603760243,83.8353634380037,0.5510792179848067,0.05008566510986334,-0.04942463007893849,True,0.0,False,0.0,False,0.0,True,0.0,True,0.0,0.011990988897261981,-0.020923527203157613,False,0.0,0.046351806302078455,0.022754101087704325,0.023783690969088868,0.0010588433690379498,0.002006864553900065,-0.0006253523869403452,83.14391111501027,-0.14037310500862077,0.06353690187988192,-0.03597339330891991,True,0.0,False,0.0,False,0.0,True,0.0,True,0.0,0.007166372518484385,-0.02574814358193521,True,1.0,0.023301493921442033,-0.00029621129293209633,0.014554061494253853,-0.008170786105797065,0.003244759662594199,0.0006125427217537889,83.05801703798352,-0.22626718203537166
813011,0.12237641183864945,False,False,True,True,True,0.026894834095171516,False,0.4635913835470381,0.24473552442489324,0.03807816393236299,84.51495616900502,0.04120365068956211,-0.08117276114908734,True,1.0,True,1.0,True,0.0,True,0.0,True,0.0,0.023507803865523175,-0.0033870302296483412,False,0.0,0.10052202118940955,-0.36306936235762854,0.06978461452002949,-0.17495090990486376,0.0030230667882577443,-0.03505509714410525,84.87109818001045,0.3561420110054314,0.0043214547851579965,-0.11805495705349145,True,1.0,False,0.0,False,-1.0,True,0.0,True,0.0,0.01419286090796068,-0.012701973187210835,False,0.0,0.06393227994232491,-0.3996591036047132,0.04021968507771046,-0.2045158393471828,0.0019981587398591166,-0.03608000519250387,84.81820054899435,0.3032443799893372,0.01468051710611995,-0.1076958947325295,True,1.0,False,0.0,False,-1.0,True,0.0,True,0.0,0.025216461595903905,-0.0016783724992676108,False,0.0,0.10968357480944402,-0.3539078087375941,0.09298892720859096,-0.1517465972163023,0.003816136694425269,-0.03426202723793772,84.45257480401779,-0.06238136498723179
813012,0.08374885054809589,True,True,True,True,True,0.02717499529431619,False,0.15541673073839057,0.09654650136913498,0.01995447569400312,83.21619730896782,0.09476528472167978,0.011016434173583889,True,0.0,True,0.0,True,0.0,True,0.0,True,0.0,0.05855779263018143,0.03138279733586524,False,0.0,0.05184010458067769,-0.10357662615771288,0.04527688729442851,-0.05126961407470647,0.004335867559773851,-0.015618608134229271,83.2945613960037,0.07836408703587949,0.0913816482470704,0.007632797698974514,True,0.0,True,0.0,True,0.0,True,0.0,True,0.0,0.05320361097292581,0.026028615678609618,False,0.0,0.0705818362707347,-0.08483489446765588,0.048010072274959514,-0.048536429094175465,0.016831661794487127,-0.003122813899515995,84.00900148501387,0.7928041760460474,0.08928070372802743,0.005531853179931545,True,0.0,True,0.0,True,0.0,True,0.0,True,0.0,0.05209995364359707,0.02492495834928088,False,0.0,0.11793949875507782,-0.03747723198331275,0.09060149037853214,-0.0059450109906028364,0.09300850048004565,0.07305402478604253,83.75796345499111,0.5417661460232921
813013,0.04030138015747031,True,True,True,True,True,0.02500261423376851,False,0.10010879492513383,0.0541366510716155,0.013980787725860932,84.04411024099682,0.09096658152446313,0.05066520136699282,True,0.0,True,0.0,True,0.0,True,0.0,True,0.0,0.021870047515869018,-0.003132566717899493,False,0.0,0.1361075269334018,0.035998732008267975,0.08636696057260938,0.032230309500993884,0.02917548983243699,0.015194702106576058,84.16317094000988,0.11906069901306182,0.10039976272705253,0.06009838256958222,False,-1.0,False,-1.0,True,0.0,True,0.0,True,0.0,0.017138330763495413,-0.007864283470273098,False,0.0,0.0790332670388489,-0.02107552788628493,0.036641679568089947,-0.017494971503525553,0.003554456151618986,-0.010426331574241946,84.3104628950241,0.2663526540272869,0.06074692929997383,0.020445549142503516,True,0.0,True,0.0,True,0.0,True,0.0,True,0.0,0.01593756558327046,-0.00906504865049805,False,0.0,0.11346328958086885,0.013354494655735016,0.06162024498093088,0.007483593909315384,0.03692307365096192,0.022942285925100985,84.2869524009875,0.24284215999068692
813014,0.11124745045166051,False,False,True,True,True,0.014714544235341909,False,0.3929629870401676,0.19675965033237652,0.021431235445340646,86.26386681001168,0.16813845426252616,0.05689100381086565,False,0.0,False,0.0,True,0.0,True,0.0,True,0.0,0.00975724707687324,-0.004957297158468668,True,1.0,0.023258020965879703,-0.3697049660742879,0.01662439554080021,-0.18013525479157633,0.0017141729230550154,-0.019717062522285632,86.36640082200756,0.10253401199588552,0.09037350714843839,-0.02087394330322212,True,1.0,False,0.0,False,-1.0,True,0.0,True,0.0,0.046379460290629726,0.03166491605528782,False,0.0,0.0023796198901505257,-0.39058336715001707,0.0016921517900632156,-0.1950674985423133,0.0009044068815045403,-0.020526828563836107,86.09584399400046,-0.1680228160112165,0.25065369397810233,0.13940624352644182,False,0.0,False,0.0,True,0.0,True,0.0,True,0.0,0.008362863894780054,-0.006351680340561855,True,1.0,0.007278236508097274,-0.3856847505320703,0.005231133280478735,-0.1915285170518978,0.0006649080342026025,-0.020766327411138045,86.4175221369951,0.15365532698342577
813015,0.052666225328776406,True,True,True,True,True,0.051091596530905115,False,0.03695738635541886,0.023585488260343054,0.0019361719254068462,85.1998127779807,0.07964825052246116,0.026982025193684755,True,0.0,False,-1.0,False,-1.0,True,0.0,True,0.0,0.09141227323380971,0.040320676702904595,False,0.0,0.14738370644872453,0.11042632009330566,0.06320722009624477,0.039621731835901716,0.043072898763801354,0.041136726838394505,85.81809135898948,0.6182785810087807,0.07829028871048926,0.025624063381712858,True,0.0,False,-1.0,False,-1.0,True,0.0,True,0.0,0.020100246468683927,-0.030991350062221187,False,0.0,0.1805876449824165,0.14363025862699763,0.07060408674209391,0.047018598481750856,0.017675201234260068,0.015739029308853222,86.53074335301062,1.3309305750299245,0.051210725203448604,-0.0014555001253278022,True,0.0,True,0.0,True,0.0,True,0.0,True,0.0,0.0035865421865379638,-0.04750505434436715,True,1.0,0.17745381364758578,0.1404964272921669,0.0880983794058577,0.06451289114551464,0.02599636170142872,0.024060189776021874,86.12758195801871,0.9277691800380126
813016,0.031278689285482386,True,True,True,True,True,0.0341748881418463,False,0.093375836452721,0.06241992838941102,0.02656615078105927,85.89850683399709,0.11379402623860724,0.08251533695312485,False,-1.0,False,-1.0,False,-1.0,True,0.0,True,0.0,0.013231615134494279,-0.02094327300735202,False,0.0,0.007561430853628168,-0.08581440559909284,0.005967798642479463,-0.056452129746931555,0.0005685833242743646,-0.025997567456784904,86.5865952099557,0.688088375958614,0.03689733483072821,0.005618645545245826,True,0.0,False,-1.0,False,-1.0,True,0.0,True,0.0,0.019113076603101423,-0.015061811538744876,False,0.0,0.08457617280682131,-0.008799663645899694,0.05638643703966447,-0.006033491349746546,0.01845886959175263,-0.00810728118930664,86.26283055404201,0.3643237200449221,0.07319865210449183,0.04191996281900945,True,0.0,False,-1.0,False,-1.0,True,0.0,True,0.0,0.011419710783075535,-0.022755177358770765,False,0.0,0.02362259164985502,-0.06975324480286599,0.01736890853959076,-0.045051019849820254,0.0008389986520415734,-0.025727152129017695,86.54212814901257,0.6436213150154799
813017,0.03909317350789543,True,True,True,True,True,0.0237987740004188,False,0.02225254842819132,0.009628027773712121,0.0026470140354352013,82.9455278509995,0.10822607643554605,0.06913290292765062,False,-1.0,False,-1.0,True,0.0,True,0.0,True,0.0,0.024943332215958153,0.001144558215539354,False,0.0,0.07364821541698549,0.05139566698879417,0.028486217348649062,0.018858189574936943,0.002516966974856968,-0.0001300470605782333,82.95880723494338,0.01327938394388184,0.16698348555419873,0.1278903120463033,False,-1.0,False,-1.0,True,0.0,True,0.0,True,0.0,0.03984754680622231,0.01604877280580351,False,0.0,0.15208914448439706,0.12983659605620573,0.0820316758175374,0.07240364804382528,0.01612468769076781,0.013477673655332608,83.23216619505547,0.286638344055973,0.10779405773681638,0.06870088422892096,False,-1.0,False,-1.0,True,0.0,True,0.0,True,0.0,0.03641948610655532,0.012620712106136522,False,0.0,0.05901998060649715,0.03676743217830583,0.024691954398137088,0.015063926624424967,0.001361504205750708,-0.0012855098296844932,82.84955396602163,-0.09597388497786596
813018,0.08056435940625128,True,False,False,True,True,0.0016275997142115861,True,0.007059836849800427,0.004064189291430307,0.001477886908047064,83.20020391402068,0.11568338425845681,0.03511902485220553,False,-1.0,False,0.0,True,1.0,True,0.0,True,0.0,0.013365655421299416,0.01173805570708783,False,-1.0,0.10287660278972377,0.09581676593992335,0.04877324144590271,0.044709052154472406,0.002229282580472088,0.0007513956724250238,83.4452945899684,0.24509067594772205,0.049699753664063095,-0.03086460574218819,True,0.0,False,0.0,False,0.0,True,0.0,True,0.0,0.056613561218195,0.05498596150398341,False,-1.0,0.010028786043829034,0.002968949194028607,0.004916914271267804,0.0008527249798374967,0.000928441721018806,-0.0005494451870282581,83.7316057390417,0.5314018250210211,0.18219113016992594,0.10162677076367466,False,-1.0,False,0.0,True,1.0,True,0.0,True,0.0,0.029021250239265856,0.02739365052505427,False,-1.0,0.20858052370140243,0.201520686851602,0.1280878628662924,0.12402367357486209,0.09079210936098031,0.08931422245293325,83.74253612203756,0.5423322080168873
813019,0.017806584722656282,True,False,False,True,True,0.03699408312395713,False,0.09591991589301985,0.05755523761057586,0.6237071704074516,84.7738389300066,0.011479067798195075,-0.006327516924461207,True,0.0,True,1.0,True,1.0,True,0.0,True,0.0,0.08085410769631848,0.04386002457236135,False,0.0,0.031490224303637473,-0.06442969158938237,0.02237821418620358,-0.03517702342437228,0.0024899849130828365,-0.6212171854943688,84.80855292797787,0.03471399797126651,0.1755186025429687,0.1577120178203124,False,-1.0,False,0.0,True,1.0,True,0.0,True,0.0,0.0537008182499461,0.01670673512598897,False,0.0,0.4188163023631316,0.32289638647011176,0.21868741602231795,0.1611321784117421,0.028418719148395166,-0.5952884512590564,85.00005543901352,0.22621650900691748,0.06071964928906404,0.042913064566407755,True,0.0,True,1.0,True,1.0,True,0.0,True,0.0,0.050390956396698106,0.013396873272740972,False,0.0,0.1556816606114548,0.059761744718434956,0.06284622188942855,0.0052909842788526895,0.0030254464623568154,-0.6206817239450948,84.90109800401842,0.12725907401181757
813020,0.1126364401486537,False,False,True,True,True,0.03762714612955395,False,0.26063519796088824,0.16364124646149059,0.045424944928929796,85.45071393798571,0.15587488276366734,0.04323844261501364,False,0.0,False,0.0,True,0.0,True,0.0,True,0.0,0.006765130704477637,-0.030862015425076314,True,1.0,0.36159178266726777,0.10095658470637953,0.24576942596798398,0.0821281795064934,0.04271414049796134,-0.0027108044309684526,85.6053255230072,0.15461158502148464,0.08449873171634081,-0.02813770843231289,True,1.0,True,1.0,True,0.0,True,0.0,True,0.0,0.0030197184587708314,-0.03460742767078312,True,1.0,0.5735126222785801,0.3128774243176919,0.22255347397782954,0.058912227516338955,0.12272553785075745,0.07730059292182764,85.89517556101782,0.4444616230321117,0.2508089277019456,0.13817248755329192,False,0.0,False,0.0,True,0.0,True,0.0,True,0.0,0.006161627689256766,-0.031465518440297185,True,1.0,0.912221839012694,0.6515866410518059,0.4325427710261414,0.26890152456465083,0.23761935140085355,0.19219440647192376,85.66427580703748,0.2135618690517731
813021,0.06279941001139289,True,True,True,True,True,0.009181018323950269,True,0.25277414964998063,0.09054107057674605,0.023243175894044364,85.92089683405356,0.09980179065104267,0.03700238063964978,True,0.0,True,0.0,True,0.0,True,0.0,True,0.0,0.06036874446684054,0.05118772614289027,False,-1.0,0.17744252679768202,-0.07533162285229861,0.08684988028050007,-0.003691190296245983,0.009813670058110744,-0.01342950583593362,85.91415525000775,-0.006741584045812488,0.06849073917209303,0.005691329160700143,True,0.0,False,-1.0,False,-1.0,True,0.0,True,0.0,0.04176685073849251,0.03258583241454224,False,-1.0,0.09144468881123113,-0.1613294608387495,0.05158512586624426,-0.038955944710501796,0.03136238419265575,0.008119208298611388,86.35136458900524,0.4304677549516782,0.15839236173665494,0.09559295172526205,False,-1.0,False,-1.0,True,0.0,True,0.0,True,0.0,0.05394615423597346,0.04476513591202319,False,-1.0,0.37620608151745183,0.1234319318674712,0.22426419675885956,0.13372312618211352,0.04331378140143365,0.02007060550738929,86.26110243698349,0.3402056029299274
