method,seed,formula,num_atoms,relaxation_steps,e_hull,stable,nus,novel,unique,rmsd,force_mean,force_max,streak_mean,streak_p95,streak_max,periodic_exact_calls
C0,68012,Eu3Ir3P3,9,26,0.29531771749348934,0.0,0.0,1.0,1.0,0.00998511506354592,0.07931307385095351,0.15795471608210054,0.0,0.0,0,0
C0,68013,Cd2Fe3Mn6O5,16,213,0.6194839562547987,0.0,0.0,1.0,1.0,0.2933142376111571,0.5909362094066322,1.9546199008715266,0.0,0.0,0,0
C0,68014,Cu3Mn3Pt6,12,27,0.1189534264518235,0.0,0.0,0.0,1.0,0.02097234315976417,0.06383854227879414,0.13583604869405508,0.0,0.0,0,0
C0,68015,Fe8Si4,12,42,0.0680507942447921,1.0,0.0,0.0,1.0,0.024330433794988275,0.1272221819143113,0.16771299683888455,0.0,0.0,0,0
C0,68016,Co4Fe2Ni3,9,21,0.06621505443359599,1.0,1.0,1.0,1.0,0.008126645354927716,0.047483684530088346,0.09165083879847581,0.0,0.0,0,0
C0,68017,HGaMn2Ni,5,3,0.055437782599284446,1.0,0.0,0.0,1.0,0.001757313957937559,0.007616504909499158,0.012574383191926353,0.0,0.0,0,0
C0,68018,Eu2F6,8,14,0.04071614241577137,1.0,0.0,0.0,1.0,0.0008984061426121555,0.05809788222245378,0.11987199480450844,0.0,0.0,0,0
C0,68019,EuZn3,4,10,0.06779584358744284,1.0,1.0,1.0,1.0,0.002473305624501235,0.021117168848754635,0.03902951589038865,0.0,0.0,0,0
C0,68020,Fe5Ir2Ni2,9,26,0.06885858457272409,1.0,1.0,1.0,1.0,0.049784564458732805,0.08710750434489936,0.13734846324518996,0.0,0.0,0,0
C0,68021,F9Fe3N4O4,20,683,0.3408404799570297,0.0,0.0,1.0,1.0,1.3847197806418867,2.3373500937485843,9.459702196973183,0.0,0.0,0,0
C0,68022,Eu3LiRh8,12,48,0.1479821440218112,0.0,0.0,1.0,1.0,0.029814379483022634,0.10064969258085077,0.25973986030886764,0.0,0.0,0,0
C0,68023,Co7Mn5,12,35,0.10101913694335973,0.0,0.0,1.0,1.0,0.013029460985893615,0.05285808847098927,0.10973646291193095,0.0,0.0,0,0
C0,68024,Eu3Li3PSi2,9,32,0.08754610838825982,1.0,1.0,1.0,1.0,0.0055179609175732055,0.023108512985902777,0.04670958339574759,0.0,0.0,0,0
C0,68025,Eu3Mn2O5,10,50,0.12015116712499996,0.0,0.0,1.0,1.0,0.049505254784679154,0.2587547230317705,0.6434354780724807,0.0,0.0,0,0
C0,68026,Cr2Mn5O12Pr,20,420,0.21222661814452692,0.0,0.0,1.0,1.0,0.16448137999163795,0.390832975299088,0.7077898821106043,0.0,0.0,0,0
C0,68027,As2Eu6N2,10,42,0.0503139424010417,1.0,1.0,1.0,1.0,0.04282786926191544,0.07159498842538883,0.14014900517797335,0.0,0.0,0,0
C0,68028,Fe3O6V,10,55,0.1392499217070231,0.0,0.0,1.0,1.0,0.043002050762499515,0.22914507223945302,0.4110987671620718,0.0,0.0,0,0
C0,68029,CoFeMn2,4,22,0.12886592952927778,0.0,0.0,0.0,1.0,0.01458940329694728,0.07215329615005907,0.14011495262042842,0.0,0.0,0,0
