baseline,method,metric,n_paired,baseline_value,method_value,delta_method_minus_baseline,paired_bootstrap95_low,paired_bootstrap95_high,wilcoxon_pratt_p,mcnemar_exact_p,bootstrap_samples,bootstrap_seed
V2_Frozen_Atomic75_Late30,V3_AnchorK4,unique,32,1.0,1.0,0.0,0.0,0.0,1.0,1.0,20000,20260905
V2_Frozen_Atomic75_Late30,V3_AnchorK4,rmsd,32,0.06381724424701148,0.03627863567595216,-0.027538608571059317,-0.07399969251291233,0.012674924933594088,0.7190234316512942,,20000,20260905
V2_Frozen_Atomic75_Late30,V3_AnchorK4,force_mean,32,0.12960308539542514,0.12841835509754368,-0.0011847302978814644,-0.03941826140828645,0.034444722204663554,0.3694013226777315,,20000,20260905
V2_Frozen_Atomic75_Late30,V3_AnchorK4,force_max,32,0.2614885287003339,0.2572678602119747,-0.004220668488359225,-0.08582845156848526,0.0673087809883053,0.2781296819448471,,20000,20260905
V2_Frozen_Atomic75_Late30,V3_AnchorK4,force_p95,32,0.7112579130376477,0.6588201394140326,-0.052437773623615125,-0.7438910338489555,0.06977097053943915,,,20000,20260905
V2_Frozen_Atomic75_Late30,V3_AnchorK4,force_p99,32,1.5679982124876406,1.0763423999990864,-0.49165581248855417,-0.7438910338489555,0.06977097053943915,,,20000,20260905
V2_Frozen_Atomic75_Late30,V3_AnchorK4,force_gt1,32,0.03125,0.03125,0.0,0.0,0.0,1.0,1.0,20000,20260905
V2_Frozen_Atomic75_Late30,V3_AnchorK4,force_gt2,32,0.0,0.0,0.0,0.0,0.0,1.0,1.0,20000,20260905
V2_Frozen_Atomic75_Late30,V3_AnchorK8,e_hull,32,0.10737237361718573,0.1051513664247726,-0.002221007192413124,-0.05482875827030733,0.05797214051626447,0.8609301364049315,,20000,20260905
V2_Frozen_Atomic75_Late30,V3_AnchorK8,stable,32,0.6875,0.65625,-0.03125,-0.25,0.1875,0.7815112949987133,1.0,20000,20260905
V2_Frozen_Atomic75_Late30,V3_AnchorK8,nus,32,0.3125,0.4375,0.125,-0.0625,0.3125,0.2059032107320684,0.34375,20000,20260905
V2_Frozen_Atomic75_Late30,V3_AnchorK8,novel,32,0.59375,0.78125,0.1875,0.0625,0.34375,0.014305878435429648,0.03125,20000,20260905
V2_Frozen_Atomic75_Late30,V3_AnchorK8,unique,32,1.0,1.0,0.0,0.0,0.0,1.0,1.0,20000,20260905
V2_Frozen_Atomic75_Late30,V3_AnchorK8,rmsd,32,0.06381724424701148,0.022422803857662675,-0.0413944403893488,-0.08575247709789495,-0.00674765827241988,0.223978775087744,,20000,20260905
V2_Frozen_Atomic75_Late30,V3_AnchorK8,force_mean,32,0.12960308539542514,0.11935704990859726,-0.010246035486827884,-0.07507515608088508,0.05712366833944862,0.91921989293769,,20000,20260905
V2_Frozen_Atomic75_Late30,V3_AnchorK8,force_max,32,0.2614885287003339,0.26042044304201484,-0.0010680856583190623,-0.14155272311021003,0.1397090955103513,0.91921989293769,,20000,20260905
V2_Frozen_Atomic75_Late30,V3_AnchorK8,force_p95,32,0.7112579130376477,1.0293752724170182,0.31811735937937047,-1.3106531755366944,0.8936127066982853,,,20000,20260905
V2_Frozen_Atomic75_Late30,V3_AnchorK8,force_p99,32,1.5679982124876406,1.5522626610378993,-0.01573555144974126,-1.309538443911158,0.8765401755045207,,,20000,20260905
V2_Frozen_Atomic75_Late30,V3_AnchorK8,force_gt1,32,0.03125,0.0625,0.03125,-0.0625,0.15625,0.5637028616507731,1.0,20000,20260905
V2_Frozen_Atomic75_Late30,V3_AnchorK8,force_gt2,32,0.0,0.0,0.0,0.0,0.0,1.0,1.0,20000,20260905
V2_Frozen_Atomic75_Late30,V3_AnchorK16,e_hull,32,0.10737237361718573,0.11700658209018164,0.009634208472995912,-0.03419461770635757,0.04727504228536871,0.2579139897936249,,20000,20260905
V2_Frozen_Atomic75_Late30,V3_AnchorK16,stable,32,0.6875,0.59375,-0.09375,-0.28125,0.09375,0.36571229628151325,0.548828125,20000,20260905
V2_Frozen_Atomic75_Late30,V3_AnchorK16,nus,32,0.3125,0.28125,-0.03125,-0.25,0.1875,0.7815112949987133,1.0,20000,20260905
V2_Frozen_Atomic75_Late30,V3_AnchorK16,novel,32,0.59375,0.65625,0.0625,-0.09375,0.21875,0.4142161782425252,0.6875,20000,20260905
V2_Frozen_Atomic75_Late30,V3_AnchorK16,unique,32,1.0,1.0,0.0,0.0,0.0,1.0,1.0,20000,20260905
V2_Frozen_Atomic75_Late30,V3_AnchorK16,rmsd,32,0.06381724424701148,0.020590862916486978,-0.0432263813305245,-0.08912678319727513,-0.008060121028043645,0.32171454932540655,,20000,20260905
V2_Frozen_Atomic75_Late30,V3_AnchorK16,force_mean,32,0.12960308539542514,0.11278597695963433,-0.016817108435790817,-0.06883599635086515,0.022998760717567582,0.5987727888859808,,20000,20260905
V2_Frozen_Atomic75_Late30,V3_AnchorK16,force_max,32,0.2614885287003339,0.24376966746899698,-0.017718861231336924,-0.14661689718141588,0.08505313782950466,0.6116922060027719,,20000,20260905
V2_Frozen_Atomic75_Late30,V3_AnchorK16,force_p95,32,0.7112579130376477,0.6433205961370196,-0.0679373169006281,-1.3262966729060035,0.2338975622393249,,,20000,20260905
V2_Frozen_Atomic75_Late30,V3_AnchorK16,force_p99,32,1.5679982124876406,0.7796223794046028,-0.7883758330830378,-1.323264430315987,0.14924328009908738,,,20000,20260905
V2_Frozen_Atomic75_Late30,V3_AnchorK16,force_gt1,32,0.03125,0.0,-0.03125,-0.09375,0.0,0.31731050786291415,1.0,20000,20260905
V2_Frozen_Atomic75_Late30,V3_AnchorK16,force_gt2,32,0.0,0.0,0.0,0.0,0.0,1.0,1.0,20000,20260905
