method,seed,formula,num_atoms,energy_ev_atom,energy_total_ev,mean_force_ev_a,maxF_ev_a,evaluator,surrogate_property_eval,dft_verified
C0,740072,Co2Fe8,10,-8.072362899780273,-80.72362899780273,0.13711970965130654,0.21916386914575528,CHGNet_0.3.0,True,False
C0,740073,Fe15,15,-8.291922569274902,-124.37883853912354,0.08577741790697983,0.1836735688102525,CHGNet_0.3.0,True,False
C0,740074,HFe17Gd2,20,-8.768685340881348,-175.37370681762695,0.10367405276097634,0.34878016895187447,CHGNet_0.3.0,True,False
C0,740075,CGd5,6,-13.271759986877441,-79.63055992126465,0.3236309333670987,0.8524515663387692,CHGNet_0.3.0,True,False
C0,740076,Co2Fe9,11,-8.115682601928711,-89.27250862121582,0.036625690055501245,0.07637710486249412,CHGNet_0.3.0,True,False
C0,740077,Ga2Gd6O,9,-11.542338371276855,-103.8810453414917,0.2329140848639423,0.5058857693273856,CHGNet_0.3.0,True,False
C0,740078,CoGd6O5,12,-12.331652641296387,-147.97983169555664,0.23047595494586096,0.6325432254089469,CHGNet_0.3.0,True,False
C0,740079,Co2Fe6,8,-8.023748397827148,-64.18998718261719,0.0180482521392235,0.05034555070903459,CHGNet_0.3.0,True,False
C0,740080,CoFe8,9,-8.208909034729004,-73.88018131256104,0.0447070412354564,0.06230167527938114,CHGNet_0.3.0,True,False
C0,740081,Gd4,4,-14.046360969543457,-56.18544387817383,0.02456997032153165,0.034542627216428076,CHGNet_0.3.0,True,False
C0,740082,Co2Gd2,4,-10.71877670288086,-42.87510681152344,0.004560027773949612,0.008013063701966675,CHGNet_0.3.0,True,False
C0,740083,Fe14,14,-8.356184959411621,-116.9865894317627,0.010397720977387186,0.01876274781680717,CHGNet_0.3.0,True,False
C0,740084,Co3Fe15,18,-8.036505699157715,-144.65710258483887,0.11969865820912336,0.1980674021982438,CHGNet_0.3.0,True,False
C0,740085,CHCoFe15,18,-7.722563743591309,-139.00614738464355,1.5589126648441785,5.072047194017873,CHGNet_0.3.0,True,False
C0,740086,Co2Fe4,6,-7.930739402770996,-47.58443641662598,0.023163379954242145,0.036305004018437066,CHGNet_0.3.0,True,False
C0,740087,Gd8N2,10,-13.745668411254883,-137.45668411254883,0.14791691088650677,0.24494927067388517,CHGNet_0.3.0,True,False
C0,740088,Co4Fe6,10,-7.827095031738281,-78.27095031738281,0.05952789920342446,0.11367036654194816,CHGNet_0.3.0,True,False
C0,740089,HFe14Ge3,18,-7.527793884277344,-135.5002899169922,0.1931467348908969,0.6464970588544332,CHGNet_0.3.0,True,False
C0,740090,Gd3Zn,4,-10.980429649353027,-43.92171859741211,0.030954510261804336,0.05867479873588731,CHGNet_0.3.0,True,False
C0,740091,Co5Fe7,12,-7.7916693687438965,-93.50003242492676,0.04955167706593249,0.09049639440215086,CHGNet_0.3.0,True,False
C0,740092,CGd2,3,-12.6824369430542,-38.0473108291626,0.06863473472606757,0.10288370750658006,CHGNet_0.3.0,True,False
C0,740093,Co3Fe7,10,-7.961214542388916,-79.61214542388916,0.031529978984432556,0.05397452934760661,CHGNet_0.3.0,True,False
C0,740094,Eu3N,4,-10.38534164428711,-41.54136657714844,0.04714185492790108,0.09284479334762102,CHGNet_0.3.0,True,False
C0,740095,Gd4,4,-14.045857429504395,-56.18342971801758,0.010079781405709646,0.01395814539283045,CHGNet_0.3.0,True,False
