method,seed,formula,num_atoms,maxF_ev_per_a,atomic_force_mean_ev_per_a,rmsd_a,e_hull_ev_per_atom,stable,nus,novel,unique,mag_density_a3,mag_absolute_error_a3,mag_hit,valid,minimum_periodic_distance_a,generation_seconds,end_to_end_generation_seconds,mattergen_score_calls,guidance_calls,guidance_accepted,guidance_fallbacks,guidance_seconds,relaxation_steps,surrogate_property_eval,dft_verified
POS_ONLY,746004,LiEu2Mg,4,0.003649449162394237,0.0030955498710495315,0.0007678412959711751,0.03912685588907827,True,False,False,True,0.10496547529780371,0.004965475297803709,True,True,3.50324164909746,84.43877716502175,84.43877716502175,2000,0,0,0,0.0,8,True,False
POS_ONLY,746005,LiGdYAl,4,0.01106207661159965,0.008324876647350921,0.0016149390588655924,0.00566947987549149,True,True,True,True,0.0697432364306837,0.03025676356931631,False,True,3.203452719678992,83.76241202303208,83.76241202303208,2000,0,0,0,0.0,6,True,False
POS_ONLY,746006,Eu5(Cd2P3)2,15,0.5781127200696453,0.22589645587823198,0.05457241312908604,0.2346586445588299,False,False,True,True,0.088453478477285,0.011546521522715,False,True,2.605900287894903,85.62472269497812,85.62472269497812,2000,0,0,0,0.0,43,True,False
POS_ONLY,746007,Mn2Be5Fe,8,0.17731024409634938,0.08891251823916735,0.019210246432414462,0.16535939573730385,False,False,True,True,0.0731186805903602,0.02688131940963981,False,True,2.3140380783014867,84.65681866003433,84.65681866003433,2000,0,0,0,0.0,37,True,False
NO_EMA,746000,Co7Pt,8,0.03712708639830899,0.019104032111662922,0.000761960966365224,0.045876397578124894,True,False,False,True,0.12670418523151417,0.02670418523151416,False,True,2.468911553953874,83.4786761450232,83.4786761450232,2000,0,0,0,0.0,7,True,False
NO_EMA,746001,Eu2MnO3F2,8,0.4612472892055855,0.2559031648300726,0.031168836865309156,0.1055166816650388,False,False,True,True,0.14922229545376847,0.049222295453768466,False,True,1.9649371084287233,84.8007063040277,84.8007063040277,2000,0,0,0,0.0,43,True,False
NO_EMA,746002,MnNi3O4,16,0.19637299903543665,0.06881490452505618,0.0058222737954175055,0.07629512038004371,True,False,False,True,0.1319140962703256,0.0319140962703256,False,True,2.088083178861779,91.09422896598699,91.09422896598699,2000,0,0,0,0.0,51,True,False
NO_EMA,746003,Eu2TlIn,4,0.024036855487178436,0.022887714639723326,0.004878292612013408,0.023215185048828246,True,False,False,True,0.1090042697491336,0.009004269749133598,True,True,3.441420027889307,96.2988244050066,96.2988244050066,2000,0,0,0,0.0,10,True,False
NO_EMA,746004,Fe3Ir,4,0.1449682243587435,0.07248845094965936,0.05431379924104843,0.08138724555745469,True,False,False,True,0.14531078861413882,0.045310788614138814,False,True,2.4551940824414236,84.85638596001081,84.85638596001081,2000,0,0,0,0.0,25,True,False
NO_EMA,746005,NaEu2Rh,4,0.06267342575019895,0.0313590999766721,0.0011950585698961764,0.059566413012948516,True,False,False,True,0.11291334249048277,0.01291334249048276,False,True,3.027204891466472,83.60751673998311,83.60751673998311,2000,0,0,0,0.0,6,True,False
NO_EMA,746006,Eu5(P3Pd2)2,15,0.3319519849657551,0.14750034935505987,0.04005464592120931,0.09443290293098983,True,True,True,True,0.10406227050577238,0.004062270505772375,True,True,2.255390980116149,84.37339731899556,84.37339731899556,2000,0,0,0,0.0,64,True,False
NO_EMA,746007,Mn3Be,8,0.22311018415574513,0.1245764782209933,0.09762020922151499,0.13131482924648896,False,False,False,True,0.08552210741068031,0.014477892589319696,False,True,2.3655825475203756,83.85452023899416,83.85452023899416,2000,0,0,0,0.0,50,True,False
SHARED_EMA,746000,Co3Pt,8,0.04568206591255369,0.03331754052553175,0.0016758370783783634,0.04188283798584003,True,False,False,True,0.10669208152252385,0.006692081522523846,True,True,2.516870552745908,83.31744320399594,83.31744320399594,2000,0,0,0,0.0,4,True,False
SHARED_EMA,746001,Eu4O3F,8,0.19968211860834134,0.05728237603013464,0.006131803248931605,0.09468494497314595,True,True,True,True,0.19979856706875943,0.09979856706875942,False,True,2.417932024046823,84.73503776098369,84.73503776098369,2000,0,0,0,0.0,28,True,False
SHARED_EMA,746002,EuNi3,16,0.3545661080386364,0.15112576635619346,0.046180854387196726,0.1572544198413084,False,False,True,True,0.10211206897018185,0.0021120689701818463,True,True,2.3240666578887765,91.13289421400987,91.13289421400987,2000,0,0,0,0.0,85,True,False
SHARED_EMA,746003,Eu2InAu,4,0.1436072245339774,0.0850604284803713,0.9689617254744445,0.129749426401367,False,False,True,True,0.14989422404603078,0.04989422404603078,False,True,2.8942073301796363,97.07530764199328,97.07530764199328,2000,0,0,0,0.0,58,True,False
