comparison,source_method,seed,field,sampling_progress,forward_diffusion_t,stage,rms_diff,relative_l2_diff,cosine_to_c0,c0_rms,candidate_rms
GBSA-TCL_vs_C0,TCL,85005,pos,0.25,0.75,early_0_30,0.001997796595061677,1.134991899733346,0.8512963667624507,0.0017601857735998268,0.0032699529414533875
GBSA-TCL_vs_C0,TCL,85005,cell,0.25,0.75,early_0_30,0.010963537617733327,0.01913698866339858,0.999825360352029,0.5728977432432826,0.5751581104166269
GBSA-TCL_vs_C0,TCL,85006,atomic_numbers,0.25,0.75,early_0_30,0.9219283668768197,0.07936786902397189,0.9972441810628511,11.615889127606096,11.256314854710366
GBSA-TCL_vs_C0,TCL,85006,pos,0.25,0.75,early_0_30,0.0009821794867504268,0.7154796032347371,0.787302649761546,0.0013727567946170923,0.0015790621893560135
GBSA-TCL_vs_C0,TCL,85006,cell,0.25,0.75,early_0_30,0.009783064836217104,0.013672434254285977,0.9999204179907316,0.7155320445699235,0.7117039164035937
GBSA-TCL_vs_C0,TCL,85007,atomic_numbers,0.25,0.75,early_0_30,1.6855665506654292,0.11521993875370051,0.9938315343393687,14.629122085098262,14.081678210827322
GBSA-TCL_vs_C0,TCL,85007,pos,0.25,0.75,early_0_30,0.0008453332317592839,0.3213938330248115,0.9507350140057166,0.0026302098699386815,0.0027236747675177427
GBSA-TCL_vs_C0,TCL,85007,cell,0.25,0.75,early_0_30,0.03189599361091558,0.04126240793653091,0.9991485118243473,0.7730036904287657,0.7718980856870405
GBSA-TCL_vs_C0,TCL,85008,atomic_numbers,0.25,0.75,early_0_30,1.026142769657477,0.07000547003963817,0.997546876648644,14.658036994487137,14.63281994203165
GBSA-TCL_vs_C0,TCL,85008,pos,0.25,0.75,early_0_30,0.004348822361292563,1.4845891877114692,0.8660683867297879,0.0029293102747140307,0.006631818809064134
GBSA-TCL_vs_C0,TCL,85008,cell,0.25,0.75,early_0_30,0.03426094587290928,0.03482708851948001,0.9994306428421977,0.9837441867627246,0.9746910079003197
GBSA-TCL_vs_C0,TCL,85009,atomic_numbers,0.25,0.75,early_0_30,1.0542441065802906,0.0828178831129176,0.9971000636081742,12.729667397352898,12.276872045880818
GBSA-TCL_vs_C0,TCL,85009,pos,0.25,0.75,early_0_30,0.0023510269075611833,0.9737905526300413,0.6778459538788886,0.0024143044941352765,0.00317817513806447
GBSA-TCL_vs_C0,TCL,85009,cell,0.25,0.75,early_0_30,0.016429809697410164,0.014855754566224703,0.9998934424054485,1.1059559192478954,1.1027912461576228
GBSA-TCL_vs_C0,TCL,85010,atomic_numbers,0.25,0.75,early_0_30,1.2635581820078468,0.12736282538427687,0.9945421547751471,9.920933978933503,9.142125005203582
GBSA-TCL_vs_C0,TCL,85010,pos,0.25,0.75,early_0_30,0.0006020841469573041,0.6114313248304923,0.9035832952723851,0.000984712628395708,0.0013193473505875265
GBSA-TCL_vs_C0,TCL,85010,cell,0.25,0.75,early_0_30,0.0072567964229124805,0.01012793246649288,0.999956235875381,0.7165131133052843,0.7192612986086379
GBSA-TCL_vs_C0,TCL,85011,atomic_numbers,0.25,0.75,early_0_30,1.3509370352290695,0.10871082169497953,0.9953377909573978,12.42688643288452,11.745699415347037
GBSA-TCL_vs_C0,TCL,85011,pos,0.25,0.75,early_0_30,0.0018331409988825442,1.1748883707569762,0.7532697709069865,0.0015602682301650993,0.002694284742196817
GBSA-TCL_vs_C0,TCL,85011,cell,0.25,0.75,early_0_30,0.015643095077651957,0.010791380669490749,0.999963634471705,1.4495916284260002,1.459124228990739
GBSA-TCL_vs_C0,TCL,85012,atomic_numbers,0.25,0.75,early_0_30,1.2597003195315646,0.08406881935007889,0.9974436957877056,14.984156186206542,14.282222699645821
GBSA-TCL_vs_C0,TCL,85012,pos,0.25,0.75,early_0_30,0.0017119912804590936,1.3283067538089566,0.76714350658012,0.0012888523494666505,0.0024878578192042296
GBSA-TCL_vs_C0,TCL,85012,cell,0.25,0.75,early_0_30,0.016911149358180375,0.017372367098934614,0.9998539009942934,0.9734510709952403,0.9702891948499462
GBSA-TCL_vs_C0,TCL,85013,atomic_numbers,0.25,0.75,early_0_30,1.1808376897040083,0.09525163916395282,0.995740000506732,12.397032744722424,12.047980715093196
GBSA-TCL_vs_C0,TCL,85013,pos,0.25,0.75,early_0_30,0.0026427481000787802,0.8461262479734211,0.8326006840508171,0.003123349625908066,0.004598357051292086
GBSA-TCL_vs_C0,TCL,85013,cell,0.25,0.75,early_0_30,0.010112193695179131,0.009649601116081338,0.9999678434258757,1.0479390363946617,1.0422812448632681
GBSA-TCL_vs_C0,TCL,85014,atomic_numbers,0.25,0.75,early_0_30,0.7541622651114024,0.06548539080239549,0.9978677366172182,11.516496364618389,11.430614206893353
GBSA-TCL_vs_C0,TCL,85014,pos,0.25,0.75,early_0_30,0.002397158976617848,1.5968507772155969,0.2861673378248789,0.0015011790774825784,0.0023472376966021044
GBSA-TCL_vs_C0,TCL,85014,cell,0.25,0.75,early_0_30,0.012809574413234685,0.04576824420552939,0.9992923437088457,0.279879087249039,0.27238310270410554
GBSA-TCL_vs_C0,TCL,85015,atomic_numbers,0.25,0.75,early_0_30,1.4359001310303094,0.15512540559565619,0.988995276827504,9.256382766682789,8.722775399649286
GBSA-TCL_vs_C0,TCL,85015,pos,0.25,0.75,early_0_30,0.00199521396757209,1.2868130189950362,0.13658797442315787,0.0015505080676991398,0.001485222783686875
GBSA-TCL_vs_C0,TCL,85015,cell,0.25,0.75,early_0_30,0.021736191192393117,0.015436400756494743,0.999896243536551,1.408112651082072,1.4157787596394817
GBSA-TCL_vs_C0,TCL,85016,atomic_numbers,0.25,0.75,early_0_30,1.0830673644164401,0.09587731053707615,0.997381623075311,11.296388669534212,10.555715520325643
GBSA-TCL_vs_C0,TCL,85016,pos,0.25,0.75,early_0_30,0.0015504798973573857,1.1413195170896466,0.544156069830789,0.0013584976635737326,0.0017903960239899013
GBSA-TCL_vs_C0,TCL,85016,cell,0.25,0.75,early_0_30,0.04012638462553394,0.03375935797083867,0.9995615572520062,1.188600347796753,1.1688033200402548
GBSA-TCL_vs_C0,TCL,85017,atomic_numbers,0.25,0.75,early_0_30,0.9869410824387073,0.07459911312959529,0.9972620208501187,13.229930504993687,13.063699409576067
GBSA-TCL_vs_C0,TCL,85017,pos,0.25,0.75,early_0_30,0.0036267119147417133,0.8366972343951616,0.9244677548852829,0.004334557072324279,0.007235466083610161
GBSA-TCL_vs_C0,TCL,85017,cell,0.25,0.75,early_0_30,0.00597878353902582,0.010644891956618144,0.9999506600662267,0.5616575126728919,0.5637785565155241
GBSA-TCL_vs_C0,TCL,85018,atomic_numbers,0.25,0.75,early_0_30,1.390359520659355,0.1372099104747082,0.9932827329410391,10.13308379729348,9.317833835252276
