method,seed,formula,e_hull_ev_per_atom,stable,nus,novel,unique,rmsd_angstrom,atomic_force_mean_ev_per_angstrom,structure_max_force_ev_per_angstrom,relaxation_steps,tail_flags,dft_verified
C0,85021,Mn2Fe9Mo,0.2318404642415377,False,False,True,True,0.01878476535943155,0.12690973714522955,0.22222285349683119,26,,False
C0,85022,EuAl2,0.026414066053059848,True,True,True,True,0.0412247112801427,0.05376842231953947,0.15289817754779716,41,,False
C0,85023,EuBO3,0.012492129892578419,True,False,False,True,0.00693047861809402,0.10660590298245118,0.18922004301710665,27,,False
C0,85024,Mn2NiAs,0.20999580836799048,False,False,True,True,0.0004929667227287661,0.003775025310004702,0.006282682319439683,11,,False
C0,85025,GaFeCo2H,0.11734912310254053,False,False,True,True,0.02367882414455467,0.08308209873669505,0.1491744260128518,17,,False
C0,85026,EuGd2F8,-0.00876447813210035,True,True,True,True,0.016784245661991472,0.10922414765189706,0.14335255271651703,14,,False
C0,85027,Fe9Ni7,0.06603022928222657,True,True,True,True,0.6382092626689682,0.09855117610716085,0.21973208763699376,230,RMSD>0.5;Steps>200,False
C0,85028,Eu6NiGe5,0.12751450153645827,False,False,True,True,0.05489230450985425,0.24337605173737387,0.4203643816839521,58,,False
C0,85029,ZnFe3,0.05913812188273049,True,False,False,True,0.04632775337133596,0.17009742647626,0.27035394143962355,23,,False
C0,85030,FeCo,0.06661962884887718,True,False,False,True,0.0011187286262526884,0.04428604500421654,0.047855658392079406,4,,False
C0,85031,Eu2CuMoO6,0.11795466107812658,False,False,True,True,0.011066223128617428,0.11222755457083171,0.17473725339438811,29,,False
FT0,85000,Mn11(AsC2)2,0.18338629398567363,False,False,True,True,0.1460456088644034,0.2947833005977832,0.6637187049916138,172,,False
FT0,85001,Eu4As2O,0.024069908856958477,True,False,False,True,0.018393739350819706,0.076537828847403,0.1340188453104626,23,,False
FT0,85002,Mn11FeC7,0.20498988441799426,False,False,True,True,0.5160412652156856,0.5008572239952763,1.0373658848541005,706,RMSD>0.5;MaxF>1;Steps>200;Steps>400,False
FT0,85003,Mn6As3C2,0.23464859373764924,False,False,True,True,0.09738958843119783,0.3582925049734358,0.7575089369445579,55,,False
FT0,85004,Mn4As3C,0.23245965708825267,False,False,True,True,0.272432407558284,0.7103764987718397,1.4286614649048048,74,MaxF>1,False
FT0,85005,Mn5C2,0.03790261182683885,True,False,False,True,0.03610538478063891,0.22952841130162024,0.3297670200820708,71,,False
FT0,85006,Mn6P2C,0.06369015350628437,True,True,True,True,0.02363776651578979,0.2598220664297017,0.4571689566229191,38,,False
FT0,85007,Eu3Pt,0.06545550952880852,True,True,True,True,0.01791228455043781,0.02693759293774349,0.03296149076191033,16,,False
FT0,85008,Mn2P,-0.013519777511392661,True,False,False,True,0.03487911034602524,0.1602808424355844,0.2147788705771846,55,,False
FT0,85009,MnC,0.31354139576755635,False,False,True,True,0.00027714576375602594,0.02658242299311323,0.05621065940480151,11,,False
FT0,85010,Eu2Au,0.08484512382866605,True,True,True,True,0.010901072145594506,0.07833138144255537,0.11591131871656926,14,,False
FT0,85011,Mn4As5,0.17286702885199556,False,False,True,True,0.1354638049497682,0.4192048015580878,0.5606105506058537,42,,False
FT0,85012,Mn7(SbAs)2,0.26314865559799916,False,False,True,True,0.06231152542730852,0.21873553792491537,0.33307119388009476,53,,False
FT0,85013,Mn5As4,0.21744890341347833,False,False,True,True,0.04472316769924811,0.2676460164332976,0.470185483521496,41,,False
